Date,Open,High,Low,Close,Adj Close,Volume
2022-03-30,15.23,15.23,15.23,15.23,15.23,100
2022-03-31,15.23,15.23,15.23,15.23,15.23,0
2022-04-01,15.23,15.23,15.23,15.23,15.23,0
2022-04-04,15.23,15.23,15.23,15.23,15.23,0
2022-04-05,15.23,15.23,15.23,15.23,15.23,0
2022-04-06,15.23,15.23,15.23,15.23,15.23,0
2022-04-07,15.23,15.23,15.23,15.23,15.23,0
2022-04-08,15.23,15.23,15.23,15.23,15.23,0
2022-04-11,15.23,15.23,15.23,15.23,15.23,0
2022-04-12,15.23,15.23,15.23,15.23,15.23,0
2022-04-13,15.23,15.23,15.23,15.23,15.23,0
2022-04-14,15.23,15.23,15.23,15.23,15.23,0
2022-04-18,15.23,15.23,15.23,15.23,15.23,0
2022-04-19,15.23,15.23,15.23,15.23,15.23,0
2022-04-20,15.23,15.23,15.23,15.23,15.23,0
2022-04-21,15.23,15.23,15.23,15.23,15.23,0
2022-04-22,15.23,15.23,15.23,15.23,15.23,0
2022-04-25,15.23,15.23,15.23,15.23,15.23,0
2022-04-26,15.23,15.23,15.23,15.23,15.23,0
2022-04-27,15.23,15.23,15.23,15.23,15.23,0
2022-04-28,15.23,15.23,15.23,15.23,15.23,0
2022-04-29,15.23,15.23,15.23,15.23,15.23,0
2022-05-02,15.23,15.23,15.23,15.23,15.23,0
2022-05-03,17.77,17.77,17.77,17.77,17.77,100
2022-05-04,17.77,17.77,17.77,17.77,17.77,0
2022-05-05,16.77,16.77,16.77,16.77,16.77,100
2022-05-06,16.77,16.77,16.77,16.77,16.77,0
2022-05-09,14.77,14.77,14.77,14.77,14.77,100
2022-05-10,14.77,14.77,14.77,14.77,14.77,0
2022-05-11,13.77,13.77,13.77,13.77,13.77,100
2022-05-12,13.77,13.77,13.77,13.77,13.77,0
2022-05-13,13.77,13.77,13.77,13.77,13.77,0
2022-05-16,13.77,13.77,13.77,13.77,13.77,0
2022-05-17,13.77,13.77,13.77,13.77,13.77,0
2022-05-18,13.77,13.77,13.77,13.77,13.77,0
2022-05-19,13.77,13.77,13.77,13.77,13.77,0
2022-05-20,13.77,13.77,13.77,13.77,13.77,0
2022-05-23,13.77,13.77,13.77,13.77,13.77,0
2022-05-24,13.77,13.77,13.77,13.77,13.77,0
2022-05-25,13.77,13.77,13.77,13.77,13.77,0
2022-05-26,13.77,13.77,13.77,13.77,13.77,0
2022-05-27,13.77,13.77,13.77,13.77,13.77,0
2022-05-31,13.77,13.77,13.77,13.77,13.77,0
2022-06-01,13.77,13.77,13.77,13.77,13.77,0
2022-06-02,13.77,13.77,13.77,13.77,13.77,0
2022-06-03,13.77,13.77,13.77,13.77,13.77,0
2022-06-06,13.77,13.77,13.77,13.77,13.77,0
2022-06-07,13.77,13.77,13.77,13.77,13.77,0
2022-06-08,13.77,13.77,13.77,13.77,13.77,0
2022-06-09,13.77,13.77,13.77,13.77,13.77,0
2022-06-10,13.77,13.77,13.77,13.77,13.77,0
2022-06-13,13.77,13.77,13.77,13.77,13.77,0
2022-06-14,13.77,13.77,13.77,13.77,13.77,0
2022-06-15,13.77,13.77,13.77,13.77,13.77,0
2022-06-16,11.77,11.97,11.77,11.97,11.97,200
2022-06-17,11.97,11.97,11.97,11.97,11.97,0
2022-06-21,12.57,12.57,12.57,12.57,12.57,200
2022-06-22,12.57,12.57,12.57,12.57,12.57,0
2022-06-23,12.57,12.57,12.57,12.57,12.57,0
2022-06-24,12.57,12.57,12.57,12.57,12.57,0
2022-06-27,12.57,12.57,12.57,12.57,12.57,0
2022-06-28,12.57,12.57,12.57,12.57,12.57,0
2022-06-29,12.57,12.57,12.57,12.57,12.57,0
2022-06-30,12.57,12.57,12.57,12.57,12.57,0
2022-07-01,12.57,12.57,12.57,12.57,12.57,0
2022-07-05,12.57,12.57,12.57,12.57,12.57,0
2022-07-06,12.57,12.57,12.57,12.57,12.57,0
2022-07-07,12.57,12.57,12.57,12.57,12.57,0
2022-07-08,12.57,12.57,12.57,12.57,12.57,0
2022-07-11,12.57,12.57,12.57,12.57,12.57,0
2022-07-12,12.57,12.57,12.57,12.57,12.57,0
2022-07-13,12.57,12.57,12.57,12.57,12.57,0
2022-07-14,12.57,12.57,12.57,12.57,12.57,0
2022-07-15,12.57,12.57,12.57,12.57,12.57,0
2022-07-18,12.57,12.57,12.57,12.57,12.57,0
2022-07-19,12.57,12.57,12.57,12.57,12.57,0
2022-07-20,12.57,12.57,12.57,12.57,12.57,0
2022-07-21,12.57,12.57,12.57,12.57,12.57,0
2022-07-22,12.57,12.57,12.57,12.57,12.57,0
2022-07-25,12.57,12.57,12.57,12.57,12.57,0
2022-07-26,12.57,12.57,12.57,12.57,12.57,0
2022-07-27,12.57,12.57,12.57,12.57,12.57,0
2022-07-28,12.57,12.57,12.57,12.57,12.57,0
2022-07-29,12.57,12.57,12.57,12.57,12.57,0
2022-08-01,12.57,12.57,12.57,12.57,12.57,0
2022-08-02,12.57,12.57,12.57,12.57,12.57,0
2022-08-03,12.57,12.57,12.57,12.57,12.57,0
2022-08-04,12.57,12.57,12.57,12.57,12.57,0
2022-08-05,12.57,12.57,12.57,12.57,12.57,0
2022-08-08,12.57,12.57,12.57,12.57,12.57,0
2022-08-09,12.57,12.57,12.57,12.57,12.57,0
2022-08-10,12.57,12.57,12.57,12.57,12.57,0
2022-08-11,12.57,12.57,12.57,12.57,12.57,0
2022-08-12,12.57,12.57,12.57,12.57,12.57,0
2022-08-15,12.57,12.57,12.57,12.57,12.57,0
2022-08-16,12.57,12.57,12.57,12.57,12.57,0
2022-08-17,12.57,12.57,12.57,12.57,12.57,0
2022-08-18,12.57,12.57,12.57,12.57,12.57,0
2022-08-19,12.57,12.57,12.57,12.57,12.57,0
2022-08-22,12.57,12.57,12.57,12.57,12.57,0
2022-08-23,12.57,12.57,12.57,12.57,12.57,0
2022-08-24,12.57,12.57,12.57,12.57,12.57,0
2022-08-25,12.57,12.57,12.57,12.57,12.57,0
2022-08-26,12.57,12.57,12.57,12.57,12.57,0
2022-08-29,12.57,12.57,12.57,12.57,12.57,0
2022-08-30,12.57,12.57,12.57,12.57,12.57,0
2022-08-31,12.57,12.57,12.57,12.57,12.57,0
2022-09-01,12.57,12.57,12.57,12.57,12.57,0
2022-09-02,12.57,12.57,12.57,12.57,12.57,0
2022-09-06,12.57,12.57,12.57,12.57,12.57,0
2022-09-07,12.57,12.57,12.57,12.57,12.57,0
2022-09-08,12.57,12.57,12.57,12.57,12.57,0
2022-09-09,12.57,12.57,12.57,12.57,12.57,0
2022-09-12,12.57,12.57,12.57,12.57,12.57,0
