Date,Open,High,Low,Close,Adj Close,Volume
2019-05-21,11.0,11.0,11.0,11.0,11.0,100
2019-05-22,11.0,11.0,11.0,11.0,11.0,0
2019-05-23,11.0,11.0,11.0,11.0,11.0,0
2019-05-24,11.0,11.0,11.0,11.0,11.0,0
2019-05-28,11.0,11.0,11.0,11.0,11.0,0
2019-05-29,11.0,11.0,11.0,11.0,11.0,0
2019-05-30,11.0,11.0,11.0,11.0,11.0,0
2019-05-31,11.0,11.0,11.0,11.0,11.0,0
2019-06-03,11.0,11.0,11.0,11.0,11.0,0
2019-06-04,11.0,11.0,11.0,11.0,11.0,0
2019-06-05,11.0,11.0,11.0,11.0,11.0,0
2019-06-06,11.0,11.0,11.0,11.0,11.0,0
2019-06-07,11.0,11.0,11.0,11.0,11.0,0
2019-06-10,11.0,11.0,11.0,11.0,11.0,0
2019-06-11,11.0,11.0,11.0,11.0,11.0,0
2019-06-12,11.0,11.0,11.0,11.0,11.0,0
2019-06-13,11.0,11.0,11.0,11.0,11.0,0
2019-06-14,11.0,11.0,11.0,11.0,11.0,0
2019-06-17,11.0,11.0,11.0,11.0,11.0,0
2019-06-18,11.0,11.0,11.0,11.0,11.0,0
2019-06-19,11.0,11.0,11.0,11.0,11.0,0
2019-06-20,11.0,11.0,11.0,11.0,11.0,0
2019-06-21,11.0,11.0,11.0,11.0,11.0,0
2019-06-24,11.0,11.0,11.0,11.0,11.0,0
2019-06-25,11.0,11.0,11.0,11.0,11.0,0
2019-06-26,11.0,11.0,11.0,11.0,11.0,0
2019-06-27,11.0,11.0,11.0,11.0,11.0,0
2019-06-28,11.0,11.0,11.0,11.0,11.0,0
2019-07-01,11.0,11.0,11.0,11.0,11.0,0
2019-07-02,10.49,10.49,10.29,10.49,10.49,800
2019-07-03,10.49,10.49,10.49,10.49,10.49,0
2019-07-05,10.49,10.49,10.49,10.49,10.49,0
2019-07-08,10.43,10.43,10.43,10.43,10.43,200
2019-07-09,10.29,10.29,10.29,10.29,10.29,500
2019-07-10,10.29,10.29,10.29,10.29,10.29,0
2019-07-11,11.13,11.13,11.09,11.09,11.09,300
2019-07-12,11.22,11.22,11.22,11.22,11.22,100
2019-07-15,11.22,11.22,11.22,11.22,11.22,0
2019-07-16,11.04,11.04,11.04,11.04,11.04,400
2019-07-17,11.04,11.04,11.04,11.04,11.04,0
2019-07-18,11.04,11.04,11.04,11.04,11.04,0
2019-07-19,11.68,11.68,11.34,11.34,11.34,2400
2019-07-22,11.34,11.34,11.34,11.34,11.34,0
2019-07-23,11.34,11.34,11.34,11.34,11.34,0
2019-07-24,11.57,11.57,11.57,11.57,11.57,100
2019-07-25,11.57,11.57,11.57,11.57,11.57,0
2019-07-26,11.57,11.57,11.57,11.57,11.57,0
2019-07-29,11.8,11.8,11.8,11.8,11.8,300
2019-07-30,11.897,11.93,11.8,11.93,11.93,28200
2019-07-31,11.925,11.95,11.85,11.85,11.85,900
2019-08-01,11.54,11.54,11.54,11.54,11.54,500
2019-08-02,11.315,11.315,11.28,11.28,11.28,900
2019-08-05,11.08,11.218,11.08,11.218,11.218,400
2019-08-06,10.906,10.906,10.6,10.6,10.6,600
2019-08-07,10.77,10.77,10.77,10.77,10.77,100
2019-08-08,10.56,10.56,10.44,10.44,10.44,2500
2019-08-09,10.44,10.64,10.33,10.33,10.33,2400
2019-08-12,10.55,10.55,10.55,10.55,10.55,300
2019-08-13,10.55,10.55,10.55,10.55,10.55,0
2019-08-14,10.08,10.6,10.08,10.6,10.6,4400
2019-08-15,10.43,10.43,9.92,9.92,9.92,3700
2019-08-16,10.07,10.27,10.07,10.09,10.09,1200
2019-08-19,10.275,10.275,10.25,10.25,10.25,300
2019-08-20,10.25,10.25,10.25,10.25,10.25,0
2019-08-21,9.353,9.353,9.31,9.31,9.31,600
2019-08-22,9.345,9.5,9.345,9.5,9.5,400
2019-08-23,9.5,9.5,9.5,9.5,9.5,0
2019-08-26,9.5,9.5,9.5,9.5,9.5,0
2019-08-27,9.324,9.37,9.324,9.37,9.37,700
2019-08-28,9.211,9.25,8.84,8.84,8.84,3000
2019-08-29,8.84,8.84,8.84,8.84,8.84,0
2019-08-30,9.242,9.29,9.242,9.29,9.29,800
2019-09-03,9.011,9.011,8.98,8.98,8.98,1500
2019-09-04,9.15,9.181,9.15,9.15,9.15,500
2019-09-05,9.15,9.15,9.15,9.15,9.15,0
2019-09-06,9.7,9.7,9.7,9.7,9.7,700
2019-09-09,9.7,9.7,9.7,9.7,9.7,0
2019-09-10,9.493,9.493,9.493,9.493,9.493,100
2019-09-11,9.493,9.493,9.493,9.493,9.493,0
2019-09-12,9.28,9.28,9.28,9.28,9.28,100
2019-09-13,9.13,9.16,9.13,9.16,9.16,200
2019-09-16,9.372,9.41,9.372,9.41,9.41,5800
2019-09-17,9.26,9.26,8.86,8.86,8.86,1100
2019-09-18,8.81,8.83,8.645,8.645,8.645,1600
2019-09-19,8.515,8.56,8.515,8.56,8.56,6500
2019-09-20,8.605,8.64,8.605,8.64,8.64,900
2019-09-23,8.726,8.76,8.726,8.726,8.726,700
2019-09-24,8.57,8.57,8.57,8.57,8.57,200
2019-09-25,8.57,8.57,8.57,8.57,8.57,0
2019-09-26,8.57,8.57,8.57,8.57,8.57,0
2019-09-27,8.136,8.136,8.136,8.136,8.136,200
2019-09-30,8.2,8.2,8.11,8.11,8.11,2200
2019-10-01,9.01,9.01,9.01,9.01,9.01,300
2019-10-02,8.28,8.34,8.0,8.34,8.34,900
2019-10-03,8.51,8.51,8.01,8.01,8.01,400
2019-10-04,8.34,8.54,8.08,8.08,8.08,2300
2019-10-07,8.08,8.08,8.08,8.08,8.08,0
2019-10-08,7.993,7.993,7.993,7.993,7.993,100
