Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,12.9,12.92,12.45,12.8,10.44177,3100
2013-07-17,12.95,13.25,12.95,13.25,10.808864,1500
2013-07-18,12.95,13.0,12.95,13.0,10.604924,1000
2013-07-19,13.1,13.4,12.81,13.4,10.931227,14100
2013-07-22,13.38,13.55,13.38,13.55,11.053594,5000
2013-07-23,13.6,13.6,13.5,13.6,11.09438,1600
2013-07-24,13.5,13.6,13.5,13.6,11.09438,1100
2013-07-25,13.7,13.75,13.65,13.75,11.216746,1900
2013-07-26,13.75,13.79,13.75,13.75,11.216746,7300
2013-07-29,13.88,13.88,13.79,13.8,11.257537,700
2013-07-30,13.8,13.88,13.8,13.88,11.322795,2000
2013-07-31,13.75,13.88,13.72,13.88,11.322795,1800
2013-08-01,13.6,13.7,13.5,13.7,11.175957,2900
2013-08-02,13.88,13.88,13.5,13.5,11.012803,9800
2013-08-05,13.84,13.84,13.84,13.84,11.29017,400
2013-08-06,13.75,13.81,13.5,13.55,11.053594,25500
2013-08-07,13.5,13.8,13.5,13.61,11.102541,4700
2013-08-08,13.75,13.81,13.56,13.7,11.175957,21800
2013-08-09,13.8,13.95,13.56,13.91,11.347268,12700
2013-08-12,13.93,13.95,13.81,13.95,11.379898,3300
2013-08-13,13.95,13.95,13.95,13.95,11.379898,0
2013-08-14,13.98,13.98,13.7,13.7,11.175957,1200
2013-08-15,13.35,13.72,13.31,13.72,11.19227,7800
2013-08-16,13.75,13.75,13.75,13.75,11.216746,600
2013-08-19,13.88,14.0,13.63,13.93,11.363584,7800
2013-08-20,13.95,13.95,13.89,13.95,11.379898,800
2013-08-21,13.89,13.95,13.89,13.94,11.37174,2500
2013-08-22,13.86,13.98,13.86,13.98,11.404371,400
2013-08-23,13.98,13.98,13.5,13.7,11.175957,11900
2013-08-26,13.89,14.73,13.58,13.9,11.339111,26400
2013-08-27,13.99,14.25,13.25,13.71,11.184117,18200
2013-08-28,13.95,14.0,13.93,14.0,11.420686,1400
2013-08-29,14.24,14.24,14.24,14.24,11.616469,100
2013-08-30,14.24,14.24,14.24,14.24,11.616469,0
2013-09-03,14.07,14.07,14.0,14.03,11.44516,2300
2013-09-04,13.95,14.06,13.25,14.0,11.420686,10600
2013-09-05,14.07,14.07,13.99,13.99,11.412531,2800
2013-09-06,14.06,14.06,13.61,14.03,11.44516,600
2013-09-09,14.03,14.03,13.93,13.93,11.363584,2900
2013-09-10,13.87,13.87,13.87,13.87,11.314637,100
2013-09-11,14.0,14.07,13.66,14.07,11.477791,7300
2013-09-12,14.07,14.73,14.07,14.24,11.616469,9700
2013-09-13,13.99,14.35,13.99,14.09,11.494106,3100
2013-09-16,13.87,14.96,13.76,14.13,11.526738,5400
2013-09-17,14.48,14.5,14.48,14.5,11.828567,3200
2013-09-18,14.3,14.6,14.3,14.58,11.893833,8400
2013-09-19,14.58,14.58,14.5,14.58,11.893833,1000
2013-09-20,14.82,14.85,14.6,14.83,12.09777,2000
2013-09-23,14.96,15.4,14.8,15.08,12.301709,3500
2013-09-24,15.09,15.09,15.04,15.07,12.293552,1800
2013-09-25,15.09,15.09,14.85,14.85,12.114086,900
2013-09-26,14.56,14.98,14.56,14.94,12.187505,400
2013-09-27,14.92,15.09,14.92,15.08,12.367938,4000
2013-09-30,15.09,15.09,15.09,15.09,12.376141,400
2013-10-01,14.8,14.8,14.09,14.46,11.859442,1600
2013-10-02,14.97,14.97,14.12,14.75,12.097285,2300
2013-10-03,15.12,15.19,15.12,15.19,12.458157,700
2013-10-04,14.75,15.0,14.65,14.65,12.01527,3900
2013-10-07,14.43,15.0,14.25,14.29,11.720012,3500
2013-10-08,15.2,15.2,14.5,14.75,12.097285,2400
2013-10-09,14.75,15.18,14.75,15.18,12.449951,1500
2013-10-10,15.18,15.18,15.02,15.15,12.42535,2000
2013-10-11,14.82,14.96,14.82,14.91,12.228511,1200
2013-10-14,14.81,15.2,14.81,15.15,12.42535,1300
2013-10-15,15.15,15.15,15.15,15.15,12.42535,0
2013-10-16,15.2,15.2,14.51,15.18,12.449951,4000
2013-10-17,15.22,15.22,15.14,15.22,12.482759,2100
2013-10-18,14.5,15.15,14.2,15.02,12.318731,7100
2013-10-21,15.5,15.5,15.0,15.11,12.392542,9400
2013-10-22,15.4,15.5,14.8,14.8,12.138295,1100
2013-10-23,15.0,15.5,15.0,15.0,12.302326,16100
2013-10-24,14.53,15.1,14.53,14.86,12.187506,1200
2013-10-25,14.89,15.43,14.89,15.43,12.654994,500
2013-10-28,15.2,15.41,14.94,15.25,12.507364,26600
2013-10-29,15.2,15.2,14.9,15.11,12.392542,500
2013-10-30,14.81,15.15,14.8,14.88,12.20391,1700
2013-10-31,14.77,15.1,14.0,14.81,12.146497,33200
2013-11-01,15.02,15.02,15.02,15.02,12.318731,100
2013-11-04,14.8,15.03,14.06,14.82,12.154698,26000
2013-11-05,14.57,14.57,14.57,14.57,11.949657,500
2013-11-06,14.57,14.57,14.57,14.57,11.949657,0
2013-11-07,14.95,15.47,14.75,15.4,12.630389,2200
2013-11-08,14.96,14.96,14.29,14.87,12.195707,5000
2013-11-11,14.56,14.7,14.56,14.66,12.023476,1600
2013-11-12,14.57,14.96,14.57,14.61,11.982465,800
2013-11-13,14.6,14.66,14.6,14.66,12.023476,600
