Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,13.78,13.88,13.78,13.88,13.88,600
2013-07-17,13.91,14.01,13.91,14.01,14.01,300
2013-07-18,14.21,14.21,14.19,14.19,14.19,900
2013-07-19,13.99,13.99,13.99,13.99,13.99,1300
2013-07-22,13.99,13.99,13.99,13.99,13.99,0
2013-07-23,13.99,13.99,13.99,13.99,13.99,0
2013-07-24,14.12,14.12,14.12,14.12,14.12,1000
2013-07-25,14.16,14.16,14.16,14.16,14.16,1100
2013-07-26,14.1,14.1,14.1,14.1,14.1,3000
2013-07-29,14.09,14.09,13.91,13.98,13.98,4000
2013-07-30,14.16,14.16,14.06,14.13,14.13,1000
2013-07-31,13.96,13.96,13.7,13.7,13.7,1400
2013-08-01,13.88,13.88,13.8,13.8,13.8,1300
2013-08-02,14.08,14.08,14.05,14.06,14.06,1700
2013-08-05,13.97,13.97,13.9,13.96,13.96,16300
2013-08-06,14.14,14.15,14.12,14.13,14.13,2900
2013-08-07,14.05,14.05,14.05,14.05,14.05,900
2013-08-08,14.07,14.07,14.07,14.07,14.07,1000
2013-08-09,13.94,13.94,13.94,13.94,13.94,200
2013-08-12,13.67,13.67,13.57,13.57,13.57,800
2013-08-13,13.72,13.72,13.72,13.72,13.72,300
2013-08-14,13.47,13.48,13.46,13.46,13.46,1400
2013-08-15,13.34,13.34,13.23,13.3,13.3,5300
2013-08-16,13.4,13.53,13.38,13.38,13.38,4200
2013-08-19,13.41,13.41,13.39,13.39,13.39,1000
2013-08-20,13.28,13.28,13.17,13.28,13.28,2600
2013-08-21,13.1,13.16,13.1,13.16,13.16,700
2013-08-22,13.11,13.12,13.09,13.12,13.12,800
2013-08-23,13.19,13.19,13.19,13.19,13.19,800
2013-08-26,13.12,13.12,13.09,13.09,13.09,1300
2013-08-27,13.18,13.19,13.16,13.16,13.16,1700
2013-08-28,13.3,13.31,13.3,13.31,13.31,2300
2013-08-29,12.96,13.01,12.95,13.01,13.01,2700
2013-08-30,12.81,12.81,12.81,12.81,12.81,100
2013-09-03,12.81,12.81,12.81,12.81,12.81,0
2013-09-04,12.83,12.85,12.8,12.85,12.85,1300
2013-09-05,12.55,12.55,12.53,12.53,12.53,500
2013-09-06,12.49,12.53,12.49,12.49,12.49,19300
2013-09-09,12.55,12.65,12.55,12.65,12.65,700
2013-09-10,12.65,12.65,12.6,12.6,12.6,2500
2013-09-11,12.61,12.69,12.61,12.69,12.69,300
2013-09-12,12.63,12.7,12.63,12.7,12.7,1000
2013-09-13,12.86,12.87,12.86,12.87,12.87,600
2013-09-16,13.1,13.1,12.93,12.93,12.93,800
2013-09-17,12.85,12.87,12.85,12.87,12.87,200
2013-09-18,13.03,13.3,13.03,13.28,13.28,2400
2013-09-19,13.28,13.28,13.17,13.17,13.17,1500
2013-09-20,13.23,13.23,13.2,13.2,13.2,800
2013-09-23,13.2,13.2,13.16,13.16,13.16,800
2013-09-24,13.16,13.16,13.16,13.16,13.16,0
2013-09-25,13.16,13.18,13.05,13.05,13.05,1900
2013-09-26,13.24,13.24,13.24,13.24,13.24,400
2013-09-27,12.93,13.01,12.93,13.01,13.01,1700
2013-09-30,13.07,13.18,13.07,13.18,13.18,2600
2013-10-01,12.95,13.07,12.95,12.96,12.96,2400
2013-10-02,13.21,13.36,13.21,13.26,13.26,2600
2013-10-03,13.22,13.22,13.11,13.11,13.11,400
2013-10-04,13.27,13.35,13.22,13.35,13.35,1800
2013-10-07,13.45,13.45,13.45,13.45,13.45,200
2013-10-08,13.23,13.23,13.14,13.14,13.14,1400
2013-10-09,13.16,13.26,13.16,13.26,13.26,3000
2013-10-10,13.75,13.9,13.75,13.9,13.9,500
2013-10-11,13.59,13.59,13.59,13.59,13.59,200
2013-10-14,13.67,13.67,13.61,13.61,13.61,200
2013-10-15,13.58,13.58,13.58,13.58,13.58,400
2013-10-16,13.75,13.75,13.75,13.75,13.75,200
2013-10-17,13.9,13.99,13.88,13.93,13.93,2300
2013-10-18,14.0,14.13,14.0,14.13,14.13,1500
2013-10-21,14.03,14.06,14.03,14.05,14.05,1600
2013-10-22,14.13,14.13,14.08,14.08,14.08,600
2013-10-23,13.92,13.92,13.91,13.91,13.91,1800
2013-10-24,14.06,14.06,14.06,14.06,14.06,3400
2013-10-25,13.97,14.02,13.93,13.93,13.93,1600
2013-10-28,14.05,14.05,14.05,14.05,14.05,400
2013-10-29,14.16,14.18,14.14,14.18,14.18,2300
2013-10-30,14.12,14.12,14.06,14.06,14.06,1300
2013-10-31,14.05,14.05,14.05,14.05,14.05,300
2013-11-01,13.8,13.8,13.77,13.77,13.77,1100
2013-11-04,13.75,13.81,13.75,13.81,13.81,300
2013-11-05,13.55,13.55,13.55,13.55,13.55,500
2013-11-06,13.88,13.88,13.69,13.69,13.69,1700
2013-11-07,13.53,14.17,13.53,13.79,13.79,1200
2013-11-08,14.11,14.23,14.08,14.19,14.19,3300
2013-11-11,14.34,14.34,14.33,14.33,14.33,2400
2013-11-12,14.2,14.2,14.12,14.19,14.19,18100
2013-11-13,14.17,14.17,14.17,14.17,14.17,1100
2013-11-14,14.43,14.53,14.43,14.49,14.49,2300
2013-11-15,14.66,14.66,14.66,14.66,14.66,200
2013-11-18,14.38,14.38,14.38,14.38,14.38,200
2013-11-19,14.49,14.59,14.49,14.59,14.59,3200
2013-11-20,14.71,14.71,14.6,14.62,14.62,2000
2013-11-21,14.62,14.62,14.62,14.62,14.62,0
2013-11-22,14.52,14.52,14.52,14.52,14.52,3500
2013-11-25,14.35,14.35,14.35,14.35,14.35,1200
2013-11-26,14.24,14.24,14.18,14.24,14.24,5300
2013-11-27,14.17,14.22,14.17,14.18,14.18,1700
2013-11-29,14.35,14.35,14.35,14.35,14.35,400
2013-12-02,14.09,14.12,14.08,14.08,14.08,1600
2013-12-03,14.0,14.01,13.96,13.96,13.96,1600
2013-12-04,13.89,13.89,13.82,13.82,13.82,600
2013-12-05,13.86,13.87,13.8,13.8,13.8,2700
2013-12-06,13.86,13.86,13.79,13.79,13.79,3100
2013-12-09,14.15,14.15,14.05,14.05,14.05,900
2013-12-10,14.13,14.18,14.1,14.18,14.18,1600
2013-12-11,14.2,14.29,14.2,14.29,14.29,400
2013-12-12,14.29,14.33,14.18,14.33,14.33,2300
2013-12-13,14.23,14.23,14.15,14.16,14.16,2300
2013-12-16,14.27,14.27,14.18,14.19,14.19,2600
2013-12-17,14.21,14.21,14.16,14.16,14.16,1600
2013-12-18,14.44,14.44,14.34,14.36,14.36,3000
2013-12-19,14.41,14.41,14.41,14.41,14.41,1200
2013-12-20,14.49,14.49,14.49,14.49,14.49,200
2013-12-23,14.54,14.54,14.5,14.5,14.5,700
2013-12-24,14.34,14.34,14.27,14.27,14.27,1200
2013-12-26,14.72,14.72,14.52,14.52,14.52,1600
2013-12-27,14.46,14.46,14.37,14.37,14.37,2000
2013-12-30,14.5,14.51,14.5,14.51,14.51,4600
2013-12-31,14.51,14.51,14.51,14.51,14.51,400
2014-01-02,14.45,14.45,14.34,14.41,14.41,1000
2014-01-03,14.46,14.46,14.43,14.45,14.45,2500
2014-01-06,14.37,14.37,14.37,14.37,14.37,900
2014-01-07,14.08,14.08,14.0,14.0,14.0,1300
2014-01-08,14.08,14.08,14.07,14.07,14.07,1000
2014-01-09,14.03,14.09,14.03,14.09,14.09,500
2014-01-10,14.0,14.08,14.0,14.08,14.08,2900
2014-01-13,14.04,14.1,13.98,14.09,14.09,4000
2014-01-14,13.76,13.76,13.71,13.76,13.76,34100
2014-01-15,14.15,14.2,14.15,14.17,14.17,4400
2014-01-16,14.33,14.33,14.25,14.25,14.25,400
2014-01-17,14.34,14.5,14.34,14.5,14.5,25400
2014-01-21,14.98,15.03,14.98,15.03,15.03,1700
2014-01-22,14.96,14.96,14.96,14.96,14.96,400
2014-01-23,14.6,14.64,14.56,14.56,14.56,2400
2014-01-24,14.47,14.47,14.47,14.47,14.47,300
2014-01-27,14.25,14.31,14.23,14.31,14.31,1000
2014-01-28,14.58,14.65,14.54,14.54,14.54,3100
2014-01-29,14.66,14.66,14.37,14.37,14.37,400
2014-01-30,14.58,14.58,14.55,14.55,14.55,400
2014-01-31,14.08,14.08,13.92,13.92,13.92,500
2014-02-03,14.12,14.14,14.08,14.14,14.14,600
2014-02-04,13.98,14.09,13.98,14.06,14.06,2700
2014-02-05,13.72,13.73,13.72,13.73,13.73,13600
2014-02-06,13.31,13.4,13.31,13.4,13.4,2200
2014-02-07,13.8,13.8,13.65,13.77,13.77,1700
2014-02-10,13.64,13.64,13.54,13.59,13.59,1900
2014-02-11,13.68,13.83,13.66,13.83,13.83,2000
2014-02-12,13.87,13.87,13.81,13.81,13.81,10900
2014-02-13,13.92,14.06,13.92,14.02,14.02,18200
2014-02-14,14.62,14.68,14.62,14.68,14.68,20600
2014-02-18,14.69,14.75,14.69,14.71,14.71,11800
2014-02-19,14.72,14.72,14.72,14.72,14.72,600
2014-02-20,14.73,14.85,14.73,14.8,14.8,1300
2014-02-21,15.26,15.31,15.08,15.08,15.08,5600
2014-02-24,15.18,15.31,15.18,15.31,15.31,3400
2014-02-25,15.28,15.33,15.17,15.17,15.17,2300
2014-02-26,15.48,15.48,15.48,15.48,15.48,600
2014-02-27,15.19,15.36,15.19,15.36,15.36,2900
2014-02-28,15.51,15.54,15.46,15.46,15.46,2500
2014-03-03,15.38,15.38,15.3,15.32,15.32,3100
2014-03-04,15.51,15.68,15.51,15.52,15.52,1200
2014-03-05,15.3,15.3,15.13,15.29,15.29,1400
2014-03-06,15.34,15.34,15.34,15.34,15.34,1300
2014-03-07,15.13,15.13,15.13,15.13,15.13,5400
2014-03-10,15.14,15.16,15.14,15.16,15.16,800
2014-03-11,15.0,15.0,14.88,14.89,14.89,3100
2014-03-12,14.83,14.86,14.83,14.85,14.85,2800
2014-03-13,14.84,14.87,14.76,14.78,14.78,3400
2014-03-14,14.56,14.56,14.36,14.49,14.49,2200
2014-03-17,14.35,14.39,14.35,14.35,14.35,3300
2014-03-18,14.4,14.4,14.31,14.31,14.31,1500
2014-03-19,14.41,14.43,14.37,14.43,14.43,2700
2014-03-20,14.29,14.3,14.2,14.2,14.2,1100
2014-03-21,14.42,14.42,14.42,14.42,14.42,300
2014-03-24,14.11,14.11,13.95,14.1,14.1,1900
2014-03-25,13.96,13.96,13.87,13.91,13.91,9300
2014-03-26,14.5,14.51,14.34,14.35,14.35,21000
