Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,1.350001,1.350001,0.69,0.69,0.69,2519
2013-07-17,0.69,0.69,0.69,0.69,0.69,0
2013-07-18,0.69,0.69,0.69,0.69,0.69,0
2013-07-19,0.69,0.69,0.69,0.69,0.69,0
2013-07-22,0.69,0.69,0.69,0.69,0.69,0
2013-07-23,0.975,0.975,0.975,0.975,0.975,73
2013-07-24,0.975,0.975,0.975,0.975,0.975,0
2013-07-25,0.975,0.975,0.975,0.975,0.975,0
2013-07-26,0.975,0.975,0.975,0.975,0.975,0
2013-07-29,0.975,0.975,0.975,0.975,0.975,0
2013-07-30,0.975,0.975,0.975,0.975,0.975,0
2013-07-31,0.975,0.975,0.975,0.975,0.975,0
2013-08-01,0.975,0.975,0.975,0.975,0.975,0
2013-08-02,0.57,0.57,0.57,0.57,0.57,459
2013-08-05,0.96,0.96,0.96,0.96,0.96,624
2013-08-06,0.96,0.96,0.96,0.96,0.96,2999
2013-08-07,0.96,0.96,0.96,0.96,0.96,0
2013-08-08,0.975,0.975,0.975,0.975,0.975,333
2013-08-09,0.975,0.975,0.975,0.975,0.975,0
2013-08-12,0.975,0.975,0.975,0.975,0.975,624
2013-08-13,0.975,0.975,0.975,0.975,0.975,0
2013-08-14,0.975,0.975,0.975,0.975,0.975,0
2013-08-15,0.975,0.975,0.975,0.975,0.975,0
2013-08-16,0.975,0.975,0.975,0.975,0.975,0
2013-08-19,0.975,0.975,0.975,0.975,0.975,0
2013-08-20,0.99,1.170001,0.99,1.170001,1.170001,5731
2013-08-21,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-08-22,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-08-23,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-08-26,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-08-27,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-08-28,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-08-29,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-08-30,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-03,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-04,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-05,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-06,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-09,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-10,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-11,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-12,1.170001,1.170001,1.170001,1.170001,1.170001,0
2013-09-13,1.170001,1.170001,1.170001,1.170001,1.170001,0
