Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,1.52,1.52,1.45,1.5,1.070565,44000
2013-07-17,1.47,1.5,1.45,1.5,1.070565,8300
2013-07-18,1.49,1.5,1.49,1.5,1.070565,7200
2013-07-19,1.5,1.5,1.43,1.46,1.042017,37000
2013-07-22,1.46,1.48,1.45,1.45,1.03488,49500
2013-07-23,1.45,1.5,1.42,1.46,1.042017,55600
2013-07-24,1.43,1.47,1.43,1.45,1.03488,4500
2013-07-25,1.44,1.46,1.44,1.46,1.042017,83600
2013-07-26,1.46,1.46,1.44,1.46,1.042017,15500
2013-07-29,1.46,1.5,1.45,1.49,1.063428,88300
2013-07-30,1.5,1.5,1.48,1.49,1.063428,12000
2013-07-31,1.49,1.49,1.47,1.48,1.056291,12000
2013-08-01,1.47,1.48,1.46,1.48,1.056291,28900
2013-08-02,1.48,1.48,1.46,1.46,1.042017,10000
2013-08-05,1.48,1.49,1.47,1.48,1.056291,32000
2013-08-06,1.47,1.48,1.45,1.45,1.03488,45500
2013-08-07,1.45,1.45,1.42,1.45,1.03488,67500
2013-08-08,1.43,1.46,1.41,1.46,1.042017,185200
2013-08-09,1.45,1.48,1.43,1.46,1.042017,35700
2013-08-12,1.48,1.49,1.42,1.46,1.042017,46300
2013-08-13,1.47,1.49,1.47,1.49,1.063428,11900
2013-08-14,1.49,1.51,1.49,1.51,1.077702,21400
2013-08-15,1.49,1.51,1.46,1.51,1.077702,42500
2013-08-16,1.51,1.51,1.49,1.5,1.070565,18100
2013-08-19,1.48,1.5,1.46,1.5,1.070565,74800
2013-08-20,1.5,1.51,1.49,1.51,1.077702,30300
2013-08-21,1.51,1.51,1.47,1.5,1.070565,36800
2013-08-22,1.48,1.51,1.47,1.5,1.070565,14100
2013-08-23,1.48,1.51,1.48,1.51,1.077702,60600
2013-08-26,1.51,1.52,1.48,1.52,1.084839,37400
2013-08-27,1.52,1.52,1.51,1.51,1.077702,21300
2013-08-28,1.51,1.53,1.51,1.53,1.091977,16600
2013-08-29,1.53,1.53,1.51,1.52,1.084839,8400
2013-08-30,1.51,1.55,1.51,1.55,1.106251,3000
2013-09-03,1.58,1.59,1.57,1.57,1.120525,17100
2013-09-04,1.55,1.58,1.55,1.57,1.120525,16500
2013-09-05,1.56,1.57,1.55,1.57,1.120525,13300
2013-09-06,1.57,1.6,1.57,1.57,1.120525,5900
2013-09-09,1.57,1.59,1.56,1.59,1.134799,46300
2013-09-10,1.59,1.6,1.56,1.6,1.141936,61300
2013-09-11,1.6,1.65,1.58,1.64,1.170485,24500
2013-09-12,1.65,1.71,1.65,1.71,1.220444,85200
2013-09-13,1.71,1.72,1.62,1.63,1.163348,58000
2013-09-16,1.63,1.73,1.61,1.64,1.170485,55500
2013-09-17,1.69,1.69,1.64,1.66,1.184759,29500
2013-09-18,1.68,1.69,1.65,1.65,1.177622,42300
2013-09-19,1.69,1.69,1.65,1.68,1.199033,71400
2013-09-20,1.7,1.7,1.66,1.67,1.191896,12700
