Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,40.439999,40.610001,40.029999,40.290001,40.290001,99500
2013-07-17,40.25,40.400002,39.66,39.869999,39.869999,105700
2013-07-18,40.07,40.23,39.75,39.919998,39.919998,112200
2013-07-19,39.959999,40.220001,39.59,39.860001,39.860001,85900
2013-07-22,39.759998,40.459999,39.549999,39.759998,39.759998,61000
2013-07-23,39.740002,40.09,39.23,39.560001,39.560001,92200
2013-07-24,39.740002,40.09,39.549999,39.709999,39.709999,88400
2013-07-25,39.700001,40.080002,39.610001,39.900002,39.900002,45500
2013-07-26,39.610001,39.740002,39.099998,39.330002,39.330002,26400
2013-07-29,39.369999,39.759998,39.349998,39.41,39.41,66700
2013-07-30,39.619999,39.700001,38.630001,39.09,39.09,99500
2013-07-31,39.310001,40.189999,39.139999,39.509998,39.509998,81800
2013-08-01,39.66,39.950001,39.349998,39.75,39.75,175300
2013-08-02,39.509998,40.939999,39.099998,40.84,40.84,92300
2013-08-05,40.919998,41.150002,40.68,40.939999,40.939999,55700
2013-08-06,40.790001,40.959999,39.849998,40.360001,40.360001,49900
2013-08-07,40.16,40.810001,39.77,40.57,40.57,56300
2013-08-08,39.0,39.369999,37.279999,38.529999,38.529999,373200
2013-08-09,38.27,38.349998,36.650002,37.330002,37.330002,198200
2013-08-12,37.09,38.200001,37.080002,37.990002,37.990002,147300
2013-08-13,37.259998,38.740002,37.259998,38.599998,38.599998,76200
2013-08-14,38.450001,38.75,38.25,38.580002,38.580002,83700
2013-08-15,38.200001,38.25,37.84,37.959999,37.959999,119300
2013-08-16,37.91,39.77,37.77,39.709999,39.709999,141900
2013-08-19,39.599998,39.880001,38.200001,38.5,38.5,106900
2013-08-20,38.43,38.869999,38.43,38.509998,38.509998,67300
2013-08-21,38.290001,38.75,38.200001,38.41,38.41,30700
2013-08-22,38.41,39.419998,38.41,39.32,39.32,24400
2013-08-23,39.290001,39.889999,38.720001,39.75,39.75,49400
2013-08-26,39.779999,40.41,39.459999,40.07,40.07,38700
2013-08-27,39.5,39.959999,38.299999,38.439999,38.439999,51700
2013-08-28,38.5,38.869999,38.200001,38.790001,38.790001,31600
2013-08-29,38.5,39.720001,38.240002,39.66,39.66,68200
2013-08-30,39.740002,40.189999,39.66,40.02,40.02,64900
2013-09-03,40.459999,40.75,40.0,40.130001,40.130001,157000
2013-09-04,40.049999,40.080002,39.709999,39.799999,39.799999,120600
2013-09-05,39.91,40.0,39.209999,39.650002,39.650002,61700
2013-09-06,39.880001,39.880001,38.900002,39.279999,39.279999,163900
2013-09-09,39.32,39.900002,39.32,39.66,39.66,146700
2013-09-10,39.93,40.189999,39.77,40.0,40.0,99400
2013-09-11,40.02,40.09,39.439999,39.57,39.57,143300
2013-09-12,39.459999,39.540001,39.27,39.380001,39.380001,226600
2013-09-13,39.57,39.630001,39.299999,39.5,39.5,146300
2013-09-16,39.950001,39.950001,39.34,39.380001,39.380001,86600
2013-09-17,39.450001,39.57,38.93,39.119999,39.119999,179200
2013-09-18,39.119999,39.32,38.610001,38.950001,38.950001,151500
2013-09-19,38.919998,38.919998,38.43,38.66,38.66,61900
2013-09-20,37.860001,38.860001,37.75,38.540001,38.540001,190100
2013-09-23,38.41,38.849998,38.029999,38.700001,38.700001,82500
2013-09-24,38.610001,39.130001,38.209999,38.82,38.82,143200
2013-09-25,38.810001,39.150002,38.619999,38.93,38.93,136300
2013-09-26,38.939999,39.240002,38.529999,38.919998,38.919998,58500
2013-09-27,38.650002,39.07,38.099998,38.150002,38.150002,68200
2013-09-30,37.639999,37.970001,37.200001,37.799999,37.799999,194900
2013-10-01,37.759998,38.110001,37.75,38.0,38.0,143900
2013-10-02,37.639999,37.84,37.360001,37.52,37.52,145300
2013-10-03,37.5,37.59,36.779999,36.970001,36.970001,208600
2013-10-04,36.68,37.139999,36.5,36.939999,36.939999,129800
2013-10-07,36.650002,37.259998,36.380001,36.450001,36.450001,105700
2013-10-08,36.549999,36.869999,36.139999,36.200001,36.200001,61800
2013-10-09,36.209999,36.299999,35.32,35.48,35.48,127300
2013-10-10,35.790001,36.220001,35.73,35.98,35.98,179400
2013-10-11,35.810001,36.25,35.810001,36.150002,36.150002,138600
2013-10-14,36.07,36.18,35.860001,36.0,36.0,217400
2013-10-15,36.0,36.049999,34.400002,35.490002,35.490002,361600
2013-10-16,35.599998,37.630001,35.599998,36.959999,36.959999,523100
2013-10-17,36.91,36.990002,36.419998,36.549999,36.549999,243200
2013-10-18,36.849998,37.779999,36.52,36.950001,36.950001,291800
2013-10-21,36.970001,37.509998,36.970001,37.349998,37.349998,218400
2013-10-22,37.389999,37.830002,37.389999,37.610001,37.610001,292800
2013-10-23,37.599998,38.52,37.599998,38.110001,38.110001,326800
2013-10-24,38.290001,38.610001,38.139999,38.490002,38.490002,284100
2013-10-25,38.639999,39.459999,38.450001,38.529999,38.529999,284200
2013-10-28,38.459999,39.59,38.459999,39.389999,39.389999,123300
2013-10-29,39.389999,39.830002,38.869999,39.68,39.68,264000
2013-10-30,39.799999,40.68,39.580002,40.290001,40.290001,105400
2013-10-31,40.189999,40.200001,39.099998,40.029999,40.029999,164400
2013-11-01,40.049999,40.049999,39.209999,39.889999,39.889999,172300
2013-11-04,39.900002,40.389999,39.529999,40.150002,40.150002,122700
2013-11-05,39.849998,40.439999,39.43,39.900002,39.900002,104400
2013-11-06,39.93,43.290001,39.5,42.43,42.43,250500
2013-11-07,42.48,43.029999,41.619999,41.939999,41.939999,108600
2013-11-08,41.900002,42.919998,39.540001,42.529999,42.529999,131100
