Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,1.16,1.16,1.16,1.16,1.16,12600
2013-07-17,1.16,1.21,1.14,1.21,1.21,5100
2013-07-18,1.21,1.21,1.21,1.21,1.21,0
2013-07-19,1.13,1.17,1.12,1.17,1.17,51100
2013-07-22,1.16,1.17,1.16,1.17,1.17,23200
2013-07-23,1.17,1.17,1.17,1.17,1.17,0
2013-07-24,1.17,1.17,1.16,1.16,1.16,41000
2013-07-25,1.16,1.16,1.16,1.16,1.16,15000
2013-07-26,1.16,1.16,1.16,1.16,1.16,0
2013-07-29,1.16,1.18,1.16,1.18,1.18,75100
2013-07-30,1.1,1.1,1.1,1.1,1.1,10500
2013-07-31,1.08,1.08,1.06,1.06,1.06,9900
2013-08-01,1.08,1.08,1.05,1.05,1.05,40500
2013-08-02,1.06,1.06,1.06,1.06,1.06,62600
2013-08-05,1.05,1.05,1.03,1.03,1.03,47500
2013-08-06,1.02,1.02,1.02,1.02,1.02,7000
2013-08-07,1.02,1.02,1.02,1.02,1.02,0
2013-08-08,1.0,1.0,1.0,1.0,1.0,15500
2013-08-09,1.0,1.0,1.0,1.0,1.0,0
2013-08-12,1.04,1.04,0.99,0.99,0.99,36900
2013-08-13,1.01,1.01,1.01,1.01,1.01,2800
2013-08-14,1.01,1.01,1.01,1.01,1.01,500
2013-08-15,1.0,1.03,0.97,1.03,1.03,4600
2013-08-16,1.03,1.03,1.03,1.03,1.03,1000
2013-08-19,1.03,1.03,1.03,1.03,1.03,500
2013-08-20,1.02,1.02,1.02,1.02,1.02,1000
2013-08-21,1.02,1.02,1.02,1.02,1.02,0
2013-08-22,1.03,1.03,1.02,1.02,1.02,1500
2013-08-23,1.02,1.02,1.02,1.02,1.02,0
2013-08-26,1.02,1.02,1.02,1.02,1.02,0
2013-08-27,1.02,1.02,1.02,1.02,1.02,0
2013-08-28,1.02,1.02,1.02,1.02,1.02,0
2013-08-29,1.02,1.02,1.02,1.02,1.02,0
2013-08-30,0.96,1.02,0.96,1.02,1.02,4100
2013-09-03,1.03,1.03,0.99,0.99,0.99,19500
2013-09-04,0.99,0.99,0.99,0.99,0.99,0
2013-09-05,0.99,0.99,0.99,0.99,0.99,0
2013-09-06,1.03,1.03,1.03,1.03,1.03,600
2013-09-09,1.03,1.03,1.03,1.03,1.03,5000
2013-09-10,1.05,1.05,1.05,1.05,1.05,500
2013-09-11,1.08,1.08,1.08,1.08,1.08,12600
2013-09-12,1.07,1.07,1.01,1.01,1.01,2100
2013-09-13,0.95,0.95,0.95,0.95,0.95,100
2013-09-16,1.0,1.04,1.0,1.04,1.04,5300
2013-09-17,1.0,1.06,1.0,1.06,1.06,1600
2013-09-18,1.06,1.06,1.06,1.06,1.06,0
2013-09-19,1.06,1.06,1.06,1.06,1.06,0
2013-09-20,1.06,1.06,1.06,1.06,1.06,0
2013-09-23,1.06,1.06,1.06,1.06,1.06,0
2013-09-24,0.99,0.99,0.99,0.99,0.99,200
2013-09-25,0.99,0.99,0.99,0.99,0.99,1000
2013-09-26,0.99,0.99,0.99,0.99,0.99,0
2013-09-27,0.99,0.99,0.99,0.99,0.99,0
2013-09-30,0.99,0.99,0.99,0.99,0.99,0
2013-10-01,0.99,0.99,0.99,0.99,0.99,0
2013-10-02,0.97,0.97,0.97,0.97,0.97,1000
2013-10-03,0.99,0.99,0.99,0.99,0.99,60000
2013-10-04,0.99,0.99,0.99,0.99,0.99,0
2013-10-07,0.99,0.99,0.99,0.99,0.99,0
2013-10-08,0.99,0.99,0.99,0.99,0.99,0
2013-10-09,0.99,0.99,0.99,0.99,0.99,0
2013-10-10,1.04,1.05,1.04,1.05,1.05,17300
2013-10-11,1.04,1.04,1.04,1.04,1.04,1000
2013-10-14,1.04,1.04,1.04,1.04,1.04,0
2013-10-15,1.08,1.08,1.04,1.04,1.04,5300
2013-10-16,1.09,1.09,1.09,1.09,1.09,1200
2013-10-17,1.05,1.05,1.05,1.05,1.05,5000
2013-10-18,1.08,1.08,1.08,1.08,1.08,2600
2013-10-21,1.08,1.08,1.08,1.08,1.08,0
2013-10-22,1.08,1.08,1.08,1.08,1.08,0
2013-10-23,1.08,1.08,1.08,1.08,1.08,0
2013-10-24,1.08,1.08,1.08,1.08,1.08,0
2013-10-25,1.08,1.08,1.08,1.08,1.08,0
2013-10-28,1.08,1.08,1.08,1.08,1.08,0
2013-10-29,1.08,1.08,1.08,1.08,1.08,0
2013-10-30,1.08,1.08,1.08,1.08,1.08,0
2013-10-31,1.08,1.08,1.08,1.08,1.08,0
2013-11-01,1.08,1.08,1.08,1.08,1.08,0
2013-11-04,1.07,1.1,1.05,1.1,1.1,1100
2013-11-05,1.1,1.1,1.1,1.1,1.1,0
2013-11-06,1.1,1.1,1.1,1.1,1.1,0
2013-11-07,1.09,1.09,1.09,1.09,1.09,300
2013-11-08,1.09,1.09,1.09,1.09,1.09,0
2013-11-11,1.09,1.09,1.09,1.09,1.09,0
2013-11-12,1.05,1.05,1.05,1.05,1.05,3100
2013-11-13,1.05,1.05,1.05,1.05,1.05,0
2013-11-14,1.09,1.09,1.09,1.09,1.09,200
2013-11-15,1.09,1.1,1.09,1.1,1.1,9900
2013-11-18,1.15,1.15,1.12,1.12,1.12,1100
2013-11-19,1.12,1.12,1.12,1.12,1.12,0
2013-11-20,1.12,1.12,1.12,1.12,1.12,0
2013-11-21,1.12,1.12,1.12,1.12,1.12,0
2013-11-22,1.12,1.12,1.12,1.12,1.12,0
2013-11-25,1.07,1.07,1.07,1.07,1.07,3500
2013-11-26,1.08,1.11,1.07,1.11,1.11,19100
2013-11-27,1.11,1.11,1.11,1.11,1.11,0
2013-11-29,1.06,1.12,1.06,1.12,1.12,7300
2013-12-02,1.12,1.12,1.12,1.12,1.12,0
2013-12-03,1.05,1.1,1.05,1.1,1.1,200
2013-12-04,1.1,1.1,1.1,1.1,1.1,0
2013-12-05,1.04,1.08,1.04,1.08,1.08,3300
2013-12-06,1.08,1.08,1.08,1.08,1.08,0
2013-12-09,1.08,1.11,1.08,1.11,1.11,4700
2013-12-10,1.11,1.11,1.11,1.11,1.11,0
2013-12-11,1.06,1.06,1.06,1.06,1.06,5000
2013-12-12,1.09,1.09,1.09,1.09,1.09,5000
2013-12-13,1.09,1.09,1.09,1.09,1.09,0
2013-12-16,1.09,1.09,1.09,1.09,1.09,0
2013-12-17,1.05,1.05,1.05,1.05,1.05,2700
2013-12-18,1.04,1.04,1.04,1.04,1.04,1500
2013-12-19,1.04,1.04,1.04,1.04,1.04,0
2013-12-20,1.05,1.06,1.05,1.06,1.06,3800
2013-12-23,1.09,1.09,1.07,1.07,1.07,3500
2013-12-24,1.07,1.07,1.07,1.07,1.07,0
2013-12-26,1.07,1.07,1.07,1.07,1.07,0
2013-12-27,1.07,1.11,1.07,1.07,1.07,6100
2013-12-30,1.07,1.07,1.07,1.07,1.07,0
2013-12-31,1.09,1.16,1.09,1.16,1.16,15000
2014-01-02,1.16,1.16,1.16,1.16,1.16,0
