Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,3.11,3.4,3.11,3.39,3.39,1597
2013-07-17,3.11,3.4,3.11,3.11,3.11,936
2013-07-18,3.4,3.4,3.4,3.4,3.4,35
2013-07-19,3.11,3.4,3.11,3.4,3.4,593
2013-07-22,3.3,3.3,3.12,3.12,3.12,332
2013-07-23,3.36,3.36,3.12,3.12,3.12,715
2013-07-24,3.12,3.4,3.12,3.4,3.4,1052
2013-07-25,3.15,3.5,3.12,3.16,3.16,1158
2013-07-26,3.16,3.5,3.16,3.5,3.5,40
2013-07-29,3.5,3.5,3.25,3.25,3.25,266
2013-07-30,3.25,3.5,3.25,3.5,3.5,88
2013-07-31,3.45,3.5,3.25,3.5,3.5,904
2013-08-01,3.25,3.5,3.18,3.5,3.5,1329
2013-08-02,3.4,3.5,3.17,3.5,3.5,785
2013-08-05,3.15,3.49,3.15,3.2,3.2,800
2013-08-06,3.2,3.5,3.2,3.21,3.21,323
2013-08-07,3.21,3.21,3.2,3.2,3.2,348
2013-08-08,3.15,3.5,3.15,3.5,3.5,670
2013-08-09,3.1,3.5,3.1,3.16,3.16,236
2013-08-12,3.1,3.15,3.1,3.15,3.15,608
2013-08-13,3.15,3.5,3.15,3.16,3.16,444
2013-08-14,3.16,3.4,3.1,3.4,3.4,545
2013-08-15,3.4,3.5,3.15,3.3,3.3,3945
2013-08-16,3.3,3.3,3.01,3.3,3.3,2524
2013-08-19,3.1,3.45,3.1,3.45,3.45,650
2013-08-20,3.1,3.45,3.0,3.45,3.45,4803
2013-08-21,3.45,3.45,3.45,3.45,3.45,0
2013-08-22,2.98,2.98,2.53,2.71,2.71,382
2013-08-23,2.71,2.71,2.6,2.7,2.7,332
2013-08-26,2.6,2.8,2.25,2.3,2.3,2247
2013-08-27,2.4,3.45,2.0,2.1,2.1,2613
2013-08-28,2.1,3.1,2.1,2.5,2.5,535
2013-08-29,3.3,3.3,2.5,3.3,3.3,1271
2013-08-30,3.1,3.5,3.0,3.4,3.4,2673
2013-09-03,2.5,3.2,2.5,2.5,2.5,339
2013-09-04,2.5,3.0,2.25,2.26,2.26,467
2013-09-05,3.0,3.0,2.3,2.5,2.5,1415
2013-09-06,2.4,3.0,2.4,2.5,2.5,365
2013-09-09,2.5,2.6,2.3,2.5,2.5,919
2013-09-10,2.5,2.5,2.25,2.25,2.25,686
2013-09-11,2.8,2.8,2.25,2.25,2.25,1972
2013-09-12,2.25,2.75,2.0,2.7,2.7,90
2013-09-13,2.8,2.8,2.0,2.1,2.1,172
2013-09-16,2.2,2.8,1.9,2.8,2.8,6578
2013-09-17,2.9,2.9,2.01,2.6,2.6,526
2013-09-18,2.8,2.8,2.2,2.8,2.8,3982
2013-09-19,2.7,2.8,2.25,2.55,2.55,562
2013-09-20,2.55,2.55,2.3,2.3,2.3,224
2013-09-23,2.25,2.25,2.1,2.1,2.1,165
2013-09-24,2.01,2.55,2.01,2.2,2.2,790
2013-09-25,2.1,2.49,2.1,2.3,2.3,1852
2013-09-26,2.35,2.5,2.02,2.1,2.1,1894
2013-09-27,2.5,2.5,2.0,2.1,2.1,4061
2013-09-30,1.95,2.5,1.95,2.49,2.49,180
2013-10-01,2.5,2.5,2.0,2.2,2.2,1189
2013-10-02,2.2,2.3,2.2,2.3,2.3,252
2013-10-03,2.5,2.5,2.1,2.5,2.5,688
2013-10-04,2.45,2.45,2.02,2.45,2.45,343
2013-10-07,2.02,2.02,2.02,2.02,2.02,44
2013-10-08,2.5,2.5,2.1,2.5,2.5,885
2013-10-09,2.5,2.5,2.1,2.5,2.5,241
2013-10-10,1.95,2.5,1.95,2.1,2.1,122
2013-10-11,2.2,2.5,2.02,2.5,2.5,956
2013-10-14,2.17,2.5,2.0,2.3,2.3,696
2013-10-15,2.01,2.3,2.01,2.2,2.2,153
2013-10-16,2.2,2.2,2.01,2.2,2.2,672
2013-10-17,2.3,2.3,2.01,2.05,2.05,321
2013-10-18,2.07,2.3,2.07,2.08,2.08,846
