Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.8,0.8,0.8,0.8,0.400816,200
2013-07-17,0.8,0.8,0.8,0.8,0.400816,800
2013-07-18,0.8,0.8,0.8,0.8,0.400816,0
2013-07-19,0.81,0.81,0.81,0.81,0.405826,1500
2013-07-22,0.81,0.82,0.81,0.82,0.410836,4400
2013-07-23,0.83,0.83,0.83,0.83,0.415847,4600
2013-07-24,0.81,0.81,0.81,0.81,0.405826,200
2013-07-25,0.81,0.81,0.81,0.81,0.405826,0
2013-07-26,0.81,0.81,0.81,0.81,0.405826,0
2013-07-29,0.81,0.83,0.81,0.83,0.415847,13100
2013-07-30,0.83,0.83,0.83,0.83,0.415847,0
2013-07-31,0.83,0.83,0.83,0.83,0.415847,0
2013-08-01,0.83,0.83,0.83,0.83,0.415847,0
2013-08-02,0.84,0.84,0.81,0.81,0.405826,2700
2013-08-05,0.81,0.81,0.8,0.8,0.400816,10700
2013-08-06,0.8,0.81,0.8,0.81,0.405826,2800
2013-08-07,0.8,0.8,0.8,0.8,0.400816,300
2013-08-08,0.8,0.8,0.8,0.8,0.400816,0
2013-08-09,0.8,0.8,0.8,0.8,0.400816,1100
2013-08-12,0.81,0.81,0.81,0.81,0.405826,400
2013-08-13,0.79,0.79,0.79,0.79,0.395806,1400
2013-08-14,0.82,0.82,0.82,0.82,0.410836,1800
2013-08-15,0.82,0.82,0.82,0.82,0.410836,0
2013-08-16,0.77,0.77,0.77,0.77,0.385785,1200
2013-08-19,0.77,0.82,0.69,0.75,0.375765,12600
2013-08-20,0.7,0.75,0.7,0.75,0.375765,1200
2013-08-21,0.75,0.82,0.75,0.76,0.380775,1800
2013-08-22,0.8,0.81,0.8,0.8,0.400816,50700
2013-08-23,0.85,0.85,0.83,0.83,0.415847,7400
2013-08-26,0.85,0.85,0.85,0.85,0.425867,19800
2013-08-27,0.85,0.86,0.8,0.86,0.430877,62500
2013-08-28,0.86,0.86,0.86,0.86,0.430877,0
2013-08-29,0.86,0.86,0.8,0.8,0.400816,78700
2013-08-30,0.8,0.8,0.8,0.8,0.400816,0
2013-09-03,0.83,0.86,0.83,0.86,0.430877,9800
2013-09-04,0.86,0.86,0.86,0.86,0.430877,0
2013-09-05,0.81,0.87,0.81,0.87,0.435887,14500
2013-09-06,0.84,0.84,0.84,0.84,0.420857,2500
2013-09-09,0.84,0.89,0.84,0.84,0.420857,13500
2013-09-10,0.87,0.95,0.86,0.9,0.450918,126700
2013-09-11,0.88,0.9,0.88,0.9,0.450918,600
2013-09-12,0.9,0.9,0.9,0.9,0.450918,0
2013-09-13,0.89,0.89,0.89,0.89,0.445908,3000
2013-09-16,0.84,0.85,0.84,0.85,0.425867,3600
2013-09-17,0.95,0.95,0.83,0.83,0.415847,2300
2013-09-18,0.83,0.83,0.83,0.83,0.420918,0
2013-09-19,0.83,0.83,0.83,0.83,0.420918,0
2013-09-20,0.85,0.85,0.85,0.85,0.43106,1300
2013-09-23,0.85,0.85,0.85,0.85,0.43106,2000
2013-09-24,0.85,0.85,0.85,0.85,0.43106,0
2013-09-25,0.95,0.95,0.85,0.95,0.481774,700
2013-09-26,0.95,0.95,0.95,0.95,0.481774,0
2013-09-27,0.95,0.95,0.95,0.95,0.481774,400
2013-09-30,0.95,0.95,0.95,0.95,0.481774,0
2013-10-01,0.95,0.95,0.95,0.95,0.481774,0
2013-10-02,0.9,0.9,0.9,0.9,0.456417,1600
2013-10-03,0.85,0.85,0.85,0.85,0.43106,100
2013-10-04,0.92,0.92,0.92,0.92,0.46656,100
2013-10-07,0.9,0.9,0.9,0.9,0.456417,1000
2013-10-08,0.9,0.9,0.9,0.9,0.456417,1800
2013-10-09,0.85,0.9,0.85,0.9,0.456417,4000
2013-10-10,0.86,0.95,0.85,0.95,0.481774,3900
2013-10-11,0.85,0.85,0.85,0.85,0.43106,300
2013-10-14,0.9,0.9,0.86,0.86,0.436132,500
2013-10-15,0.86,0.86,0.86,0.86,0.436132,0
2013-10-16,0.86,0.86,0.86,0.86,0.436132,0
2013-10-17,0.86,0.86,0.86,0.86,0.436132,5700
2013-10-18,0.85,0.88,0.85,0.85,0.43106,9300
2013-10-21,0.87,0.87,0.87,0.87,0.441203,1000
2013-10-22,0.87,0.87,0.87,0.87,0.441203,0
2013-10-23,0.85,0.85,0.85,0.85,0.43106,200
2013-10-24,0.86,0.9,0.85,0.9,0.456417,6200
2013-10-25,0.84,0.91,0.84,0.91,0.461488,700
2013-10-28,0.91,0.91,0.91,0.91,0.461488,200
2013-10-29,0.91,0.91,0.9,0.9,0.456417,400
2013-10-30,0.91,0.91,0.91,0.91,0.461488,800
2013-10-31,0.91,0.91,0.91,0.91,0.461488,100
2013-11-01,0.91,0.95,0.88,0.9,0.456417,10400
2013-11-04,0.9,0.9,0.9,0.9,0.456417,700
2013-11-05,0.86,0.9,0.86,0.9,0.456417,1100
2013-11-06,0.9,0.9,0.9,0.9,0.456417,100
2013-11-07,0.84,0.86,0.8,0.86,0.436132,21000
2013-11-08,0.81,0.85,0.8,0.83,0.420918,18000
2013-11-11,0.83,0.83,0.8,0.8,0.405704,4700
2013-11-12,0.8,0.8,0.8,0.8,0.405704,1300
2013-11-13,0.8,0.8,0.8,0.8,0.405704,9100
2013-11-14,0.8,0.8,0.79,0.8,0.405704,19700
2013-11-15,0.76,0.8,0.76,0.8,0.405704,15400
2013-11-18,0.88,0.92,0.88,0.9,0.456417,2800
2013-11-19,0.79,0.8,0.79,0.8,0.405704,1700
2013-11-20,0.9,0.9,0.9,0.9,0.456417,1000
2013-11-21,0.8,0.8,0.8,0.8,0.405704,19500
2013-11-22,0.81,0.81,0.81,0.81,0.410775,100
2013-11-25,0.81,0.81,0.81,0.81,0.410775,0
2013-11-26,0.85,0.85,0.81,0.85,0.43106,5800
2013-11-27,0.85,0.85,0.85,0.85,0.43106,0
2013-11-29,0.87,0.87,0.87,0.87,0.441203,1100
2013-12-02,0.86,0.86,0.81,0.86,0.436132,10500
2013-12-03,0.86,0.86,0.81,0.81,0.410775,23200
2013-12-04,0.81,0.81,0.81,0.81,0.410775,0
2013-12-05,0.86,0.86,0.86,0.86,0.436132,1500
2013-12-06,0.86,0.86,0.86,0.86,0.436132,100
2013-12-09,0.86,0.86,0.86,0.86,0.436132,2300
2013-12-10,0.86,0.86,0.8,0.85,0.43106,3400
2013-12-11,0.86,0.86,0.86,0.86,0.436132,1100
2013-12-12,0.86,0.86,0.86,0.86,0.436132,0
2013-12-13,0.86,0.86,0.86,0.86,0.436132,200
2013-12-16,0.86,0.86,0.86,0.86,0.451896,500
2013-12-17,0.86,0.86,0.8,0.83,0.436132,1700
2013-12-18,0.83,0.83,0.83,0.83,0.436132,600
2013-12-19,0.83,0.83,0.8,0.8,0.420368,1300
2013-12-20,0.82,0.83,0.8,0.8,0.420368,7600
2013-12-23,0.84,0.84,0.82,0.82,0.430877,6700
2013-12-24,0.85,0.86,0.85,0.86,0.451896,2100
2013-12-26,0.8,0.8,0.75,0.77,0.404604,13300
2013-12-27,0.85,0.85,0.84,0.84,0.441387,1700
2013-12-30,0.79,0.79,0.79,0.79,0.415113,800
2013-12-31,0.84,0.84,0.84,0.84,0.441387,1100
2014-01-02,0.79,0.79,0.79,0.79,0.415113,300
2014-01-03,0.83,0.85,0.83,0.85,0.446641,13400
2014-01-06,0.81,0.81,0.81,0.81,0.425623,1100
2014-01-07,0.81,0.81,0.81,0.81,0.425623,0
2014-01-08,0.84,0.84,0.84,0.84,0.441387,3000
2014-01-09,0.81,0.81,0.81,0.81,0.425623,1000
2014-01-10,0.82,0.82,0.82,0.82,0.430877,1000
2014-01-13,0.82,0.82,0.82,0.82,0.430877,0
