Date,Open,High,Low,Close,Adj Close,Volume
2022-11-14,0.0001,0.0001,0.0001,0.0001,0.0001,5229.0
2022-11-15,,,,,,
2022-11-16,1e-05,1e-05,1e-06,1e-06,1e-06,16000.0
2022-11-17,,,,,,
2022-11-18,1e-05,1e-05,1e-06,1e-06,1e-06,16000.0
2022-11-21,,,,,,
2022-11-22,,,,,,
2022-11-23,,,,,,
2022-11-25,,,,,,
2022-11-28,1e-06,1e-06,1e-06,1e-06,1e-06,1000.0
2022-11-29,1e-06,1e-06,1e-06,1e-06,1e-06,1000.0
2022-11-30,1e-06,1e-06,1e-06,1e-06,1e-06,20000.0
2022-12-01,,,,,,
2022-12-02,1e-06,1e-06,1e-06,1e-06,1e-06,64450.0
2022-12-05,,,,,,
2022-12-06,,,,,,
2022-12-07,,,,,,
2022-12-08,,,,,,
2022-12-09,,,,,,
2022-12-12,1e-06,1e-06,1e-06,1e-06,1e-06,1401.0
2022-12-13,1e-06,1e-06,1e-06,1e-06,1e-06,1401.0
2022-12-14,1e-06,1e-06,1e-06,1e-06,1e-06,3691.0
2022-12-15,,,,,,
2022-12-16,,,,,,
2022-12-19,,,,,,
2022-12-20,,,,,,
2022-12-21,,,,,,
2022-12-22,,,,,,
2022-12-23,1e-06,1e-06,1e-06,1e-06,1e-06,3691.0
2022-12-27,,,,,,
2022-12-28,1e-06,1e-06,1e-06,1e-06,1e-06,925003.0
2022-12-29,,,,,,
2022-12-30,,,,,,
2023-01-03,,,,,,
2023-01-04,,,,,,
2023-01-05,,,,,,
2023-01-06,,,,,,
2023-01-09,1e-06,1e-06,1e-06,1e-06,1e-06,120979.0
2023-01-10,,,,,,
2023-01-11,1e-06,1e-06,1e-06,1e-06,1e-06,250.0
2023-01-12,,,,,,
2023-01-13,,,,,,
2023-01-17,,,,,,
2023-01-18,1e-06,1e-06,1e-06,1e-06,1e-06,1277.0
2023-01-19,,,,,,
2023-01-20,,,,,,
2023-01-23,,,,,,
2023-01-24,,,,,,
2023-01-25,,,,,,
2023-01-26,1e-06,1e-06,1e-06,1e-06,1e-06,619.0
2023-01-27,,,,,,
2023-01-30,,,,,,
2023-01-31,,,,,,
2023-02-01,,,,,,
2023-02-02,1e-06,1e-06,1e-06,1e-06,1e-06,200.0
2023-02-03,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1208.0
2023-02-06,,,,,,
2023-02-07,1e-06,1e-06,1e-06,1e-06,1e-06,74701.0
2023-02-08,3.4e-05,3.4e-05,3.4e-05,3.4e-05,3.4e-05,600.0
2023-02-09,1e-06,1e-06,1e-06,1e-06,1e-06,350.0
2023-02-10,,,,,,
2023-02-13,,,,,,
2023-02-14,1e-06,1e-06,1e-06,1e-06,1e-06,130.0
2023-02-15,,,,,,
2023-02-16,,,,,,
2023-02-17,,,,,,
2023-02-21,,,,,,
2023-02-22,,,,,,
2023-02-23,,,,,,
2023-02-24,,,,,,
2023-02-27,,,,,,
2023-02-28,,,,,,
2023-03-01,,,,,,
2023-03-02,,,,,,
2023-03-03,,,,,,
2023-03-06,,,,,,
2023-03-07,,,,,,
2023-03-08,,,,,,
2023-03-09,,,,,,
2023-03-10,,,,,,
2023-03-13,,,,,,
2023-03-14,,,,,,
2023-03-15,,,,,,
2023-03-16,,,,,,
2023-03-17,,,,,,
2023-03-20,,,,,,
2023-03-21,,,,,,
2023-03-22,,,,,,
2023-03-23,,,,,,
2023-03-24,,,,,,
2023-03-27,,,,,,
2023-03-28,,,,,,
2023-03-29,,,,,,
2023-03-30,,,,,,
2023-03-31,,,,,,
2023-04-03,,,,,,
2023-04-04,,,,,,
2023-04-05,,,,,,
2023-04-06,,,,,,
2023-04-10,,,,,,
2023-04-11,,,,,,
2023-04-12,,,,,,
2023-04-13,,,,,,
2023-04-14,,,,,,
2023-04-17,,,,,,
2023-04-18,,,,,,
2023-04-19,,,,,,
2023-04-20,,,,,,
2023-04-21,,,,,,
2023-04-24,,,,,,
2023-04-25,1e-06,1e-06,1e-06,1e-06,1e-06,200000.0
2023-04-26,,,,,,
2023-04-27,,,,,,
2023-04-28,1e-06,1e-06,1e-06,1e-06,1e-06,60000.0
2023-05-01,,,,,,
2023-05-02,,,,,,
2023-05-03,1e-06,1e-06,1e-06,1e-06,1e-06,1200000.0
2023-05-04,5e-05,5e-05,5e-05,5e-05,5e-05,250000.0
2023-05-05,,,,,,
2023-05-08,,,,,,
2023-05-09,,,,,,
2023-05-10,,,,,,
2023-05-11,,,,,,
2023-05-12,,,,,,
2023-05-15,,,,,,
2023-05-16,,,,,,
2023-05-17,,,,,,
2023-05-18,,,,,,
2023-05-19,,,,,,
2023-05-22,,,,,,
2023-05-23,,,,,,
2023-05-24,,,,,,
2023-05-25,,,,,,
2023-05-26,,,,,,
2023-05-30,,,,,,
2023-05-31,,,,,,
2023-06-01,,,,,,
2023-06-02,1e-06,1e-06,1e-06,1e-06,1e-06,5601.0
2023-06-05,,,,,,
2023-06-06,,,,,,
2023-06-07,1e-06,1e-06,1e-06,1e-06,1e-06,110000.0
2023-06-08,1e-06,1e-06,1e-06,1e-06,1e-06,100000.0
2023-06-09,,,,,,
2023-06-12,,,,,,
2023-06-13,,,,,,
2023-06-14,,,,,,
2023-06-15,,,,,,
2023-06-16,,,,,,
2023-06-20,,,,,,
2023-06-21,,,,,,
2023-06-22,,,,,,
2023-06-23,,,,,,
2023-06-26,,,,,,
2023-06-27,,,,,,
2023-06-28,,,,,,
2023-06-29,,,,,,
2023-06-30,,,,,,
2023-07-03,,,,,,
2023-07-05,,,,,,
2023-07-06,1e-06,1e-06,1e-06,1e-06,1e-06,30000.0
2023-07-07,,,,,,
2023-07-10,,,,,,
2023-07-11,,,,,,
2023-07-12,,,,,,
