Date,Open,High,Low,Close,Adj Close,Volume
2017-02-10,1.739,1.86,1.738,1.738,1.734977,199500
2017-02-13,1.753,1.77,1.753,1.77,1.766921,10500
2017-02-14,1.769,1.769,1.726,1.726,1.722998,28400
2017-02-15,1.73,1.73,1.692,1.71,1.707026,150100
2017-02-16,1.8,1.8,1.703,1.703,1.700038,2600
2017-02-17,1.69,1.69,1.69,1.69,1.68706,5000
2017-02-21,1.674,1.698,1.674,1.698,1.695046,50000
2017-02-22,1.702,1.702,1.702,1.702,1.69904,72000
2017-02-23,1.697,1.697,1.695,1.695,1.692052,15000
2017-02-24,2.15,2.15,2.05,2.05,2.046434,1900
2017-02-27,2.05,2.05,1.84,1.84,1.8368,10900
2017-02-28,1.84,1.84,1.84,1.84,1.8368,0
2017-03-01,1.84,1.84,1.84,1.84,1.8368,0
2017-03-02,1.543,1.546,1.543,1.546,1.543311,235000
2017-03-03,1.6,1.75,1.6,1.75,1.746956,300
2017-03-06,1.75,1.75,1.75,1.75,1.746956,600
2017-03-07,1.582,1.582,1.582,1.582,1.579248,200000
2017-03-08,1.582,1.582,1.582,1.582,1.579248,0
2017-03-09,1.574,1.574,1.574,1.574,1.571262,120000
2017-03-10,1.594,1.594,1.594,1.594,1.591227,24000
2017-03-13,1.75,1.75,1.75,1.75,1.746956,600
2017-03-14,1.75,1.75,1.75,1.75,1.746956,0
2017-03-15,1.75,1.75,1.75,1.75,1.746956,100
2017-03-16,1.75,1.75,1.75,1.75,1.746956,0
2017-03-17,1.628,1.628,1.628,1.628,1.625168,128500
2017-03-20,1.675,1.8,1.675,1.8,1.796869,10000
2017-03-21,1.705,1.75,1.66,1.75,1.746956,1783900
2017-03-22,1.687,1.76,1.687,1.708,1.705029,398800
2017-03-23,1.711,1.76,1.685,1.703,1.700038,732800
2017-03-24,1.694,1.75,1.676,1.681,1.678076,452100
2017-03-27,1.716,1.716,1.676,1.682,1.679074,332100
2017-03-28,1.699,1.75,1.699,1.75,1.746956,2000
2017-03-29,1.76,1.76,1.69,1.695,1.692052,10000
2017-03-30,1.76,1.76,1.76,1.76,1.756939,500
2017-03-31,1.734,1.8,1.734,1.79,1.786886,11100
2017-04-03,1.79,1.79,1.76,1.78,1.776904,4500
2017-04-04,1.752,1.77,1.752,1.77,1.766921,17000
2017-04-05,1.78,1.78,1.78,1.78,1.776904,2000
2017-04-06,1.759,1.759,1.747,1.747,1.743961,84900
2017-04-07,1.9,1.9,1.9,1.9,1.896695,2100
2017-04-10,1.885,1.885,1.825,1.85,1.846782,5100
2017-04-11,1.85,1.85,1.69,1.69,1.68706,27000
2017-04-12,1.75,1.75,1.64,1.64,1.637147,5000
2017-04-13,1.8,1.83,1.8,1.83,1.826817,17900
2017-04-17,1.72,1.72,1.691,1.71,1.707026,34600
2017-04-18,1.807,1.807,1.73,1.79,1.786886,3000
2017-04-19,1.79,1.79,1.79,1.79,1.786886,0
2017-04-20,1.67,1.72,1.643,1.643,1.640142,42400
2017-04-21,1.624,1.624,1.624,1.624,1.621175,220000
2017-04-24,1.68,1.72,1.68,1.72,1.717008,30100
2017-04-25,1.65,1.65,1.65,1.65,1.64713,5000
2017-04-26,1.604,1.604,1.604,1.604,1.60121,2500
2017-04-27,1.65,1.65,1.65,1.65,1.64713,1200
2017-04-28,1.65,1.65,1.64,1.64,1.637147,2500
2017-05-01,1.66,1.66,1.638,1.65,1.64713,1300
2017-05-02,1.65,1.72,1.61,1.72,1.717008,6900
2017-05-03,1.65,1.65,1.65,1.65,1.64713,6000
2017-05-04,1.65,1.65,1.65,1.65,1.64713,0
2017-05-05,1.7,1.7,1.69,1.7,1.697043,2000
2017-05-08,1.65,1.7,1.65,1.7,1.697043,23600
2017-05-09,1.7,1.7,1.65,1.65,1.64713,3200
2017-05-10,1.65,1.65,1.65,1.65,1.64713,2000
2017-05-11,1.72,1.72,1.72,1.72,1.717008,11000
2017-05-12,1.72,1.72,1.72,1.72,1.717008,0
2017-05-15,1.72,1.72,1.72,1.72,1.717008,0
2017-05-16,1.702,1.72,1.702,1.72,1.717008,4400
2017-05-17,1.683,1.7,1.683,1.7,1.697043,500
2017-05-18,1.7,1.7,1.7,1.7,1.697043,0
2017-05-19,1.717,1.717,1.717,1.717,1.714013,1500
2017-05-22,1.717,1.717,1.717,1.717,1.714013,0
2017-05-23,1.717,1.81,1.713,1.81,1.806852,480000
2017-05-24,1.86,1.86,1.781,1.781,1.777902,8200
2017-05-25,1.85,1.85,1.85,1.85,1.846782,100
2017-05-26,1.8,1.8,1.8,1.8,1.796869,5000
2017-05-30,1.8,1.8,1.8,1.8,1.796869,0
2017-05-31,1.8,1.8,1.8,1.8,1.796869,0
2017-06-01,1.787,1.787,1.787,1.787,1.783892,2800
2017-06-02,1.797,1.85,1.797,1.83,1.826817,7500
2017-06-05,1.85,1.85,1.812,1.85,1.846782,8300
2017-06-06,1.828,1.828,1.828,1.828,1.82482,12000
2017-06-07,1.805,1.805,1.805,1.805,1.80186,14600
