Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,22.9,22.9,22.9,22.9,22.103285,100
2022-01-04,22.9,22.9,22.9,22.9,22.103285,0
2022-01-05,22.9,22.9,22.9,22.9,22.103285,0
2022-01-06,22.9,22.9,22.9,22.9,22.103285,0
2022-01-07,22.9,22.9,22.9,22.9,22.103285,0
2022-01-10,22.9,22.9,22.9,22.9,22.103285,0
2022-01-11,22.9,22.9,22.9,22.9,22.103285,0
2022-01-12,22.9,22.9,22.9,22.9,22.103285,0
2022-01-13,22.9,22.9,22.9,22.9,22.103285,0
2022-01-14,23.0,23.0,23.0,23.0,22.199806,100
2022-01-18,23.0,23.0,23.0,23.0,22.199806,0
2022-01-19,23.0,23.0,23.0,23.0,22.199806,0
2022-01-20,23.0,23.0,23.0,23.0,22.199806,0
2022-01-21,23.0,23.0,23.0,23.0,22.199806,0
2022-01-24,23.0,23.0,23.0,23.0,22.199806,0
2022-01-25,23.0,23.0,23.0,23.0,22.199806,0
2022-01-26,23.0,23.0,23.0,23.0,22.199806,0
2022-01-27,23.0,23.0,23.0,23.0,22.199806,0
2022-01-28,23.0,23.0,23.0,23.0,22.199806,0
2022-01-31,23.0,23.0,23.0,23.0,22.199806,0
2022-02-01,23.0,23.0,23.0,23.0,22.199806,0
2022-02-02,23.0,23.0,23.0,23.0,22.199806,0
2022-02-03,23.0,23.0,23.0,23.0,22.199806,0
2022-02-04,23.0,23.0,23.0,23.0,22.199806,0
2022-02-07,23.0,23.0,23.0,23.0,22.199806,0
2022-02-08,23.0,23.0,23.0,23.0,22.199806,0
2022-02-09,23.0,23.0,23.0,23.0,22.199806,0
2022-02-10,23.0,23.0,23.0,23.0,22.199806,0
2022-02-11,23.0,23.0,23.0,23.0,22.199806,0
2022-02-14,23.0,23.0,23.0,23.0,22.199806,0
2022-02-15,23.0,23.0,23.0,23.0,22.199806,0
2022-02-16,23.0,23.0,23.0,23.0,22.199806,0
2022-02-17,23.0,23.0,23.0,23.0,22.199806,0
2022-02-18,23.0,23.0,23.0,23.0,22.199806,0
2022-02-22,23.0,23.0,23.0,23.0,22.199806,0
2022-02-23,23.0,23.0,23.0,23.0,22.199806,0
2022-02-24,23.0,23.0,23.0,23.0,22.199806,0
2022-02-25,23.0,23.0,23.0,23.0,22.199806,0
2022-02-28,23.0,23.0,23.0,23.0,22.199806,0
2022-03-01,23.0,23.0,23.0,23.0,22.199806,0
2022-03-02,23.0,23.0,23.0,23.0,22.199806,0
2022-03-03,23.0,23.0,23.0,23.0,22.199806,0
2022-03-04,23.0,23.0,23.0,23.0,22.199806,0
2022-03-07,23.0,23.0,23.0,23.0,22.199806,0
2022-03-08,18.77,18.77,18.77,18.77,18.116974,100
2022-03-09,18.77,18.77,18.77,18.77,18.116974,0
2022-03-10,18.77,18.77,18.77,18.77,18.116974,0
2022-03-11,18.77,18.77,18.77,18.77,18.116974,0
2022-03-14,18.77,18.77,18.77,18.77,18.116974,0
2022-03-15,18.77,18.77,18.77,18.77,18.116974,0
2022-03-16,18.77,18.77,18.77,18.77,18.116974,0
2022-03-17,18.77,18.77,18.77,18.77,18.116974,0
2022-03-18,18.77,18.77,18.77,18.77,18.116974,0
2022-03-21,18.77,18.77,18.77,18.77,18.116974,0
2022-03-22,18.77,18.77,18.77,18.77,18.116974,0
2022-03-23,18.77,18.77,18.77,18.77,18.116974,0
2022-03-24,18.77,18.77,18.77,18.77,18.316139,0
2022-03-25,18.77,18.77,18.77,18.77,18.316139,0
2022-03-28,18.77,18.77,18.77,18.77,18.316139,0
2022-03-29,18.77,18.77,18.77,18.77,18.316139,0
2022-03-30,18.77,18.77,18.77,18.77,18.316139,0
2022-03-31,18.77,18.77,18.77,18.77,18.316139,0
2022-04-01,18.77,18.77,18.77,18.77,18.316139,0
2022-04-04,18.77,18.77,18.77,18.77,18.316139,0
2022-04-05,18.77,18.77,18.77,18.77,18.316139,0
2022-04-06,18.77,18.77,18.77,18.77,18.316139,0
2022-04-07,18.77,18.77,18.77,18.77,18.316139,0
2022-04-08,18.77,18.77,18.77,18.77,18.316139,0
2022-04-11,18.77,18.77,18.77,18.77,18.316139,0
2022-04-12,18.77,18.77,18.77,18.77,18.316139,0
2022-04-13,18.77,18.77,18.77,18.77,18.316139,0
2022-04-14,18.77,18.77,18.77,18.77,18.316139,0
2022-04-18,18.77,18.77,18.77,18.77,18.316139,0
2022-04-19,21.9,23.25,20.0,21.459999,20.941093,29587
2022-04-20,21.459999,21.799999,21.459999,21.799999,21.272871,253156
2022-04-21,21.5875,21.85,21.0,21.65,21.126499,7817
2022-04-22,21.325001,21.525,21.325001,21.525,21.00452,3786
2022-04-25,21.0,21.65,20.32,20.32,19.828659,8478
2022-04-26,20.83,20.99,20.83,20.99,20.482458,851
2022-04-27,19.452499,20.99,19.452499,19.452499,18.982136,1866
2022-04-28,19.02,19.040001,18.940001,19.040001,18.579611,2682
2022-04-29,20.99,20.99,18.99,18.99,18.530819,4187
2022-05-02,20.1175,20.1175,18.950001,18.950001,18.491787,656
2022-05-03,19.02,19.02,19.02,19.02,18.560093,508
2022-05-04,19.452499,19.452499,18.940001,18.940001,18.482029,679
2022-05-05,19.452499,19.452499,19.452499,19.452499,18.982136,1170
2022-05-06,19.452499,19.452499,19.452499,19.452499,18.982136,374
2022-05-09,18.08,18.625,18.0,18.307501,17.864822,4281
2022-05-10,18.08,20.182501,18.0,18.727501,18.274668,855
2022-05-11,20.2425,20.2425,20.2425,20.2425,19.753033,241
2022-05-12,19.040001,20.2425,18.0,18.0,17.564756,2514
2022-05-13,18.540001,19.122499,18.5,18.5,18.052668,775
2022-05-16,19.495001,19.495001,19.495001,19.495001,19.023609,1611
2022-05-17,20.045,20.045,20.045,20.045,19.560308,833
2022-05-18,20.045,20.045,20.045,20.045,19.560308,0
2022-05-19,18.754999,18.754999,18.754999,18.754999,18.3015,1141
2022-05-20,18.754999,18.754999,18.01,18.754999,18.3015,716
2022-05-23,19.2701,20.806,19.2701,20.806,20.302908,1890
2022-05-24,20.806,20.806,20.806,20.806,20.302908,0
2022-05-25,20.262501,20.262501,20.262501,20.262501,19.772551,465
2022-05-26,18.5401,19.950001,18.5401,18.91,18.452753,1665
2022-05-27,19.959999,20.99,19.959999,19.959999,19.477364,4263
2022-05-31,20.535,20.535,19.459999,19.459999,18.989454,4502
2022-06-01,20.7001,20.945,19.950001,19.950001,19.467607,1129
2022-06-02,20.715,20.82,20.715,20.82,20.31657,1781
2022-06-03,20.02,20.02,18.716,18.716,18.263443,445
2022-06-06,20.809999,20.809999,20.809999,20.809999,20.30681,1175
2022-06-07,20.209999,20.690001,19.73,19.73,19.252926,1391
2022-06-08,20.690001,20.690001,20.690001,20.690001,20.189713,245
2022-06-09,20.195,20.68,20.195,20.68,20.179955,672
2022-06-10,21.639999,21.639999,19.75,20.43,19.936001,1462
2022-06-13,19.040001,19.91,19.040001,19.91,19.428574,2802
2022-06-14,19.07,19.975,19.07,19.975,19.492001,3028
2022-06-15,18.27,19.955,18.27,19.955,19.472486,1320
2022-06-16,19.497499,20.215,18.780001,18.780001,18.325897,1826
2022-06-17,19.35,19.35,19.35,19.35,18.882114,213
