Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,3.31,3.31,3.31,3.31,3.201437,100
2021-01-11,3.31,3.31,3.31,3.31,3.201437,0
2021-01-12,3.31,3.31,3.31,3.31,3.201437,0
2021-01-13,3.29,3.29,3.25,3.25,3.143405,300
2021-01-14,3.25,3.25,3.25,3.25,3.143405,0
2021-01-15,3.25,3.25,3.25,3.25,3.143405,0
2021-01-19,3.25,3.25,3.25,3.25,3.143405,0
2021-01-20,3.16,3.16,3.16,3.16,3.056357,100
2021-01-21,3.16,3.16,3.16,3.16,3.056357,0
2021-01-22,3.16,3.16,3.16,3.16,3.056357,100
2021-01-25,3.16,3.16,3.16,3.16,3.056357,0
2021-01-26,3.16,3.16,3.16,3.16,3.056357,0
2021-01-27,3.23,3.23,3.23,3.23,3.124061,200
2021-01-28,3.35,3.66,3.35,3.66,3.539958,300
2021-01-29,3.37,3.37,3.37,3.37,3.259469,600
2021-02-01,3.37,3.4,3.37,3.4,3.288486,400
2021-02-02,3.34,3.34,3.34,3.34,3.230453,200
2021-02-03,3.34,3.34,3.34,3.34,3.230453,0
2021-02-04,3.31,3.31,3.31,3.31,3.201437,100
2021-02-05,3.31,3.31,3.31,3.31,3.201437,0
2021-02-08,3.149,3.149,3.149,3.149,3.045718,600
2021-02-09,3.149,3.149,3.149,3.149,3.045718,0
2021-02-10,3.149,3.149,3.149,3.149,3.045718,0
2021-02-11,3.149,3.149,3.149,3.149,3.045718,0
2021-02-12,3.149,3.149,3.149,3.149,3.045718,0
2021-02-16,3.149,3.149,3.149,3.149,3.045718,0
2021-02-17,3.42,3.45,3.42,3.45,3.336845,3400
2021-02-18,3.45,3.45,3.45,3.45,3.336845,300
2021-02-19,3.45,3.45,3.45,3.45,3.336845,0
2021-02-22,3.45,3.45,3.45,3.45,3.336845,0
2021-02-23,3.45,3.45,3.45,3.45,3.336845,0
2021-02-24,3.43,3.43,3.43,3.43,3.317502,3200
2021-02-25,3.43,3.43,3.43,3.43,3.317502,200
2021-02-26,3.43,3.43,3.43,3.43,3.317502,0
2021-03-01,3.5,3.5,3.5,3.5,3.385206,100
2021-03-02,3.03,3.03,3.03,3.03,2.930621,2700
2021-03-03,3.03,3.03,3.03,3.03,2.930621,0
2021-03-04,3.03,3.03,3.03,3.03,2.930621,0
2021-03-05,2.96,2.96,2.9,2.9,2.804885,9300
2021-03-08,2.9,2.9,2.9,2.9,2.804885,100
2021-03-09,2.9,2.9,2.9,2.9,2.804885,0
2021-03-10,3.02,3.02,3.02,3.02,2.920949,100
2021-03-11,3.02,3.02,3.02,3.02,2.920949,0
2021-03-12,2.99,2.99,2.99,2.99,2.891933,1900
2021-03-15,2.99,2.99,2.99,2.99,2.891933,0
2021-03-16,2.99,2.99,2.99,2.99,2.891933,0
2021-03-17,3.09,3.09,3.09,3.09,2.988653,100
2021-03-18,3.09,3.09,3.09,3.09,2.988653,0
2021-03-19,3.09,3.09,3.09,3.09,2.988653,0
2021-03-22,3.04,3.04,3.04,3.04,2.940293,100
2021-03-23,3.04,3.04,3.04,3.04,2.940293,0
2021-03-24,3.04,3.04,3.04,3.04,2.940293,3100
2021-03-25,2.98,2.98,2.98,2.98,2.882261,100
2021-03-26,2.98,2.98,2.98,2.98,2.882261,100
2021-03-29,3.01,3.02,3.01,3.02,2.920949,3000
2021-03-30,3.02,3.02,3.02,3.02,2.920949,0
2021-03-31,3.0,3.0,3.0,3.0,2.901605,100
2021-04-01,3.02,3.02,3.02,3.02,2.920949,200
2021-04-05,3.02,3.02,3.02,3.02,2.920949,0
2021-04-06,3.02,3.02,3.02,3.02,2.920949,200
2021-04-07,3.02,3.02,3.02,3.02,2.920949,200
2021-04-08,3.02,3.02,3.02,3.02,2.920949,0
2021-04-09,3.165,3.18,3.165,3.165,3.061193,1300
2021-04-12,3.165,3.165,3.165,3.165,3.061193,0
2021-04-13,3.165,3.165,3.165,3.165,3.061193,0
2021-04-14,3.165,3.165,3.165,3.165,3.061193,0
2021-04-15,3.165,3.165,3.165,3.165,3.061193,0
2021-04-16,3.11,3.11,3.11,3.11,3.007997,500
2021-04-19,3.11,3.11,3.11,3.11,3.007997,0
2021-04-20,3.11,3.11,3.11,3.11,3.007997,0
2021-04-21,3.11,3.11,3.11,3.11,3.007997,1900
2021-04-22,3.22,3.22,3.22,3.22,3.114389,100
2021-04-23,3.26,3.26,3.26,3.26,3.153077,200
2021-04-26,3.26,3.26,3.26,3.26,3.153077,0
2021-04-27,3.18,3.18,3.18,3.18,3.075701,1000
2021-04-28,3.18,3.18,3.18,3.18,3.075701,0
2021-04-29,3.18,3.18,3.18,3.18,3.075701,0
2021-04-30,3.18,3.21,3.18,3.21,3.104717,2200
2021-05-03,3.21,3.21,3.21,3.21,3.104717,0
2021-05-04,3.21,3.21,3.21,3.21,3.104717,0
2021-05-05,3.18,3.18,3.14,3.18,3.075701,1400
2021-05-06,3.18,3.18,3.18,3.18,3.075701,0
2021-05-07,3.34,3.34,3.34,3.34,3.230453,400
2021-05-10,3.34,3.34,3.34,3.34,3.230453,0
2021-05-11,3.34,3.34,3.34,3.34,3.230453,0
2021-05-12,3.34,3.34,3.34,3.34,3.230453,0
2021-05-13,3.44,3.44,3.44,3.44,3.327173,300
2021-05-14,3.44,3.44,3.44,3.44,3.327173,0
2021-05-17,3.52,3.52,3.52,3.52,3.432489,200
2021-05-18,3.47,3.47,3.47,3.47,3.383732,500
2021-05-19,3.47,3.47,3.47,3.47,3.383732,0
2021-05-20,3.47,3.47,3.47,3.47,3.383732,100
2021-05-21,3.34,3.35,3.32,3.35,3.266715,1600
2021-05-24,3.35,3.35,3.35,3.35,3.266715,0
2021-05-25,3.35,3.35,3.35,3.35,3.266715,0
2021-05-26,3.35,3.35,3.35,3.35,3.266715,0
2021-05-27,3.46,3.46,3.46,3.46,3.37398,2000
2021-05-28,3.46,3.46,3.46,3.46,3.37398,0
2021-06-01,3.4,3.4,3.4,3.4,3.315472,100
2021-06-02,3.46,3.46,3.46,3.46,3.37398,1100
2021-06-03,3.4,3.4,3.4,3.4,3.315472,0
2021-06-04,3.4,3.4,3.4,3.4,3.315472,0
2021-06-07,3.4,3.4,3.4,3.4,3.315472,0
2021-06-08,3.4,3.4,3.4,3.4,3.315472,0
2021-06-09,3.33,3.33,3.33,3.33,3.247212,100
2021-06-10,3.33,3.33,3.33,3.33,3.247212,0
2021-06-11,3.28,3.28,3.28,3.28,3.198455,200
2021-06-14,3.49,3.49,3.49,3.49,3.403234,500
2021-06-15,3.49,3.49,3.49,3.49,3.403234,0
2021-06-16,3.49,3.49,3.49,3.49,3.403234,0
2021-06-17,3.49,3.49,3.49,3.49,3.403234,0
2021-06-18,3.28,3.28,3.19,3.19,3.110693,300
2021-06-21,3.19,3.19,3.19,3.19,3.110693,0
2021-06-22,3.19,3.19,3.19,3.19,3.110693,0
2021-06-23,3.19,3.19,3.19,3.19,3.110693,0
2021-06-24,3.19,3.19,3.19,3.19,3.110693,0
2021-06-25,3.19,3.19,3.19,3.19,3.110693,0
2021-06-28,3.19,3.19,3.19,3.19,3.110693,0
2021-06-29,3.19,3.19,3.19,3.19,3.110693,0
2021-06-30,3.25,3.25,3.25,3.25,3.169201,200
2021-07-01,3.25,3.25,3.25,3.25,3.169201,1100
2021-07-02,3.25,3.25,3.25,3.25,3.169201,0
2021-07-06,3.25,3.25,3.25,3.25,3.169201,0
2021-07-07,3.25,3.25,3.25,3.25,3.169201,0
2021-07-08,3.25,3.25,3.25,3.25,3.169201,0
2021-07-09,3.25,3.25,3.25,3.25,3.169201,0
2021-07-12,3.25,3.25,3.25,3.25,3.169201,0
2021-07-13,3.25,3.25,3.25,3.25,3.169201,0
2021-07-14,3.25,3.25,3.25,3.25,3.169201,100
2021-07-15,3.25,3.25,3.25,3.25,3.169201,0
2021-07-16,3.25,3.25,3.25,3.25,3.169201,0
2021-07-19,3.25,3.25,3.25,3.25,3.169201,0
2021-07-20,3.25,3.25,3.25,3.25,3.169201,0
2021-07-21,3.25,3.25,3.25,3.25,3.169201,0
2021-07-22,3.25,3.25,3.25,3.25,3.169201,0
2021-07-23,3.19,3.19,3.15,3.19,3.110693,900
2021-07-26,3.19,3.19,3.19,3.19,3.110693,0
2021-07-27,3.19,3.19,3.19,3.19,3.110693,0
2021-07-28,3.19,3.19,3.19,3.19,3.110693,0
2021-07-29,3.19,3.19,3.19,3.19,3.110693,0
2021-07-30,3.19,3.19,3.19,3.19,3.110693,7400
2021-08-02,2.88,2.88,2.88,2.88,2.8084,700
2021-08-03,2.88,2.88,2.88,2.88,2.8084,0
2021-08-04,2.88,2.88,2.88,2.88,2.8084,0
2021-08-05,2.88,2.88,2.88,2.88,2.8084,0
2021-08-06,2.88,2.88,2.88,2.88,2.8084,0
2021-08-09,2.88,2.88,2.88,2.88,2.8084,0
2021-08-10,2.68,2.68,2.68,2.68,2.613372,500
2021-08-11,2.68,2.68,2.68,2.68,2.613372,0
2021-08-12,2.68,2.68,2.68,2.68,2.613372,0
2021-08-13,2.68,2.68,2.68,2.68,2.613372,0
2021-08-16,2.68,2.68,2.68,2.68,2.613372,0
2021-08-17,2.68,2.68,2.68,2.68,2.613372,0
2021-08-18,2.68,2.68,2.68,2.68,2.613372,0
2021-08-19,2.5,2.509,2.5,2.509,2.446623,23800
2021-08-20,2.509,2.509,2.509,2.509,2.446623,0
2021-08-23,2.509,2.509,2.509,2.509,2.446623,0
2021-08-24,2.509,2.509,2.509,2.509,2.446623,0
2021-08-25,2.509,2.509,2.509,2.509,2.446623,3700
2021-08-26,2.509,2.509,2.509,2.509,2.446623,0
2021-08-27,2.509,2.509,2.509,2.509,2.446623,0
2021-08-30,2.509,2.509,2.509,2.509,2.446623,0
2021-08-31,2.45,2.52,2.45,2.52,2.45735,1700
2021-09-01,2.52,2.52,2.52,2.52,2.45735,0
2021-09-02,2.52,2.52,2.52,2.52,2.45735,0
2021-09-03,2.52,2.52,2.52,2.52,2.45735,0
2021-09-07,2.52,2.52,2.52,2.52,2.45735,0
2021-09-08,2.52,2.52,2.52,2.52,2.45735,0
2021-09-09,2.52,2.52,2.52,2.52,2.45735,4400
2021-09-10,2.52,2.52,2.52,2.52,2.45735,0
2021-09-13,2.52,2.52,2.52,2.52,2.45735,0
2021-09-14,2.52,2.52,2.52,2.52,2.45735,0
2021-09-15,2.52,2.52,2.52,2.52,2.45735,0
2021-09-16,2.46,2.46,2.46,2.46,2.398841,200
2021-09-17,2.46,2.46,2.46,2.46,2.398841,2400
2021-09-20,2.46,2.46,2.46,2.46,2.398841,0
2021-09-21,2.46,2.46,2.46,2.46,2.398841,0
2021-09-22,2.495,2.495,2.495,2.495,2.432971,3000
2021-09-23,2.495,2.495,2.495,2.495,2.432971,28700
2021-09-24,2.495,2.495,2.495,2.495,2.432971,0
2021-09-27,2.41,2.41,2.41,2.41,2.350085,3000
2021-09-28,2.41,2.41,2.41,2.41,2.350085,22300
2021-09-29,2.5,2.5,2.5,2.5,2.437847,1000
2021-09-30,2.58,2.58,2.58,2.58,2.515858,23500
2021-10-01,2.58,2.58,2.58,2.58,2.515858,0
2021-10-04,2.58,2.58,2.58,2.58,2.515858,2000
2021-10-05,2.58,2.58,2.58,2.58,2.515858,0
2021-10-06,2.47,2.47,2.47,2.47,2.408593,100
2021-10-07,2.66,2.7,2.66,2.7,2.632875,200
2021-10-08,2.7,2.7,2.7,2.7,2.632875,0
2021-10-11,2.7,2.7,2.7,2.7,2.632875,0
2021-10-12,2.7,2.7,2.7,2.7,2.632875,0
2021-10-13,2.7,2.7,2.7,2.7,2.632875,0
2021-10-14,2.7,2.7,2.7,2.7,2.632875,0
2021-10-15,2.7,2.7,2.7,2.7,2.632875,0
2021-10-18,2.7,2.7,2.7,2.7,2.632875,0
2021-10-19,2.56,2.56,2.56,2.56,2.496355,500
2021-10-20,2.56,2.56,2.56,2.56,2.496355,0
2021-10-21,2.56,2.56,2.56,2.56,2.496355,0
2021-10-22,2.56,2.56,2.56,2.56,2.496355,0
2021-10-25,2.56,2.56,2.56,2.56,2.496355,0
2021-10-26,2.55,2.55,2.55,2.55,2.486604,200
2021-10-27,2.52,2.52,2.52,2.52,2.45735,300
2021-10-28,2.52,2.52,2.52,2.52,2.45735,0
2021-10-29,2.52,2.52,2.52,2.52,2.45735,0
2021-11-01,2.67,2.67,2.67,2.67,2.603621,100
2021-11-02,2.67,2.67,2.67,2.67,2.603621,0
2021-11-03,2.67,2.67,2.67,2.67,2.603621,0
2021-11-04,2.67,2.67,2.67,2.67,2.603621,300
2021-11-05,2.67,2.67,2.67,2.67,2.603621,0
2021-11-08,2.67,2.67,2.67,2.67,2.603621,0
2021-11-09,2.623,2.623,2.623,2.623,2.557789,1000
2021-11-10,2.623,2.623,2.623,2.623,2.557789,0
2021-11-11,2.623,2.623,2.623,2.623,2.557789,0
2021-11-12,2.63,2.72,2.63,2.63,2.564615,700
2021-11-15,2.648,2.648,2.648,2.648,2.582168,1000
2021-11-16,2.648,2.648,2.648,2.648,2.582168,0
2021-11-17,2.68,2.68,2.68,2.68,2.613372,100
2021-11-18,2.68,2.68,2.68,2.68,2.613372,0
2021-11-19,2.68,2.68,2.68,2.68,2.613372,15600
2021-11-22,2.68,2.68,2.68,2.68,2.613372,0
2021-11-23,2.68,2.68,2.68,2.68,2.613372,0
2021-11-24,2.68,2.68,2.68,2.68,2.613372,100
2021-11-26,2.68,2.68,2.68,2.68,2.613372,18300
2021-11-29,2.68,2.68,2.68,2.68,2.613372,0
2021-11-30,2.68,2.68,2.68,2.68,2.613372,15500
