Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,14.0,14.15,14.0,14.0,13.526871,10000
2020-08-05,14.15,14.15,14.14,14.14,13.66214,488400
2020-08-06,14.0,14.0,3.6,13.8,13.33363,1200
2020-08-07,13.0,13.0,13.0,13.0,12.560665,200
2020-08-10,13.65,13.65,13.2,13.65,13.188699,3200
2020-08-11,14.15,14.15,14.15,14.15,13.671801,300
2020-08-12,14.05,14.35,14.0,14.35,13.865043,400
2020-08-13,14.0,14.35,14.0,14.35,13.865043,500
2020-08-14,14.45,14.45,14.45,14.45,13.961663,400
2020-08-17,14.25,14.25,14.25,14.25,13.768422,400
2020-08-18,14.45,14.45,14.45,14.45,13.961663,200
2020-08-19,14.25,14.25,14.25,14.25,13.768422,300
2020-08-20,13.35,13.35,13.35,13.35,12.898839,5300
2020-08-21,13.85,14.15,13.85,14.15,13.671801,4300
2020-08-24,14.57,14.57,14.4,14.4,13.913352,900
2020-08-25,14.47,14.47,14.47,14.47,13.980988,2900
2020-08-26,13.36,14.21,13.36,13.36,12.9085,5900
2020-08-27,13.34,13.34,13.34,13.34,12.889175,400
2020-08-28,14.17,14.17,13.33,13.33,12.879513,800
2020-08-31,13.85,13.85,13.85,13.85,13.381941,600
2020-09-01,13.41,13.41,13.41,13.41,12.956809,600
2020-09-02,13.85,13.85,13.85,13.85,13.381941,600
2020-09-03,12.81,13.28,12.81,12.95,12.512356,2100
2020-09-04,12.67,13.47,12.67,13.47,13.014783,500
2020-09-08,12.37,13.18,12.37,13.18,12.734582,700
2020-09-09,12.925,12.925,12.52,12.52,12.096888,700
2020-09-10,13.0,13.0,12.25,12.25,11.836012,300
2020-09-11,12.49,12.89,12.49,12.89,12.454384,1200
2020-09-14,12.89,12.89,12.89,12.89,12.454384,0
2020-09-15,12.65,12.879,12.64,12.879,12.443754,13000
2020-09-16,13.168,13.37,12.65,13.3,12.850528,2000
2020-09-17,12.96,12.96,12.96,12.96,12.522017,700
2020-09-18,12.19,12.58,12.19,12.19,11.778039,1500
2020-09-21,12.16,12.22,11.92,12.22,11.807027,1200
2020-09-22,12.2,12.228,12.2,12.228,11.814755,1800
2020-09-23,12.228,12.228,12.228,12.228,11.814755,0
2020-09-24,11.99,11.99,11.99,11.99,11.584799,300
2020-09-25,12.208,12.208,12.208,12.208,11.795431,600
2020-09-28,11.778,11.885,11.67,11.885,11.483347,800
2020-09-29,12.088,12.09,11.89,11.89,11.488179,700
2020-09-30,11.705,11.705,11.705,11.705,11.30943,700
2020-10-01,11.665,11.665,11.572,11.572,11.180924,800
2020-10-02,11.25,11.575,11.21,11.575,11.183823,800
2020-10-05,11.715,12.08,11.715,12.08,11.671757,700
2020-10-06,12.97,12.97,12.333,12.97,12.531679,1800
2020-10-07,12.23,13.0,12.23,13.0,12.560665,3300
2020-10-08,12.58,12.72,12.44,12.44,12.01959,2300
2020-10-09,13.13,13.42,13.13,13.42,12.966472,800
2020-10-12,13.08,13.08,13.08,13.08,12.637961,600
2020-10-13,13.08,13.08,13.08,13.08,12.637961,0
2020-10-14,12.343,12.435,12.343,12.435,12.01476,400
2020-10-15,11.97,12.39,11.97,12.19,11.778039,3500
2020-10-16,12.54,12.56,12.09,12.09,11.681419,13000
2020-10-19,12.71,12.71,12.708,12.708,12.278534,700
2020-10-20,12.478,12.685,12.31,12.544,12.120076,1700
2020-10-21,12.715,12.715,12.57,12.57,12.145197,1300
2020-10-22,12.54,12.74,12.54,12.74,12.309452,300
2020-10-23,12.465,12.948,12.38,12.38,11.961619,28700
2020-10-26,13.048,13.048,12.5,12.5,12.077563,900
2020-10-27,11.853,12.04,11.85,12.04,11.633108,1900
2020-10-28,12.51,12.51,12.13,12.13,11.720068,1500
2020-10-29,11.56,11.895,11.52,11.54,11.150005,7500
2020-10-30,11.61,12.15,11.61,12.15,11.739391,1900
2020-11-02,11.32,11.32,11.32,11.32,10.937441,800
2020-11-03,11.51,11.87,11.51,11.87,11.468853,1100
2020-11-04,11.58,11.58,11.58,11.58,11.188655,1200
2020-11-05,12.26,12.26,12.258,12.258,11.843741,1800
