Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.003,0.005,0.003,0.005,0.005,65000
2013-07-17,0.004,0.004,0.004,0.004,0.004,139951
2013-07-18,0.0041,0.0041,0.0041,0.0041,0.0041,2000
2013-07-19,0.0041,0.0041,0.0041,0.0041,0.0041,50000
2013-07-22,0.0041,0.0041,0.0041,0.0041,0.0041,0
2013-07-23,0.0021,0.004,0.0021,0.004,0.004,2250
2013-07-24,0.0022,0.004,0.0022,0.004,0.004,87150
2013-07-25,0.004,0.004,0.003,0.003,0.003,205795
2013-07-26,0.003,0.003,0.003,0.003,0.003,0
2013-07-29,0.003,0.0031,0.003,0.0031,0.0031,4551
2013-07-30,0.0031,0.0031,0.0031,0.0031,0.0031,75000
2013-07-31,0.0032,0.0032,0.0031,0.0031,0.0031,14500
2013-08-01,0.0031,0.0031,0.0031,0.0031,0.0031,0
2013-08-02,0.0031,0.0031,0.0031,0.0031,0.0031,100
2013-08-05,0.003,0.003,0.003,0.003,0.003,103500
2013-08-06,0.003,0.003,0.003,0.003,0.003,0
2013-08-07,0.003,0.003,0.003,0.003,0.003,100
2013-08-08,0.003,0.003,0.003,0.003,0.003,160
2013-08-09,0.0031,0.0031,0.0031,0.0031,0.0031,5000
2013-08-12,0.0031,0.0031,0.003,0.003,0.003,2000
2013-08-13,0.003,0.003,0.003,0.003,0.003,1400
2013-08-14,0.003,0.003,0.003,0.003,0.003,11000
2013-08-15,0.003,0.003,0.003,0.003,0.003,0
2013-08-16,0.003,0.003,0.003,0.003,0.003,7000
2013-08-19,0.003,0.003,0.003,0.003,0.003,18364
2013-08-20,0.003,0.0031,0.003,0.003,0.003,70350
2013-08-21,0.0022,0.0022,0.0022,0.0022,0.0022,500
2013-08-22,0.0024,0.0025,0.0023,0.0025,0.0025,85350
2013-08-23,0.0025,0.0025,0.0025,0.0025,0.0025,1000
2013-08-26,0.0026,0.0026,0.0025,0.0025,0.0025,3498
2013-08-27,0.0026,0.0026,0.0026,0.0026,0.0026,200
2013-08-28,0.0026,0.0026,0.0026,0.0026,0.0026,0
2013-08-29,0.0025,0.0025,0.0025,0.0025,0.0025,156
2013-08-30,0.005,0.005,0.0023,0.0023,0.0023,175100
2013-09-03,0.0023,0.0023,0.0023,0.0023,0.0023,5000
2013-09-04,0.0023,0.0031,0.0023,0.0031,0.0031,2500
2013-09-05,0.0023,0.0041,0.0023,0.004,0.004,112500
2013-09-06,0.003,0.003,0.003,0.003,0.003,2000
2013-09-09,0.003,0.0031,0.003,0.003,0.003,118563
2013-09-10,0.0031,0.0031,0.003,0.003,0.003,12000
2013-09-11,0.003,0.003,0.003,0.003,0.003,0
2013-09-12,0.003,0.003,0.003,0.003,0.003,1050
2013-09-13,0.003,0.003,0.003,0.003,0.003,0
2013-09-16,0.003,0.003,0.0029,0.0029,0.0029,13400
2013-09-17,0.0029,0.0029,0.0029,0.0029,0.0029,1250
2013-09-18,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-09-19,0.0029,0.0029,0.0029,0.0029,0.0029,500
2013-09-20,0.0029,0.0029,0.0029,0.0029,0.0029,1000
2013-09-23,0.003,0.003,0.003,0.003,0.003,10000
2013-09-24,0.003,0.003,0.003,0.003,0.003,10000
2013-09-25,0.0029,0.0029,0.0029,0.0029,0.0029,4400
2013-09-26,0.0029,0.0029,0.0029,0.0029,0.0029,1375
2013-09-27,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-09-30,0.0029,0.0029,0.0029,0.0029,0.0029,1986
2013-10-01,0.0029,0.0029,0.0029,0.0029,0.0029,1000
2013-10-02,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-03,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-04,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-07,0.0029,0.0029,0.0029,0.0029,0.0029,5500
2013-10-08,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-09,0.0029,0.003,0.0029,0.003,0.003,40000
2013-10-10,0.0029,0.0029,0.0029,0.0029,0.0029,19100
2013-10-11,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-14,0.0029,0.0029,0.0029,0.0029,0.0029,15000
2013-10-15,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-16,0.0029,0.003,0.0029,0.0029,0.0029,24847
2013-10-17,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-18,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-21,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-22,0.0029,0.0029,0.0029,0.0029,0.0029,10000
2013-10-23,0.0029,0.0029,0.0029,0.0029,0.0029,5000
2013-10-24,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-25,0.003,0.003,0.003,0.003,0.003,400
2013-10-28,0.0029,0.0029,0.0029,0.0029,0.0029,11350
2013-10-29,0.003,0.0031,0.0029,0.0029,0.0029,4100
2013-10-30,0.0029,0.0029,0.0029,0.0029,0.0029,16200
2013-10-31,0.0029,0.0029,0.0029,0.0029,0.0029,20000
2013-11-01,0.0029,0.0029,0.0029,0.0029,0.0029,1000
2013-11-04,0.0029,0.0029,0.0029,0.0029,0.0029,2500
2013-11-05,0.003,0.003,0.003,0.003,0.003,5000
2013-11-06,0.0029,0.0029,0.0029,0.0029,0.0029,680
2013-11-07,0.0029,0.0029,0.0029,0.0029,0.0029,11000
2013-11-08,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-11-11,0.0029,0.0029,0.0029,0.0029,0.0029,200
2013-11-12,0.0029,0.0029,0.0029,0.0029,0.0029,7000
2013-11-13,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-11-14,0.0029,0.0029,0.0029,0.0029,0.0029,40000
