Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,35.5,36.0,35.5,36.0,19.680254,337400
2013-07-17,36.060001,36.490002,35.77,35.950001,19.652916,401200
2013-07-18,36.0,36.0,35.25,35.450001,19.379576,510800
2013-07-19,34.060001,34.93,33.5,34.459999,18.838375,608500
2013-07-22,34.439999,34.540001,34.150002,34.490002,18.854774,244100
2013-07-23,34.459999,34.5,34.009998,34.41,18.811035,199500
2013-07-24,34.490002,34.52,33.630001,33.779999,18.466633,347000
2013-07-25,33.650002,34.990002,33.639999,34.91,19.084375,294200
2013-07-26,34.849998,35.220001,34.310001,35.18,19.231977,227600
2013-07-29,35.130001,35.32,34.77,34.900002,19.078903,111300
2013-07-30,35.130001,35.400002,34.43,34.619999,18.925846,225400
2013-07-31,34.77,35.18,34.52,34.84,19.046106,244100
2013-08-01,35.200001,35.32,34.639999,35.130001,19.204647,189900
2013-08-02,35.099998,35.43,35.0,35.279999,19.286648,132100
2013-08-05,35.23,35.59,35.07,35.509998,19.412376,163300
2013-08-06,35.52,35.720001,35.02,35.150002,19.215584,143500
2013-08-07,35.139999,35.5,35.049999,35.34,19.319445,184600
2013-08-08,35.549999,35.639999,34.900002,35.459999,19.38505,216700
2013-08-09,35.459999,35.599998,35.009998,35.349998,19.324909,198500
2013-08-12,35.23,35.599998,34.93,35.599998,19.461584,146000
2013-08-13,35.599998,35.669998,35.310001,35.48,19.395983,88800
2013-08-14,35.389999,35.799999,35.169998,35.290001,19.292116,143700
2013-08-15,35.0,35.0,33.900002,34.09,18.636101,289100
2013-08-16,33.91,34.23,33.799999,33.970001,18.570499,167600
2013-08-19,34.0,34.299999,33.75,33.779999,18.466633,136600
2013-08-20,33.720001,34.810001,33.580002,34.57,18.898506,144300
2013-08-21,34.349998,34.419998,33.709999,33.720001,18.433838,142500
2013-08-22,33.720001,34.689999,33.720001,34.5,18.860239,151200
2013-08-23,34.52,34.700001,34.23,34.310001,18.756374,123600
2013-08-26,34.310001,34.84,34.099998,34.509998,18.865702,210500
2013-08-27,34.240002,34.490002,33.689999,33.759998,18.455702,156500
2013-08-28,33.830002,33.970001,33.529999,33.740002,18.444771,141500
2013-08-29,33.799999,34.700001,33.799999,34.669998,18.953173,194400
2013-08-30,34.610001,34.68,33.73,33.869999,18.515837,169200
2013-09-03,34.23,34.509998,33.360001,33.689999,18.417429,130300
2013-09-04,33.830002,34.110001,33.490002,34.110001,18.647039,143400
2013-09-05,34.130001,34.43,33.939999,33.98,18.575972,191100
2013-09-06,34.25,34.290001,33.41,34.16,18.674366,141000
2013-09-09,34.18,34.5,33.810001,34.439999,18.827433,120200
2013-09-10,34.5,34.66,34.189999,34.639999,18.936775,141200
2013-09-11,34.669998,35.0,34.52,34.84,19.046106,154100
2013-09-12,34.93,35.049999,34.619999,34.650002,18.942247,119200
2013-09-13,34.810001,35.049999,34.130001,34.619999,18.925846,376100
2013-09-16,35.0,35.150002,34.68,35.080002,19.177311,109400
2013-09-17,34.970001,35.549999,34.799999,35.549999,19.43425,148500
2013-09-18,35.599998,35.91,34.740002,35.889999,19.620119,169800
2013-09-19,35.98,35.98,35.27,35.84,19.592777,117200
2013-09-20,36.0,36.16,35.299999,35.98,19.669313,385100
2013-09-23,35.75,36.189999,35.509998,36.110001,19.740379,133400
2013-09-24,36.040001,36.200001,35.380001,35.720001,19.527182,304800
2013-09-25,35.66,35.970001,35.279999,35.349998,19.324909,191500
2013-09-26,35.0,35.400002,34.700001,34.75,19.170446,212700
2013-09-27,34.599998,34.959999,34.549999,34.77,19.181479,207300
2013-09-30,34.380001,34.82,34.240002,34.549999,19.060112,436400
2013-10-01,34.599998,34.790001,34.41,34.68,19.131832,236900
2013-10-02,34.349998,34.669998,34.07,34.630001,19.104246,170300
2013-10-03,34.68,34.939999,34.369999,34.59,19.082178,170600
2013-10-04,34.5,35.27,34.470001,35.150002,19.391119,134200
