Date,Open,High,Low,Close,Adj Close,Volume
2016-06-20,12.24,12.24,12.24,12.24,11.069518,900
2016-06-21,12.24,12.24,12.24,12.24,11.069518,0
2016-06-22,12.24,12.24,12.24,12.24,11.069518,0
2016-06-23,12.24,12.24,12.24,12.24,11.069518,0
2016-06-24,11.84,11.84,11.84,11.84,10.707769,100
2016-06-27,11.84,11.84,11.84,11.84,10.707769,0
2016-06-28,11.84,11.84,11.84,11.84,10.707769,0
2016-06-29,12.35,12.35,12.35,12.35,11.169001,100
2016-06-30,12.35,12.35,12.35,12.35,11.169001,0
2016-07-01,12.35,12.35,12.35,12.35,11.169001,0
2016-07-05,12.35,12.35,12.35,12.35,11.169001,0
2016-07-06,12.35,12.35,12.35,12.35,11.169001,0
2016-07-07,12.35,12.35,12.35,12.35,11.169001,0
2016-07-08,12.35,12.35,12.35,12.35,11.169001,0
2016-07-11,12.38,12.38,12.38,12.38,11.196131,100
2016-07-12,12.38,12.38,12.38,12.38,11.196131,0
2016-07-13,12.49,12.49,12.49,12.49,11.295612,400
2016-07-14,12.49,12.49,12.49,12.49,11.295612,0
2016-07-15,12.49,12.49,12.49,12.49,11.295612,0
2016-07-18,12.77,12.77,12.77,12.77,11.548837,100
2016-07-19,12.77,12.77,12.77,12.77,11.548837,0
2016-07-20,12.63,12.63,12.63,12.63,11.422224,100
2016-07-21,12.67,12.67,12.67,12.67,11.458399,317
2016-07-22,12.67,12.67,12.67,12.67,11.458399,0
2016-07-25,12.67,12.67,12.67,12.67,11.458399,0
2016-07-26,12.67,12.67,12.67,12.67,11.458399,0
2016-07-27,12.67,12.67,12.67,12.67,11.458399,0
2016-07-28,12.67,12.67,12.67,12.67,11.458399,0
2016-07-29,12.67,12.67,12.67,12.67,11.458399,0
2016-08-01,12.67,12.67,12.67,12.67,11.458399,0
2016-08-02,11.688,11.688,11.688,11.688,10.570305,200
2016-08-03,11.688,11.688,11.688,11.688,10.570305,0
2016-08-04,11.688,11.688,11.688,11.688,10.570305,0
2016-08-05,11.688,11.688,11.688,11.688,10.570305,0
2016-08-08,11.688,11.688,11.688,11.688,10.570305,0
2016-08-09,11.688,11.688,11.688,11.688,10.570305,0
2016-08-10,11.688,11.688,11.688,11.688,10.570305,0
2016-08-11,12.42,12.42,12.42,12.42,11.232306,200
2016-08-12,12.42,12.42,12.42,12.42,11.232306,0
2016-08-15,12.42,12.42,12.42,12.42,11.232306,0
2016-08-16,12.42,12.42,12.42,12.42,11.232306,0
2016-08-17,12.42,12.42,12.42,12.42,11.232306,0
2016-08-18,12.42,12.42,12.42,12.42,11.232306,0
2016-08-19,12.42,12.42,12.42,12.42,11.232306,0
2016-08-22,12.189,12.189,12.189,12.189,11.023396,100
2016-08-23,12.189,12.189,12.189,12.189,11.023396,0
2016-08-24,12.189,12.189,12.189,12.189,11.023396,0
2016-08-25,12.189,12.189,12.189,12.189,11.023396,0
2016-08-26,12.189,12.189,12.189,12.189,11.023396,0
2016-08-29,12.189,12.189,12.189,12.189,11.023396,0
2016-08-30,12.189,12.189,12.189,12.189,11.023396,0
2016-08-31,11.5,11.5,11.5,11.5,10.400283,117
2016-09-01,11.5,11.5,11.5,11.5,10.400283,0
2016-09-02,11.5,11.5,11.5,11.5,10.400283,0
2016-09-06,11.5,11.5,11.5,11.5,10.400283,0
2016-09-07,11.5,11.5,11.5,11.5,10.400283,0
2016-09-08,11.5,11.5,11.5,11.5,10.400283,0
2016-09-09,11.5,11.5,11.5,11.5,10.400283,0
2016-09-12,11.0067,11.01,11.0067,11.01,9.957141,200
2016-09-13,11.08,11.08,11.08,11.08,10.020446,100
2016-09-14,11.01,11.01,11.01,11.01,9.957141,100
2016-09-15,11.01,11.01,11.01,11.01,9.957141,0
2016-09-16,11.0,11.0,10.66,10.66,9.64061,300
2016-09-19,10.69,10.69,10.69,10.69,9.66774,100
2016-09-20,10.69,10.69,10.69,10.69,9.66774,0
2016-09-21,10.69,10.69,10.69,10.69,9.66774,0
2016-09-22,10.8,10.8,10.8,10.8,9.767221,2000
2016-09-23,10.8,10.8,10.8,10.8,9.767221,106
2016-09-26,10.68,10.68,10.68,10.68,9.658696,110
2016-09-27,11.2,11.2,11.2,11.2,10.128971,100
2016-09-28,11.2,11.2,11.2,11.2,10.128971,0
2016-09-29,11.2,11.2,11.2,11.2,10.128971,0
2016-09-30,11.2,11.2,11.2,11.2,10.128971,0
2016-10-03,11.2,11.2,11.2,11.2,10.128971,0
2016-10-04,11.2,11.2,11.2,11.2,10.128971,0
2016-10-05,10.9,10.9,10.9,10.9,9.857658,400
2016-10-06,10.9,10.9,10.9,10.9,9.857658,0
2016-10-07,10.9,10.9,10.9,10.9,9.857658,0
2016-10-10,10.9,10.9,10.9,10.9,9.857658,0
2016-10-11,10.9,10.9,10.9,10.9,9.857658,0
2016-10-12,10.9,10.9,10.9,10.9,9.857658,0
2016-10-13,10.9,10.9,10.9,10.9,9.857658,0
2016-10-14,10.9,10.9,10.9,10.9,9.857658,0
2016-10-17,10.9,10.9,10.9,10.9,9.857658,0
2016-10-18,10.9,10.9,10.9,10.9,9.857658,0
2016-10-19,11.02,11.02,11.02,11.02,9.966185,100
2016-10-20,11.15,11.15,11.15,11.15,10.083753,200
2016-10-21,11.15,11.15,11.15,11.15,10.083753,0
2016-10-24,11.15,11.15,11.15,11.15,10.083753,0
2016-10-25,11.15,11.15,11.15,11.15,10.083753,0
2016-10-26,11.15,11.15,11.15,11.15,10.083753,0
2016-10-27,11.15,11.15,11.15,11.15,10.083753,0
2016-10-28,11.15,11.15,11.15,11.15,10.083753,0
2016-10-31,11.15,11.15,11.15,11.15,10.083753,0
2016-11-01,11.15,11.15,11.15,11.15,10.083753,0
2016-11-02,11.15,11.15,11.15,11.15,10.083753,0
2016-11-03,10.43,10.43,10.43,10.43,9.432604,100
2016-11-04,10.43,10.43,10.43,10.43,9.432604,0
2016-11-07,10.43,10.43,10.43,10.43,9.432604,0
2016-11-08,10.43,10.43,10.43,10.43,9.432604,0
2016-11-09,10.43,10.43,10.43,10.43,9.432604,0
2016-11-10,10.43,10.43,10.43,10.43,9.432604,0
2016-11-11,10.29,10.29,10.29,10.29,9.305993,200
2016-11-14,10.25,10.25,10.25,10.25,9.269816,5093
2016-11-15,9.9,9.9,9.9,9.9,8.953287,404
2016-11-16,9.9,9.9,9.9,9.9,8.953287,100
2016-11-17,9.75,9.75,9.75,9.75,8.817632,125
2016-11-18,9.7,9.7,9.47,9.47,8.564406,1100
2016-11-21,9.47,9.47,9.47,9.47,8.564406,0
2016-11-22,9.47,9.47,9.47,9.47,8.564406,0
2016-11-23,9.47,9.47,9.47,9.47,8.564406,0
2016-11-25,9.47,9.47,9.47,9.47,8.564406,0
2016-11-28,9.47,9.47,9.47,9.47,8.564406,0
2016-11-29,9.47,9.47,9.47,9.47,8.564406,0
2016-11-30,9.47,9.47,9.47,9.47,8.564406,100
2016-12-01,9.47,9.47,9.47,9.47,8.564406,0
2016-12-02,9.47,9.47,9.47,9.47,8.564406,0
2016-12-05,9.47,9.47,9.47,9.47,8.564406,0
2016-12-06,9.47,9.47,9.47,9.47,8.564406,0
2016-12-07,9.47,9.47,9.47,9.47,8.564406,0
2016-12-08,9.47,9.47,9.47,9.47,8.564406,0
2016-12-09,9.47,9.47,9.47,9.47,8.564406,0
2016-12-12,9.22,9.22,9.22,9.22,8.338314,100
2016-12-13,9.22,9.22,9.22,9.22,8.338314,0
2016-12-14,9.22,9.22,9.22,9.22,8.338314,0
2016-12-15,9.32,9.32,9.21,9.21,8.329268,200
2016-12-16,9.21,9.21,9.21,9.21,8.329268,0
2016-12-19,9.21,9.21,9.21,9.21,8.329268,0
2016-12-20,9.21,9.21,9.21,9.21,8.329268,0
2016-12-21,9.21,9.21,9.21,9.21,8.329268,0
2016-12-22,9.21,9.21,9.21,9.21,8.329268,0
2016-12-23,9.21,9.21,9.21,9.21,8.329268,0
2016-12-27,9.21,9.21,9.21,9.21,8.329268,0
2016-12-28,9.21,9.21,9.21,9.21,8.329268,0
2016-12-29,9.21,9.21,9.21,9.21,8.329268,0
2016-12-30,9.21,9.21,9.21,9.21,8.329268,0
2017-01-03,9.21,9.21,9.21,9.21,8.329268,0
2017-01-04,9.21,9.21,9.21,9.21,8.329268,0
2017-01-05,9.21,9.21,9.21,9.21,8.329268,0
2017-01-06,9.21,9.21,9.21,9.21,8.329268,0
2017-01-09,9.21,9.21,9.21,9.21,8.329268,0
2017-01-10,9.22,9.22,8.65,8.65,7.822821,1300
2017-01-11,9.3,9.3,9.3,9.3,8.410665,400
2017-01-12,9.3,9.3,9.3,9.3,8.410665,0
2017-01-13,9.3,9.3,9.3,9.3,8.410665,0
2017-01-17,8.69,8.75,8.69,8.75,7.913259,500
2017-01-18,8.5,8.5,8.5,8.5,7.687166,1150
2017-01-19,8.5,8.5,8.5,8.5,7.687166,0
2017-01-20,8.5,8.5,8.5,8.5,7.687166,0
2017-01-23,8.5,8.5,8.5,8.5,7.687166,0
2017-01-24,8.5,8.5,8.5,8.5,7.687166,0
2017-01-25,8.5,8.5,8.5,8.5,7.687166,0
2017-01-26,8.5,8.5,8.5,8.5,7.687166,0
2017-01-27,8.5,8.5,8.5,8.5,7.687166,0
2017-01-30,8.5,8.5,8.5,8.5,7.687166,0
2017-01-31,8.5,8.5,8.5,8.5,7.687166,0
2017-02-01,9.25,9.25,9.25,9.25,8.365444,100
2017-02-02,9.25,9.25,9.25,9.25,8.365444,0
2017-02-03,9.25,9.25,9.25,9.25,8.365444,0
2017-02-06,9.25,9.25,9.25,9.25,8.365444,0
2017-02-07,9.25,9.25,9.25,9.25,8.365444,0
2017-02-08,9.97,10.01,9.5,9.5,8.591538,4200
2017-02-09,9.5,9.5,9.5,9.5,8.591538,1000
2017-02-10,9.5,9.5,9.5,9.5,8.591538,0
2017-02-13,9.5,9.5,9.5,9.5,8.591538,0
2017-02-14,9.5,9.5,9.5,9.5,8.591538,0
2017-02-15,9.5,9.5,9.5,9.5,8.591538,0
2017-02-16,9.79,9.79,9.79,9.79,8.853806,125
2017-02-17,9.79,9.79,9.79,9.79,8.853806,0
2017-02-21,9.79,9.79,9.79,9.79,8.853806,0
2017-02-22,9.99,9.99,9.99,9.99,9.03468,200
2017-02-23,9.99,9.99,9.99,9.99,9.03468,0
2017-02-24,9.99,9.99,9.99,9.99,9.03468,0
2017-02-27,9.99,9.99,9.99,9.99,9.03468,0
2017-02-28,9.52,9.52,9.52,9.52,8.609626,120
2017-03-01,10.05,10.05,10.05,10.05,9.088943,100
2017-03-02,9.2932,9.2932,9.2932,9.2932,8.404514,17700
2017-03-03,9.2932,9.2932,9.2932,9.2932,8.404514,0
2017-03-06,9.2932,9.2932,9.2932,9.2932,8.404514,0
2017-03-07,9.25,9.25,9.25,9.25,8.365444,680
2017-03-08,9.25,9.25,9.25,9.25,8.365444,0
2017-03-09,9.25,9.25,9.25,9.25,8.365444,0
2017-03-10,9.25,9.25,9.25,9.25,8.365444,0
2017-03-13,9.25,9.25,9.25,9.25,8.365444,0
2017-03-14,9.25,9.25,9.25,9.25,8.365444,0
2017-03-15,9.33,9.62,9.33,9.61,8.691017,1900
2017-03-16,9.61,9.61,9.61,9.61,8.691017,0
2017-03-17,9.61,9.61,9.61,9.61,8.691017,0
2017-03-20,9.61,9.61,9.61,9.61,8.691017,0
2017-03-21,10.02,10.02,10.02,10.02,9.061812,100
2017-03-22,10.02,10.12,10.02,10.12,9.152248,320
2017-03-23,10.12,10.12,10.12,10.12,9.152248,0
2017-03-24,10.12,10.12,10.12,10.12,9.152248,0
2017-03-27,10.12,10.12,10.12,10.12,9.152248,100
2017-03-28,10.16,10.27,10.16,10.27,9.287905,1200
2017-03-29,10.23,10.24,10.18,10.24,9.260773,350
2017-03-30,10.21,10.21,10.1,10.1,9.134161,700
2017-03-31,10.01,10.01,10.01,10.01,9.052769,100
2017-04-03,10.01,10.01,10.01,10.01,9.052769,0
2017-04-04,9.89,9.89,9.89,9.89,8.944243,1000
2017-04-05,9.89,9.89,9.89,9.89,8.944243,0
