Date,Open,High,Low,Close,Adj Close,Volume
2015-05-13,5.02,5.02,5.02,5.02,3.573163,400
2015-05-14,5.02,5.02,5.02,5.02,3.573163,0
2015-05-15,5.02,5.02,5.02,5.02,3.573163,0
2015-05-18,5.02,5.02,5.02,5.02,3.573163,0
2015-05-19,5.02,5.02,5.02,5.02,3.573163,0
2015-05-20,5.02,5.02,5.02,5.02,3.573163,0
2015-05-21,5.02,5.02,5.02,5.02,3.573163,0
2015-05-22,5.1723,5.1723,5.1723,5.1723,3.681568,6500
2015-05-26,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-05-27,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-05-28,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-05-29,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-01,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-02,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-03,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-04,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-05,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-08,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-09,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-10,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-11,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-12,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-15,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-16,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-17,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-18,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-19,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-22,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-23,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-24,5.1723,5.1723,5.1723,5.1723,3.681568,0
2015-06-25,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-06-26,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-06-29,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-06-30,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-01,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-02,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-06,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-07,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-08,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-09,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-10,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-13,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-14,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-15,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-16,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-17,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-20,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-21,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-22,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-23,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-24,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-27,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-28,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-29,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-30,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-07-31,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-03,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-04,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-05,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-06,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-07,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-10,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-11,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-12,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-13,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-14,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-17,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-18,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-19,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-20,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-21,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-24,5.1723,5.1723,5.1723,5.1723,3.699449,0
2015-08-25,5.07009,5.07009,5.07009,5.07009,3.626345,4000
2015-08-26,5.07009,5.07009,5.07009,5.07009,3.626345,0
2015-08-27,5.07009,5.07009,5.07009,5.07009,3.626345,0
2015-08-28,5.07009,5.07009,5.07009,5.07009,3.626345,0
2015-08-31,5.07009,5.07009,5.07009,5.07009,3.626345,0
2015-09-01,5.07009,5.07009,5.07009,5.07009,3.626345,0
2015-09-02,5.07009,5.07009,5.07009,5.07009,3.626345,0
2015-09-03,5.07009,5.07009,5.07009,5.07009,3.626345,0
2015-09-04,5.07009,5.07009,5.07009,5.07009,3.626345,0
