Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,2.91,2.95,2.79,2.8,2.8,1400
2013-07-17,2.75,2.77,2.65,2.72,2.72,2700
2013-07-18,2.62,2.86,2.62,2.85,2.85,2000
2013-07-19,2.85,2.85,2.85,2.85,2.85,500
2013-07-22,2.85,2.85,2.85,2.85,2.85,0
2013-07-23,2.7,2.7,2.68,2.68,2.68,400
2013-07-24,2.78,2.78,2.77,2.77,2.77,200
2013-07-25,2.91,2.91,2.9,2.9,2.9,400
2013-07-26,2.9,2.9,2.9,2.9,2.9,0
2013-07-29,2.9,2.9,2.9,2.9,2.9,0
2013-07-30,2.9,2.9,2.9,2.9,2.9,0
2013-07-31,2.84,2.86,2.84,2.84,2.84,1100
2013-08-01,2.84,2.84,2.84,2.84,2.84,0
2013-08-02,2.91,2.93,2.91,2.93,2.93,7600
2013-08-05,2.93,2.93,2.93,2.93,2.93,0
2013-08-06,3.25,3.41,3.25,3.4,3.4,6900
2013-08-07,3.4,3.68,3.4,3.6,3.6,6800
2013-08-08,3.55,3.55,3.31,3.55,3.55,3800
2013-08-09,3.44,3.5,3.37,3.5,3.5,1200
2013-08-12,3.58,3.8,3.58,3.66,3.66,13600
2013-08-13,3.62,3.62,3.5,3.5,3.5,400
2013-08-14,3.51,3.51,3.5,3.5,3.5,4100
2013-08-15,3.5,3.5,3.41,3.42,3.42,3400
2013-08-16,3.65,3.65,3.5,3.56,3.56,10700
2013-08-19,3.65,3.69,3.43,3.69,3.69,6900
2013-08-20,3.52,3.62,3.52,3.57,3.57,4400
2013-08-21,3.61,3.61,3.4,3.4,3.4,2800
2013-08-22,3.53,3.55,3.28,3.33,3.33,9900
2013-08-23,3.32,3.32,3.14,3.31,3.31,1600
2013-08-26,3.14,3.14,3.12,3.12,3.12,1200
2013-08-27,3.36,3.36,3.15,3.32,3.32,4600
2013-08-28,3.09,3.15,3.03,3.12,3.12,3000
2013-08-29,3.2,3.2,3.2,3.2,3.2,7300
2013-08-30,3.29,3.29,2.96,2.96,2.96,1600
2013-09-03,3.18,3.18,3.11,3.11,3.11,3600
2013-09-04,3.11,3.11,3.11,3.11,3.11,0
2013-09-05,3.1,3.11,3.1,3.11,3.11,1200
2013-09-06,3.04,3.12,2.85,2.86,2.86,5600
2013-09-09,2.87,3.15,2.83,2.83,2.83,5700
2013-09-10,2.95,2.95,2.95,2.95,2.95,1000
2013-09-11,2.83,2.9,2.82,2.9,2.9,4600
2013-09-12,2.82,2.85,2.65,2.82,2.82,20500
2013-09-13,2.84,2.84,2.77,2.77,2.77,7800
2013-09-16,2.77,2.77,2.77,2.77,2.77,0
2013-09-17,2.77,2.77,2.77,2.77,2.77,0
