Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,7.622,7.622,7.622,7.622,5.451214,10000
2013-07-17,7.622,7.622,7.622,7.622,5.451214,0
2013-07-18,7.622,7.622,7.622,7.622,5.451214,0
2013-07-19,7.622,7.622,7.622,7.622,5.451214,0
2013-07-22,7.622,7.622,7.622,7.622,5.451214,0
2013-07-23,7.622,7.622,7.622,7.622,5.451214,0
2013-07-24,7.622,7.622,7.622,7.622,5.451214,0
2013-07-25,7.622,7.622,7.622,7.622,5.451214,0
2013-07-26,7.622,7.622,7.622,7.622,5.451214,0
2013-07-29,7.622,7.622,7.622,7.622,5.451214,0
2013-07-30,7.622,7.622,7.622,7.622,5.451214,0
2013-07-31,7.622,7.622,7.622,7.622,5.451214,0
2013-08-01,7.622,7.622,7.622,7.622,5.451214,0
2013-08-02,7.622,7.622,7.622,7.622,5.451214,0
2013-08-05,7.622,7.622,7.622,7.622,5.451214,0
2013-08-06,7.622,7.622,7.622,7.622,5.451214,0
2013-08-07,7.622,7.622,7.622,7.622,5.451214,0
2013-08-08,7.622,7.622,7.622,7.622,5.451214,0
2013-08-09,7.622,7.622,7.622,7.622,5.451214,0
2013-08-12,7.622,7.622,7.622,7.622,5.451214,0
2013-08-13,7.622,7.622,7.622,7.622,5.451214,0
2013-08-14,7.622,7.622,7.622,7.622,5.451214,0
2013-08-15,7.622,7.622,7.622,7.622,5.451214,0
2013-08-16,7.622,7.622,7.622,7.622,5.451214,0
2013-08-19,7.622,7.622,7.622,7.622,5.451214,0
2013-08-20,7.622,7.622,7.622,7.622,5.451214,0
2013-08-21,7.622,7.622,7.622,7.622,5.451214,0
2013-08-22,7.622,7.622,7.622,7.622,5.451214,0
2013-08-23,7.622,7.622,7.622,7.622,5.451214,0
2013-08-26,7.622,7.622,7.622,7.622,5.451214,0
2013-08-27,7.622,7.622,7.622,7.622,5.451214,0
2013-08-28,7.622,7.622,7.622,7.622,5.451214,0
2013-08-29,7.622,7.622,7.622,7.622,5.451214,0
2013-08-30,7.622,7.622,7.622,7.622,5.451214,0
2013-09-03,7.622,7.622,7.622,7.622,5.451214,0
2013-09-04,7.622,7.622,7.622,7.622,5.451214,0
2013-09-05,7.622,7.622,7.622,7.622,5.451214,0
2013-09-06,7.622,7.622,7.622,7.622,5.451214,0
2013-09-09,7.622,7.622,7.622,7.622,5.451214,0
2013-09-10,7.622,7.622,7.622,7.622,5.451214,0
2013-09-11,7.622,7.622,7.622,7.622,5.451214,0
2013-09-12,7.622,7.622,7.622,7.622,5.451214,0
2013-09-13,7.622,7.622,7.622,7.622,5.451214,0
2013-09-16,7.622,7.622,7.622,7.622,5.451214,0
2013-09-17,7.622,7.622,7.622,7.622,5.451214,0
2013-09-18,7.622,7.622,7.622,7.622,5.451214,0
2013-09-19,7.622,7.622,7.622,7.622,5.451214,0
2013-09-20,7.622,7.622,7.622,7.622,5.451214,0
2013-09-23,7.622,7.622,7.622,7.622,5.451214,0
2013-09-24,7.622,7.622,7.622,7.622,5.451214,0
2013-09-25,7.622,7.622,7.622,7.622,5.451214,0
2013-09-26,7.622,7.622,7.622,7.622,5.451214,0
2013-09-27,7.622,7.622,7.622,7.622,5.451214,0
2013-09-30,9.15,9.15,9.05,9.05,6.472512,11300
2013-10-01,9.05,9.05,9.05,9.05,6.472512,0
2013-10-02,9.05,9.05,9.05,9.05,6.472512,0
2013-10-03,9.05,9.05,9.05,9.05,6.472512,0
2013-10-04,9.374,9.374,9.374,9.374,6.704235,1000
2013-10-07,9.374,9.374,9.374,9.374,6.704235,0
2013-10-08,9.374,9.374,9.374,9.374,6.704235,0
2013-10-09,9.374,9.374,9.374,9.374,6.704235,0
2013-10-10,9.374,9.374,9.374,9.374,6.704235,0
2013-10-11,9.374,9.374,9.374,9.374,6.704235,0
2013-10-14,9.374,9.374,9.374,9.374,6.704235,0
2013-10-15,9.374,9.374,9.374,9.374,6.704235,0
2013-10-16,9.374,9.374,9.374,9.374,6.704235,0
2013-10-17,9.374,9.374,9.374,9.374,6.704235,0
2013-10-18,9.374,9.374,9.374,9.374,6.704235,0
2013-10-21,9.374,9.374,9.374,9.374,6.704235,0
2013-10-22,9.374,9.374,9.374,9.374,6.704235,0
2013-10-23,9.374,9.374,9.374,9.374,6.704235,0
2013-10-24,9.374,9.374,9.374,9.374,6.704235,0
2013-10-25,9.374,9.374,9.374,9.374,6.704235,0
2013-10-28,9.374,9.374,9.374,9.374,6.704235,0
2013-10-29,9.374,9.374,9.374,9.374,6.704235,0
2013-10-30,9.374,9.374,9.374,9.374,6.704235,0
2013-10-31,9.374,9.374,9.374,9.374,6.704235,0
2013-11-01,9.374,9.374,9.374,9.374,6.704235,0
2013-11-04,9.374,9.374,9.374,9.374,6.704235,0
2013-11-05,9.374,9.374,9.374,9.374,6.704235,0
