Date,Open,High,Low,Close,Adj Close,Volume
2019-07-17,0.311,0.311,0.311,0.311,0.311,2500
2019-07-18,0.307,0.3077,0.307,0.3077,0.3077,700
2019-07-19,0.293,0.293,0.293,0.293,0.293,400
2019-07-22,0.2882,0.2882,0.2882,0.2882,0.2882,1000
2019-07-23,0.2684,0.2684,0.2684,0.2684,0.2684,200
2019-07-24,0.2684,0.2684,0.2684,0.2684,0.2684,0
2019-07-25,0.2836,0.2836,0.2587,0.2587,0.2587,1180
2019-07-26,0.2587,0.2587,0.2587,0.2587,0.2587,0
2019-07-29,0.2532,0.2532,0.2532,0.2532,0.2532,386
2019-07-30,0.2492,0.264,0.2472,0.2472,0.2472,12368
2019-07-31,0.26,0.28,0.2573,0.27,0.27,67284
2019-08-01,0.2701,0.29316,0.2685,0.2857,0.2857,69840
2019-08-02,0.298,0.343,0.2964,0.34253,0.34253,244301
2019-08-05,0.7,1.5,0.6,0.65,0.65,157243
2019-08-06,0.352,0.66,0.3,0.53,0.53,196949
2019-08-07,0.37139,0.53,0.3602,0.3778,0.3778,107901
2019-08-08,0.38157,0.51,0.3635,0.4214,0.4214,67082
2019-08-09,0.4335,0.6299,0.4335,0.4645,0.4645,159520
2019-08-12,0.5192,0.65,0.47,0.59,0.59,243221
2019-08-13,0.60678,0.7,0.4648,0.5312,0.5312,344848
2019-08-14,0.5205,0.5999,0.4932,0.5212,0.5212,137328
2019-08-15,0.59,0.59,0.5071,0.51,0.51,44548
2019-08-16,0.53,0.53,0.477,0.4967,0.4967,68623
2019-08-19,0.5,0.5,0.3876,0.39,0.39,103408
2019-08-20,0.395,0.5,0.35,0.4227,0.4227,62619
2019-08-21,0.39,0.5,0.39,0.446,0.446,94851
2019-08-22,0.44677,0.5,0.41,0.4477,0.4477,122181
2019-08-23,0.45,0.475,0.4244,0.44,0.44,76185
2019-08-26,0.4484,0.4649,0.42,0.45677,0.45677,52574
2019-08-27,0.4551,0.4649,0.4156,0.4156,0.4156,57460
2019-08-28,0.4379,0.4399,0.374,0.43112,0.43112,125658
2019-08-29,0.4226,0.5,0.39,0.41939,0.41939,182474
2019-08-30,0.4186,0.46,0.3976,0.44,0.44,185367
2019-09-03,0.44,0.4448,0.41,0.4255,0.4255,41991
2019-09-04,0.423,0.5,0.4226,0.4422,0.4422,93338
2019-09-05,0.449,0.4601,0.4263,0.4401,0.4401,17327
2019-09-06,0.45,0.475,0.4229,0.468,0.468,81562
2019-09-09,0.4504,0.48,0.4236,0.435,0.435,49992
2019-09-10,0.45384,0.4799,0.4162,0.4162,0.4162,78502
2019-09-11,0.4221,0.48,0.39,0.4,0.4,53387
2019-09-12,0.435,0.47,0.399,0.4,0.4,70445
2019-09-13,0.4098,0.45,0.39,0.4,0.4,28639
2019-09-16,0.40916,0.4699,0.3812,0.39,0.39,116448
2019-09-17,0.44,0.44,0.3908,0.40567,0.40567,77295
2019-09-18,0.4057,0.4399,0.39,0.3935,0.3935,45895
2019-09-19,0.38821,0.4399,0.35,0.38,0.38,109025
2019-09-20,0.40467,0.46,0.3671,0.385,0.385,100116
2019-09-23,0.39,0.46,0.3863,0.41,0.41,82195
2019-09-24,0.4021,0.45,0.3797,0.4023,0.4023,49562
2019-09-25,0.39547,0.4399,0.38,0.4,0.4,27615
2019-09-26,0.41049,0.41049,0.38,0.40505,0.40505,51644
2019-09-27,0.4038,0.439,0.37,0.37,0.37,41883
2019-09-30,0.35869,0.36669,0.33489,0.3417,0.3417,63525
2019-10-01,0.3708,0.449,0.3,0.3746,0.3746,46194
2019-10-02,0.325,0.43,0.3199,0.35,0.35,35161
2019-10-03,0.35,0.43,0.35,0.43,0.43,37938
2019-10-04,0.41164,0.45,0.38,0.38738,0.38738,22234
2019-10-07,0.3874,0.45,0.37,0.4,0.4,32398
2019-10-08,0.4,0.44,0.367,0.37,0.37,40303
2019-10-09,0.386,0.4299,0.3689,0.3845,0.3845,33826
2019-10-10,0.4,0.4,0.36,0.37,0.37,18142
2019-10-11,0.3672,0.392,0.34,0.3791,0.3791,16816
2019-10-14,0.44,0.44,0.355,0.4198,0.4198,35440
2019-10-15,0.4198,0.427,0.37,0.427,0.427,29559
2019-10-16,0.4142,0.42,0.3746,0.41,0.41,25182
2019-10-17,0.44,0.44,0.3827,0.42,0.42,21461
2019-10-18,0.4084,0.42,0.37701,0.38,0.38,37563
2019-10-21,0.3825,0.42,0.3825,0.41085,0.41085,47117
2019-10-22,0.409,0.42,0.375,0.395,0.395,32809
2019-10-23,0.4,0.4198,0.38622,0.4,0.4,18485
2019-10-24,0.3959,0.42,0.3865,0.39,0.39,66188
2019-10-25,0.45,0.45,0.37,0.398,0.398,26289
2019-10-28,0.4199,0.4199,0.3714,0.3714,0.3714,30280
2019-10-29,0.3947,0.3947,0.37,0.3799,0.3799,27665
2019-10-30,0.3845,0.3879,0.3683,0.3743,0.3743,14687
2019-10-31,0.36,0.3779,0.36,0.36,0.36,11640
2019-11-01,0.359,0.37,0.3456,0.349,0.349,16138
2019-11-04,0.35,0.35,0.34,0.3479,0.3479,17629
2019-11-05,0.364,0.364,0.34,0.3499,0.3499,32741
2019-11-06,0.315,0.357,0.315,0.344,0.344,48865
2019-11-07,0.296,0.3468,0.296,0.332,0.332,29034
2019-11-08,0.3313,0.34,0.3313,0.3334,0.3334,6730
2019-11-11,0.33,0.35477,0.328,0.33563,0.33563,9255
2019-11-12,0.34599,0.3579,0.328,0.35,0.35,20873
2019-11-13,0.3585,0.3585,0.3492,0.35,0.35,35394
2019-11-14,0.308,0.352,0.308,0.349,0.349,29180
2019-11-15,0.318,0.35,0.318,0.3286,0.3286,48131
2019-11-18,0.309,0.3533,0.307,0.3428,0.3428,28334
2019-11-19,0.3495,0.3519,0.33,0.34,0.34,31258
2019-11-20,0.333,0.3408,0.315,0.3226,0.3226,32439
2019-11-21,0.3227,0.346,0.32,0.346,0.346,12374
2019-11-22,0.359,0.359,0.328,0.3368,0.3368,24953
2019-11-25,0.327,0.35,0.3,0.345,0.345,29020
2019-11-26,0.3328,0.337,0.311,0.3289,0.3289,25057
2019-11-27,0.3114,0.3476,0.31,0.3338,0.3338,20296
2019-11-29,0.3105,0.337,0.31,0.337,0.337,10388
2019-12-02,0.3368,0.3368,0.303,0.328,0.328,67683
2019-12-03,0.303,0.33,0.303,0.33,0.33,23633
2019-12-04,0.33,0.33,0.309,0.3203,0.3203,6856
2019-12-05,0.3226,0.3226,0.3,0.3,0.3,12950
2019-12-06,0.3075,0.3294,0.304,0.32483,0.32483,2824
2019-12-09,0.32,0.33,0.3053,0.31,0.31,12772
2019-12-10,0.318,0.318,0.3,0.3,0.3,3218
2019-12-11,0.29195,0.3014,0.2721,0.29193,0.29193,30606
2019-12-12,0.295,0.295,0.274,0.2834,0.2834,45955
2019-12-13,0.27343,0.292,0.27,0.274,0.274,35450
2019-12-16,0.26,0.27,0.22566,0.2426,0.2426,117310
2019-12-17,0.2391,0.2391,0.2117,0.233,0.233,48245
2019-12-18,0.219,0.2551,0.216,0.2392,0.2392,276734
2019-12-19,0.239,0.25,0.224,0.24,0.24,156917
2019-12-20,0.253,0.261,0.24,0.2528,0.2528,107152
2019-12-23,0.2388,0.3309,0.2388,0.3187,0.3187,235235
2019-12-24,0.32,0.4,0.3149,0.386,0.386,251503
2019-12-26,0.395,0.47,0.395,0.429,0.429,312757
2019-12-27,0.379,0.388,0.3155,0.32748,0.32748,401275
2019-12-30,0.34,0.35796,0.2631,0.27,0.27,173792
2019-12-31,0.27,0.3032,0.26,0.2966,0.2966,114822
2020-01-02,0.288,0.3148,0.28,0.3134,0.3134,95118
2020-01-03,0.319,0.34076,0.2943,0.31917,0.31917,34854
2020-01-06,0.293,0.31004,0.287,0.288,0.288,44882
2020-01-07,0.3025,0.3129,0.2634,0.28,0.28,37396
2020-01-08,0.26128,0.3074,0.26128,0.3,0.3,59189
2020-01-09,0.287,0.304,0.27,0.28957,0.28957,60507
2020-01-10,0.275,0.2967,0.2708,0.278,0.278,54726
2020-01-13,0.27,0.2948,0.27,0.2889,0.2889,64330
2020-01-14,0.279,0.29,0.279,0.287,0.287,25048
2020-01-15,0.287,0.31,0.274,0.274,0.274,62299
2020-01-16,0.2901,0.3067,0.2836,0.292,0.292,68734
2020-01-17,0.28,0.3025,0.28,0.29,0.29,9240
2020-01-21,0.2937,0.2947,0.26,0.2779,0.2779,139292
2020-01-22,0.29,0.299,0.26699,0.27,0.27,51801
2020-01-23,0.2903,0.2903,0.27073,0.28,0.28,16097
2020-01-24,0.2867,0.2867,0.25,0.266,0.266,106770
2020-01-27,0.2616,0.276,0.249,0.2604,0.2604,76439
2020-01-28,0.2792,0.3023,0.2744,0.29,0.29,53229
2020-01-29,0.2944,0.2969,0.2715,0.28,0.28,12709
2020-01-30,0.268,0.281,0.268,0.2735,0.2735,8034
2020-01-31,0.2924,0.29684,0.27,0.29,0.29,48734
2020-02-03,0.29803,0.29803,0.27,0.27708,0.27708,78101
