Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,0.01,0.03,0.01,0.03,0.03,83800
2023-01-18,0.15,4.49,0.15,0.85,0.85,129600
2023-01-19,1.47,5.24,1.35,5.0,5.0,67900
2023-01-20,5.46,14.0,5.46,6.25,6.25,26100
2023-01-23,6.5,6.51,1.75,3.225,3.225,10300
2023-01-24,3.0,3.0,1.0,1.8,1.8,12300
2023-01-25,1.375,1.438,1.05,1.25,1.25,1600
2023-01-26,1.0,2.138,1.0,2.0,2.0,1500
2023-01-27,2.16,2.5,2.16,2.5,2.5,2200
2023-01-30,2.61,2.61,0.8,1.25,1.25,33900
2023-01-31,1.313,5.5,1.313,5.5,5.5,13800
2023-02-01,1.49,3.5,1.49,2.0,2.0,5300
2023-02-02,1.65,2.55,1.5,1.5,1.5,3200
2023-02-03,1.5,2.5,1.5,2.5,2.5,700
2023-02-06,1.65,1.738,1.65,1.738,1.738,500
2023-02-07,2.0,2.225,2.0,2.225,2.225,600
2023-02-08,2.0,3.003,1.5,1.5,1.5,2200
2023-02-09,2.5,2.675,1.5,1.51,1.51,3400
2023-02-10,1.51,1.51,1.51,1.51,1.51,0
2023-02-13,2.5,2.5,2.5,2.5,2.5,200
2023-02-14,2.25,2.5,1.65,1.65,1.65,23600
2023-02-15,2.228,2.228,1.65,1.65,1.65,1300
2023-02-16,2.5,2.5,2.5,2.5,2.5,800
2023-02-17,2.45,2.45,2.4,2.4,2.4,700
2023-02-21,2.4,2.4,2.4,2.4,2.4,0
2023-02-22,1.75,1.76,1.7,1.7,1.7,700
2023-02-23,1.75,2.3,1.3,2.3,2.3,17100
2023-02-24,2.3,2.3,2.3,2.3,2.3,200
2023-02-27,1.8,1.8,1.8,1.8,1.8,200
2023-02-28,1.8,1.8,1.3,1.3,1.3,400
2023-03-01,1.3,1.3,1.3,1.3,1.3,0
2023-03-02,1.3,1.5,1.03,1.3,1.3,1400
2023-03-03,1.23,1.375,1.23,1.375,1.375,1300
2023-03-06,1.25,1.25,1.1,1.1,1.1,1100
2023-03-07,1.17,1.82,1.17,1.343,1.343,3300
2023-03-08,1.17,1.34,1.17,1.34,1.34,5200
2023-03-09,1.26,1.27,1.25,1.25,1.25,1900
2023-03-10,1.25,1.73,1.25,1.7,1.7,1000
2023-03-13,1.3,2.5,1.3,1.77,1.77,10800
2023-03-14,1.77,2.23,1.77,2.0,2.0,1700
2023-03-15,2.2,2.23,0.07,0.2,0.2,205900
2023-03-16,0.195,0.3,0.05,0.145,0.145,350900
2023-03-17,0.095,0.19,0.09,0.19,0.19,184800
2023-03-20,0.102,0.199,0.09,0.12,0.12,59300
2023-03-21,0.12,0.18,0.111,0.115,0.115,156800
2023-03-22,0.102,0.15,0.067,0.1,0.1,273500
2023-03-23,0.1,0.112,0.07,0.088,0.088,180700
2023-03-24,0.081,0.1,0.062,0.069,0.069,465200
2023-03-27,0.064,0.075,0.05,0.05,0.05,147800
2023-03-28,0.05,0.066,0.033,0.042,0.042,133900
2023-03-29,0.042,0.067,0.031,0.041,0.041,132600
2023-03-30,0.042,0.043,0.033,0.035,0.035,53000
2023-03-31,0.035,0.051,0.035,0.035,0.035,183500
2023-04-03,0.032,0.045,0.03,0.045,0.045,80000
2023-04-04,0.032,0.04,0.023,0.033,0.033,97600
2023-04-05,0.025,0.04,0.025,0.04,0.04,6800
2023-04-06,0.02,0.036,0.02,0.026,0.026,10300
2023-04-10,0.05,0.05,0.024,0.025,0.025,110700
2023-04-11,0.021,0.035,0.021,0.023,0.023,62300
2023-04-12,0.023,0.03,0.023,0.025,0.025,52300
2023-04-13,0.025,0.028,0.024,0.028,0.028,92500
2023-04-14,0.028,0.033,0.024,0.028,0.028,53600
2023-04-17,0.033,0.033,0.021,0.022,0.022,183500
2023-04-18,0.021,0.022,0.021,0.022,0.022,40700
2023-04-19,0.021,0.023,0.021,0.023,0.023,41900
2023-04-20,0.029,0.032,0.02,0.027,0.027,378800
2023-04-21,0.022,0.032,0.02,0.02,0.02,375300
2023-04-24,0.02,0.02,0.017,0.018,0.018,92000
2023-04-25,0.017,0.02,0.014,0.014,0.014,98200
2023-04-26,0.014,0.015,0.009,0.01,0.01,123700
2023-04-27,0.009,0.012,0.009,0.011,0.011,151400
2023-04-28,0.011,0.012,0.011,0.011,0.011,19200
2023-05-01,0.011,0.013,0.009,0.012,0.012,51000
2023-05-02,0.009,0.021,0.009,0.012,0.012,38600
2023-05-03,0.01,0.02,0.01,0.01,0.01,78700
2023-05-04,0.01,0.016,0.01,0.015,0.015,69400
2023-05-05,0.011,0.02,0.011,0.012,0.012,27600
