Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,36.880001,37.279999,36.700001,37.0,20.551855,3375900
2013-07-17,37.049999,37.279999,37.0,37.07,20.590733,2144400
2013-07-18,37.25,37.310001,36.990002,37.040001,20.574068,2109700
2013-07-19,37.119999,37.279999,37.0,37.169998,20.646278,2487600
2013-07-22,37.25,37.5,37.209999,37.349998,20.746264,1138200
2013-07-23,37.459999,37.59,37.360001,37.490002,20.824032,2281800
2013-07-24,37.57,37.619999,37.279999,37.5,20.829576,2794000
2013-07-25,37.389999,38.32,37.119999,38.189999,21.212845,3804600
2013-07-26,38.0,38.099998,37.720001,37.849998,21.023991,1977200
2013-07-29,37.790001,38.060001,37.509998,37.529999,20.846243,1092300
2013-07-30,37.669998,37.869999,37.400002,37.41,20.779587,1350000
2013-07-31,37.25,37.880001,37.25,37.540001,20.851803,1919600
2013-08-01,37.82,38.23,37.689999,38.130001,21.179518,1944200
2013-08-02,37.919998,38.23,37.799999,38.119999,21.173958,1630600
2013-08-05,38.110001,38.290001,37.990002,38.200001,21.218399,1178100
2013-08-06,38.139999,38.200001,37.91,37.93,21.068426,1531600
2013-08-07,37.84,37.970001,37.720001,37.849998,21.023991,2208600
2013-08-08,38.09,38.450001,37.919998,38.34,21.296162,1518000
2013-08-09,38.27,38.5,38.150002,38.18,21.207294,1049600
2013-08-12,38.0,38.279999,37.939999,38.25,21.246172,1143800
2013-08-13,38.27,38.48,38.23,38.360001,21.307272,1948300
2013-08-14,38.310001,38.490002,38.259998,38.369999,21.31282,2320200
2013-08-15,38.16,38.27,37.91,38.02,21.11842,3174100
2013-08-16,37.990002,38.02,37.400002,37.59,20.879572,2288800
2013-08-19,37.580002,37.650002,37.419998,37.439999,20.796253,1570400
2013-08-20,37.450001,37.799999,37.43,37.549999,20.857355,2065800
2013-08-21,37.490002,37.5,37.029999,37.139999,20.629616,1832600
2013-08-22,37.169998,37.560001,37.060001,37.470001,20.81292,1331800
2013-08-23,37.560001,37.66,37.310001,37.59,20.879572,1578800
2013-08-26,37.619999,37.75,37.169998,37.220001,20.674051,1630400
2013-08-27,36.959999,37.299999,36.810001,37.09,20.601845,2030400
2013-08-28,37.029999,37.130001,36.700001,36.799999,20.440762,2637000
2013-08-29,36.669998,37.560001,36.580002,37.459999,20.807356,2512800
2013-08-30,37.509998,37.619999,37.220001,37.400002,20.774035,2059000
2013-09-03,38.419998,38.650002,38.23,38.540001,21.407249,4127300
2013-09-04,38.259998,39.0,38.169998,38.740002,21.63059,4364200
2013-09-05,38.700001,38.810001,38.330002,38.43,21.457512,3378100
2013-09-06,38.470001,39.169998,37.959999,38.810001,21.669678,2530400
2013-09-09,38.84,39.619999,38.84,39.57,22.094027,2417300
2013-09-10,39.799999,39.939999,39.57,39.66,22.144279,2089100
2013-09-11,39.669998,39.779999,39.490002,39.709999,22.172195,1811200
2013-09-12,39.630001,39.810001,39.400002,39.400002,21.999107,1941900
2013-09-13,39.490002,39.830002,39.290001,39.709999,22.172195,1542200
2013-09-16,40.139999,40.450001,40.009998,40.41,22.563042,2350600
2013-09-17,40.470001,40.830002,40.389999,40.799999,22.780804,3745500
2013-09-18,40.900002,41.48,40.580002,41.369999,23.099062,2881500
2013-09-19,41.360001,41.41,41.02,41.099998,22.948307,1862400
2013-09-20,41.119999,41.18,40.720001,40.830002,22.797554,3022900
2013-09-23,40.779999,40.889999,40.52,40.57,22.652384,1016100
2013-09-24,40.52,40.720001,40.189999,40.220001,22.456961,2060900
2013-09-25,40.23,40.400002,39.990002,40.099998,22.389956,2235200
2013-09-26,40.240002,40.639999,40.099998,40.630001,22.685886,1818200
2013-09-27,40.57,40.700001,40.23,40.57,22.652384,1643700
2013-09-30,40.25,40.57,40.09,40.209999,22.451374,1656300
2013-10-01,40.09,40.869999,40.080002,40.799999,22.780804,2162600
2013-10-02,40.669998,40.84,40.389999,40.720001,22.736135,2014500
2013-10-03,40.57,40.610001,39.990002,40.259998,22.47929,2576600
2013-10-04,40.32,40.400002,39.950001,40.200001,22.445786,2519300
2013-10-07,39.900002,40.220001,39.689999,39.790001,22.216867,1864400
2013-10-08,39.869999,40.029999,39.57,39.689999,22.161026,2581500
2013-10-09,39.830002,40.02,39.490002,39.52,22.066113,2647100
2013-10-10,39.830002,40.560001,39.790001,40.560001,22.646795,1613100
2013-10-11,40.599998,40.880001,40.380001,40.880001,22.825474,1132600
2013-10-14,40.709999,41.07,40.490002,41.040001,22.914804,1167300
2013-10-15,41.049999,41.130001,40.360001,40.5,22.613297,1692800
2013-10-16,40.799999,41.23,40.740002,41.099998,22.948307,2082700
2013-10-17,41.07,41.919998,40.880001,41.91,23.400576,1968600
2013-10-18,42.16,42.200001,41.799999,42.189999,23.556906,2825400
2013-10-21,42.16,42.16,41.779999,42.130001,23.523413,1664800
2013-10-22,42.369999,42.950001,42.279999,42.779999,23.886341,2338500
2013-10-23,42.549999,42.669998,42.169998,42.470001,23.713249,2306200
2013-10-24,42.009998,42.169998,40.07,40.450001,22.585377,6536300
2013-10-25,40.080002,41.220001,39.93,41.18,22.992979,2998200
2013-10-28,41.259998,42.09,41.139999,42.049999,23.478745,1919700
2013-10-29,42.099998,42.59,42.049999,42.57,23.769085,2088200
2013-10-30,42.709999,42.759998,41.98,41.990002,23.445244,2391000
2013-10-31,42.0,42.060001,41.700001,41.73,23.30007,2104200
2013-11-01,41.82,42.029999,41.32,41.77,23.322399,1957800
2013-11-04,41.650002,41.939999,41.540001,41.759998,23.31682,1331900
2013-11-05,41.389999,41.540001,41.099998,41.119999,22.959475,1901100
2013-11-06,41.18,41.639999,41.02,41.619999,23.238653,1866300
2013-11-07,41.639999,41.709999,40.82,40.939999,22.858969,1487100
2013-11-08,41.009998,41.330002,40.490002,41.32,23.071146,1242100
2013-11-11,41.349998,41.450001,41.209999,41.389999,23.110228,735100
2013-11-12,41.400002,41.75,41.220001,41.73,23.30007,1745100
2013-11-13,41.419998,41.950001,41.330002,41.950001,23.422907,1497400
2013-11-14,42.0,42.439999,41.939999,42.209999,23.568075,2232200
2013-11-15,42.200001,42.299999,41.639999,42.060001,23.484329,1272200
2013-11-18,42.119999,42.240002,41.82,41.959999,23.42849,905600
2013-11-19,41.970001,42.110001,41.48,41.669998,23.266567,2797300
2013-11-20,41.540001,41.799999,41.259998,41.310001,23.176798,1080700
2013-11-21,41.389999,42.049999,41.349998,42.0,23.563921,1206100
2013-11-22,42.02,42.049999,41.41,41.57,23.32267,2954600
2013-11-25,41.73,41.880001,41.360001,41.419998,23.238514,1502600
2013-11-26,41.619999,42.09,41.509998,41.889999,23.502209,2031300
2013-11-27,41.860001,42.23,41.759998,42.16,23.653687,848900
2013-11-29,42.119999,42.209999,41.869999,41.939999,23.530256,642000
2013-12-02,41.93,42.41,41.919998,42.130001,23.63686,1573800
2013-12-03,42.040001,42.5,41.98,42.490002,23.838835,1674600
2013-12-04,42.400002,42.869999,42.029999,42.720001,23.967873,2575300
2013-12-05,42.580002,42.669998,42.099998,42.150002,23.648079,1719300
2013-12-06,42.57,42.849998,42.470001,42.59,23.894934,1543400
2013-12-09,42.599998,42.669998,41.990002,42.330002,23.749069,1910700
2013-12-10,42.349998,42.349998,41.790001,41.919998,23.519033,1373100
2013-12-11,42.040001,42.310001,41.68,41.93,23.524649,2430000
2013-12-12,41.900002,42.009998,40.880001,40.91,22.952381,2037000
2013-12-13,40.880001,41.150002,40.549999,40.66,22.812122,1443000
2013-12-16,40.950001,41.400002,40.82,41.32,23.182415,1334800
2013-12-17,41.330002,41.700001,41.220001,41.549999,23.311453,1773600
2013-12-18,41.790001,42.330002,41.099998,42.25,23.704182,1889100
2013-12-19,42.34,42.66,42.25,42.389999,23.782732,2266300
2013-12-20,42.560001,43.259998,42.43,43.139999,24.203514,4495000
2013-12-23,43.32,43.48,42.939999,43.130001,24.197903,1247100
2013-12-24,43.259998,43.5,43.139999,43.41,24.354994,411300
2013-12-26,43.439999,43.610001,43.200001,43.540001,24.427929,714500
2013-12-27,43.689999,43.77,43.419998,43.630001,24.478428,706900
2013-12-30,43.68,44.049999,43.68,44.029999,24.702845,2527700
2013-12-31,44.130001,44.360001,44.040001,44.130001,24.758949,932300
2014-01-02,43.860001,44.029999,43.450001,43.580002,24.450375,3407700
2014-01-03,43.360001,44.029999,43.299999,43.669998,24.500864,1148800
2014-01-06,43.970001,44.09,43.310001,43.32,24.304501,1793800
2014-01-07,43.34,44.110001,43.290001,44.009998,24.691622,1694600
2014-01-08,44.189999,44.34,43.82,43.98,24.674791,1916000
2014-01-09,43.959999,44.349998,43.860001,44.23,24.815054,1546200
2014-01-10,44.139999,44.459999,43.919998,44.400002,24.910431,1832200
2014-01-13,44.25,44.560001,43.779999,43.91,24.635517,1761100
2014-01-14,44.099998,44.549999,44.040001,44.509998,24.972145,1619000
2014-01-15,44.669998,44.93,44.360001,44.759998,25.112406,1580100
2014-01-16,44.650002,44.75,43.669998,44.52,24.977762,1535900
2014-01-17,44.470001,44.529999,44.169998,44.279999,24.843105,1306900
2014-01-21,44.68,44.880001,44.5,44.759998,25.112406,1262300
2014-01-22,44.919998,45.029999,44.66,44.869999,25.17412,1745900
2014-01-23,44.540001,44.639999,44.060001,44.18,24.787006,1395100
2014-01-24,43.919998,44.060001,43.529999,43.529999,24.422319,1964300
2014-01-27,43.549999,43.779999,43.32,43.330002,24.310112,1893300
2014-01-28,43.41,44.029999,43.369999,43.990002,24.680401,1919300
2014-01-29,43.689999,43.689999,43.080002,43.139999,24.203514,2321500
2014-01-30,43.419998,44.02,43.389999,43.849998,24.601854,1277000
2014-01-31,43.450001,43.75,42.939999,43.290001,24.287666,2069700
2014-02-03,43.400002,43.689999,42.07,42.130001,23.63686,2388300
2014-02-04,42.25,42.990002,42.240002,42.950001,24.096916,2520300
2014-02-05,42.869999,43.540001,42.32,43.439999,24.371828,3258200
2014-02-06,42.950001,44.259998,42.939999,44.200001,24.798222,2402200
2014-02-07,44.330002,44.810001,44.240002,44.400002,24.910431,2355500
2014-02-10,44.310001,44.759998,44.060001,44.740002,25.101192,1399400
2014-02-11,44.779999,45.380001,44.560001,45.330002,25.432203,2127800
2014-02-12,45.43,45.779999,45.34,45.5,25.52758,3445600
2014-02-13,45.240002,45.990002,45.150002,45.959999,25.785669,2794200
2014-02-14,45.560001,46.18,45.459999,46.150002,25.892262,1829500
2014-02-18,46.060001,46.5,45.93,46.34,25.998863,2112500
2014-02-19,46.200001,46.529999,46.049999,46.150002,25.892262,1718500
2014-02-20,46.240002,46.990002,46.130001,46.880001,26.301825,2686800
2014-02-21,46.990002,47.459999,46.799999,47.34,26.559906,2712200
2014-02-24,47.419998,47.889999,47.23,47.25,26.509407,2890200
2014-02-25,47.380001,47.509998,46.939999,46.990002,26.363541,2080300
2014-02-26,47.139999,47.209999,46.459999,46.470001,26.071802,2098900
2014-02-27,46.459999,46.93,46.23,46.75,26.228889,1603600
2014-02-28,46.82,47.450001,46.740002,47.080002,26.414036,1676700
2014-03-03,46.669998,46.959999,46.400002,46.439999,26.054962,2173600
2014-03-04,46.740002,47.099998,46.43,46.939999,26.335487,3087700
2014-03-05,46.68,47.52,46.68,47.459999,26.769812,2327200
2014-03-06,47.490002,47.860001,47.419998,47.740002,26.927746,2112000
2014-03-07,47.849998,47.900002,47.290001,47.419998,26.747246,2010800
2014-03-10,47.41,47.459999,46.98,47.07,26.549826,1454200
2014-03-11,47.23,47.27,46.689999,46.919998,26.465218,1806100
2014-03-12,46.68,47.009998,46.560001,46.91,26.459583,1172700
2014-03-13,47.119999,47.169998,46.27,46.299999,26.115511,1585200
2014-03-14,46.25,47.02,46.25,46.5,26.228317,1816000
2014-03-17,46.93,47.939999,46.75,47.869999,27.00107,2626400
2014-03-18,47.860001,47.98,47.599998,47.669998,26.888248,1485300
2014-03-19,47.66,47.720001,47.139999,47.560001,26.826216,2230300
2014-03-20,47.419998,47.919998,47.34,47.75,26.93338,2085500
2014-03-21,47.75,47.869999,47.220001,47.369999,26.719042,3403300
2014-03-24,47.369999,47.549999,46.439999,46.470001,26.211405,2058200
2014-03-25,46.84,46.93,46.389999,46.560001,26.262165,2335600
2014-03-26,46.73,46.75,46.279999,46.290001,26.109871,1530900
2014-03-27,46.27,46.490002,46.080002,46.439999,26.194475,2342300
2014-03-28,46.580002,46.889999,46.549999,46.849998,26.425732,953400
2014-03-31,47.139999,48.040001,47.099998,47.759998,26.939024,2309300
2014-04-01,47.610001,47.810001,47.150002,47.599998,26.848768,1777700
2014-04-02,47.66,47.959999,47.549999,47.799999,26.961578,2158800
2014-04-03,47.93,47.93,47.41,47.66,26.882616,1609300
2014-04-04,47.919998,47.919998,46.860001,46.880001,26.442657,1757000
2014-04-07,46.860001,46.98,45.970001,46.0,25.946295,3017400
2014-04-08,46.209999,46.290001,45.48,46.189999,26.053465,3948300
2014-04-09,46.41,46.5,46.07,46.459999,26.205755,1685900
2014-04-10,46.450001,47.07,45.959999,45.959999,25.923737,2397100
2014-04-11,45.990002,46.130001,45.220001,45.240002,25.517612,1982900
2014-04-14,45.52,45.75,45.139999,45.360001,25.5853,2737900
2014-04-15,45.259998,45.330002,44.200001,44.560001,25.134066,4510000
2014-04-16,44.509998,44.990002,44.48,44.849998,25.29764,4616900
2014-04-17,44.82,45.34,44.599998,45.189999,25.489414,2331400
2014-04-21,45.34,45.439999,45.060001,45.130001,25.455572,2301900
2014-04-22,45.080002,45.16,44.830002,44.900002,25.32585,3039400
2014-04-23,45.0,45.169998,44.959999,45.029999,25.399164,2819300
2014-04-24,46.75,46.75,45.0,46.509998,26.233963,4360800
2014-04-25,46.5,46.5,45.720001,45.75,25.805283,2858000
2014-04-28,45.849998,46.369999,45.700001,45.970001,25.929373,2414600
2014-04-29,45.610001,45.82,45.299999,45.540001,25.686832,3797100
2014-04-30,45.279999,45.5,45.099998,45.439999,25.630428,2003300
2014-05-01,45.560001,45.919998,45.310001,45.849998,25.861689,1483600
2014-05-02,45.43,46.310001,45.43,46.25,26.087305,2167600
2014-05-05,46.07,46.66,46.07,46.389999,26.166275,1246500
2014-05-06,46.220001,46.529999,46.07,46.099998,26.002695,1204600
2014-05-07,46.330002,46.580002,46.009998,46.490002,26.222677,1087200
2014-05-08,46.450001,46.700001,45.970001,46.18,26.047829,1215800
2014-05-09,46.16,46.970001,46.02,46.950001,26.482151,1420000
2014-05-12,46.990002,47.57,46.93,47.52,26.803648,2332900
2014-05-13,47.549999,47.73,47.34,47.540001,26.814932,1125000
2014-05-14,47.549999,47.639999,47.209999,47.279999,26.668283,1342800
2014-05-15,46.98,47.119999,46.389999,46.549999,26.256523,1309800
2014-05-16,46.57,46.68,46.119999,46.650002,26.312929,1861900
2014-05-19,46.610001,47.130001,46.439999,46.799999,26.397533,1507800
2014-05-20,46.779999,46.990002,46.369999,46.57,26.267799,1169000
2014-05-21,46.57,46.75,45.98,46.0,25.946295,2202600
2014-05-22,45.959999,46.080002,45.380001,45.82,25.844765,2799600
2014-05-23,45.939999,46.09,45.740002,45.849998,25.861689,2099000
2014-05-27,45.93,46.110001,45.279999,45.299999,25.551458,3427300
2014-05-28,45.32,45.919998,45.32,45.849998,25.861689,3268700
2014-05-29,46.139999,46.169998,45.68,45.970001,25.929373,2173100
2014-05-30,45.860001,45.880001,45.52,45.639999,25.743238,2484200
2014-06-02,45.68,46.049999,45.400002,45.66,25.754519,3166900
2014-06-03,45.529999,45.889999,45.23,45.669998,25.760159,2241100
2014-06-04,45.459999,46.099998,45.459999,45.950001,26.060747,1963400
2014-06-05,46.139999,46.139999,44.799999,45.099998,25.578669,3620500
2014-06-06,45.209999,45.73,45.09,45.66,25.896275,1442900
2014-06-09,45.650002,45.91,45.490002,45.779999,25.964331,1301200
2014-06-10,45.5,45.669998,45.139999,45.27,25.675087,2645200
2014-06-11,45.200001,45.349998,44.740002,44.759998,25.385836,2924100
2014-06-12,44.759998,45.150002,44.68,44.759998,25.385836,1381300
2014-06-13,44.630001,44.779999,44.299999,44.580002,25.283749,2215200
2014-06-16,44.330002,44.790001,43.959999,44.720001,25.363148,1970800
2014-06-17,44.709999,45.209999,44.610001,45.18,25.624044,2020900
2014-06-18,45.220001,46.080002,45.0,45.939999,26.055077,9175900
2014-06-19,45.919998,47.610001,45.900002,47.529999,26.956858,7581400
2014-06-20,47.619999,47.779999,47.27,47.619999,27.007896,3460600
2014-06-23,47.630001,47.799999,47.369999,47.580002,26.985214,1787000
2014-06-24,47.41,47.41,47.0,47.09,26.707308,1584400
2014-06-25,47.049999,47.560001,46.900002,47.549999,26.968191,1861900
2014-06-26,47.470001,47.779999,47.209999,47.639999,27.019239,1611200
2014-06-27,47.529999,48.130001,47.509998,47.919998,27.17804,4285800
2014-06-30,47.869999,48.060001,47.59,47.779999,27.09864,5479100
2014-07-01,48.0,48.049999,47.349998,47.93,27.183718,4546100
2014-07-02,48.02,48.43,47.889999,48.040001,27.246105,1496000
2014-07-03,47.93,48.169998,47.900002,47.950001,27.195057,1509100
2014-07-07,47.98,48.330002,47.779999,48.189999,27.331175,1729200
2014-07-08,48.0,48.07,47.360001,47.599998,26.996548,1844000
2014-07-09,47.73,48.119999,47.73,47.939999,27.189388,1914100
2014-07-10,47.509998,48.599998,47.450001,48.459999,27.48431,2574600
2014-07-11,48.330002,48.689999,48.049999,48.34,27.416252,2670400
2014-07-14,48.5,48.619999,48.34,48.459999,27.48431,2053000
2014-07-15,48.400002,48.599998,48.009998,48.220001,27.348192,1935200
2014-07-16,48.419998,48.529999,48.23,48.450001,27.478638,1742700
2014-07-17,48.41,48.869999,48.290001,48.380001,27.438936,2414800
2014-07-18,48.5,48.880001,48.310001,48.77,27.660128,2610900
2014-07-21,48.740002,48.75,48.200001,48.5,27.506998,1439000
2014-07-22,48.490002,48.779999,48.27,48.439999,27.472961,2896200
2014-07-23,48.599998,48.82,48.459999,48.759998,27.654451,3213100
2014-07-24,48.75,49.169998,48.509998,48.799999,27.677134,2317400
2014-07-25,48.810001,48.93,48.0,48.049999,27.251774,2208700
2014-07-28,48.060001,48.150002,47.52,47.73,27.070284,1996700
2014-07-29,47.889999,48.09,47.610001,47.709999,27.058943,1688900
2014-07-30,47.950001,47.950001,46.68,46.700001,26.486111,2514400
2014-07-31,46.52,46.52,45.349998,45.450001,25.77717,2835300
2014-08-01,45.450001,45.509998,45.119999,45.310001,25.697775,2314000
2014-08-04,45.400002,45.5,44.91,45.009998,25.527624,2070900
2014-08-05,44.959999,45.240002,44.459999,44.689999,25.346132,1795000
2014-08-06,44.59,45.439999,44.52,45.400002,25.74881,2273200
2014-08-07,45.540001,45.650002,45.049999,45.209999,25.641052,1588300
2014-08-08,45.299999,46.040001,45.09,46.0,26.089108,1748000
2014-08-11,46.060001,46.450001,46.009998,46.16,26.179846,1199900
2014-08-12,46.099998,46.25,45.860001,46.169998,26.185518,1005400
2014-08-13,46.290001,46.889999,46.220001,46.849998,26.571182,1929900
2014-08-14,46.849998,47.169998,46.799999,47.139999,26.735662,1590500
2014-08-15,47.25,48.040001,47.130001,47.48,26.92849,1449200
2014-08-18,47.650002,48.07,47.580002,47.84,27.132669,1377000
2014-08-19,47.82,50.0,47.77,48.330002,27.410578,2252600
2014-08-20,48.27,48.5,47.619999,47.689999,27.047598,1472700
2014-08-21,47.66,47.849998,47.549999,47.57,26.97954,951000
2014-08-22,47.540001,47.689999,47.07,47.099998,26.712978,1169300
2014-08-25,47.32,47.5,47.139999,47.380001,26.871786,1603300
2014-08-26,47.5,47.93,47.400002,47.5,26.939838,830500
2014-08-27,47.459999,47.720001,47.310001,47.709999,27.058943,859000
2014-08-28,47.57,47.849998,47.450001,47.599998,26.996548,752100
2014-08-29,47.580002,47.82,47.419998,47.779999,27.09864,1150900
2014-09-02,47.84,48.040001,47.110001,47.220001,26.781031,1842000
2014-09-03,46.57,47.869999,46.5,47.849998,27.282782,2099800
2014-09-04,47.790001,47.790001,46.25,46.369999,26.438932,3447300
2014-09-05,46.41,47.029999,46.169998,47.029999,26.815241,1282700
2014-09-08,46.91,47.060001,46.349998,46.540001,26.535862,1087700
2014-09-09,46.349998,46.419998,46.02,46.080002,26.273579,1307700
2014-09-10,46.02,46.139999,45.669998,45.790001,26.108229,1972600
2014-09-11,45.73,46.029999,45.59,45.93,26.188053,1620800
2014-09-12,45.810001,45.860001,45.139999,45.189999,25.766129,1582900
2014-09-15,45.419998,45.419998,44.860001,45.200001,25.771832,1812100
2014-09-16,45.27,45.560001,44.900002,45.52,25.954287,2883800
2014-09-17,45.57,46.07,45.400002,45.880001,26.159555,2387100
2014-09-18,46.16,46.25,45.669998,45.720001,26.068321,1903100
2014-09-19,46.040001,46.380001,45.779999,46.27,26.381908,3562200
2014-09-22,46.119999,46.240002,45.970001,46.119999,26.296391,1873100
2014-09-23,45.880001,45.919998,45.029999,45.060001,25.692009,2443800
2014-09-24,45.200001,45.82,45.099998,45.779999,26.10253,1377400
2014-09-25,45.52,45.549999,44.869999,45.0,25.657791,1342000
2014-09-26,45.009998,45.32,44.66,45.279999,25.817444,1729400
2014-09-29,44.880001,45.200001,44.709999,45.110001,25.72051,1177200
2014-09-30,45.040001,45.18,44.349998,44.360001,25.292883,3216400
2014-10-01,44.369999,44.459999,43.580002,43.77,24.956484,3392700
2014-10-02,43.610001,43.84,43.220001,43.619999,24.870953,2641300
2014-10-03,43.669998,44.200001,43.43,44.080002,25.133234,3247200
2014-10-06,44.630001,44.849998,43.66,43.84,24.996395,1585600
2014-10-07,43.630001,43.689999,42.5,42.549999,24.26087,3844900
2014-10-08,42.610001,43.360001,42.43,43.330002,24.705605,3696100
2014-10-09,43.330002,43.459999,41.990002,42.040001,23.970085,2587900
2014-10-10,42.040001,42.220001,41.529999,41.540001,23.68499,3206900
2014-10-13,41.59,41.619999,40.400002,40.439999,23.057798,2809400
2014-10-14,40.48,40.740002,39.93,40.490002,23.086315,5900800
2014-10-15,40.0,40.23,39.220001,40.009998,22.812628,4338300
2014-10-16,39.259998,40.400002,39.049999,40.009998,22.812628,4718800
2014-10-17,40.389999,41.369999,40.200001,41.110001,23.439817,2238200
2014-10-20,41.049999,42.110001,40.959999,41.91,23.89596,2548300
2014-10-21,41.57,41.970001,41.389999,41.650002,23.747717,2726800
2014-10-22,41.630001,41.860001,41.110001,41.32,23.559563,3832500
2014-10-23,42.41,43.360001,42.080002,42.200001,24.06131,4602800
2014-10-24,42.310001,42.580002,41.529999,42.380001,24.16394,2818600
2014-10-27,42.16,42.68,41.93,42.380001,24.16394,2528400
2014-10-28,42.650002,43.32,42.419998,43.310001,24.694202,1916600
2014-10-29,43.27,43.369999,42.709999,43.0,24.517452,1485600
2014-10-30,42.959999,43.34,42.810001,43.130001,24.591568,1441400
2014-10-31,43.369999,43.68,43.130001,43.349998,24.717009,1982200
2014-11-03,43.400002,43.52,42.84,42.959999,24.494635,1640300
2014-11-04,42.93,42.93,42.27,42.490002,24.226665,1966900
2014-11-05,43.060001,43.060001,42.0,42.189999,24.055607,2286500
2014-11-06,42.299999,42.959999,42.130001,42.860001,24.437628,1954900
2014-11-07,42.810001,42.98,42.509998,42.720001,24.357801,1530000
2014-11-10,42.720001,42.810001,42.389999,42.619999,24.300779,1043800
2014-11-11,42.75,42.849998,42.43,42.549999,24.26087,1313900
2014-11-12,42.400002,42.959999,42.16,42.860001,24.437628,1349100
2014-11-13,42.939999,43.110001,42.450001,42.73,24.363501,882600
2014-11-14,42.619999,42.709999,42.040001,42.290001,24.112623,1362500
2014-11-17,42.389999,43.310001,42.279999,43.25,24.659994,1592800
2014-11-18,43.279999,43.799999,43.080002,43.630001,24.876659,2435400
2014-11-19,43.27,43.650002,43.209999,43.57,24.985613,2453700
2014-11-20,43.400002,44.549999,43.34,43.970001,25.214994,3717400
2014-11-21,44.450001,44.450001,43.630001,43.720001,25.071632,2418500
2014-11-24,43.73,44.330002,43.73,43.849998,25.146179,2299400
2014-11-25,43.98,44.220001,43.849998,43.869999,25.15765,2154100
2014-11-26,43.950001,44.099998,43.68,43.799999,25.117514,983700
2014-11-28,43.889999,44.119999,43.73,43.939999,25.197794,761800
