Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,24.91,24.99,24.459999,24.75,19.093691,6900
2013-07-17,25.33,25.389999,25.200001,25.26,19.487135,5700
2013-07-18,24.84,24.870001,24.379999,24.870001,19.186268,8900
2013-07-19,24.629999,24.719999,24.469999,24.68,19.039688,2600
2013-07-22,24.73,24.860001,24.68,24.68,19.039688,6000
2013-07-23,24.73,25.030001,24.58,24.91,19.217123,6200
2013-07-24,25.110001,25.17,24.66,24.76,19.101404,1900
2013-07-25,25.299999,25.43,25.18,25.370001,19.571999,11600
2013-07-26,25.52,25.59,25.25,25.309999,19.525707,6200
2013-07-29,25.469999,26.02,25.459999,25.67,19.803438,12400
2013-07-30,25.9,25.9,25.5,25.639999,19.780289,12000
2013-07-31,25.959999,26.120001,25.889999,26.01,20.065733,6300
2013-08-01,26.84,27.34,26.809999,27.17,20.96063,5900
2013-08-02,27.5,27.700001,27.309999,27.629999,21.315502,117900
2013-08-05,27.709999,27.879999,27.639999,27.76,21.415791,9300
2013-08-06,27.610001,27.799999,27.6,27.73,21.392649,8900
2013-08-07,28.059999,28.5,28.049999,28.18,21.739805,14500
2013-08-08,29.26,29.440001,29.129999,29.309999,22.611557,14800
2013-08-09,29.25,30.01,29.25,29.610001,22.843,10400
2013-08-12,28.879999,29.16,28.639999,28.84,22.248974,14900
2013-08-13,28.59,29.0,28.4,28.719999,22.156397,13500
2013-08-14,28.549999,28.860001,28.33,28.83,22.241253,25100
2013-08-15,27.6,27.98,27.6,27.870001,21.500654,13800
2013-08-16,27.379999,27.860001,27.17,27.860001,21.492937,28700
2013-08-19,27.110001,27.389999,27.1,27.32,21.076347,10100
2013-08-20,26.58,27.950001,26.25,27.9,21.523794,39000
2013-08-21,27.959999,28.0,27.75,27.790001,21.438938,5400
2013-08-22,27.65,27.74,27.450001,27.700001,21.369507,6600
2013-08-23,28.25,28.360001,28.120001,28.24,21.786091,9800
2013-08-26,28.24,28.24,28.110001,28.16,21.724377,4400
2013-08-27,27.1,27.379999,26.9,27.049999,20.868055,8600
2013-08-28,27.08,27.120001,26.92,26.92,20.767763,10500
2013-08-29,27.34,27.35,27.049999,27.049999,20.868055,10500
2013-08-30,27.42,27.469999,27.030001,27.469999,21.192068,38800
2013-09-03,28.07,28.110001,27.889999,27.93,21.546942,4400
2013-09-04,28.58,29.15,28.559999,29.08,22.434124,11600
2013-09-05,28.950001,29.0,28.950001,29.0,22.372406,8200
2013-09-06,29.049999,29.34,28.98,29.200001,22.526699,5200
2013-09-09,29.51,29.709999,29.51,29.629999,22.858427,16900
2013-09-10,29.799999,29.82,29.68,29.77,22.966433,4100
2013-09-11,29.98,30.27,29.959999,30.27,23.352161,27100
2013-09-12,30.01,30.469999,29.99,30.219999,23.313587,29500
2013-09-13,30.469999,30.76,30.469999,30.549999,23.568171,18300
2013-09-16,31.139999,31.299999,30.82,30.82,23.776468,35500
2013-09-17,31.219999,31.35,31.200001,31.219999,24.085052,17100
2013-09-18,31.209999,31.82,31.18,31.780001,24.517069,3900
2013-09-19,31.15,31.15,30.719999,30.780001,23.745607,11500
2013-09-20,29.59,30.24,29.4,29.57,22.81214,32300
2013-09-23,29.41,29.48,28.43,29.049999,22.410976,17400
2013-09-24,29.74,29.969999,29.59,29.84,23.020435,35900
2013-09-25,29.530001,29.629999,29.42,29.51,22.765852,5400
2013-09-26,29.440001,29.6,29.370001,29.530001,22.781281,8000
2013-09-27,29.59,29.74,29.540001,29.66,22.881573,44600
2013-09-30,29.66,30.030001,29.66,29.870001,23.043581,9800
2013-10-01,29.530001,29.610001,29.459999,29.459999,22.727276,4600
2013-10-02,28.709999,28.75,28.59,28.639999,22.094677,9100
2013-10-03,28.52,28.52,28.24,28.24,21.786091,2500
2013-10-04,28.17,28.299999,28.1,28.26,21.801525,5700
2013-10-07,28.09,28.610001,28.01,28.17,21.73209,19700
2013-10-08,27.91,28.0,27.58,27.690001,21.36179,3500
2013-10-09,27.34,27.48,27.110001,27.42,21.153496,20700
2013-10-10,27.66,27.889999,27.559999,27.889999,21.516081,3900
2013-10-11,27.52,27.66,27.379999,27.66,21.338644,4000
2013-10-14,28.030001,28.07,27.709999,27.860001,21.492937,5500
2013-10-15,27.389999,27.530001,27.16,27.450001,21.176638,16900
2013-10-16,27.790001,27.93,27.790001,27.889999,21.516081,5200
2013-10-17,28.1,28.290001,28.0,28.280001,21.816954,3800
2013-10-18,28.23,28.549999,28.200001,28.48,21.971243,8700
2013-10-21,28.559999,28.629999,28.389999,28.389999,21.901814,3400
2013-10-22,28.66,28.85,28.6,28.620001,22.079248,4700
2013-10-23,28.76,28.860001,28.700001,28.74,22.171825,3600
2013-10-24,29.26,29.41,29.209999,29.35,22.642418,14300
2013-10-25,29.360001,29.389999,29.280001,29.389999,22.673275,3200
2013-10-28,29.309999,29.469999,29.309999,29.32,22.619272,5100
2013-10-29,28.950001,29.0,28.299999,28.84,22.248974,18900
2013-10-30,28.82,28.82,28.65,28.65,22.102394,2500
2013-10-31,28.76,28.91,28.76,28.860001,22.264402,4500
2013-11-01,28.6,28.6,28.41,28.559999,22.032961,6000
2013-11-04,28.299999,28.370001,28.18,28.370001,21.886385,4000
2013-11-05,27.860001,28.32,27.860001,28.32,21.847811,11700
2013-11-06,28.48,28.540001,28.18,28.41,21.917242,20700
2013-11-07,29.059999,29.110001,28.75,28.799999,22.218115,16000
2013-11-08,28.75,28.85,28.639999,28.85,22.256685,4600
2013-11-11,28.35,28.35,28.120001,28.34,21.863241,7300
2013-11-12,27.67,27.84,27.5,27.780001,21.431221,8700
2013-11-13,27.73,28.040001,27.73,28.040001,21.631805,2300
2013-11-14,28.120001,28.26,28.049999,28.26,21.801525,14700
2013-11-15,28.049999,28.459999,27.940001,28.43,21.932673,11500
2013-11-18,28.68,28.68,28.51,28.559999,22.032961,8700
2013-11-19,28.639999,28.799999,28.540001,28.799999,22.218115,17100
2013-11-20,28.85,29.200001,28.6,28.610001,22.071535,8700
2013-11-21,28.52,28.74,28.52,28.73,22.164108,1600
2013-11-22,28.99,29.09,28.870001,29.09,22.441837,8700
2013-11-25,29.09,29.09,28.879999,28.879999,22.279829,7300
2013-11-26,28.559999,28.559999,28.18,28.23,21.778379,37800
2013-11-27,28.33,28.440001,28.299999,28.379999,21.894098,36500
2013-11-29,28.129999,28.139999,28.040001,28.1,21.678089,2300
2013-12-02,28.07,28.280001,28.07,28.110001,21.685804,3100
2013-12-03,28.4,28.41,27.91,28.040001,21.631805,5900
2013-12-04,27.530001,27.65,27.469999,27.6,21.29236,6700
2013-12-05,27.469999,27.469999,27.27,27.299999,21.060921,5500
2013-12-06,27.66,27.73,27.66,27.719999,21.384933,3200
