Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,7.36,7.49,7.36,7.46,7.46,108100
2013-07-17,7.51,7.56,7.39,7.39,7.39,97000
2013-07-18,7.4,7.56,7.4,7.41,7.41,78100
2013-07-19,7.44,7.58,7.35,7.45,7.45,74600
2013-07-22,7.5,7.55,7.4,7.46,7.46,76300
2013-07-23,7.5,7.52,7.44,7.46,7.46,86000
2013-07-24,7.45,7.51,7.42,7.44,7.44,86100
2013-07-25,7.42,7.52,7.42,7.49,7.49,181100
2013-07-26,7.5,7.54,7.45,7.5,7.5,200200
2013-07-29,7.52,7.55,7.47,7.48,7.48,64200
2013-07-30,7.51,7.58,7.46,7.48,7.48,242700
2013-07-31,7.52,7.55,7.35,7.49,7.49,242300
2013-08-01,7.55,7.68,7.41,7.62,7.62,72600
2013-08-02,7.58,7.73,7.46,7.71,7.71,65200
2013-08-05,7.73,7.79,7.55,7.75,7.75,72200
2013-08-06,7.82,7.88,7.75,7.85,7.85,89200
2013-08-07,7.87,8.09,7.81,8.04,8.04,86500
2013-08-08,7.3,7.44,6.72,6.79,6.79,741700
2013-08-09,6.76,6.82,6.62,6.64,6.64,264000
2013-08-12,6.65,6.65,6.57,6.62,6.62,103400
2013-08-13,6.68,6.7,6.6,6.67,6.67,54600
2013-08-14,6.65,6.7,6.58,6.64,6.64,60400
2013-08-15,6.64,6.66,6.58,6.59,6.59,61200
2013-08-16,6.61,6.61,6.53,6.57,6.57,62300
2013-08-19,6.54,6.6,6.54,6.58,6.58,38300
2013-08-20,6.56,6.65,6.55,6.61,6.61,68200
2013-08-21,6.63,6.94,6.55,6.57,6.57,64500
2013-08-22,6.59,6.78,6.55,6.6,6.6,25100
2013-08-23,6.59,6.96,6.59,6.87,6.87,260700
2013-08-26,6.95,6.95,6.73,6.75,6.75,27500
2013-08-27,6.7,6.75,6.55,6.57,6.57,32500
2013-08-28,6.58,6.59,6.5,6.51,6.51,43200
2013-08-29,6.5,6.56,6.49,6.5,6.5,73600
2013-08-30,6.53,6.53,6.46,6.46,6.46,71000
2013-09-03,6.49,6.71,6.44,6.46,6.46,46800
2013-09-04,6.45,6.48,6.25,6.3,6.3,178400
2013-09-05,6.28,6.34,6.26,6.27,6.27,102200
2013-09-06,6.3,6.32,6.21,6.29,6.29,27000
2013-09-09,6.48,6.48,6.3,6.36,6.36,110800
2013-09-10,6.34,6.41,6.25,6.34,6.34,209500
2013-09-11,6.3,6.33,6.28,6.3,6.3,183700
2013-09-12,6.3,6.6,6.25,6.57,6.57,349500
2013-09-13,6.56,6.6,6.49,6.53,6.53,97200
2013-09-16,6.56,6.73,6.53,6.66,6.66,129700
2013-09-17,6.68,6.96,6.68,6.94,6.94,124200
2013-09-18,6.93,7.08,6.76,7.0,7.0,79800
2013-09-19,7.02,7.03,6.95,6.99,6.99,83600
2013-09-20,6.99,7.02,6.99,7.02,7.02,62000
2013-09-23,7.02,7.1,7.02,7.09,7.09,38100
2013-09-24,7.07,7.09,6.99,7.07,7.07,13500
2013-09-25,7.06,7.09,6.96,7.02,7.02,59500
2013-09-26,7.06,7.06,6.96,7.0,7.0,19500
