Date,Open,High,Low,Close,Adj Close,Volume
2020-01-15,13.8,13.8,13.8,13.8,11.954152,334
2020-01-16,14.25,14.25,14.25,14.25,12.343962,198
2020-01-17,14.25,14.25,14.25,14.25,12.343962,0
2020-01-21,13.0,13.0,12.9,12.9,11.174533,592
2020-01-22,12.9,12.9,12.9,12.9,11.174533,0
2020-01-23,12.6,13.0,12.6,13.0,11.261158,579
2020-01-24,11.8,11.8,11.8,11.8,10.221667,265
2020-01-27,11.8,11.8,11.8,11.8,10.221667,0
2020-01-28,11.8,11.8,11.8,11.8,10.221667,0
2020-01-29,11.8,11.8,11.8,11.8,10.221667,0
2020-01-30,11.8,11.8,11.8,11.8,10.221667,0
2020-01-31,11.8,11.8,11.8,11.8,10.221667,0
2020-02-03,11.8,11.8,11.8,11.8,10.221667,0
2020-02-04,11.8,11.8,11.8,11.8,10.221667,0
2020-02-05,11.8,11.8,11.8,11.8,10.221667,0
2020-02-06,13.75,13.75,13.75,13.75,11.910841,313
2020-02-07,13.75,13.75,13.75,13.75,11.910841,0
2020-02-10,13.8,13.8,13.8,13.8,11.954152,0
2020-02-11,13.8,13.8,13.8,13.8,11.954152,0
2020-02-12,13.8,13.8,13.8,13.8,11.954152,0
2020-02-13,13.8,13.8,13.8,13.8,11.954152,0
2020-02-14,13.8,13.8,13.8,13.8,11.954152,0
2020-02-18,13.8,13.8,13.8,13.8,11.954152,0
2020-02-19,13.8,13.8,13.8,13.8,11.954152,0
2020-02-20,13.8,13.8,13.8,13.8,11.954152,0
2020-02-21,13.8,13.8,13.8,13.8,11.954152,0
2020-02-24,15.1,15.1,15.1,15.1,13.080269,100
2020-02-25,15.43,15.43,15.43,15.43,13.366129,117
2020-02-26,15.43,15.43,15.43,15.43,13.366129,0
2020-02-27,15.43,15.43,15.43,15.43,13.366129,0
2020-02-28,15.43,15.43,15.43,15.43,13.366129,0
2020-03-02,15.43,15.43,15.43,15.43,13.366129,0
2020-03-03,15.18,15.18,15.18,15.18,13.149567,109
2020-03-04,15.28,15.28,15.28,15.28,13.236193,183
2020-03-05,15.28,15.28,15.28,15.28,13.236193,0
2020-03-06,15.28,15.28,15.28,15.28,13.236193,0
2020-03-09,15.28,15.28,15.28,15.28,13.236193,0
2020-03-10,15.28,15.28,15.28,15.28,13.236193,0
2020-03-11,15.28,15.28,15.28,15.28,13.236193,0
2020-03-12,15.28,15.28,15.28,15.28,13.236193,0
2020-03-13,15.28,15.28,15.28,15.28,13.236193,0
2020-03-16,14.55,14.55,14.55,14.55,12.603836,117
2020-03-17,14.55,14.55,14.55,14.55,12.603836,0
2020-03-18,14.55,14.55,14.55,14.55,12.603836,0
2020-03-19,14.55,14.55,14.55,14.55,12.603836,0
2020-03-20,14.55,14.55,14.55,14.55,12.603836,0
2020-03-23,14.55,14.55,14.55,14.55,12.603836,0
2020-03-24,14.55,14.55,14.55,14.55,12.603836,0
2020-03-25,14.55,14.55,14.55,14.55,12.603836,0
2020-03-26,17.950001,17.950001,17.950001,17.950001,15.549061,360
2020-03-27,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-03-30,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-03-31,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-01,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-02,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-03,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-06,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-07,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-08,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-09,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-13,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-14,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-15,17.950001,17.950001,17.950001,17.950001,15.549061,0
2020-04-16,19.4,19.4,19.4,19.4,16.805111,900
2020-04-17,19.4,19.4,19.4,19.4,16.805111,0
2020-04-20,19.4,19.4,19.4,19.4,16.805111,0
2020-04-21,18.549999,18.549999,18.549999,18.549999,16.068806,990
2020-04-22,18.799999,18.799999,18.799999,18.799999,16.28537,284
2020-04-23,18.799999,18.799999,18.799999,18.799999,16.28537,0
2020-04-24,19.6,19.6,19.6,19.6,16.978363,330
2020-04-27,19.6,19.6,19.6,19.6,16.978363,0
2020-04-28,19.950001,20.5,19.9,20.5,17.757978,3429
2020-04-29,20.5,20.5,20.5,20.5,17.757978,0
2020-04-30,21.299999,21.299999,21.299999,21.299999,18.450974,350
2020-05-01,22.0,22.0,22.0,22.0,19.057344,104
2020-05-04,22.0,22.0,22.0,22.0,19.057344,0
2020-05-05,22.0,22.0,22.0,22.0,19.057344,0
2020-05-06,22.0,22.0,22.0,22.0,19.057344,0
2020-05-07,22.0,22.0,22.0,22.0,19.057344,0
2020-05-08,22.0,22.0,22.0,22.0,19.057344,0
2020-05-11,22.0,22.0,22.0,22.0,19.057344,0
2020-05-12,22.0,22.0,22.0,22.0,19.057344,0
2020-05-13,22.0,22.0,22.0,22.0,19.057344,0
2020-05-14,22.0,22.0,22.0,22.0,19.057344,0
2020-05-15,22.0,22.0,22.0,22.0,19.057344,0
2020-05-18,22.0,22.0,22.0,22.0,19.057344,0
2020-05-19,22.0,22.0,22.0,22.0,19.057344,0
2020-05-20,22.0,22.0,22.0,22.0,19.057344,0
2020-05-21,22.0,22.0,22.0,22.0,19.057344,0
2020-05-22,22.0,22.0,22.0,22.0,19.057344,0
2020-05-26,22.0,22.0,22.0,22.0,19.057344,0
2020-05-27,17.33,18.299999,17.33,18.299999,15.852246,918
2020-05-28,18.299999,18.299999,18.299999,18.299999,15.852246,0
2020-05-29,18.299999,18.299999,18.299999,18.299999,15.852246,0
2020-06-01,18.83,18.83,18.83,18.83,16.311356,470
2020-06-02,18.83,18.83,18.83,18.83,16.311356,0
2020-06-03,18.5,18.5,18.5,18.5,16.025496,900
2020-06-04,19.65,19.65,19.65,19.65,17.021673,220
2020-06-05,19.799999,19.799999,19.799999,19.799999,17.151609,104
2020-06-08,19.799999,19.799999,19.799999,19.799999,17.151609,0
2020-06-09,19.799999,19.799999,19.799999,19.799999,17.151609,0
2020-06-10,19.799999,19.799999,19.799999,19.799999,17.151609,0
2020-06-11,19.799999,19.799999,19.799999,19.799999,17.151609,0
2020-06-12,19.799999,19.799999,19.799999,19.799999,17.151609,0
2020-06-15,19.799999,19.799999,19.799999,19.799999,17.151609,0
2020-06-16,19.799999,19.799999,19.799999,19.799999,17.151609,0
2020-06-17,20.299999,20.299999,20.299999,20.299999,17.58473,159
2020-06-18,20.299999,20.299999,20.299999,20.299999,17.58473,0
2020-06-19,21.1,21.1,21.1,21.1,18.277727,154
2020-06-22,21.1,21.1,21.1,21.1,18.277727,0
2020-06-23,21.1,21.1,21.1,21.1,18.277727,0
2020-06-24,20.35,20.35,20.35,20.35,17.628044,169
2020-06-25,20.35,20.35,20.35,20.35,17.628044,0
2020-06-26,20.35,20.35,20.35,20.35,17.628044,0
2020-06-29,20.35,20.35,20.35,20.35,17.628044,0
2020-06-30,20.35,20.35,19.815001,19.815001,17.164604,261
2020-07-01,19.815001,19.815001,19.815001,19.815001,17.164604,0
