Date,Open,High,Low,Close,Adj Close,Volume
2022-03-04,1.0,1.0,1.0,1.0,0.375971,2500
2022-03-07,1.0,1.0,1.0,1.0,0.375971,0
2022-03-08,1.0,1.0,1.0,1.0,0.375971,0
2022-03-09,1.0,1.0,1.0,1.0,0.375971,0
2022-03-10,1.0,1.0,1.0,1.0,0.375971,0
2022-03-11,1.0,1.0,1.0,1.0,0.375971,0
2022-03-14,1.0,1.0,1.0,1.0,0.375971,0
2022-03-15,1.0,1.0,1.0,1.0,0.375971,0
2022-03-16,1.0,1.0,1.0,1.0,0.375971,0
2022-03-17,1.0,1.0,1.0,1.0,0.375971,0
2022-03-18,1.0,1.0,1.0,1.0,0.375971,0
2022-03-21,1.0,1.0,1.0,1.0,0.375971,0
2022-03-22,1.0,1.0,1.0,1.0,0.375971,0
2022-03-23,1.0,1.0,1.0,1.0,0.375971,0
2022-03-24,1.0,1.0,1.0,1.0,0.375971,0
2022-03-25,1.0,1.0,1.0,1.0,0.375971,0
2022-03-28,1.0,1.0,1.0,1.0,0.375971,0
2022-03-29,1.0,1.0,1.0,1.0,0.375971,0
2022-03-30,1.0,1.0,1.0,1.0,0.375971,0
2022-03-31,1.0,1.0,1.0,1.0,0.375971,0
2022-04-01,1.0,1.0,1.0,1.0,0.375971,0
2022-04-04,1.0,1.0,1.0,1.0,0.375971,0
2022-04-05,1.0,1.0,1.0,1.0,0.375971,0
2022-04-06,1.0,1.0,1.0,1.0,0.375971,0
2022-04-07,1.0,1.0,1.0,1.0,0.375971,0
2022-04-08,1.0,1.0,1.0,1.0,0.375971,0
2022-04-11,1.0,1.0,1.0,1.0,0.375971,0
2022-04-12,1.0,1.0,1.0,1.0,0.375971,0
2022-04-13,1.0,1.0,1.0,1.0,0.375971,0
2022-04-14,1.0,1.0,1.0,1.0,0.375971,0
2022-04-18,1.0,1.0,1.0,1.0,0.375971,0
2022-04-19,1.0,1.0,1.0,1.0,0.375971,0
2022-04-20,1.0,1.0,1.0,1.0,0.375971,0
2022-04-21,0.935,0.935,0.935,0.935,0.351533,50000
2022-04-22,0.935,0.935,0.935,0.935,0.351533,0
2022-04-25,0.935,0.935,0.935,0.935,0.351533,0
2022-04-26,0.935,0.935,0.935,0.935,0.351533,0
2022-04-27,0.935,0.935,0.935,0.935,0.351533,0
2022-04-28,0.935,0.935,0.935,0.935,0.351533,0
2022-04-29,0.935,0.935,0.935,0.935,0.351533,0
2022-05-02,0.935,0.935,0.935,0.935,0.351533,0
2022-05-03,0.935,0.935,0.935,0.935,0.351533,0
2022-05-04,0.935,0.935,0.935,0.935,0.351533,0
2022-05-05,0.935,0.935,0.935,0.935,0.351533,0
2022-05-06,0.935,0.935,0.935,0.935,0.351533,0
2022-05-09,0.935,0.935,0.935,0.935,0.351533,0
2022-05-10,0.935,0.935,0.935,0.935,0.351533,0
2022-05-11,0.935,0.935,0.935,0.935,0.351533,0
2022-05-12,0.935,0.935,0.935,0.935,0.351533,0
2022-05-13,0.935,0.935,0.935,0.935,0.351533,0
2022-05-16,0.935,0.935,0.935,0.935,0.351533,0
2022-05-17,0.935,0.935,0.935,0.935,0.351533,0
2022-05-18,0.935,0.935,0.935,0.935,0.351533,0
2022-05-19,0.935,0.935,0.935,0.935,0.351533,0
2022-05-20,0.935,0.935,0.935,0.935,0.351533,0
2022-05-23,0.935,0.935,0.935,0.935,0.351533,0
2022-05-24,0.935,0.935,0.935,0.935,0.351533,0
2022-05-25,0.935,0.935,0.935,0.935,0.351533,0
2022-05-26,0.935,0.935,0.935,0.935,0.351533,0
2022-05-27,0.935,0.935,0.935,0.935,0.351533,0
2022-05-31,0.935,0.935,0.935,0.935,0.351533,0
2022-06-01,0.935,0.935,0.935,0.935,0.351533,0
2022-06-02,0.935,0.935,0.935,0.935,0.351533,0
2022-06-03,0.935,0.935,0.935,0.935,0.351533,0
2022-06-06,0.935,0.935,0.935,0.935,0.351533,0
2022-06-07,0.935,0.935,0.935,0.935,0.351533,0
2022-06-08,0.935,0.935,0.935,0.935,0.351533,0
2022-06-09,0.935,0.935,0.935,0.935,0.351533,0
2022-06-10,0.935,0.935,0.935,0.935,0.351533,0
2022-06-13,0.935,0.935,0.935,0.935,0.351533,0
2022-06-14,0.935,0.935,0.935,0.935,0.351533,0
2022-06-15,0.935,0.935,0.935,0.935,0.351533,0
2022-06-16,0.935,0.935,0.935,0.935,0.351533,0
2022-06-17,0.935,0.935,0.935,0.935,0.351533,0
2022-06-21,0.935,0.935,0.935,0.935,0.351533,0
2022-06-22,0.935,0.935,0.935,0.935,0.351533,0
2022-06-23,0.935,0.935,0.935,0.935,0.351533,0
2022-06-24,0.935,0.935,0.935,0.935,0.351533,0
2022-06-27,0.935,0.935,0.935,0.935,0.351533,0
2022-06-28,0.935,0.935,0.935,0.935,0.351533,0
2022-06-29,0.935,0.935,0.935,0.935,0.351533,0
2022-06-30,0.935,0.935,0.935,0.935,0.351533,0
2022-07-01,0.935,0.935,0.935,0.935,0.351533,0
2022-07-05,0.935,0.935,0.935,0.935,0.351533,0
2022-07-06,0.935,0.935,0.935,0.935,0.351533,0
2022-07-07,0.935,0.935,0.935,0.935,0.351533,0
2022-07-08,0.935,0.935,0.935,0.935,0.351533,0
2022-07-11,0.935,0.935,0.935,0.935,0.351533,0
2022-07-12,0.935,0.935,0.935,0.935,0.351533,0
2022-07-13,0.935,0.935,0.935,0.935,0.351533,0
2022-07-14,0.935,0.935,0.935,0.935,0.351533,0
2022-07-15,0.935,0.935,0.935,0.935,0.351533,0
2022-07-18,0.935,0.935,0.935,0.935,0.351533,0
2022-07-19,0.935,0.935,0.935,0.935,0.351533,0
2022-07-20,0.935,0.935,0.935,0.935,0.351533,0
2022-07-21,0.935,0.935,0.935,0.935,0.351533,0
2022-07-22,0.935,0.935,0.935,0.935,0.351533,0
2022-07-25,0.935,0.935,0.935,0.935,0.351533,0
2022-07-26,0.935,0.935,0.935,0.935,0.351533,0
2022-07-27,0.935,0.935,0.935,0.935,0.351533,0
2022-07-28,0.935,0.935,0.935,0.935,0.351533,0
2022-07-29,0.935,0.935,0.935,0.935,0.351533,0
2022-08-01,0.935,0.935,0.935,0.935,0.351533,0
2022-08-02,0.935,0.935,0.935,0.935,0.351533,0
2022-08-03,0.935,0.935,0.935,0.935,0.351533,0
2022-08-04,0.935,0.935,0.935,0.935,0.351533,0
