Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.8,0.84,0.71,0.84,0.84,55400
2013-07-17,0.85,0.88,0.8,0.85,0.85,16400
2013-07-18,0.88,0.95,0.85,0.95,0.95,46600
2013-07-19,0.95,0.95,0.86,0.945,0.945,34300
2013-07-22,0.8999,0.95,0.82,0.94,0.94,68000
2013-07-23,0.95,1.04,0.95,0.97,0.97,54000
2013-07-24,0.98,0.98,0.89,0.9,0.9,55600
2013-07-25,0.95,0.97,0.9,0.949,0.949,26300
2013-07-26,0.9,0.949,0.9,0.9,0.9,11000
2013-07-29,0.945,0.945,0.87,0.9,0.9,19100
2013-07-30,0.87,0.9,0.87,0.87,0.87,16300
2013-07-31,0.895,0.9,0.855,0.9,0.9,30000
2013-08-01,0.895,0.895,0.835,0.88,0.88,49500
2013-08-02,0.88,0.88,0.8,0.88,0.88,15800
2013-08-05,0.87,0.87,0.7501,0.8699,0.8699,5500
2013-08-06,0.8,0.855,0.78,0.78,0.78,25800
2013-08-07,0.8599,0.8599,0.715,0.73,0.73,34100
2013-08-08,0.75,0.75,0.73,0.73,0.73,8000
2013-08-09,0.75,0.75,0.7,0.7,0.7,24200
2013-08-12,0.7,0.84,0.675,0.84,0.84,16400
2013-08-13,0.83,0.83,0.7,0.72,0.72,23600
2013-08-14,0.775,0.775,0.7,0.762,0.762,36600
2013-08-15,0.68,0.77,0.675,0.685,0.685,79200
2013-08-16,0.76,0.76,0.685,0.74,0.74,18300
2013-08-19,0.72,0.74,0.7,0.72,0.72,33500
2013-08-20,0.72,0.72,0.5501,0.64,0.64,59300
2013-08-21,0.57,0.6399,0.55,0.6,0.6,32000
2013-08-22,0.55,0.72,0.55,0.72,0.72,53900
2013-08-23,0.65,0.74,0.6,0.68,0.68,30300
2013-08-26,0.61,0.65,0.61,0.65,0.65,5700
2013-08-27,0.65,0.72,0.65,0.69,0.69,25700
2013-08-28,0.69,0.75,0.69,0.69,0.69,22400
2013-08-29,0.69,0.7,0.61,0.7,0.7,10400
2013-08-30,0.7,0.7,0.7,0.7,0.7,0
2013-09-03,0.7,0.7,0.68,0.68,0.68,400
2013-09-04,0.69,0.69,0.61,0.6375,0.6375,11900
2013-09-05,0.61,0.61,0.55,0.61,0.61,29200
2013-09-06,0.6375,0.66,0.6,0.6,0.6,20700
2013-09-09,0.66,0.66,0.6,0.6599,0.6599,35700
2013-09-10,0.625,0.6599,0.625,0.6579,0.6579,11700
2013-09-11,0.6,0.64,0.6,0.64,0.64,5100
2013-09-12,0.6,0.6399,0.6,0.6,0.6,8500
2013-09-13,0.6399,0.69,0.6,0.66,0.66,48700
2013-09-16,0.62,0.62,0.585,0.62,0.62,8400
2013-09-17,0.61,0.61,0.585,0.61,0.61,6000
2013-09-18,0.6,0.65,0.6,0.6,0.6,28500
2013-09-19,0.65,0.66,0.61,0.61,0.61,11000
2013-09-20,0.64,0.7,0.6,0.64,0.64,177500
2013-09-23,0.64,0.69,0.611,0.66,0.66,15400
2013-09-24,0.66,0.69,0.66,0.68,0.68,18900
2013-09-25,0.69,0.69,0.67,0.67,0.67,10100
2013-09-26,0.63,0.63,0.611,0.611,0.611,70000
2013-09-27,0.62,0.62,0.61,0.62,0.62,17000
2013-09-30,0.645,0.645,0.61,0.62,0.62,32300
2013-10-01,0.615,0.64,0.59,0.59,0.59,14400
2013-10-02,0.58,0.59,0.58,0.59,0.59,46900
2013-10-03,0.56,0.59,0.55,0.58,0.58,28200
2013-10-04,0.58,0.58,0.439,0.55,0.55,70100
2013-10-07,0.55,0.55,0.5,0.55,0.55,15100
2013-10-08,0.58,0.58,0.55,0.58,0.58,22800
2013-10-09,0.64,0.64,0.5,0.57,0.57,4200
2013-10-10,0.58,0.62,0.55,0.55,0.55,22500
2013-10-11,0.55,0.55,0.52,0.54,0.54,11700
2013-10-14,0.54,0.55,0.5,0.5,0.5,34000
2013-10-15,0.5,0.53,0.46,0.53,0.53,20000
2013-10-16,0.571,0.63,0.512,0.56,0.56,56800
2013-10-17,0.58,0.58,0.46,0.5,0.5,87100
2013-10-18,0.53,0.5375,0.52,0.5375,0.5375,53200
2013-10-21,0.5,0.59,0.49,0.54,0.54,17700
2013-10-22,0.53,0.53,0.41,0.49,0.49,67400
2013-10-23,0.5,0.5,0.43,0.49,0.49,28600
2013-10-24,0.41,0.48,0.4,0.47,0.47,73700
2013-10-25,0.46,0.46,0.36,0.43,0.43,13600
2013-10-28,0.42,0.44,0.37,0.44,0.44,40300
2013-10-29,0.44,0.44,0.36,0.44,0.44,23100
2013-10-30,0.4,0.44,0.37,0.42,0.42,33200
2013-10-31,0.42,0.44,0.31,0.42,0.42,64700
2013-11-01,0.38,0.42,0.371,0.42,0.42,12800
2013-11-04,0.42,0.525,0.3705,0.4499,0.4499,59400
2013-11-05,0.4499,0.48,0.4499,0.48,0.48,12000
2013-11-06,0.4018,0.4499,0.3023,0.3999,0.3999,120800
2013-11-07,0.3999,0.3999,0.33,0.3999,0.3999,5800
2013-11-08,0.3875,0.3875,0.3151,0.35,0.35,20700
2013-11-11,0.3699,0.4299,0.3699,0.38,0.38,33500
2013-11-12,0.37,0.43,0.3455,0.39,0.39,62500
2013-11-13,0.3227,0.39,0.3227,0.35,0.35,52200
2013-11-14,0.3227,0.43,0.31,0.35,0.35,51700
2013-11-15,0.4,0.4,0.275,0.3,0.3,178700
2013-11-18,0.305,0.305,0.2,0.2697,0.2697,120800
2013-11-19,0.2697,0.3,0.225,0.27,0.27,209900
2013-11-20,0.26,0.26,0.2206,0.26,0.26,131100
2013-11-21,0.26,0.31,0.231,0.295,0.295,166000
2013-11-22,0.3285,0.3285,0.225,0.27,0.27,229900
2013-11-25,0.2699,0.27,0.235,0.24,0.24,138500
2013-11-26,0.24,0.32,0.24,0.32,0.32,288400
2013-11-27,0.32,0.41,0.2774,0.3,0.3,543900
2013-11-29,0.32,0.34,0.29,0.32,0.32,272200
2013-12-02,0.32,0.35,0.2501,0.2798,0.2798,159800
2013-12-03,0.251,0.27,0.25,0.27,0.27,69600
2013-12-04,0.252,0.27,0.25,0.25,0.25,46100
2013-12-05,0.27,0.27,0.24,0.26,0.26,219500
2013-12-06,0.26,0.26,0.24,0.24,0.24,47100
2013-12-09,0.25,0.27,0.24,0.269,0.269,51200
2013-12-10,0.269,0.269,0.2266,0.2649,0.2649,49800
2013-12-11,0.2266,0.2499,0.21,0.225,0.225,237400
2013-12-12,0.22,0.2494,0.22,0.24,0.24,170100
2013-12-13,0.2102,0.269,0.2102,0.269,0.269,62800
2013-12-16,0.267,0.3,0.267,0.28,0.28,48100
2013-12-17,0.28,0.28,0.225,0.26,0.26,42600
2013-12-18,0.26,0.26,0.25,0.26,0.26,22200
2013-12-19,0.24,0.26,0.23,0.23,0.23,30300
2013-12-20,0.25,0.25,0.21,0.23,0.23,266800
2013-12-23,0.23,0.24,0.22,0.22,0.22,23600
2013-12-24,0.211,0.24,0.211,0.239,0.239,3600
2013-12-26,0.24,0.24,0.23,0.24,0.24,15300
2013-12-27,0.24,0.24,0.23,0.23,0.23,28500
2013-12-30,0.24,0.26,0.21,0.239,0.239,223800
2013-12-31,0.24,0.24,0.225,0.225,0.225,3600
2014-01-02,0.239,0.239,0.225,0.23,0.23,4500
2014-01-03,0.239,0.24,0.22,0.24,0.24,80500
2014-01-06,0.24,0.26,0.221,0.221,0.221,39800
2014-01-07,0.24,0.25,0.22,0.24,0.24,152900
2014-01-08,0.25,0.3,0.23,0.23,0.23,135900
2014-01-09,0.23,0.25,0.222,0.24,0.24,55800
2014-01-10,0.24,0.255,0.23,0.255,0.255,4300
2014-01-13,0.245,0.245,0.245,0.245,0.245,4500
2014-01-14,0.245,0.255,0.24,0.24,0.24,65800
2014-01-15,0.235,0.294,0.235,0.265,0.265,53800
2014-01-16,0.26,0.265,0.245,0.265,0.265,81300
2014-01-17,0.25,0.26,0.23,0.245,0.245,148200
2014-01-21,0.27,0.29,0.23,0.26,0.26,189200
2014-01-22,0.26,0.27,0.2351,0.27,0.27,69400
2014-01-23,0.2402,0.27,0.2402,0.27,0.27,20200
2014-01-24,0.27,0.285,0.26,0.28,0.28,37400
2014-01-27,0.28,0.294,0.27,0.28,0.28,33400
2014-01-28,0.28,0.29,0.25,0.27,0.27,266100
2014-01-29,0.275,0.2768,0.2526,0.253,0.253,42100
2014-01-30,0.26,0.26,0.25,0.259,0.259,163600
2014-01-31,0.2645,0.2645,0.245,0.259,0.259,31000
2014-02-03,0.25,0.259,0.245,0.25,0.25,76400
2014-02-04,0.25,0.25,0.25,0.25,0.25,56000
2014-02-05,0.26,0.2768,0.255,0.2768,0.2768,59100
2014-02-06,0.28,0.285,0.265,0.28,0.28,23500
2014-02-07,0.28,0.29,0.28,0.29,0.29,149100
2014-02-10,0.29,0.32,0.29,0.32,0.32,387000
2014-02-11,0.325,0.38,0.311,0.37,0.37,288800
