Date,Open,High,Low,Close,Adj Close,Volume
2018-03-05,8.5,8.5,8.5,8.5,8.5,200
2018-03-06,8.5,8.5,8.5,8.5,8.5,0
2018-03-07,8.5,8.5,8.5,8.5,8.5,0
2018-03-08,8.5,8.5,8.5,8.5,8.5,0
2018-03-09,8.5,8.5,8.5,8.5,8.5,0
2018-03-12,8.5,8.5,8.5,8.5,8.5,700
2018-03-13,8.5,8.5,8.5,8.5,8.5,0
2018-03-14,8.5,8.5,8.5,8.5,8.5,0
2018-03-15,8.5,8.5,8.5,8.5,8.5,0
2018-03-16,8.5,8.5,8.5,8.5,8.5,0
2018-03-19,8.5,8.5,8.5,8.5,8.5,0
2018-03-20,8.5,8.5,8.5,8.5,8.5,0
2018-03-21,8.5,8.5,8.5,8.5,8.5,0
2018-03-22,8.53,8.53,8.53,8.53,8.53,100
2018-03-23,8.7,8.7,8.7,8.7,8.7,800
2018-03-26,8.8,8.8,8.8,8.8,8.8,500
2018-03-27,8.8,8.8,8.8,8.8,8.8,0
2018-03-28,8.8,8.8,8.8,8.8,8.8,0
2018-03-29,8.65,8.65,8.65,8.65,8.65,400
2018-04-02,8.65,8.65,8.65,8.65,8.65,0
2018-04-03,8.337,8.5,8.337,8.5,8.5,38100
2018-04-04,8.8,8.8,8.8,8.8,8.8,400
2018-04-05,8.8,8.8,8.8,8.8,8.8,0
2018-04-06,8.8,8.8,8.8,8.8,8.8,0
2018-04-09,8.8,8.8,8.8,8.8,8.8,0
2018-04-10,8.8,8.8,8.8,8.8,8.8,0
2018-04-11,8.55,8.55,8.55,8.55,8.55,25000
2018-04-12,8.55,8.55,8.55,8.55,8.55,0
2018-04-13,8.55,8.55,8.55,8.55,8.55,0
2018-04-16,8.55,8.55,8.55,8.55,8.55,0
2018-04-17,8.55,8.55,8.55,8.55,8.55,0
2018-04-18,8.55,8.55,8.55,8.55,8.55,0
2018-04-19,8.55,8.55,8.55,8.55,8.55,0
2018-04-20,8.8,8.8,8.8,8.8,8.8,100
2018-04-23,8.8,8.8,8.8,8.8,8.8,0
2018-04-24,8.8,8.8,8.8,8.8,8.8,0
2018-04-25,8.15,8.25,8.15,8.25,8.25,22600
2018-04-26,8.25,8.25,8.25,8.25,8.25,0
2018-04-27,8.25,8.25,8.25,8.25,8.25,0
2018-04-30,8.25,8.25,8.25,8.25,8.25,0
2018-05-01,8.25,8.25,8.25,8.25,8.25,0
2018-05-02,8.25,8.25,8.25,8.25,8.25,0
2018-05-03,8.25,8.25,8.25,8.25,8.25,0
2018-05-04,8.35,8.35,8.35,8.35,8.35,100
2018-05-07,8.35,8.35,8.35,8.35,8.35,0
2018-05-08,8.35,8.35,8.35,8.35,8.35,0
2018-05-09,8.35,8.35,8.35,8.35,8.35,0
2018-05-10,8.35,8.35,8.35,8.35,8.35,0
2018-05-11,8.35,8.35,8.35,8.35,8.35,0
2018-05-14,8.85,8.85,8.85,8.85,8.85,200
2018-05-15,8.85,8.85,8.85,8.85,8.85,0
2018-05-16,8.95,9.0,8.95,9.0,9.0,700
2018-05-17,9.0,9.0,9.0,9.0,9.0,0
2018-05-18,9.0,9.0,9.0,9.0,9.0,200
2018-05-21,9.0,9.0,9.0,9.0,9.0,0
2018-05-22,9.0,9.0,9.0,9.0,9.0,0
2018-05-23,9.0,9.0,9.0,9.0,9.0,0
2018-05-24,9.0,9.0,9.0,9.0,9.0,0
2018-05-25,9.0,9.0,9.0,9.0,9.0,0
2018-05-29,9.0,9.0,9.0,9.0,9.0,0
2018-05-30,9.0,9.0,9.0,9.0,9.0,0
2018-05-31,9.0,9.0,9.0,9.0,9.0,0
2018-06-01,9.0,9.0,9.0,9.0,9.0,0
2018-06-04,9.0,9.0,9.0,9.0,9.0,0
2018-06-05,9.0,9.0,9.0,9.0,9.0,0
2018-06-06,8.82,8.82,8.82,8.82,8.82,100
2018-06-07,8.82,8.82,8.82,8.82,8.82,0
2018-06-08,8.82,8.82,8.82,8.82,8.82,0
2018-06-11,8.82,8.82,8.82,8.82,8.82,0
2018-06-12,8.82,8.82,8.82,8.82,8.82,0
2018-06-13,8.41,8.41,8.41,8.41,8.41,200
2018-06-14,8.97,9.07,8.97,9.07,9.07,36600
2018-06-15,8.85,8.97,8.747,8.97,8.97,51700
2018-06-18,8.66,8.85,8.66,8.85,8.85,1000
2018-06-19,8.85,8.85,8.85,8.85,8.85,0
2018-06-20,8.94,8.94,8.94,8.94,8.94,10100
2018-06-21,8.94,8.94,8.94,8.94,8.94,0
2018-06-22,9.52,9.52,9.52,9.52,9.52,1000
2018-06-25,9.37,9.37,9.32,9.32,9.32,1100
2018-06-26,9.44,9.44,9.44,9.44,9.44,300
2018-06-27,9.44,9.44,9.44,9.44,9.44,0
2018-06-28,9.51,9.51,9.51,9.51,9.51,200
2018-06-29,9.41,9.41,9.33,9.34,9.34,800
2018-07-02,9.34,9.34,9.34,9.34,9.34,0
2018-07-03,9.34,9.34,9.34,9.34,9.34,0
2018-07-05,9.34,9.34,9.34,9.34,9.34,0
2018-07-06,9.34,9.34,9.34,9.34,9.34,300
2018-07-09,9.14,9.29,9.14,9.28,9.28,600
2018-07-10,8.91,8.91,8.91,8.91,8.91,200
2018-07-11,8.885,8.885,8.885,8.885,8.885,100
2018-07-12,8.93,8.93,8.93,8.93,8.93,200
2018-07-13,8.93,8.93,8.93,8.93,8.93,0
2018-07-16,8.93,8.93,8.93,8.93,8.93,0
2018-07-17,8.93,8.93,8.93,8.93,8.93,0
2018-07-18,8.96,8.96,8.96,8.96,8.96,100
2018-07-19,8.96,8.96,8.96,8.96,8.96,0
2018-07-20,8.91,8.91,8.91,8.91,8.91,1200
2018-07-23,8.98,8.98,8.98,8.98,8.98,300
2018-07-24,8.98,8.98,8.98,8.98,8.98,0
2018-07-25,8.87,8.87,8.87,8.87,8.87,200
2018-07-26,8.82,8.82,8.82,8.82,8.82,1600
2018-07-27,8.87,8.87,8.87,8.87,8.87,900
2018-07-30,8.87,8.87,8.87,8.87,8.87,0
2018-07-31,8.87,8.87,8.87,8.87,8.87,0
2018-08-01,8.2,8.2,8.2,8.2,8.2,700
2018-08-02,8.2,8.2,8.2,8.2,8.2,0
2018-08-03,8.2,8.2,8.2,8.2,8.2,0
2018-08-06,8.2,8.2,8.2,8.2,8.2,0
2018-08-07,8.2,8.2,8.2,8.2,8.2,0
2018-08-08,8.2,8.2,8.2,8.2,8.2,0
2018-08-09,8.2,8.2,8.2,8.2,8.2,0
2018-08-10,8.0,8.0,7.96,7.96,7.96,200
2018-08-13,7.9,7.9,7.77,7.77,7.77,300
2018-08-14,7.77,7.77,7.77,7.77,7.77,0
2018-08-15,7.955,7.965,7.91,7.91,7.91,1000
2018-08-16,7.91,7.91,7.91,7.91,7.91,0
2018-08-17,7.91,7.91,7.91,7.91,7.91,0
2018-08-20,7.96,7.96,7.96,7.96,7.96,100
2018-08-21,7.96,7.96,7.95,7.95,7.95,400
2018-08-22,8.027,8.027,8.027,8.027,8.027,200
2018-08-23,8.027,8.027,8.027,8.027,8.027,0
2018-08-24,8.065,8.065,8.065,8.065,8.065,100
2018-08-27,8.02,8.02,8.02,8.02,8.02,100
2018-08-28,8.15,8.15,8.01,8.01,8.01,500
2018-08-29,8.065,8.065,7.95,7.95,7.95,800
2018-08-30,7.94,7.96,7.88,7.96,7.96,4400
2018-08-31,8.03,8.03,7.9,7.9,7.9,500
2018-09-04,7.9,7.9,7.9,7.9,7.9,0
2018-09-05,7.86,7.86,7.85,7.85,7.85,1200
2018-09-06,7.895,7.9,7.86,7.86,7.86,800
2018-09-07,7.93,7.94,7.88,7.94,7.94,400
2018-09-10,7.94,7.94,7.94,7.94,7.94,0
2018-09-11,7.935,8.0,7.935,8.0,8.0,600
2018-09-12,7.89,7.89,7.89,7.89,7.89,1100
2018-09-13,7.89,7.89,7.89,7.89,7.89,0
2018-09-14,7.895,7.895,7.895,7.895,7.895,700
2018-09-17,7.895,7.895,7.895,7.895,7.895,0
2018-09-18,7.895,7.895,7.895,7.895,7.895,0
2018-09-19,8.07,8.07,8.07,8.07,8.07,300
2018-09-20,8.07,8.07,8.07,8.07,8.07,200
2018-09-21,8.07,8.07,8.07,8.07,8.07,0
2018-09-24,8.07,8.07,8.07,8.07,8.07,0
2018-09-25,8.07,8.07,8.07,8.07,8.07,0
2018-09-26,8.27,8.27,8.27,8.27,8.27,100
2018-09-27,8.2,8.2,8.2,8.2,8.2,100
2018-09-28,8.2,8.2,8.2,8.2,8.2,0
2018-10-01,8.195,8.195,8.13,8.13,8.13,300
2018-10-02,8.13,8.13,8.13,8.13,8.13,0
2018-10-03,8.205,8.205,8.13,8.13,8.13,900
2018-10-04,8.13,8.13,8.13,8.13,8.13,0
2018-10-05,8.13,8.13,8.13,8.13,8.13,0
2018-10-08,8.22,8.22,8.22,8.22,8.22,200
2018-10-09,8.19,8.19,8.19,8.19,8.19,300
2018-10-10,8.19,8.19,8.19,8.19,8.19,0
2018-10-11,8.19,8.19,8.19,8.19,8.19,0
2018-10-12,8.09,8.145,8.09,8.145,8.145,700
2018-10-15,8.073,8.073,7.98,7.98,7.98,900
2018-10-16,7.98,7.98,7.98,7.98,7.98,0
2018-10-17,8.16,8.16,8.16,8.16,8.16,300
2018-10-18,8.13,8.15,8.13,8.15,8.15,1200
2018-10-19,8.15,8.15,8.15,8.15,8.15,0
2018-10-22,8.24,8.315,8.24,8.25,8.25,600
2018-10-23,7.81,7.81,7.81,7.81,7.81,400
2018-10-24,7.86,7.88,7.86,7.88,7.88,400
2018-10-25,7.86,7.86,7.74,7.74,7.74,300
2018-10-26,7.57,7.57,7.57,7.57,7.57,500
2018-10-29,7.51,7.51,7.51,7.51,7.51,300
2018-10-30,7.8,7.89,7.8,7.89,7.89,1900
2018-10-31,7.89,7.89,7.89,7.89,7.89,0
2018-11-01,7.89,7.89,7.89,7.89,7.89,0
2018-11-02,7.89,7.89,7.89,7.89,7.89,0
2018-11-05,7.895,7.895,7.895,7.895,7.895,800
2018-11-06,7.95,7.95,7.95,7.95,7.95,800
2018-11-07,7.975,7.975,7.91,7.91,7.91,500
2018-11-08,7.91,7.91,7.91,7.91,7.91,0
2018-11-09,7.91,7.91,7.91,7.91,7.91,0
2018-11-12,8.2,8.2,8.2,8.2,8.2,600
2018-11-13,8.09,8.09,8.03,8.03,8.03,200
2018-11-14,8.03,8.03,8.03,8.03,8.03,0
2018-11-15,8.03,8.03,8.03,8.03,8.03,0
2018-11-16,8.03,8.03,8.03,8.03,8.03,0
2018-11-19,8.03,8.03,8.03,8.03,8.03,0
2018-11-20,8.2,8.2,8.06,8.18,8.18,700
2018-11-21,8.05,8.05,8.05,8.05,8.05,100
2018-11-23,8.05,8.05,8.05,8.05,8.05,0
2018-11-26,8.14,8.14,8.14,8.14,8.14,300
2018-11-27,8.125,8.125,8.05,8.05,8.05,600
2018-11-28,8.19,8.19,8.19,8.19,8.19,400
2018-11-29,7.98,7.98,7.98,7.98,7.98,400
2018-11-30,8.21,8.21,8.21,8.21,8.21,500
2018-12-03,8.21,8.21,8.21,8.21,8.21,0
2018-12-04,8.12,8.12,8.12,8.12,8.12,100
2018-12-06,7.8,7.93,7.8,7.8,7.8,600
2018-12-07,7.98,7.98,7.85,7.98,7.98,400
2018-12-10,7.885,7.885,7.885,7.885,7.885,800
2018-12-11,7.86,7.86,7.73,7.73,7.73,900
2018-12-12,7.99,7.99,7.93,7.93,7.93,200
2018-12-13,7.93,7.93,7.93,7.93,7.93,0
2018-12-14,7.91,7.91,7.91,7.91,7.91,400
2018-12-17,7.91,7.91,7.91,7.91,7.91,0
2018-12-18,8.0,8.0,7.906,7.94,7.94,14300
2018-12-19,8.027,8.027,7.82,7.82,7.82,1000
2018-12-20,7.79,7.79,7.785,7.785,7.785,500
2018-12-21,7.805,7.805,7.74,7.74,7.74,200
2018-12-24,7.79,7.79,7.79,7.79,7.79,1100
2018-12-26,7.49,7.62,7.49,7.62,7.62,700
2018-12-27,7.79,7.8,7.79,7.8,7.8,400
2018-12-28,7.88,7.88,7.88,7.88,7.88,200
2018-12-31,7.91,7.93,7.882,7.93,7.93,600
2019-01-02,7.93,7.93,7.93,7.93,7.93,0
2019-01-03,7.93,7.93,7.93,7.93,7.93,700
2019-01-04,7.86,7.942,7.85,7.942,7.942,700
2019-01-07,7.87,7.87,7.87,7.87,7.87,100
2019-01-08,7.74,7.74,7.74,7.74,7.74,200
2019-01-09,7.74,7.74,7.74,7.74,7.74,0
2019-01-10,8.05,8.05,8.05,8.05,8.05,200
2019-01-11,8.05,8.05,8.05,8.05,8.05,0
2019-01-14,7.92,7.92,7.92,7.92,7.92,600
2019-01-15,7.94,8.01,7.809,8.01,8.01,68200
2019-01-16,7.893,7.893,7.893,7.893,7.893,64400
2019-01-17,8.01,8.07,8.01,8.07,8.07,300
2019-01-18,8.18,8.18,8.18,8.18,8.18,400
2019-01-22,8.04,8.04,8.01,8.04,8.04,1300
2019-01-23,7.935,7.935,7.935,7.935,7.935,200
2019-01-24,7.935,7.935,7.935,7.935,7.935,0
2019-01-25,7.935,7.935,7.935,7.935,7.935,0
2019-01-28,7.91,7.91,7.91,7.91,7.91,300
2019-01-29,7.95,7.955,7.95,7.955,7.955,1300
2019-01-30,7.93,7.93,7.93,7.93,7.93,100
2019-01-31,8.03,8.09,8.03,8.09,8.09,700
2019-02-01,7.965,8.03,7.965,7.99,7.99,17000
2019-02-04,7.86,7.86,7.86,7.86,7.86,36200
2019-02-05,7.77,7.77,7.05,7.05,7.05,1400
2019-02-06,7.48,7.53,7.48,7.53,7.53,600
2019-02-07,7.135,7.135,7.07,7.07,7.07,900
2019-02-08,7.17,7.17,7.03,7.03,7.03,5000
2019-02-11,7.065,7.065,7.065,7.065,7.065,900
2019-02-12,7.12,7.18,7.115,7.18,7.18,3300
2019-02-13,7.06,7.06,7.06,7.06,7.06,400
2019-02-14,7.005,7.08,7.005,7.08,7.08,200
2019-02-15,7.1,7.1,7.0,7.0,7.0,900
2019-02-19,7.19,7.19,6.99,7.0,7.0,800
2019-02-20,7.04,7.13,7.04,7.13,7.13,800
2019-02-21,6.93,6.97,6.925,6.925,6.925,1200
2019-02-22,7.01,7.01,6.88,7.01,7.01,9800
2019-02-25,6.92,7.05,6.9,6.975,6.975,6000
2019-02-26,6.92,6.93,6.92,6.93,6.93,17400
2019-02-27,6.92,6.92,6.92,6.92,6.92,400
2019-02-28,7.06,7.06,6.78,6.78,6.78,6100
2019-03-01,6.92,6.92,6.92,6.92,6.92,400
2019-03-04,6.77,6.77,6.77,6.77,6.77,700
2019-03-05,6.71,6.71,6.64,6.64,6.64,700
2019-03-06,6.735,6.735,6.66,6.66,6.66,800
2019-03-07,6.87,6.88,6.68,6.88,6.88,20700
2019-03-08,6.745,6.8,6.69,6.69,6.69,1400
2019-03-11,6.705,6.79,6.705,6.79,6.79,2100
2019-03-12,6.75,6.75,6.75,6.75,6.75,1000
