Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,15.78,15.78,15.78,15.78,14.788088,0
2013-07-17,15.78,15.78,15.78,15.78,14.788088,0
2013-07-18,15.78,15.78,15.78,15.78,14.788088,0
2013-07-19,15.78,15.78,15.78,15.78,14.788088,0
2013-07-22,15.78,15.78,15.78,15.78,14.788088,0
2013-07-23,15.78,15.78,15.78,15.78,14.788088,0
2013-07-24,15.78,15.78,15.78,15.78,14.788088,0
2013-07-25,15.78,15.78,15.78,15.78,14.788088,0
2013-07-26,14.4,14.4,14.4,14.4,13.494833,300
2013-07-29,14.4,14.4,14.4,14.4,13.494833,0
2013-07-30,14.4,14.4,14.4,14.4,13.494833,0
2013-07-31,14.4,14.4,14.4,14.4,13.494833,0
2013-08-01,14.4,14.4,14.4,14.4,13.494833,0
2013-08-02,14.4,14.4,14.4,14.4,13.494833,0
2013-08-05,14.95,14.95,14.95,14.95,14.010262,200
2013-08-06,14.95,14.95,14.95,14.95,14.010262,0
2013-08-07,14.95,14.95,14.95,14.95,14.010262,0
2013-08-08,14.95,14.95,14.95,14.95,14.010262,0
2013-08-09,14.95,14.95,14.95,14.95,14.010262,0
2013-08-12,14.95,14.95,14.95,14.95,14.010262,0
2013-08-13,14.95,14.95,14.95,14.95,14.010262,0
2013-08-14,14.95,14.95,14.95,14.95,14.010262,0
2013-08-15,14.95,14.95,14.95,14.95,14.010262,0
2013-08-16,14.95,14.95,14.95,14.95,14.010262,0
2013-08-19,14.95,14.95,14.95,14.95,14.010262,0
2013-08-20,14.95,14.95,14.95,14.95,14.010262,0
2013-08-21,14.95,14.95,14.95,14.95,14.010262,0
2013-08-22,14.95,14.95,14.95,14.95,14.010262,0
2013-08-23,14.95,14.95,14.95,14.95,14.010262,0
2013-08-26,14.95,14.95,14.95,14.95,14.010262,0
2013-08-27,12.8,12.8,12.8,12.8,11.995408,200
2013-08-28,12.8,12.8,12.8,12.8,11.995408,100
2013-08-29,12.8,12.8,12.8,12.8,11.995408,0
2013-08-30,12.8,12.8,12.8,12.8,11.995408,0
2013-09-03,12.8,12.8,12.8,12.8,11.995408,0
2013-09-04,12.8,12.8,12.8,12.8,11.995408,0
2013-09-05,12.5,12.5,12.5,12.5,11.714266,100
2013-09-06,12.5,12.5,12.5,12.5,11.714266,0
2013-09-09,12.5,12.5,12.5,12.5,11.714266,0
2013-09-10,12.5,12.5,12.5,12.5,11.714266,0
2013-09-11,12.5,12.5,12.5,12.5,11.714266,0
2013-09-12,12.5,12.5,12.5,12.5,11.714266,0
2013-09-13,12.5,12.5,12.5,12.5,11.714266,0
2013-09-16,12.5,12.5,12.5,12.5,11.714266,0
2013-09-17,12.5,12.5,12.5,12.5,11.714266,0
2013-09-18,12.5,12.5,12.5,12.5,11.714266,0
2013-09-19,12.5,12.5,12.5,12.5,11.714266,0
2013-09-20,12.5,12.5,12.5,12.5,11.714266,0
2013-09-23,12.5,12.5,12.5,12.5,11.714266,0
2013-09-24,12.5,12.5,12.5,12.5,11.714266,0
2013-09-25,12.5,12.5,12.5,12.5,11.714266,0
2013-09-26,12.5,12.5,12.5,12.5,11.714266,0
2013-09-27,12.5,12.5,12.5,12.5,11.714266,0
2013-09-30,12.5,12.5,12.5,12.5,11.714266,0
2013-10-01,12.5,12.5,12.5,12.5,11.714266,0
2013-10-02,12.5,12.5,12.5,12.5,11.714266,0
2013-10-03,12.5,12.5,12.5,12.5,11.714266,0
2013-10-04,12.5,12.5,12.5,12.5,11.714266,0
2013-10-07,12.5,12.5,12.5,12.5,11.714266,0
2013-10-08,12.5,12.5,12.5,12.5,11.714266,0
2013-10-09,12.5,12.5,12.5,12.5,11.714266,0
2013-10-10,12.5,12.5,12.5,12.5,11.714266,0
2013-10-11,12.5,12.5,12.5,12.5,11.714266,0
2013-10-14,12.5,12.5,12.5,12.5,11.714266,0
2013-10-15,12.5,12.5,12.5,12.5,11.714266,0
2013-10-16,12.5,12.5,12.5,12.5,11.714266,0
2013-10-17,12.5,12.5,12.5,12.5,11.714266,0
2013-10-18,12.5,12.5,12.5,12.5,11.714266,0
2013-10-21,12.5,12.5,12.5,12.5,11.714266,0
2013-10-22,12.44,12.44,12.44,12.44,11.658035,300
2013-10-23,12.44,12.44,12.44,12.44,11.658035,0
2013-10-24,12.44,12.44,12.44,12.44,11.658035,0
2013-10-25,12.44,12.44,12.44,12.44,11.658035,0
2013-10-28,12.44,12.44,12.44,12.44,11.658035,0
2013-10-29,12.44,12.44,12.44,12.44,11.658035,0
2013-10-30,12.44,12.44,12.44,12.44,11.658035,0
2013-10-31,12.44,12.44,12.44,12.44,11.658035,0
2013-11-01,12.44,12.44,12.44,12.44,11.658035,0
2013-11-04,12.06,12.06,12.06,12.06,11.301923,300
2013-11-05,12.06,12.06,12.06,12.06,11.301923,0
2013-11-06,12.06,12.06,12.06,12.06,11.301923,0
2013-11-07,12.06,12.06,12.06,12.06,11.301923,0
2013-11-08,12.06,12.06,12.06,12.06,11.301923,0
2013-11-11,12.06,12.06,12.06,12.06,11.301923,0
2013-11-12,12.06,12.06,12.06,12.06,11.301923,0
2013-11-13,12.06,12.06,12.06,12.06,11.301923,0
2013-11-14,12.06,12.06,12.06,12.06,11.301923,0
2013-11-15,12.06,12.06,12.06,12.06,11.301923,0
2013-11-18,12.06,12.06,12.06,12.06,11.301923,0
2013-11-19,12.06,12.06,12.06,12.06,11.301923,0
2013-11-20,12.06,12.06,12.06,12.06,11.301923,0
2013-11-21,12.06,12.06,12.06,12.06,11.301923,0
2013-11-22,12.06,12.06,12.06,12.06,11.301923,0
2013-11-25,12.06,12.06,12.06,12.06,11.301923,0
2013-11-26,12.06,12.06,12.06,12.06,11.301923,0
2013-11-27,12.06,12.06,12.06,12.06,11.301923,0
2013-11-29,12.06,12.06,12.06,12.06,11.301923,0
2013-12-02,12.06,12.06,12.06,12.06,11.301923,0
2013-12-03,12.06,12.06,12.06,12.06,11.301923,0
2013-12-04,12.06,12.06,12.06,12.06,11.301923,0
2013-12-05,12.06,12.06,12.06,12.06,11.301923,0
2013-12-06,12.06,12.06,12.06,12.06,11.301923,0
2013-12-09,12.06,12.06,12.06,12.06,11.301923,0
2013-12-10,12.06,12.06,12.06,12.06,11.301923,0
2013-12-11,12.06,12.06,12.06,12.06,11.301923,0
2013-12-12,12.06,12.06,12.06,12.06,11.301923,0
2013-12-13,12.06,12.06,12.06,12.06,11.301923,0
2013-12-16,12.06,12.06,12.06,12.06,11.301923,0
2013-12-17,12.06,12.06,12.06,12.06,11.301923,0
2013-12-18,12.06,12.06,12.06,12.06,11.301923,0
2013-12-19,12.06,12.06,12.06,12.06,11.301923,0
2013-12-20,12.06,12.06,12.06,12.06,11.301923,0
2013-12-23,12.05,12.05,12.05,12.05,11.292551,200
2013-12-24,12.05,12.05,12.05,12.05,11.292551,0
2013-12-26,12.07,12.07,12.07,12.07,11.311293,300
2013-12-27,12.07,12.07,12.07,12.07,11.311293,0
2013-12-30,12.07,12.07,12.07,12.07,11.311293,0
2013-12-31,12.07,12.07,12.07,12.07,11.311293,0
2014-01-02,12.07,12.07,12.07,12.07,11.311293,0
2014-01-03,12.07,12.07,12.07,12.07,11.311293,0
2014-01-06,12.07,12.07,12.07,12.07,11.311293,0
2014-01-07,12.07,12.07,12.07,12.07,11.311293,0
2014-01-08,12.07,12.07,12.07,12.07,11.311293,0
2014-01-09,12.07,12.07,12.07,12.07,11.311293,0
2014-01-10,12.07,12.07,12.07,12.07,11.311293,0
2014-01-13,12.07,12.07,12.07,12.07,11.311293,0
2014-01-14,12.07,12.07,12.07,12.07,11.311293,0
2014-01-15,12.07,12.07,12.07,12.07,11.311293,0
2014-01-16,12.07,12.07,12.07,12.07,11.311293,0
2014-01-17,12.07,12.07,12.07,12.07,11.311293,0
2014-01-21,12.07,12.07,12.07,12.07,11.311293,0
2014-01-22,12.07,12.07,12.07,12.07,11.311293,0
2014-01-23,12.07,12.07,12.07,12.07,11.311293,0
2014-01-24,12.07,12.07,12.07,12.07,11.311293,0
2014-01-27,12.07,12.07,12.07,12.07,11.311293,0
2014-01-28,12.07,12.07,12.07,12.07,11.311293,0
2014-01-29,12.07,12.07,12.07,12.07,11.311293,0
2014-01-30,12.07,12.07,12.07,12.07,11.311293,0
2014-01-31,12.07,12.07,12.07,12.07,11.311293,0
2014-02-03,12.07,12.07,12.07,12.07,11.311293,0
2014-02-04,12.07,12.07,12.07,12.07,11.311293,0
2014-02-05,12.07,12.07,12.07,12.07,11.311293,0
2014-02-06,12.07,12.07,12.07,12.07,11.311293,0
2014-02-07,12.07,12.07,12.07,12.07,11.311293,0
2014-02-10,12.07,12.07,12.07,12.07,11.311293,0
2014-02-11,12.07,12.07,12.07,12.07,11.311293,0
2014-02-12,12.07,12.07,12.07,12.07,11.311293,0
2014-02-13,12.07,12.07,12.07,12.07,11.311293,0
2014-02-14,12.07,12.07,12.07,12.07,11.311293,0
2014-02-18,12.07,12.07,12.07,12.07,11.311293,0
2014-02-19,12.07,12.07,12.07,12.07,11.311293,0
2014-02-20,12.07,12.07,12.07,12.07,11.311293,0
2014-02-21,12.07,12.07,12.07,12.07,11.311293,0
2014-02-24,12.07,12.07,12.07,12.07,11.311293,0
2014-02-25,12.07,12.07,12.07,12.07,11.311293,0
2014-02-26,12.07,12.07,12.07,12.07,11.311293,0
2014-02-27,12.07,12.07,12.07,12.07,11.311293,0
2014-02-28,12.07,12.07,12.07,12.07,11.311293,0
2014-03-03,12.07,12.07,12.07,12.07,11.311293,0
2014-03-04,12.07,12.07,12.07,12.07,11.311293,0
2014-03-05,9.652,9.652,9.652,9.652,9.045286,100
2014-03-06,9.652,9.652,9.652,9.652,9.045286,0
2014-03-07,9.652,9.652,9.652,9.652,9.045286,0
2014-03-10,9.652,9.652,9.652,9.652,9.045286,0
2014-03-11,9.652,9.652,9.652,9.652,9.045286,0
2014-03-12,9.652,9.652,9.652,9.652,9.045286,0
2014-03-13,9.652,9.652,9.652,9.652,9.045286,0
2014-03-14,9.652,9.652,9.652,9.652,9.045286,0
2014-03-17,9.652,9.652,9.652,9.652,9.045286,0
