Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,1.07,1.1496,1.05,1.0572,1.0572,16909
2013-07-17,1.062,1.07,1.062,1.07,1.07,1321
2013-07-18,1.07,1.07,1.05,1.0504,1.0504,9827
2013-07-19,1.05,1.07,1.05,1.07,1.07,5284
2013-07-22,1.07,1.07,1.05,1.051,1.051,7897
2013-07-23,1.09,1.0935,1.09,1.09,1.09,7100
2013-07-24,1.09,1.09,1.05,1.08,1.08,1598
2013-07-25,1.0809,1.0809,1.0702,1.0799,1.0799,4742
2013-07-26,1.0701,1.1,1.07,1.072,1.072,5067
2013-07-29,1.05,1.052,1.03,1.04,1.04,14723
2013-07-30,1.01,1.1615,1.0,1.01,1.01,51627
2013-07-31,1.05,1.05,1.0,1.01,1.01,14112
2013-08-01,1.0226,1.03,1.0101,1.0265,1.0265,7524
2013-08-02,1.11,1.15,1.05,1.13,1.13,13445
2013-08-05,1.13,1.13,1.03,1.1,1.1,20033
2013-08-06,1.13,1.14,1.13,1.14,1.14,9400
2013-08-07,1.14,1.15,1.1354,1.1399,1.1399,23962
2013-08-08,1.14,1.25,1.13,1.2401,1.2401,59847
2013-08-09,1.27,1.27,0.9201,1.06,1.06,158246
2013-08-12,1.05,1.06,1.0,1.01,1.01,23605
2013-08-13,1.04,1.06,1.04,1.05,1.05,47184
2013-08-14,1.05,1.06,1.01,1.05,1.05,59042
2013-08-15,1.06,1.12,1.04,1.07,1.07,160192
2013-08-16,1.1,1.11,1.061,1.1,1.1,23695
2013-08-19,1.1,1.1,1.04,1.1,1.1,30317
2013-08-20,1.09,1.13,1.06,1.11,1.11,46238
2013-08-21,1.11,1.13,1.08,1.1168,1.1168,154830
2013-08-22,1.12,1.12,1.1,1.12,1.12,35232
2013-08-23,1.09,1.15,1.09,1.14,1.14,70289
2013-08-26,1.14,1.17,1.13,1.13,1.13,102990
2013-08-27,1.13,1.25,1.12,1.12,1.12,165145
2013-08-28,1.12,1.16,1.0601,1.159,1.159,48225
2013-08-29,1.15,1.1673,1.0801,1.15,1.15,64813
2013-08-30,1.11,1.21,1.11,1.2,1.2,123392
2013-09-03,1.2,1.2,1.175,1.18,1.18,82476
2013-09-04,1.17,1.2,1.13,1.17,1.17,110612
2013-09-05,1.14,1.2,1.1,1.1,1.1,65749
2013-09-06,1.15,1.1636,1.111,1.13,1.13,34785
2013-09-09,1.1,1.15,1.0,1.11,1.11,46065
2013-09-10,1.14,1.14,1.1,1.13,1.13,15279
2013-09-11,1.12,1.1292,1.09,1.09,1.09,69335
2013-09-12,1.12,1.12,1.09,1.1,1.1,58300
2013-09-13,1.12,1.15,1.09,1.09,1.09,72311
2013-09-16,1.09,1.1352,1.09,1.11,1.11,30363
2013-09-17,1.1,1.129,1.09,1.1,1.1,38904
2013-09-18,1.1,1.11,1.02,1.11,1.11,137112
2013-09-19,1.1,1.11,0.98,1.09,1.09,1097150
2013-09-20,1.05,1.1093,1.05,1.05,1.05,23425
2013-09-23,1.07,1.1,1.07,1.09,1.09,16018
2013-09-24,1.1,1.11,1.09,1.09,1.09,14636
2013-09-25,1.09,1.13,1.06,1.09,1.09,33733
2013-09-26,1.09,1.12,1.0806,1.1,1.1,25242
2013-09-27,1.11,1.15,1.0999,1.14,1.14,166396
2013-09-30,1.12,1.14,1.1,1.12,1.12,45854
2013-10-01,1.12,1.13,1.0904,1.1099,1.1099,28915
2013-10-02,1.1,1.11,1.1,1.11,1.11,1941
2013-10-03,1.11,1.11,1.0,1.09,1.09,583118
2013-10-04,1.06,1.09,1.05,1.08,1.08,14415
2013-10-07,1.08,1.089,1.0,1.02,1.02,109887
2013-10-08,1.03,1.05,0.99,1.02,1.02,58380
2013-10-09,1.01,1.0299,0.99,1.0099,1.0099,51664
2013-10-10,1.02,1.02,0.9971,1.0,1.0,86826
2013-10-11,1.03,1.03,0.98,0.9997,0.9997,174346
2013-10-14,1.0,1.0,0.97,0.9701,0.9701,36397
2013-10-15,1.02,1.15,0.99,1.0201,1.0201,195160
2013-10-16,1.05,1.06,1.0296,1.0296,1.0296,57011
2013-10-17,1.06,1.1,1.0502,1.1,1.1,205503
2013-10-18,1.1,1.39,1.099,1.249,1.249,547402
