Date,Open,High,Low,Close,Adj Close,Volume
2022-02-11,0.316,0.316,0.316,0.316,0.316,9600
2022-02-14,0.39,0.39,0.3129,0.3129,0.3129,7500
2022-02-15,0.3129,0.3129,0.3129,0.3129,0.3129,0
2022-02-16,0.2546,0.2546,0.2546,0.2546,0.2546,1000
2022-02-17,0.252,0.27,0.244,0.2543,0.2543,27113
2022-02-18,0.2583,0.2583,0.2155,0.2155,0.2155,22874
2022-02-22,0.221,0.4625,0.1257,0.3109,0.3109,278521
2022-02-23,0.33865,0.33865,0.29355,0.3257,0.3257,48062
2022-02-24,0.3395,0.3395,0.2648,0.2761,0.2761,61453
2022-02-25,0.2853,0.33,0.26332,0.27,0.27,71045
2022-02-28,0.27,0.27,0.27,0.27,0.27,0
2022-03-01,0.27525,0.4255,0.21,0.278,0.278,18795
2022-03-02,0.2792,0.29855,0.2635,0.29855,0.29855,37207
2022-03-03,0.285,0.32,0.26436,0.2898,0.2898,46271
2022-03-04,0.27966,0.27966,0.27666,0.2792,0.2792,16800
2022-03-07,0.35,0.35,0.23895,0.27,0.27,78507
2022-03-08,0.27,0.27,0.225,0.25,0.25,103758
2022-03-09,0.2478,0.25454,0.2344,0.2534,0.2534,67480
2022-03-10,0.277,0.277,0.264,0.2698,0.2698,6875
2022-03-11,0.26373,0.26373,0.2453,0.2453,0.2453,16970
2022-03-14,0.24793,0.24793,0.22992,0.22992,0.22992,1370
2022-03-15,0.2394,0.2394,0.22,0.23,0.23,9230
2022-03-16,0.22828,0.22828,0.2154,0.2154,0.2154,3280
2022-03-17,0.22,0.22,0.20944,0.2157,0.2157,62230
2022-03-18,0.21658,0.21658,0.2037,0.2037,0.2037,21326
2022-03-21,0.2037,0.2037,0.2037,0.2037,0.2037,0
2022-03-22,0.21842,0.22,0.2164,0.21764,0.21764,20600
2022-03-23,0.22,0.22,0.219,0.22,0.22,44615
2022-03-24,0.2272,0.2272,0.21392,0.22185,0.22185,8524
2022-03-25,0.24835,0.24835,0.21132,0.235,0.235,44033
2022-03-28,0.3307,0.3307,0.2133,0.2145,0.2145,5370
2022-03-29,0.2145,0.22295,0.2145,0.22295,0.22295,10500
2022-03-30,0.21745,0.21745,0.215,0.215,0.215,1450
2022-03-31,0.215,0.215,0.215,0.215,0.215,0
2022-04-01,0.215,0.215,0.215,0.215,0.215,0
2022-04-04,0.275,0.275,0.2,0.205,0.205,48863
2022-04-05,0.3025,0.3025,0.2,0.2055,0.2055,243667
2022-04-06,0.25,0.25,0.2055,0.225,0.225,621140
2022-04-07,0.25,0.4798,0.209,0.225,0.225,289626
2022-04-08,0.23,0.23,0.2105,0.21284,0.21284,407480
2022-04-11,0.2128,0.26675,0.2,0.2,0.2,554620
2022-04-12,0.25,0.25,0.1433,0.15,0.15,1313042
2022-04-13,0.1961,0.1962,0.1,0.1516,0.1516,614646
2022-04-14,0.14885,0.153,0.1183,0.12685,0.12685,167377
2022-04-18,0.14,0.16283,0.1214,0.1214,0.1214,186077
2022-04-19,0.1626,0.1626,0.13075,0.1363,0.1363,93857
2022-04-20,0.19,0.19,0.12,0.1499,0.1499,164916
2022-04-21,0.1318,0.1497,0.10763,0.1125,0.1125,133938
2022-04-22,0.113,0.1162,0.101,0.10616,0.10616,59112
2022-04-25,0.10382,0.107,0.09,0.09,0.09,151987
2022-04-26,0.09182,0.095,0.08056,0.0814,0.0814,52117
2022-04-27,0.078,0.0914,0.0777,0.0777,0.0777,105130
2022-04-28,0.0776,0.0951,0.0756,0.0846,0.0846,46640
2022-04-29,0.08561,0.1104,0.08262,0.09227,0.09227,21387
2022-05-02,0.10117,0.11924,0.09,0.098,0.098,115590
