Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,2.1,2.1,1.95,2.0,1.478421,107300
2013-07-17,2.05,2.05,2.0,2.0,1.478421,97500
2013-07-18,2.0,2.0,2.0,2.0,1.478421,2600
2013-07-19,2.0,2.0,2.0,2.0,1.478421,0
2013-07-22,2.02,2.02,2.0,2.0,1.478421,3800
2013-07-23,2.0,2.0,2.0,2.0,1.478421,0
2013-07-24,2.0,2.0,2.0,2.0,1.478421,0
2013-07-25,2.0,2.0,2.0,2.0,1.478421,0
2013-07-26,2.0,2.0,2.0,2.0,1.478421,0
2013-07-29,2.0,2.0,2.0,2.0,1.478421,0
2013-07-30,2.0,2.0,2.0,2.0,1.478421,0
2013-07-31,2.0,2.0,2.0,2.0,1.478421,0
2013-08-01,2.05,2.05,2.05,2.05,1.515382,20800
2013-08-02,2.05,2.05,2.02,2.02,1.493205,21400
2013-08-05,2.04,2.04,2.04,2.04,1.50799,8000
2013-08-06,2.04,2.04,2.04,2.04,1.50799,0
2013-08-07,2.04,2.04,2.04,2.04,1.50799,0
2013-08-08,2.04,2.04,2.04,2.04,1.50799,0
2013-08-09,2.04,2.04,2.04,2.04,1.50799,0
2013-08-12,2.04,2.04,2.04,2.04,1.50799,100
2013-08-13,2.04,2.04,2.04,2.04,1.50799,200
2013-08-14,2.25,2.35,2.25,2.35,1.737145,200
2013-08-15,2.35,2.35,2.35,2.35,1.737145,0
2013-08-16,2.35,2.35,2.35,2.35,1.737145,0
2013-08-19,2.2,2.2,2.2,2.2,1.626263,3700
2013-08-20,2.2,2.2,2.2,2.2,1.626263,200
2013-08-21,2.1,2.1,2.1,2.1,1.552342,100
2013-08-22,2.1,2.1,2.1,2.1,1.552342,0
2013-08-23,2.15,2.75,2.15,2.75,2.032829,1000
2013-08-26,2.75,2.75,2.75,2.75,2.032829,0
2013-08-27,2.65,2.75,2.65,2.75,2.032829,1000
2013-08-28,2.95,2.95,2.95,2.95,2.180671,1000
2013-08-29,2.95,2.95,2.95,2.95,2.180671,0
2013-08-30,2.95,2.95,2.95,2.95,2.180671,0
2013-09-03,2.95,2.95,2.95,2.95,2.180671,0
2013-09-04,2.95,2.95,2.95,2.95,2.180671,0
2013-09-05,2.75,2.75,2.5,2.5,1.848027,7500
2013-09-06,2.5,2.5,2.5,2.5,1.848027,0
2013-09-09,2.5,2.5,2.5,2.5,1.848027,0
2013-09-10,2.5,2.5,2.5,2.5,1.848027,0
2013-09-11,2.5,2.5,2.5,2.5,1.848027,0
2013-09-12,2.5,2.5,2.5,2.5,1.848027,0
2013-09-13,2.5,2.5,2.5,2.5,1.848027,0
2013-09-16,2.5,2.5,2.5,2.5,1.848027,100
2013-09-17,2.5,2.5,2.5,2.5,1.848027,0
2013-09-18,2.5,2.5,2.5,2.5,1.848027,0
2013-09-19,2.5,2.5,2.5,2.5,1.848027,0
2013-09-20,2.5,2.5,2.5,2.5,1.848027,0
2013-09-23,2.5,2.5,2.5,2.5,1.848027,0
2013-09-24,2.5,2.5,2.5,2.5,1.848027,0
2013-09-25,2.392,2.392,2.392,2.392,1.768192,2000
2013-09-26,2.392,2.392,2.392,2.392,1.768192,0
2013-09-27,2.392,2.392,2.392,2.392,1.768192,0
2013-09-30,2.392,2.392,2.392,2.392,1.768192,0
2013-10-01,2.392,2.392,2.392,2.392,1.768192,0
2013-10-02,2.392,2.392,2.392,2.392,1.768192,0
2013-10-03,2.392,2.392,2.392,2.392,1.768192,0
2013-10-04,2.392,2.392,2.392,2.392,1.768192,0
2013-10-07,2.392,2.392,2.392,2.392,1.768192,0
2013-10-08,2.392,2.392,2.392,2.392,1.768192,0
2013-10-09,2.392,2.392,2.392,2.392,1.768192,0
2013-10-10,2.392,2.392,2.392,2.392,1.768192,700
2013-10-11,2.36,2.36,2.36,2.36,1.744537,200
2013-10-14,2.36,2.36,2.36,2.36,1.744537,0
2013-10-15,2.36,2.36,2.36,2.36,1.744537,0
2013-10-16,2.4,2.4,2.4,2.4,1.774105,2900
2013-10-17,2.4,2.4,2.4,2.4,1.774105,0
2013-10-18,2.4,2.4,2.4,2.4,1.774105,0
2013-10-21,2.4,2.4,2.4,2.4,1.774105,0
2013-10-22,2.4,2.4,2.1,2.25,1.663224,2600
2013-10-23,2.25,2.25,2.25,2.25,1.663224,0
2013-10-24,2.25,2.25,2.25,2.25,1.663224,0
2013-10-25,2.25,2.25,2.25,2.25,1.663224,0
2013-10-28,1.9,1.99,1.9,1.99,1.471029,3100
2013-10-29,2.18,2.18,2.18,2.18,1.611479,1500
2013-10-30,2.1,2.1,2.0,2.0,1.478421,1300
2013-10-31,2.0,2.0,2.0,2.0,1.478421,0
2013-11-01,2.01,2.05,2.01,2.03,1.500597,3000
2013-11-04,1.91,1.91,1.91,1.91,1.411892,800
2013-11-05,2.0,2.0,2.0,2.0,1.478421,300
2013-11-06,2.05,2.05,2.0,2.0,1.478421,1700
2013-11-07,2.1,2.1,2.0,2.0,1.478421,2800
2013-11-08,1.92,1.92,1.9,1.9,1.4045,10000
2013-11-11,1.9,1.9,1.9,1.9,1.4045,0
2013-11-12,1.99,1.99,1.99,1.99,1.471029,1000
2013-11-13,1.99,1.99,1.99,1.99,1.471029,0
2013-11-14,1.99,1.99,1.99,1.99,1.471029,0
2013-11-15,2.0,2.0,2.0,2.0,1.478421,1200
2013-11-18,2.0,2.05,2.0,2.05,1.515382,500
2013-11-19,2.05,2.05,2.05,2.05,1.515382,0
2013-11-20,2.05,2.05,2.05,2.05,1.515382,0
2013-11-21,2.0,2.01,2.0,2.01,1.485813,3000
2013-11-22,2.0,2.0,1.98,2.0,1.478421,4800
2013-11-25,2.0,2.0,2.0,2.0,1.478421,0
2013-11-26,2.0,2.0,2.0,2.0,1.478421,2000
2013-11-27,1.99,1.99,1.99,1.99,1.471029,1000
2013-11-29,1.99,1.99,1.99,1.99,1.471029,0
2013-12-02,1.99,1.99,1.99,1.99,1.471029,0
2013-12-03,1.99,1.99,1.99,1.99,1.471029,0
2013-12-04,1.99,1.99,1.99,1.99,1.471029,0
2013-12-05,1.99,1.99,1.99,1.99,1.471029,0
2013-12-06,1.99,1.99,1.99,1.99,1.471029,0
2013-12-09,2.0,2.0,2.0,2.0,1.478421,6000
2013-12-10,1.99,2.0,1.99,2.0,1.478421,8500
2013-12-11,2.0,2.0,2.0,2.0,1.478421,2000
2013-12-12,2.0,2.0,2.0,2.0,1.478421,100
2013-12-13,2.0,2.0,2.0,2.0,1.478421,0
2013-12-16,1.96,1.96,1.96,1.96,1.448853,2200
2013-12-17,1.96,1.96,1.96,1.96,1.448853,0
2013-12-18,1.96,1.96,1.96,1.96,1.448853,0
2013-12-19,1.95,1.95,1.95,1.95,1.441461,3000
2013-12-20,1.95,1.95,1.95,1.95,1.441461,0
2013-12-23,1.95,1.95,1.95,1.95,1.441461,0
2013-12-24,1.9,1.9,1.9,1.9,1.4045,300
2013-12-26,1.9,1.9,1.9,1.9,1.4045,0
2013-12-27,1.9,1.95,1.9,1.9,1.4045,14100
2013-12-30,1.9,1.9,1.89,1.89,1.397108,1400
2013-12-31,1.89,1.89,1.89,1.89,1.397108,1500
2014-01-02,1.89,1.89,1.89,1.89,1.397108,1500
2014-01-03,1.89,1.89,1.89,1.89,1.397108,2000
2014-01-06,1.89,2.22,1.89,2.22,1.641047,2600
2014-01-07,2.22,2.22,2.22,2.22,1.641047,0
2014-01-08,2.22,2.22,2.22,2.22,1.641047,0
2014-01-09,2.22,2.22,2.22,2.22,1.641047,0
2014-01-10,2.22,2.22,2.22,2.22,1.641047,0
2014-01-13,2.22,2.22,2.22,2.22,1.641047,0
2014-01-14,2.234,2.35,2.21,2.35,1.737145,1500
2014-01-15,2.35,2.35,2.35,2.35,1.737145,0
2014-01-16,2.35,2.35,2.35,2.35,1.737145,0
2014-01-17,2.35,2.35,2.35,2.35,1.737145,0
2014-01-21,2.35,2.35,2.35,2.35,1.737145,0
2014-01-22,2.35,2.35,2.35,2.35,1.737145,0
2014-01-23,2.35,2.35,2.35,2.35,1.737145,0
2014-01-24,2.27,2.35,2.21,2.35,1.737145,3000
2014-01-27,2.35,2.35,2.35,2.35,1.737145,0
2014-01-28,2.35,2.35,2.35,2.35,1.737145,0
2014-01-29,2.35,2.35,2.35,2.35,1.737145,0
2014-01-30,2.35,2.35,2.35,2.35,1.737145,0
2014-01-31,2.35,2.35,2.35,2.35,1.737145,0
2014-02-03,2.35,2.35,2.35,2.35,1.737145,0
2014-02-04,2.35,2.35,2.35,2.35,1.737145,0
2014-02-05,2.35,2.35,2.35,2.35,1.737145,0
2014-02-06,2.35,2.35,2.35,2.35,1.737145,0
2014-02-07,2.35,2.35,2.35,2.35,1.737145,100
2014-02-10,2.35,2.35,2.35,2.35,1.737145,0
2014-02-11,2.35,2.35,2.35,2.35,1.737145,0
2014-02-12,2.35,2.35,2.35,2.35,1.737145,0
2014-02-13,2.3,2.3,2.3,2.3,1.700184,2500
2014-02-14,2.3,2.3,2.3,2.3,1.700184,0
2014-02-18,2.21,2.21,2.21,2.21,1.633655,2600
2014-02-19,2.21,2.21,2.21,2.21,1.633655,0
2014-02-20,2.21,2.21,2.21,2.21,1.633655,1200
2014-02-21,2.21,2.21,2.21,2.21,1.633655,0
2014-02-24,2.21,2.21,2.21,2.21,1.633655,0
2014-02-25,2.21,2.21,2.21,2.21,1.633655,300
2014-02-26,2.21,2.21,2.21,2.21,1.633655,0
2014-02-27,2.21,2.21,2.21,2.21,1.633655,0
2014-02-28,2.21,2.21,2.21,2.21,1.633655,0
2014-03-03,2.21,2.21,2.21,2.21,1.633655,0
2014-03-04,2.21,2.21,2.15,2.15,1.589303,3200
2014-03-05,2.15,2.15,2.15,2.15,1.589303,0
2014-03-06,2.21,2.21,2.21,2.21,1.633655,1000
2014-03-07,2.21,2.31,2.21,2.31,1.707576,1000
2014-03-10,2.31,2.31,2.31,2.31,1.707576,200
2014-03-11,2.31,2.31,2.31,2.31,1.707576,0
2014-03-12,2.31,2.31,2.31,2.31,1.707576,0
2014-03-13,2.31,2.31,2.31,2.31,1.707576,0
2014-03-14,2.15,2.15,2.15,2.15,1.589303,5500
2014-03-17,2.15,2.15,2.15,2.15,1.589303,600
2014-03-18,2.15,2.15,2.15,2.15,1.589303,0
2014-03-19,2.15,2.15,2.15,2.15,1.589303,0
2014-03-20,2.15,2.15,2.15,2.15,1.589303,0
2014-03-21,2.15,2.15,2.15,2.15,1.589303,0
2014-03-24,2.29,2.29,2.29,2.29,1.692792,1000
2014-03-25,2.29,2.29,2.29,2.29,1.692792,0
2014-03-26,2.29,2.29,2.29,2.29,1.692792,0
2014-03-27,2.29,2.29,2.29,2.29,1.692792,0
2014-03-28,2.29,2.29,2.29,2.29,1.692792,0
2014-03-31,2.29,2.29,2.29,2.29,1.692792,0
2014-04-01,2.29,2.29,2.29,2.29,1.692792,0
2014-04-02,2.29,2.29,2.29,2.29,1.692792,0
2014-04-03,2.29,2.29,2.29,2.29,1.692792,0
2014-04-04,2.15,2.15,2.15,2.15,1.589303,100
2014-04-07,2.06,2.06,2.06,2.06,1.522774,600
2014-04-08,2.15,2.15,2.15,2.15,1.589303,600
2014-04-09,2.15,2.15,2.15,2.15,1.589303,0
2014-04-10,2.15,2.15,2.15,2.15,1.589303,0
2014-04-11,2.15,2.15,2.15,2.15,1.589303,0
2014-04-14,2.16,2.16,2.16,2.16,1.596695,300
2014-04-15,2.1,2.1,2.1,2.1,1.552342,2000
2014-04-16,2.07,2.07,2.07,2.07,1.530166,400
2014-04-17,2.07,2.07,2.07,2.07,1.530166,0
2014-04-21,2.1,2.1,2.07,2.07,1.530166,2300
2014-04-22,2.07,2.07,2.07,2.07,1.530166,600
2014-04-23,2.07,2.07,2.07,2.07,1.530166,1000
2014-04-24,2.07,2.07,2.01,2.01,1.485813,13100
2014-04-25,2.01,2.01,2.01,2.01,1.485813,0
2014-04-28,2.01,2.01,2.01,2.01,1.485813,0
2014-04-29,2.01,2.01,2.01,2.01,1.485813,0
2014-04-30,2.01,2.01,2.01,2.01,1.485813,1000
2014-05-01,2.01,2.01,2.01,2.01,1.485813,0
2014-05-02,2.01,2.01,2.01,2.01,1.485813,0
2014-05-05,2.01,2.01,2.01,2.01,1.485813,0
2014-05-06,2.086,2.09,2.086,2.09,1.54495,1000
2014-05-07,2.09,2.09,2.09,2.09,1.54495,2200
2014-05-08,2.09,2.09,2.09,2.09,1.54495,1100
2014-05-09,2.09,2.09,2.09,2.09,1.54495,0
2014-05-12,2.09,2.09,2.09,2.09,1.54495,2200
2014-05-13,2.09,2.09,2.09,2.09,1.54495,100
2014-05-14,2.08,2.08,2.05,2.08,1.537558,1300
2014-05-15,2.08,2.08,2.08,2.08,1.537558,0
