Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,54.0,54.0,54.0,54.0,41.975033,0
2013-07-17,54.0,54.0,54.0,54.0,41.975033,0
2013-07-18,54.0,54.0,54.0,54.0,41.975033,0
2013-07-19,54.0,54.0,54.0,54.0,41.975033,0
2013-07-22,54.0,54.0,54.0,54.0,41.975033,0
2013-07-23,54.0,54.0,54.0,54.0,41.975033,0
2013-07-24,54.0,54.0,54.0,54.0,41.975033,0
2013-07-25,54.0,54.0,54.0,54.0,41.975033,0
2013-07-26,54.0,54.0,54.0,54.0,41.975033,0
2013-07-29,54.0,54.0,54.0,54.0,41.975033,0
2013-07-30,57.299999,57.299999,56.75,56.75,44.112656,400
2013-07-31,56.75,56.75,56.75,56.75,44.112656,0
2013-08-01,56.75,56.75,56.75,56.75,44.112656,0
2013-08-02,56.75,56.75,56.75,56.75,44.112656,0
2013-08-05,56.75,56.75,56.75,56.75,44.112656,0
2013-08-06,56.75,56.75,56.75,56.75,44.112656,0
2013-08-07,56.75,56.75,56.75,56.75,44.112656,0
2013-08-08,57.25,57.25,57.25,57.25,44.501308,1900
2013-08-09,57.25,57.25,57.25,57.25,44.501308,0
2013-08-12,57.25,57.25,57.25,57.25,44.501308,0
2013-08-13,57.25,57.25,57.25,57.25,44.501308,0
2013-08-14,57.25,57.25,57.25,57.25,44.501308,0
2013-08-15,57.25,57.25,57.25,57.25,44.501308,0
2013-08-16,57.25,57.25,57.25,57.25,44.501308,0
2013-08-19,57.25,57.25,57.25,57.25,44.501308,0
2013-08-20,57.25,57.25,57.25,57.25,44.501308,0
2013-08-21,57.25,57.25,57.25,57.25,44.501308,0
2013-08-22,57.25,57.25,57.25,57.25,44.501308,0
2013-08-23,57.25,57.25,57.25,57.25,44.501308,0
2013-08-26,57.25,57.25,57.25,57.25,44.501308,0
2013-08-27,57.25,57.25,57.25,57.25,44.501308,0
2013-08-28,57.25,57.25,57.25,57.25,44.501308,0
2013-08-29,57.25,57.25,57.25,57.25,44.501308,0
2013-08-30,57.25,57.25,57.25,57.25,44.501308,0
2013-09-03,57.25,57.25,57.25,57.25,44.501308,0
2013-09-04,57.25,57.25,57.25,57.25,44.501308,0
2013-09-05,57.25,57.25,57.25,57.25,44.501308,0
2013-09-06,57.25,57.25,57.25,57.25,44.501308,0
2013-09-09,57.25,57.25,57.25,57.25,44.501308,0
2013-09-10,57.25,57.25,57.25,57.25,44.501308,0
2013-09-11,57.25,57.25,57.25,57.25,44.501308,0
2013-09-12,57.25,57.25,57.25,57.25,44.501308,0
2013-09-13,57.25,57.25,57.25,57.25,44.501308,0
2013-09-16,57.25,57.25,57.25,57.25,44.501308,0
2013-09-17,57.25,57.25,57.25,57.25,44.501308,0
2013-09-18,57.25,57.25,57.25,57.25,44.501308,0
2013-09-19,57.25,57.25,57.25,57.25,44.501308,0
2013-09-20,57.25,57.25,57.25,57.25,44.501308,0
2013-09-23,57.25,57.25,57.25,57.25,44.501308,0
2013-09-24,57.25,57.25,57.25,57.25,44.501308,0
2013-09-25,57.25,57.25,57.25,57.25,44.501308,0
2013-09-26,57.25,57.25,57.25,57.25,44.501308,0
2013-09-27,57.25,57.25,57.25,57.25,44.501308,0
2013-09-30,57.25,57.25,57.25,57.25,44.501308,0
2013-10-01,57.25,57.25,57.25,57.25,44.501308,0
2013-10-02,57.25,57.25,57.25,57.25,44.501308,0
2013-10-03,57.25,57.25,57.25,57.25,44.501308,0
2013-10-04,57.25,57.25,57.25,57.25,44.501308,0
2013-10-07,57.25,57.25,57.25,57.25,44.501308,0
2013-10-08,54.0,54.0,54.0,54.0,41.975033,600
2013-10-09,54.0,54.0,54.0,54.0,41.975033,0
2013-10-10,54.0,54.0,54.0,54.0,41.975033,0
2013-10-11,54.0,54.0,54.0,54.0,41.975033,0
2013-10-14,54.0,54.0,54.0,54.0,41.975033,0
2013-10-15,54.0,54.0,54.0,54.0,41.975033,0
2013-10-16,54.0,54.0,54.0,54.0,41.975033,0
2013-10-17,54.0,54.0,54.0,54.0,41.975033,0
2013-10-18,54.0,54.0,54.0,54.0,41.975033,0
2013-10-21,54.0,54.0,54.0,54.0,41.975033,0
2013-10-22,54.0,54.0,54.0,54.0,41.975033,0
2013-10-23,58.200001,58.200001,58.200001,58.200001,45.239754,200
2013-10-24,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-10-25,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-10-28,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-10-29,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-10-30,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-10-31,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-01,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-04,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-05,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-06,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-07,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-08,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-11,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-12,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-13,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-14,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-15,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-18,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-19,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-20,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-21,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-22,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-25,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-26,58.200001,58.200001,58.200001,58.200001,45.239754,0
2013-11-27,57.599998,57.599998,57.599998,57.599998,44.773369,800
2013-11-29,57.599998,57.599998,57.599998,57.599998,44.773369,0
2013-12-02,57.599998,57.599998,57.599998,57.599998,44.773369,0
2013-12-03,57.599998,57.599998,57.599998,57.599998,44.773369,0
2013-12-04,57.599998,57.599998,57.599998,57.599998,44.773369,0
2013-12-05,55.099998,55.099998,55.099998,55.099998,42.83007,2200
2013-12-06,55.099998,55.099998,55.099998,55.099998,42.83007,0
2013-12-09,55.099998,55.099998,55.099998,55.099998,42.83007,0
2013-12-10,55.099998,55.099998,55.099998,55.099998,42.83007,0
2013-12-11,55.099998,55.099998,55.099998,55.099998,42.83007,0
2013-12-12,55.099998,55.099998,55.099998,55.099998,42.83007,0
2013-12-13,55.099998,55.099998,55.099998,55.099998,42.83007,0
2013-12-16,55.099998,55.099998,55.099998,55.099998,42.83007,0
2013-12-17,53.950001,53.950001,53.950001,53.950001,41.936169,700
2013-12-18,53.950001,53.950001,53.950001,53.950001,41.936169,0
2013-12-19,53.950001,53.950001,53.950001,53.950001,41.936169,0
2013-12-20,53.950001,53.950001,53.950001,53.950001,41.936169,0
2013-12-23,53.950001,53.950001,53.950001,53.950001,41.936169,0
2013-12-24,53.950001,53.950001,53.950001,53.950001,41.936169,0
2013-12-26,53.950001,53.950001,53.950001,53.950001,41.936169,0
2013-12-27,53.950001,53.950001,53.950001,53.950001,41.936169,0
2013-12-30,53.950001,53.950001,53.950001,53.950001,41.936169,0
2013-12-31,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-02,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-03,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-06,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-07,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-08,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-09,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-10,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-13,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-14,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-15,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-16,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-17,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-21,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-22,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-23,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-24,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-27,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-28,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-29,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-30,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-01-31,53.950001,53.950001,53.950001,53.950001,41.936169,0
2014-02-03,51.169998,51.169998,51.169998,51.169998,39.77523,1700
2014-02-04,51.169998,51.169998,51.169998,51.169998,39.77523,0
2014-02-05,51.169998,51.169998,51.169998,51.169998,39.77523,0
2014-02-06,51.169998,51.169998,51.169998,51.169998,39.77523,0
2014-02-07,51.169998,51.169998,51.169998,51.169998,39.77523,0
2014-02-10,51.169998,51.169998,51.169998,51.169998,39.77523,0
2014-02-11,51.169998,51.169998,51.169998,51.169998,39.77523,0
2014-02-12,52.599998,52.599998,52.599998,52.599998,40.886787,300
2014-02-13,52.599998,52.599998,52.599998,52.599998,40.886787,0
2014-02-14,52.599998,52.599998,52.599998,52.599998,40.886787,0
2014-02-18,52.599998,52.599998,52.599998,52.599998,40.886787,0
2014-02-19,52.599998,52.599998,52.599998,52.599998,40.886787,0
2014-02-20,52.599998,52.599998,52.599998,52.599998,40.886787,0
2014-02-21,54.75,55.0,54.75,55.0,42.75235,700
2014-02-24,55.0,55.0,55.0,55.0,42.75235,0
2014-02-25,55.0,55.0,55.0,55.0,42.75235,0
2014-02-26,55.0,55.0,55.0,55.0,42.75235,0
2014-02-27,55.0,55.0,55.0,55.0,42.75235,0
2014-02-28,55.0,55.0,55.0,55.0,42.75235,0
2014-03-03,55.0,55.0,55.0,55.0,42.75235,0
2014-03-04,55.0,55.0,55.0,55.0,42.75235,0
2014-03-05,55.0,55.0,55.0,55.0,42.75235,0
2014-03-06,55.0,55.0,55.0,55.0,42.75235,0
2014-03-07,55.0,55.0,55.0,55.0,42.75235,0
2014-03-10,55.0,55.0,55.0,55.0,42.75235,0
2014-03-11,55.0,55.0,55.0,55.0,42.75235,0
2014-03-12,55.0,55.0,55.0,55.0,42.75235,0
2014-03-13,55.0,55.0,55.0,55.0,42.75235,0
2014-03-14,55.0,55.0,55.0,55.0,42.75235,0
2014-03-17,55.0,55.0,55.0,55.0,42.75235,0
2014-03-18,55.0,55.0,55.0,55.0,42.75235,0
2014-03-19,55.0,55.0,55.0,55.0,42.75235,0
2014-03-20,55.0,55.0,55.0,55.0,42.75235,0
2014-03-21,55.0,55.0,55.0,55.0,42.75235,0
2014-03-24,55.0,55.0,55.0,55.0,42.75235,0
2014-03-25,55.0,55.0,55.0,55.0,42.75235,0
2014-03-26,55.0,55.0,55.0,55.0,42.75235,0
2014-03-27,55.0,55.0,55.0,55.0,42.75235,0
2014-03-28,55.0,55.0,55.0,55.0,42.75235,0
2014-03-31,55.0,55.0,55.0,55.0,42.75235,0
2014-04-01,55.0,55.0,55.0,55.0,42.75235,0
2014-04-02,55.0,55.0,55.0,55.0,42.75235,0
2014-04-03,55.0,55.0,55.0,55.0,42.75235,0
2014-04-04,55.0,55.0,55.0,55.0,42.75235,0
2014-04-07,53.0,53.0,53.0,53.0,41.197716,200
2014-04-08,53.0,53.0,53.0,53.0,41.197716,0
2014-04-09,53.0,53.0,53.0,53.0,41.197716,0
2014-04-10,53.0,53.0,53.0,53.0,41.197716,0
2014-04-11,53.0,53.0,53.0,53.0,41.197716,0
2014-04-14,53.0,53.0,53.0,53.0,41.197716,0
2014-04-15,53.0,53.0,53.0,53.0,41.197716,0
2014-04-16,53.0,53.0,53.0,53.0,41.197716,0
2014-04-17,53.0,53.0,53.0,53.0,41.197716,0
2014-04-21,53.0,53.0,53.0,53.0,41.197716,0
2014-04-22,53.0,53.0,53.0,53.0,41.197716,0
2014-04-23,53.0,53.0,53.0,53.0,41.197716,0
2014-04-24,53.0,53.0,53.0,53.0,41.197716,0
2014-04-25,53.0,53.0,53.0,53.0,41.197716,0
2014-04-28,53.0,53.0,53.0,53.0,41.197716,0
2014-04-29,53.0,53.0,53.0,53.0,41.197716,0
2014-04-30,53.0,53.0,53.0,53.0,41.197716,0
2014-05-01,53.0,53.0,53.0,53.0,41.197716,0
2014-05-02,53.0,53.0,53.0,53.0,41.197716,0
2014-05-05,53.0,53.0,53.0,53.0,41.197716,0
2014-05-06,53.0,53.0,53.0,53.0,41.197716,0
2014-05-07,53.0,53.0,53.0,53.0,41.197716,0
2014-05-08,53.0,53.0,53.0,53.0,41.197716,0
2014-05-09,53.0,53.0,53.0,53.0,41.197716,0
2014-05-12,57.5,57.5,57.25,57.5,44.695633,300
2014-05-13,57.5,57.5,57.5,57.5,44.695633,0
2014-05-14,57.5,57.5,57.5,57.5,44.695633,0
2014-05-15,57.5,57.5,57.5,57.5,44.695633,0
2014-05-16,57.5,57.5,57.5,57.5,44.695633,0
2014-05-19,57.5,57.5,57.5,57.5,44.695633,0
2014-05-20,57.5,57.5,57.5,57.5,44.695633,0
2014-05-21,57.5,57.5,57.5,57.5,44.695633,0
2014-05-22,57.5,57.5,57.5,57.5,44.695633,0
2014-05-23,57.299999,57.299999,57.299999,57.299999,44.540173,100
2014-05-27,57.5,57.5,57.5,57.5,44.695633,0
2014-05-28,57.299999,57.299999,57.299999,57.299999,44.540173,0
2014-05-29,58.0,58.0,58.0,58.0,45.084297,100
2014-05-30,56.049999,56.049999,56.049999,56.049999,43.568535,300
2014-06-02,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-03,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-04,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-05,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-06,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-09,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-10,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-11,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-12,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-13,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-16,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-17,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-18,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-19,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-20,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-23,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-24,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-25,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-26,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-27,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-06-30,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-01,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-02,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-03,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-07,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-08,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-09,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-10,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-11,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-14,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-15,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-16,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-17,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-18,56.049999,56.049999,56.049999,56.049999,43.568535,0
2014-07-21,51.450001,51.450001,51.450001,51.450001,39.992882,100
2014-07-22,51.450001,51.450001,51.450001,51.450001,39.992882,0
2014-07-23,50.849998,50.849998,50.849998,50.849998,39.526489,500
2014-07-24,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-07-25,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-07-28,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-07-29,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-07-30,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-07-31,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-08-01,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-08-04,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-08-05,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-08-06,50.849998,50.849998,50.849998,50.849998,39.526489,0
2014-08-07,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-08,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-11,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-12,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-13,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-14,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-15,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-18,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-19,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-20,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-21,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-22,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-25,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-26,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-27,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-28,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-08-29,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-09-02,48.650002,48.650002,48.650002,48.650002,37.816395,0
2014-09-03,47.700001,47.700001,47.700001,47.700001,37.077946,100
