Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,27.32,27.82,27.209999,27.75,23.547924,24300
2013-07-17,27.84,27.84,27.26,27.65,23.463062,24200
2013-07-18,27.65,27.790001,27.57,27.74,23.539434,19700
2013-07-19,27.73,27.860001,27.639999,27.75,23.547924,20800
2013-07-22,27.84,27.84,27.49,27.84,23.624292,20200
2013-07-23,28.120001,28.120001,27.75,27.85,23.632778,32900
2013-07-24,27.85,27.950001,27.49,27.67,23.480032,16000
2013-07-25,27.719999,28.0,27.700001,27.879999,23.658234,34900
2013-07-26,27.66,28.07,27.459999,27.6,23.420633,19600
2013-07-29,27.639999,28.0,27.610001,27.75,23.547924,20200
2013-07-30,27.75,27.799999,26.469999,26.940001,22.860577,23400
2013-07-31,26.93,27.74,26.85,27.16,23.047262,41700
2013-08-01,27.25,27.450001,27.23,27.32,23.183031,32700
2013-08-02,27.15,27.15,26.9,27.030001,22.936947,11900
2013-08-05,27.08,27.32,26.74,27.110001,23.004833,44400
2013-08-06,27.24,27.65,26.93,27.57,23.395178,39100
2013-08-07,27.42,27.5,27.049999,27.15,23.038776,10300
2013-08-08,27.1,27.25,27.059999,27.200001,23.081207,15800
2013-08-09,27.07,27.469999,27.0,27.110001,23.004833,15500
2013-08-12,26.84,27.25,26.84,27.09,22.98786,25600
2013-08-13,27.040001,27.35,27.040001,27.26,23.132122,14300
2013-08-14,27.23,27.41,27.09,27.23,23.106665,23500
2013-08-15,26.889999,27.17,26.629999,26.67,22.63146,32100
2013-08-16,26.52,27.0,26.040001,26.08,22.130802,29600
2013-08-19,26.0,26.75,25.75,25.76,21.859257,25400
2013-08-20,25.75,25.950001,25.01,25.940001,22.012005,39600
2013-08-21,25.93,25.940001,25.440001,25.469999,21.613173,11500
2013-08-22,25.85,26.059999,25.690001,25.969999,22.037458,11500
2013-08-23,25.950001,26.219999,25.9,26.110001,22.156261,13300
2013-08-26,26.18,26.52,25.959999,26.139999,22.181715,20600
2013-08-27,25.98,26.27,25.43,25.52,21.655602,18400
2013-08-28,25.49,25.879999,25.120001,25.26,21.434969,14300
2013-08-29,25.190001,25.82,25.190001,25.370001,21.52832,10700
2013-08-30,25.33,25.389999,24.540001,24.76,21.010687,23000
2013-09-03,25.0,25.35,24.66,25.24,21.417997,24100
2013-09-04,25.190001,25.4,24.82,25.139999,21.333145,33900
2013-09-05,25.889999,27.0,25.889999,26.74,22.690861,71000
2013-09-06,26.83,27.32,26.83,27.15,23.038776,105500
2013-09-09,27.1,27.98,26.950001,27.629999,23.446093,51200
2013-09-10,27.83,28.690001,27.66,28.690001,24.345579,58300
2013-09-11,28.59,29.42,28.41,29.299999,24.863211,45900
2013-09-12,29.389999,29.9,29.379999,29.6,25.117783,55800
2013-09-13,29.65,29.85,28.92,29.17,24.752895,31200
2013-09-16,29.219999,29.91,29.01,29.1,24.693495,31800
2013-09-17,29.450001,30.25,29.450001,30.01,25.4657,45500
2013-09-18,30.110001,30.299999,29.780001,29.99,25.448725,49800
2013-09-19,30.08,30.27,29.799999,30.02,25.474184,20100
2013-09-20,30.01,30.299999,29.889999,30.07,25.516609,68100
2013-09-23,29.42,31.290001,29.42,31.139999,26.424587,69700
2013-09-24,31.139999,31.52,30.719999,31.17,26.450045,26900
2013-09-25,31.24,31.290001,30.82,31.01,26.314272,15300
2013-09-26,31.16,31.299999,30.93,31.040001,26.339729,30300
2013-09-27,30.74,30.99,30.51,30.73,26.07667,16000
2013-09-30,30.33,30.33,28.82,30.24,25.66087,50700
2013-10-01,30.34,30.65,30.120001,30.309999,25.720266,55200
2013-10-02,30.01,30.35,29.610001,29.65,25.160208,24300
2013-10-03,29.52,30.1,29.34,29.66,25.168697,54500
2013-10-04,29.559999,29.57,29.26,29.43,24.973524,12500
2013-10-07,29.030001,29.25,28.85,29.139999,24.727438,52100
2013-10-08,29.290001,29.51,28.98,29.030001,24.634094,44500
2013-10-09,29.129999,29.200001,28.9,29.0,24.608639,29100
2013-10-10,29.15,29.25,28.83,29.049999,24.651068,42400
2013-10-11,29.08,29.24,28.9,29.110001,24.701982,35400
2013-10-14,28.9,29.33,28.66,29.190001,24.769865,33100
2013-10-15,29.209999,29.4,29.0,29.26,24.829268,25400
2013-10-16,29.639999,30.280001,28.99,29.52,25.049896,51100
2013-10-17,29.5,29.84,29.15,29.4,24.948069,38100
2013-10-18,29.74,30.15,28.85,30.0,25.457212,30000
2013-10-21,30.049999,30.049999,29.639999,29.959999,25.423265,24800
2013-10-22,29.959999,30.02,29.549999,29.870001,25.346899,26200
2013-10-23,29.82,30.27,29.719999,30.16,25.592985,18500
2013-10-24,30.33,30.559999,30.17,30.559999,25.932411,23400
2013-10-25,30.66,30.889999,30.459999,30.76,26.102129,24700
2013-10-28,30.860001,31.530001,30.76,31.5,26.730072,37300
2013-10-29,31.450001,31.639999,30.5,30.629999,25.99181,28500
2013-10-30,30.51,30.690001,30.040001,30.059999,25.508123,30500
2013-10-31,30.0,30.15,29.459999,29.690001,25.194155,38900
2013-11-01,29.690001,30.110001,28.870001,29.190001,24.769865,41000
2013-11-04,29.360001,29.58,29.07,29.24,24.812294,41200
2013-11-05,29.15,29.690001,29.030001,29.23,24.80381,26600
2013-11-06,29.15,29.299999,28.76,28.92,24.540752,23700
2013-11-07,28.85,28.9,28.26,28.299999,24.014637,28100
2013-11-08,28.26,29.040001,27.85,28.84,24.472866,79500
2013-11-11,28.709999,28.85,28.48,28.68,24.337097,43200
2013-11-12,28.540001,28.99,28.5,28.889999,24.515297,37900
2013-11-13,28.700001,29.049999,28.43,28.940001,24.55772,15700
2013-11-14,29.07,29.299999,28.860001,28.959999,24.574696,18300
2013-11-15,28.9,29.0,28.5,28.610001,24.277695,38800
2013-11-18,28.5,29.1,28.43,28.75,24.396496,120400
2013-11-19,28.83,29.43,28.540001,28.940001,24.55772,92100
2013-11-20,28.940001,29.32,28.549999,28.790001,24.430435,43500
2013-11-21,28.83,29.66,28.77,29.66,25.168697,39200
2013-11-22,29.790001,30.4,29.66,30.26,25.677843,51200
2013-11-25,30.16,30.75,30.1,30.35,25.754213,36200
2013-11-26,29.799999,30.559999,29.559999,30.200001,26.231947,73500
2013-11-27,30.24,30.75,29.969999,30.65,26.622818,37100
2013-11-29,30.77,30.98,30.48,30.83,26.779173,11800
2013-12-02,30.91,31.15,30.6,30.76,26.718367,121000
2013-12-03,30.82,31.299999,30.719999,30.889999,26.831287,38600
2013-12-04,31.01,31.450001,30.110001,30.370001,26.379612,34300
2013-12-05,30.360001,30.809999,30.33,30.610001,26.588074,49600
2013-12-06,30.91,31.040001,30.43,30.940001,26.874718,67500
2013-12-09,30.959999,31.15,29.92,30.01,26.066912,152300
2013-12-10,30.040001,30.309999,29.809999,30.16,26.197203,39100
2013-12-11,30.200001,30.370001,29.26,29.43,25.56312,40300
2013-12-12,29.59,30.07,29.02,29.530001,25.649979,83100
2013-12-13,29.6,29.9,29.01,29.110001,25.285162,57100
2013-12-16,29.280001,29.83,29.24,29.549999,25.667351,38600
2013-12-17,29.41,30.120001,29.129999,30.049999,26.101656,63100
2013-12-18,30.049999,30.5,29.58,30.440001,26.440414,87500
2013-12-19,30.209999,30.41,29.790001,29.889999,25.962677,39400
2013-12-20,30.0,30.110001,29.6,29.76,25.849758,111300
2013-12-23,29.799999,30.57,29.559999,30.290001,26.310118,87000
2013-12-24,30.52,30.73,30.129999,30.35,26.36224,36800
2013-12-26,30.49,30.66,30.09,30.25,26.275375,23600
