Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,6.18,6.19,5.97,5.98,5.98,4900
2013-07-17,6.02,6.28,6.02,6.08,6.08,9700
2013-07-18,6.11,6.2,6.09,6.16,6.16,5600
2013-07-19,6.23,6.25,6.12,6.17,6.17,8400
2013-07-22,6.22,6.23,6.1,6.15,6.15,4100
2013-07-23,6.18,6.23,6.08,6.18,6.18,4300
2013-07-24,6.22,6.25,6.12,6.17,6.17,3800
2013-07-25,6.18,6.24,6.12,6.12,6.12,1500
2013-07-26,6.14,6.24,6.06,6.24,6.24,1600
2013-07-29,6.2,6.2,6.09,6.12,6.12,8300
2013-07-30,6.08,6.15,5.99,6.08,6.08,11200
2013-07-31,6.19,6.19,6.1,6.19,6.19,2100
2013-08-01,6.14,6.17,6.03,6.11,6.11,3700
2013-08-02,6.08,6.11,6.04,6.06,6.06,1800
2013-08-05,6.04,6.04,5.94,6.01,6.01,25200
2013-08-06,6.02,6.03,5.95,5.97,5.97,14000
2013-08-07,6.0,6.03,5.96,6.0,6.0,7500
2013-08-08,5.85,6.03,5.82,5.99,5.99,5900
2013-08-09,5.89,6.02,5.87,6.02,6.02,6200
2013-08-12,5.75,6.02,5.67,5.83,5.83,15300
2013-08-13,5.76,5.86,5.46,5.8,5.8,12000
2013-08-14,5.7,5.8,5.6,5.61,5.61,5500
2013-08-15,5.64,5.82,5.52,5.55,5.55,10200
2013-08-16,5.46,5.65,5.4,5.65,5.65,7200
2013-08-19,5.66,6.0,5.65,5.97,5.97,32100
2013-08-20,5.99,6.0,5.88,5.9,5.9,7000
2013-08-21,5.9,5.9,5.65,5.75,5.75,8300
2013-08-22,5.77,5.9,5.73,5.85,5.85,4000
2013-08-23,5.81,5.96,5.8,5.87,5.87,8300
2013-08-26,5.83,5.94,5.73,5.79,5.79,5900
2013-08-27,5.66,5.88,5.63,5.64,5.64,7800
2013-08-28,5.62,5.94,5.62,5.75,5.75,8600
2013-08-29,5.62,5.98,5.51,5.56,5.56,25100
