Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.0075,0.0077,0.007,0.0077,0.0077,244747.0
2013-07-17,0.0077,0.0083,0.0077,0.0077,0.0077,629682.0
2013-07-18,0.0054,0.0077,0.0054,0.0075,0.0075,1923192.0
2013-07-19,0.008,0.0108,0.008,0.009,0.009,687305.0
2013-07-22,0.01,0.015,0.01,0.0125,0.0125,420957.0
2013-07-23,0.012,0.012,0.008,0.008,0.008,476410.0
2013-07-24,0.008,0.008,0.006,0.007,0.007,1156571.0
2013-07-25,0.0065,0.007,0.0065,0.0065,0.0065,745740.0
2013-07-26,0.007,0.0075,0.007,0.0074,0.0074,187266.0
2013-07-29,0.0075,0.0075,0.004,0.004,0.004,2084465.0
2013-07-30,0.0045,0.005,0.0045,0.005,0.005,760000.0
2013-07-31,0.005,0.005,0.0048,0.0049,0.0049,242125.0
2013-08-01,0.005,0.0058,0.005,0.0058,0.0058,58454.0
2013-08-02,0.005,0.0065,0.005,0.0055,0.0055,208200.0
2013-08-05,0.006,0.0065,0.006,0.006,0.006,501003.0
2013-08-06,0.007,0.007,0.005,0.005,0.005,507595.0
2013-08-07,0.0041,0.0055,0.0041,0.0041,0.0041,552689.0
2013-08-08,0.004,0.004,0.0035,0.004,0.004,259600.0
2013-08-09,0.005,0.005,0.0037,0.0038,0.0038,307623.0
2013-08-12,0.0048,0.0048,0.0037,0.0037,0.0037,565025.0
2013-08-13,0.0037,0.0037,0.0037,0.0037,0.0037,0.0
2013-08-14,0.0048,0.0048,0.0037,0.0037,0.0037,597643.0
2013-08-15,0.0042,0.0042,0.0042,0.0042,0.0042,12630.0
2013-08-16,0.0037,0.004,0.0037,0.004,0.004,639240.0
2013-08-19,0.0045,0.0045,0.004,0.004,0.004,22956.0
2013-08-20,0.0038,0.0038,0.0035,0.0035,0.0035,36288.0
2013-08-21,0.0035,0.0035,0.0031,0.0032,0.0032,65000.0
2013-08-22,0.0036,0.0038,0.0035,0.0038,0.0038,77000.0
2013-08-23,0.0035,0.0035,0.0035,0.0035,0.0035,67900.0
2013-08-26,0.0034,0.0036,0.0034,0.0034,0.0034,841214.0
2013-08-27,0.0034,0.0034,0.0034,0.0034,0.0034,0.0
2013-08-28,0.0038,0.004,0.0021,0.0021,0.0021,1339534.0
2013-08-29,0.003,0.0031,0.003,0.0031,0.0031,209100.0
2013-08-30,0.003,0.0033,0.003,0.0033,0.0033,200621.0
2013-09-03,0.0028,0.003,0.0025,0.003,0.003,154000.0
2013-09-04,0.0028,0.0029,0.0028,0.0029,0.0029,500000.0
2013-09-05,0.0031,0.0031,0.0028,0.0029,0.0029,650000.0
2013-09-06,0.0029,0.0029,0.0021,0.0028,0.0028,712000.0
2013-09-09,0.0029,0.0032,0.0023,0.0032,0.0032,2589303.0
2013-09-10,0.0034,0.004,0.0034,0.004,0.004,599532.0
2013-09-11,0.004,0.004,0.004,0.004,0.004,4900.0
2013-09-12,0.004,0.004,0.0028,0.0032,0.0032,170129.0
2013-09-13,0.0028,0.005,0.0028,0.005,0.005,1150072.0
2013-09-16,0.0045,0.0045,0.0035,0.0042,0.0042,1044989.0
2013-09-17,0.0044,0.0044,0.0026,0.003,0.003,506020.0
2013-09-18,0.0026,0.0029,0.0021,0.0026,0.0026,2885200.0
2013-09-19,0.0026,0.0215,0.0021,0.006,0.006,11914149.0
2013-09-20,0.006,0.0063,0.0035,0.0035,0.0035,3015407.0
2013-09-23,0.004,0.004,0.0026,0.0028,0.0028,2969337.0
2013-09-24,0.003,0.003,0.0024,0.0029,0.0029,3472290.0
2013-09-25,0.0028,0.0033,0.0025,0.0025,0.0025,2750183.0
2013-09-26,0.0025,0.0026,0.0025,0.0026,0.0026,496250.0
2013-09-27,0.0025,0.0028,0.0023,0.0028,0.0028,2703329.0
2013-09-30,0.0025,0.0028,0.0025,0.0026,0.0026,959045.0
2013-10-01,0.0023,0.0026,0.0023,0.0025,0.0025,1089409.0
2013-10-02,0.0026,0.0032,0.0023,0.0028,0.0028,1931260.0
2013-10-03,0.0028,0.0034,0.0025,0.0032,0.0032,816092.0
2013-10-04,0.003,0.0035,0.0025,0.0033,0.0033,6550907.0
2013-10-07,0.0033,0.0035,0.0025,0.0026,0.0026,2824973.0
2013-10-08,0.0026,0.0026,0.0023,0.0025,0.0025,2027005.0
2013-10-09,0.0023,0.0025,0.0023,0.0025,0.0025,866260.0
2013-10-10,0.0023,0.0025,0.0023,0.0025,0.0025,359107.0
2013-10-11,0.0027,0.0028,0.0021,0.0025,0.0025,3420000.0
2013-10-14,0.0022,0.0023,0.0021,0.0023,0.0023,474993.0
2013-10-15,0.0022,0.0022,0.0019,0.002,0.002,890682.0
2013-10-16,0.002,0.0024,0.002,0.0023,0.0023,226998.0
2013-10-17,0.002,0.0023,0.002,0.0021,0.0021,294860.0
2013-10-18,0.0021,0.0022,0.0021,0.0022,0.0022,904412.0
2013-10-21,0.0023,0.0023,0.002,0.002,0.002,818391.0
2013-10-22,0.002,0.0022,0.002,0.0022,0.0022,400400.0
2013-10-23,0.002,0.0022,0.0019,0.0021,0.0021,1395095.0
2013-10-24,0.0019,0.0022,0.0018,0.002,0.002,2303725.0
2013-10-25,0.002,0.0022,0.0018,0.0022,0.0022,301500.0
2013-10-28,0.002,0.0021,0.0019,0.002,0.002,240750.0
2013-10-29,0.0021,0.0021,0.002,0.0021,0.0021,1457619.0
2013-10-30,0.0022,0.0022,0.0021,0.0021,0.0021,269000.0
2013-10-31,0.0021,0.0021,0.0021,0.0021,0.0021,0.0
2013-11-01,0.002,0.0021,0.002,0.0021,0.0021,531201.0
2013-11-04,0.0021,0.0023,0.002,0.0023,0.0023,70000.0
2013-11-05,0.0026,0.003,0.0025,0.003,0.003,1565937.0
2013-11-06,0.003,0.0031,0.0027,0.003,0.003,645202.0
2013-11-07,0.0035,0.0043,0.0032,0.0043,0.0043,2481304.0
2013-11-08,0.0046,0.0064,0.0041,0.0042,0.0042,20426734.0
2013-11-11,0.0049,0.0051,0.0033,0.0043,0.0043,4662188.0
2013-11-12,0.0042,0.0043,0.0032,0.004,0.004,1755168.0
2013-11-13,0.004,0.0045,0.0025,0.0025,0.0025,1130177.0
2013-11-14,0.0027,0.0037,0.0027,0.0037,0.0037,3300770.0
2013-11-15,0.0038,0.0048,0.0035,0.0041,0.0041,3003024.0
2013-11-18,0.0055,0.0064,0.0043,0.0052,0.0052,19148750.0
2013-11-19,0.0055,0.006,0.0043,0.006,0.006,9221287.0
2013-11-20,0.0078,0.0085,0.0062,0.0075,0.0075,19592008.0
2013-11-21,0.01,0.01,0.0081,0.0095,0.0095,11262724.0
2013-11-22,0.009,0.011,0.0063,0.0081,0.0081,7802839.0
2013-11-25,0.0085,0.0089,0.007,0.0077,0.0077,4241164.0
2013-11-26,0.0076,0.0076,0.006,0.0063,0.0063,3472379.0
2013-11-27,0.0066,0.0085,0.0059,0.0084,0.0084,5235438.0
2013-11-29,0.0085,0.009,0.0075,0.0087,0.0087,2094732.0
2013-12-02,0.0089,0.0089,0.0055,0.0072,0.0072,3731927.0
2013-12-03,0.0069,0.0074,0.006,0.0074,0.0074,4121802.0
2013-12-04,0.008,0.0085,0.0063,0.0078,0.0078,2247074.0
2013-12-05,0.0078,0.008,0.007,0.0075,0.0075,1538082.0
2013-12-06,0.0076,0.008,0.0069,0.008,0.008,580438.0
2013-12-09,0.0082,0.0085,0.0074,0.008,0.008,10992988.0
2013-12-10,0.008,0.008,0.0072,0.0075,0.0075,2666762.0
2013-12-11,0.0084,0.0094,0.0076,0.0082,0.0082,11454435.0
2013-12-12,0.0078,0.009,0.0078,0.0082,0.0082,3517163.0
2013-12-13,0.0082,0.0085,0.007,0.0074,0.0074,4335506.0
2013-12-16,0.0082,0.0095,0.008,0.009,0.009,15429731.0
2013-12-17,0.0085,0.0086,0.0073,0.0085,0.0085,7349047.0
2013-12-18,0.0085,0.009,0.0078,0.0085,0.0085,1528723.0
2013-12-19,0.0106,0.012,0.008,0.0081,0.0081,15506375.0
2013-12-20,0.009,0.009,0.0078,0.0085,0.0085,4143331.0
2013-12-23,0.0082,0.0086,0.0079,0.0081,0.0081,1478585.0
