Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,1.99,1.99,1.99,1.99,1.99,500
2013-07-17,1.5,1.99,1.5,1.89,1.89,9200
2013-07-18,1.55,1.89,1.31,1.89,1.89,4500
2013-07-19,1.5,1.8,1.34,1.8,1.8,7200
2013-07-22,1.7,1.8,1.65,1.8,1.8,1250
2013-07-23,1.65,1.65,1.5,1.5,1.5,3000
2013-07-24,1.59,1.9,1.59,1.9,1.9,2365
2013-07-25,1.9,1.9,1.59,1.59,1.59,5200
2013-07-26,1.66,2.35,1.55,1.55,1.55,27635
2013-07-29,1.49,1.75,1.47,1.75,1.75,44800
2013-07-30,1.61,1.8,1.6,1.78,1.78,3500
2013-07-31,1.7,1.7,1.7,1.7,1.7,600
2013-08-01,1.83,1.83,1.7,1.7,1.7,10600
2013-08-02,1.49,1.7,1.49,1.7,1.7,9700
2013-08-05,1.5,1.75,1.49,1.75,1.75,10365
2013-08-06,1.68,1.68,1.67,1.67,1.67,6100
2013-08-07,1.67,1.67,1.65,1.65,1.65,1000
2013-08-08,1.6,1.6,1.6,1.6,1.6,1000
2013-08-09,1.64,1.64,1.64,1.64,1.64,2500
2013-08-12,1.51,1.64,1.51,1.64,1.64,7300
2013-08-13,1.48,1.67,1.48,1.67,1.67,5750
2013-08-14,1.49,1.7,1.49,1.7,1.7,3300
2013-08-15,1.69,1.8,1.69,1.8,1.8,1300
2013-08-16,1.8,1.8,1.8,1.8,1.8,0
2013-08-19,1.8,1.9,1.8,1.9,1.9,3050
2013-08-20,1.82,1.85,1.82,1.85,1.85,500
2013-08-21,1.85,1.85,1.85,1.85,1.85,0
2013-08-22,1.75,1.75,1.7,1.7,1.7,5700
2013-08-23,1.7,1.74,1.6,1.74,1.74,2500
2013-08-26,1.74,1.74,1.74,1.74,1.74,0
2013-08-27,1.74,1.74,1.74,1.74,1.74,0
2013-08-28,1.74,1.74,1.74,1.74,1.74,0
2013-08-29,1.74,1.74,1.74,1.74,1.74,0
2013-08-30,1.35,1.79,1.35,1.79,1.79,500
2013-09-03,1.8,1.8,1.8,1.8,1.8,167
2013-09-04,1.75,1.8,1.75,1.8,1.8,2600
2013-09-05,1.8,1.8,1.8,1.8,1.8,0
2013-09-06,1.37,1.89,1.37,1.89,1.89,400
2013-09-09,1.85,1.85,1.85,1.85,1.85,800
2013-09-10,1.85,1.85,1.85,1.85,1.85,165
2013-09-11,1.85,1.85,1.85,1.85,1.85,0
