Date,Open,High,Low,Close,Adj Close,Volume
2015-06-05,25.01,27.48,24.0,27.0,27.0,7716500
2015-06-08,27.450001,29.700001,27.1,28.809999,28.809999,1797400
2015-06-09,29.700001,29.969999,28.952999,29.6,29.6,742400
2015-06-10,29.790001,29.790001,27.549999,27.74,27.74,384000
2015-06-11,27.559999,28.290001,26.98,27.059999,27.059999,245600
2015-06-12,27.040001,27.73,26.9,26.98,26.98,606600
2015-06-15,27.07,27.450001,26.59,27.25,27.25,168200
2015-06-16,27.5,29.16,27.02,29.16,29.16,355300
2015-06-17,24.9,26.66,21.879999,22.0,22.0,2266800
2015-06-18,22.0,22.290001,21.02,21.32,21.32,487000
2015-06-19,21.01,22.15,20.75,22.0,22.0,429900
2015-06-22,22.26,22.26,20.43,21.809999,21.809999,276100
2015-06-23,21.959999,22.5,21.799999,22.41,22.41,175300
2015-06-24,22.51,23.0,22.049999,22.24,22.24,144000
2015-06-25,22.15,23.0,22.0,22.77,22.77,176000
2015-06-26,22.879999,22.9,22.344,22.57,22.57,106400
2015-06-29,22.48,22.58,21.98,22.48,22.48,83300
2015-06-30,22.209999,22.299999,21.135,21.49,21.49,580400
2015-07-01,21.59,21.73,20.759001,20.940001,20.940001,227200
2015-07-02,20.92,21.360001,20.879999,21.16,21.16,63600
2015-07-06,21.15,21.465,20.83,20.91,20.91,101200
2015-07-07,21.16,21.384001,20.77,21.190001,21.190001,96200
2015-07-08,21.280001,21.280001,18.93,19.0,19.0,170600
2015-07-09,18.91,19.93,18.91,19.200001,19.200001,95400
2015-07-10,19.219999,22.1,18.959999,20.51,20.51,163100
2015-07-13,20.450001,20.68,19.063999,19.639999,19.639999,120100
2015-07-14,19.540001,19.700001,19.190001,19.469999,19.469999,78700
2015-07-15,19.52,19.6,19.235001,19.459999,19.459999,115400
2015-07-16,19.549999,19.73,19.149,19.52,19.52,102400
2015-07-17,19.41,20.379999,19.325001,20.040001,20.040001,58200
2015-07-20,20.24,20.280001,19.389999,19.82,19.82,134200
2015-07-21,19.940001,20.360001,19.68,19.950001,19.950001,119100
2015-07-22,19.93,19.93,19.469999,19.73,19.73,109000
2015-07-23,19.85,19.950001,19.629999,19.860001,19.860001,172600
2015-07-24,19.950001,20.0,19.18,19.629999,19.629999,166300
2015-07-27,19.42,19.736,17.68,17.83,17.83,172300
2015-07-28,18.0,18.16,15.97,16.209999,16.209999,238100
