Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,6.2,6.2,6.2,6.2,6.2,0
2013-07-17,6.4,6.4,6.4,6.4,6.4,727
2013-07-18,6.4,6.4,6.4,6.4,6.4,0
2013-07-19,6.0,6.0,6.0,6.0,6.0,5
2013-07-22,6.0,6.0,6.0,6.0,6.0,0
2013-07-23,6.4,6.4,5.2,5.2,5.2,1305
2013-07-24,6.4,6.4,6.4,6.4,6.4,5
2013-07-25,5.9,5.9,5.0,5.4,5.4,3475
2013-07-26,6.0,6.0,6.0,6.0,6.0,5
2013-07-29,6.0,6.0,6.0,6.0,6.0,625
2013-07-30,6.0,6.0,6.0,6.0,6.0,0
2013-07-31,6.0,6.0,6.0,6.0,6.0,5
2013-08-01,6.0,6.0,6.0,6.0,6.0,0
2013-08-02,6.0,6.4,5.4,6.4,6.4,1093
2013-08-05,5.8,5.8,5.8,5.8,5.8,270
2013-08-06,6.4,6.4,6.4,6.4,6.4,5
2013-08-07,6.2,6.2,6.2,6.2,6.2,120
2013-08-08,6.2,6.2,6.2,6.2,6.2,0
2013-08-09,6.2,6.2,6.2,6.2,6.2,0
2013-08-12,5.6,5.6,4.6,4.6,4.6,2145
2013-08-13,5.56,5.56,4.6,4.6,4.6,1375
2013-08-14,4.6,4.6,4.2,4.2,4.2,465
2013-08-15,4.2,4.2,4.2,4.2,4.2,0
2013-08-16,4.2,4.2,4.2,4.2,4.2,0
2013-08-19,4.2,4.2,4.2,4.2,4.2,375
2013-08-20,5.6,5.6,4.2,4.2,4.2,1186
2013-08-21,3.8,4.2,3.8,4.2,4.2,2173
2013-08-22,5.2,5.4,4.8,5.4,5.4,5435
2013-08-23,5.4,5.4,5.4,5.4,5.4,0
2013-08-26,5.4,5.4,5.4,5.4,5.4,5
2013-08-27,5.4,5.4,5.4,5.4,5.4,5
2013-08-28,4.44,4.44,3.3,3.3,3.3,855
2013-08-29,4.0,4.0,4.0,4.0,4.0,700
2013-08-30,3.3,5.2,3.3,5.2,5.2,11
