Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,24.27,24.42,23.969999,23.99,22.996325,1379400
2013-07-17,23.9,23.950001,23.25,23.48,22.50745,1095800
2013-07-18,23.52,23.6,22.98,23.25,22.286976,1304800
2013-07-19,23.15,23.209999,22.48,22.799999,21.855616,1795700
2013-07-22,22.85,22.85,21.92,22.67,21.731001,2828200
2013-07-23,22.299999,22.299999,21.4,21.92,21.012068,5075300
2013-07-24,22.0,22.110001,21.709999,21.75,20.849108,1492600
2013-07-25,21.809999,22.139999,21.75,21.889999,20.983309,1126300
2013-07-26,21.799999,22.08,21.77,21.99,21.079166,1099700
2013-07-29,21.98,22.41,21.73,21.83,20.925793,1594500
2013-07-30,21.969999,22.09,21.75,21.75,20.849108,905400
2013-07-31,21.790001,22.280001,21.74,22.190001,21.270884,1414900
2013-08-01,22.540001,23.139999,22.440001,22.82,21.874786,1256700
2013-08-02,22.74,22.93,22.530001,22.93,21.980232,588500
2013-08-05,22.799999,22.91,22.610001,22.77,21.82686,605800
2013-08-06,22.549999,22.77,21.91,22.18,21.261297,1359500
2013-08-07,22.18,22.18,21.639999,22.02,21.107924,730900
2013-08-08,22.17,23.02,22.17,22.9,21.951475,1123900
2013-08-09,22.73,22.75,21.959999,22.0,21.088753,957900
2013-08-12,21.91,22.99,21.809999,22.950001,21.999403,1263900
2013-08-13,23.059999,23.190001,22.75,23.0,22.047331,989800
2013-08-14,23.0,23.440001,22.85,23.41,22.44035,1279700
2013-08-15,23.18,23.18,22.23,22.450001,21.520113,785500
2013-08-16,22.34,22.790001,22.25,22.49,21.558456,751400
2013-08-19,22.5,22.879999,22.25,22.33,21.405085,737400
2013-08-20,22.309999,22.52,22.08,22.440001,21.510527,680300
2013-08-21,22.24,22.690001,22.17,22.58,21.644728,969800
2013-08-22,22.690001,23.290001,22.5,23.1,22.143188,911300
2013-08-23,23.059999,23.120001,22.75,23.0,22.047331,647000
2013-08-26,23.0,23.24,22.76,23.059999,22.104847,732200
2013-08-27,22.76,22.790001,22.309999,22.379999,21.453011,2145100
2013-08-28,22.18,22.41,21.66,21.950001,21.040825,666300
2013-08-29,21.889999,22.15,21.709999,21.879999,20.973722,876800
2013-08-30,21.91,21.91,20.91,21.23,20.350645,1171500
2013-09-03,21.49,21.719999,21.290001,21.389999,20.504017,813000
2013-09-04,21.299999,21.43,20.76,21.16,20.62096,704400
