Date,Open,High,Low,Close,Adj Close,Volume
2021-08-20,4.0,4.0,4.0,4.0,3.645514,100
2021-08-23,4.0,4.0,4.0,4.0,3.645514,0
2021-08-24,4.0,4.0,4.0,4.0,3.645514,0
2021-08-25,4.0,4.0,4.0,4.0,3.645514,0
2021-08-26,4.0,4.0,4.0,4.0,3.645514,0
2021-08-27,4.0,4.0,4.0,4.0,3.645514,0
2021-08-30,4.0,4.0,4.0,4.0,3.645514,0
2021-08-31,4.0,4.0,4.0,4.0,3.645514,0
2021-09-01,4.0,4.0,4.0,4.0,3.710446,0
2021-09-02,4.0,4.0,4.0,4.0,3.710446,0
2021-09-03,4.0,4.0,4.0,4.0,3.710446,0
2021-09-07,4.0,4.0,4.0,4.0,3.710446,0
2021-09-08,4.85,4.85,4.85,4.85,4.498916,1500
2021-09-09,4.85,4.85,4.85,4.85,4.498916,0
2021-09-10,4.85,4.85,4.85,4.85,4.498916,0
2021-09-13,4.85,4.85,4.85,4.85,4.498916,0
2021-09-14,4.85,4.85,4.85,4.85,4.498916,0
2021-09-15,4.85,4.85,4.85,4.85,4.498916,0
2021-09-16,4.85,4.85,4.85,4.85,4.498916,0
2021-09-17,4.85,4.85,4.85,4.85,4.498916,0
2021-09-20,4.85,4.85,4.85,4.85,4.498916,0
2021-09-21,4.85,4.85,4.85,4.85,4.498916,0
2021-09-22,4.85,4.85,4.85,4.85,4.498916,0
2021-09-23,4.85,4.85,4.85,4.85,4.498916,0
2021-09-24,4.85,4.85,4.85,4.85,4.498916,0
2021-09-27,4.88,4.88,4.88,4.88,4.526745,650
2021-09-28,4.88,4.88,4.88,4.88,4.526745,0
2021-09-29,4.88,4.88,4.88,4.88,4.526745,0
2021-09-30,4.88,4.88,4.88,4.88,4.526745,0
2021-10-01,4.88,4.88,4.88,4.88,4.526745,0
2021-10-04,4.88,4.88,4.88,4.88,4.526745,0
2021-10-05,4.88,4.88,4.88,4.88,4.526745,0
2021-10-06,4.88,4.88,4.88,4.88,4.526745,0
2021-10-07,4.88,4.88,4.88,4.88,4.526745,0
2021-10-08,4.88,4.88,4.88,4.88,4.526745,0
2021-10-11,4.88,4.88,4.88,4.88,4.526745,0
2021-10-12,4.88,4.88,4.88,4.88,4.526745,0
2021-10-13,4.88,4.88,4.88,4.88,4.526745,0
2021-10-14,4.88,4.88,4.88,4.88,4.526745,0
2021-10-15,4.88,4.88,4.88,4.88,4.526745,0
2021-10-18,4.88,4.88,4.88,4.88,4.526745,0
2021-10-19,4.88,4.88,4.88,4.88,4.526745,0
2021-10-20,4.88,4.88,4.88,4.88,4.526745,0
2021-10-21,4.88,4.88,4.88,4.88,4.526745,0
2021-10-22,4.88,4.88,4.88,4.88,4.526745,600
2021-10-25,4.88,4.88,4.88,4.88,4.526745,0
2021-10-26,4.88,4.88,4.88,4.88,4.526745,0
2021-10-27,4.88,4.88,4.88,4.88,4.526745,0
2021-10-28,4.88,4.88,4.88,4.88,4.526745,0
2021-10-29,4.88,4.88,4.88,4.88,4.526745,0
2021-11-01,4.88,4.88,4.88,4.88,4.526745,525
2021-11-02,4.88,4.88,4.88,4.88,4.526745,0
2021-11-03,4.88,4.88,4.88,4.88,4.526745,0
2021-11-04,4.88,4.88,4.88,4.88,4.526745,0
2021-11-05,4.88,4.88,4.88,4.88,4.526745,0
2021-11-08,4.88,4.88,4.88,4.88,4.526745,0
2021-11-09,4.88,4.88,4.88,4.88,4.526745,0
2021-11-10,4.88,4.88,4.88,4.88,4.526745,0
2021-11-11,4.88,4.88,4.88,4.88,4.526745,0
2021-11-12,4.88,4.88,4.88,4.88,4.526745,0
2021-11-15,5.1,5.1,5.1,5.1,4.730819,400
2021-11-16,5.1,5.1,5.1,5.1,4.730819,0
2021-11-17,5.1,5.1,5.1,5.1,4.730819,0
2021-11-18,4.92,4.92,4.92,4.92,4.563849,1299
2021-11-19,4.92,4.92,4.92,4.92,4.563849,0
2021-11-22,4.92,4.92,4.92,4.92,4.563849,0
2021-11-23,4.92,4.92,4.92,4.92,4.563849,0
2021-11-24,4.92,4.92,4.92,4.92,4.563849,0
2021-11-26,4.92,4.92,4.92,4.92,4.563849,0
2021-11-29,4.92,4.92,4.92,4.92,4.563849,0
2021-11-30,4.92,4.92,4.92,4.92,4.563849,0
2021-12-01,4.9,4.9,4.9,4.9,4.545297,100
2021-12-02,4.9,4.9,4.9,4.9,4.545297,0
2021-12-03,4.9,4.9,4.9,4.9,4.545297,0
2021-12-06,4.9,4.9,4.9,4.9,4.545297,0
2021-12-07,4.9,4.9,4.9,4.9,4.545297,0
2021-12-08,4.9,4.9,4.9,4.9,4.545297,0
2021-12-09,4.9,4.9,4.9,4.9,4.545297,0
2021-12-10,4.8,4.8,4.8,4.8,4.452536,385
2021-12-13,4.8,4.8,4.8,4.8,4.452536,0
2021-12-14,4.8,4.8,4.8,4.8,4.452536,0
2021-12-15,4.8,4.8,4.8,4.8,4.452536,0
2021-12-16,4.8,4.8,4.8,4.8,4.452536,0
2021-12-17,4.8,4.8,4.8,4.8,4.452536,0
2021-12-20,4.8,4.8,4.8,4.8,4.452536,0
2021-12-21,4.8,4.8,4.8,4.8,4.452536,0
2021-12-22,4.94,4.94,4.94,4.94,4.582402,1470
2021-12-23,4.94,4.94,4.94,4.94,4.582402,0
2021-12-27,4.94,4.94,4.94,4.94,4.582402,0
2021-12-28,4.75,4.75,4.75,4.75,4.406155,100
2021-12-29,4.75,4.75,4.75,4.75,4.406155,0
2021-12-30,4.75,4.75,4.75,4.75,4.406155,0
2021-12-31,4.75,4.75,4.75,4.75,4.406155,0
2022-01-03,4.75,4.75,4.75,4.75,4.406155,0
2022-01-04,4.75,4.75,4.75,4.75,4.406155,0
2022-01-05,4.75,4.75,4.75,4.75,4.406155,0
2022-01-06,4.75,4.75,4.75,4.75,4.406155,0
2022-01-07,4.75,4.75,4.75,4.75,4.406155,0
2022-01-10,4.57,4.57,4.57,4.57,4.239185,1000
2022-01-11,4.67,4.67,4.67,4.67,4.331946,1059
2022-01-12,4.67,4.67,4.67,4.67,4.331946,0
2022-01-13,4.67,4.67,4.67,4.67,4.331946,0
2022-01-14,4.67,4.67,4.67,4.67,4.331946,0
2022-01-18,4.67,4.67,4.67,4.67,4.331946,0
2022-01-19,4.67,4.67,4.67,4.67,4.331946,0
2022-01-20,4.67,4.67,4.67,4.67,4.331946,0
2022-01-21,4.67,4.67,4.67,4.67,4.331946,0
2022-01-24,4.67,4.67,4.67,4.67,4.331946,0
2022-01-25,4.67,4.67,4.67,4.67,4.331946,0
2022-01-26,4.67,4.67,4.67,4.67,4.331946,3771
2022-01-27,4.67,4.67,4.67,4.67,4.331946,0
2022-01-28,4.67,4.67,4.67,4.67,4.331946,0
2022-01-31,4.55,4.55,4.55,4.55,4.220633,237
2022-02-01,4.55,4.55,4.55,4.55,4.220633,0
2022-02-02,4.55,4.55,4.55,4.55,4.220633,0
2022-02-03,4.32,4.32,4.32,4.32,4.007282,107
2022-02-04,4.32,4.32,4.32,4.32,4.007282,0
2022-02-07,4.32,4.32,4.32,4.32,4.007282,0
2022-02-08,4.32,4.32,4.32,4.32,4.007282,0
2022-02-09,4.32,4.32,4.32,4.32,4.007282,0
2022-02-10,4.38,4.38,4.38,4.38,4.062939,884
2022-02-11,4.38,4.38,4.38,4.38,4.062939,0
2022-02-14,4.38,4.38,4.38,4.38,4.062939,0
2022-02-15,4.38,4.38,4.38,4.38,4.062939,500
2022-02-16,4.38,4.38,4.38,4.38,4.062939,0
2022-02-17,4.38,4.38,4.38,4.38,4.062939,0
2022-02-18,4.38,4.38,4.38,4.38,4.062939,0
2022-02-22,4.38,4.38,4.38,4.38,4.062939,0
2022-02-23,4.38,4.38,4.38,4.38,4.062939,0
2022-02-24,4.38,4.38,4.38,4.38,4.062939,0
2022-02-25,4.38,4.38,4.38,4.38,4.062939,0
2022-02-28,4.38,4.38,4.38,4.38,4.062939,0
2022-03-01,4.38,4.38,4.38,4.38,4.182296,0
2022-03-02,4.38,4.38,4.38,4.38,4.182296,0
2022-03-03,4.38,4.38,4.38,4.38,4.182296,0
2022-03-04,4.38,4.38,4.38,4.38,4.182296,0
2022-03-07,4.38,4.38,4.38,4.38,4.182296,0
2022-03-08,4.38,4.38,4.38,4.38,4.182296,0
2022-03-09,4.38,4.38,4.38,4.38,4.182296,0
2022-03-10,4.38,4.38,4.38,4.38,4.182296,0
2022-03-11,4.881,4.881,4.881,4.881,4.660683,325
2022-03-14,4.881,4.881,4.881,4.881,4.660683,0
2022-03-15,4.881,4.881,4.881,4.881,4.660683,0
2022-03-16,4.881,4.881,4.881,4.881,4.660683,0
2022-03-17,4.881,4.881,4.881,4.881,4.660683,0
2022-03-18,4.881,4.881,4.881,4.881,4.660683,0
2022-03-21,4.881,4.881,4.881,4.881,4.660683,0
2022-03-22,4.881,4.881,4.881,4.881,4.660683,0
2022-03-23,4.881,4.881,4.881,4.881,4.660683,0
2022-03-24,4.881,4.881,4.881,4.881,4.660683,0
2022-03-25,5.32,5.42,5.32,5.42,5.175353,200
2022-03-28,5.42,5.42,5.42,5.42,5.175353,0
2022-03-29,5.42,5.42,5.42,5.42,5.175353,0
2022-03-30,5.42,5.42,5.42,5.42,5.175353,0
2022-03-31,5.42,5.42,5.42,5.42,5.175353,0
2022-04-01,5.42,5.42,5.42,5.42,5.175353,0
2022-04-04,5.42,5.42,5.42,5.42,5.175353,0
2022-04-05,5.42,5.42,5.42,5.42,5.175353,0
2022-04-06,5.42,5.42,5.42,5.42,5.175353,0
2022-04-07,5.42,5.42,5.42,5.42,5.175353,0
2022-04-08,5.42,5.42,5.42,5.42,5.175353,0
2022-04-11,5.42,5.42,5.42,5.42,5.175353,0
2022-04-12,5.42,5.42,5.42,5.42,5.175353,0
2022-04-13,5.42,5.42,5.42,5.42,5.175353,0
2022-04-14,5.42,5.42,5.42,5.42,5.175353,0
2022-04-18,5.42,5.42,5.42,5.42,5.175353,0
2022-04-19,5.42,5.42,5.42,5.42,5.175353,0
2022-04-20,5.42,5.42,5.42,5.42,5.175353,0
2022-04-21,5.42,5.42,5.42,5.42,5.175353,0
2022-04-22,5.42,5.42,5.42,5.42,5.175353,0
2022-04-25,5.42,5.42,5.42,5.42,5.175353,0
2022-04-26,5.42,5.42,5.42,5.42,5.175353,0
2022-04-27,5.42,5.42,5.42,5.42,5.175353,0
2022-04-28,5.36,5.36,5.36,5.36,5.118062,227
2022-04-29,5.36,5.36,5.36,5.36,5.118062,0
2022-05-02,5.27,5.435,5.25,5.25,5.013027,1450
2022-05-03,5.25,5.25,5.25,5.25,5.013027,0
2022-05-04,5.25,5.25,5.25,5.25,5.013027,0
2022-05-05,5.25,5.25,5.25,5.25,5.013027,0
2022-05-06,5.25,5.25,5.25,5.25,5.013027,0
2022-05-09,5.25,5.25,5.25,5.25,5.013027,0
2022-05-10,5.25,5.25,5.25,5.25,5.013027,0
2022-05-11,5.25,5.25,5.25,5.25,5.013027,0
2022-05-12,5.25,5.25,5.25,5.25,5.013027,0
2022-05-13,5.25,5.25,5.25,5.25,5.013027,0
2022-05-16,5.25,5.25,5.25,5.25,5.013027,0
2022-05-17,5.46,5.46,5.46,5.46,5.213548,500
2022-05-18,5.46,5.46,5.46,5.46,5.213548,0
2022-05-19,5.46,5.46,5.46,5.46,5.213548,0
2022-05-20,5.46,5.46,5.46,5.46,5.213548,0
2022-05-23,5.46,5.46,5.46,5.46,5.213548,0
2022-05-24,5.46,5.46,5.46,5.46,5.213548,0
2022-05-25,5.46,5.46,5.46,5.46,5.213548,0
2022-05-26,5.46,5.46,5.46,5.46,5.213548,0
2022-05-27,5.46,5.46,5.46,5.46,5.213548,0
2022-05-31,5.46,5.46,5.46,5.46,5.213548,0
2022-06-01,5.46,5.46,5.46,5.46,5.213548,0
2022-06-02,5.07,5.07,5.07,5.07,4.841152,400
2022-06-03,5.07,5.07,5.07,5.07,4.841152,0
2022-06-06,5.07,5.07,5.07,5.07,4.841152,0
2022-06-07,5.07,5.07,5.07,5.07,4.841152,0
2022-06-08,5.07,5.07,5.07,5.07,4.841152,0
2022-06-09,5.01,5.01,5.01,5.01,4.78386,205
2022-06-10,5.01,5.01,5.01,5.01,4.78386,0
2022-06-13,5.01,5.01,5.01,5.01,4.78386,0
2022-06-14,5.01,5.01,5.01,5.01,4.78386,0
2022-06-15,5.15,5.15,5.15,5.15,4.917541,1000
2022-06-16,4.91,4.91,4.91,4.91,4.688374,163
2022-06-17,4.91,4.91,4.91,4.91,4.688374,0
2022-06-21,4.91,4.91,4.91,4.91,4.688374,0
2022-06-22,4.91,4.91,4.91,4.91,4.688374,0
2022-06-23,4.811,4.811,4.811,4.811,4.593842,175
2022-06-24,4.811,4.811,4.811,4.811,4.593842,0
2022-06-27,4.811,4.811,4.811,4.811,4.593842,0
2022-06-28,4.811,4.811,4.811,4.811,4.593842,0
2022-06-29,4.811,4.811,4.811,4.811,4.593842,0
2022-06-30,4.811,4.811,4.811,4.811,4.593842,0
2022-07-01,4.811,4.811,4.811,4.811,4.593842,0
2022-07-05,4.811,4.811,4.811,4.811,4.593842,0
2022-07-06,4.811,4.811,4.811,4.811,4.593842,0
2022-07-07,4.811,4.811,4.811,4.811,4.593842,0
2022-07-08,4.811,4.811,4.811,4.811,4.593842,0
2022-07-11,4.811,4.811,4.811,4.811,4.593842,0
2022-07-12,4.811,4.811,4.811,4.811,4.593842,0
2022-07-13,4.811,4.811,4.811,4.811,4.593842,0
2022-07-14,4.811,4.811,4.811,4.811,4.593842,0
2022-07-15,4.811,4.811,4.811,4.811,4.593842,0
2022-07-18,4.811,4.811,4.811,4.811,4.593842,0
2022-07-19,4.811,4.811,4.811,4.811,4.593842,0
2022-07-20,4.811,4.811,4.811,4.811,4.593842,0
2022-07-21,4.811,4.811,4.811,4.811,4.593842,0
2022-07-22,4.811,4.811,4.811,4.811,4.593842,0
2022-07-25,4.811,4.811,4.811,4.811,4.593842,0
2022-07-26,4.811,4.811,4.811,4.811,4.593842,0
2022-07-27,4.811,4.811,4.811,4.811,4.593842,0
2022-07-28,4.811,4.811,4.811,4.811,4.593842,0
2022-07-29,4.811,4.811,4.811,4.811,4.593842,0
2022-08-01,4.811,4.811,4.811,4.811,4.593842,0
2022-08-02,4.811,4.811,4.811,4.811,4.593842,0
2022-08-03,4.811,4.811,4.811,4.811,4.593842,0
2022-08-04,4.811,4.811,4.811,4.811,4.593842,0
2022-08-05,4.811,4.811,4.811,4.811,4.593842,0
2022-08-08,4.811,4.811,4.811,4.811,4.593842,0
2022-08-09,4.811,4.811,4.811,4.811,4.593842,0
2022-08-10,4.811,4.811,4.811,4.811,4.593842,0
2022-08-11,4.811,4.811,4.811,4.811,4.593842,0
2022-08-12,4.811,4.811,4.811,4.811,4.593842,0
2022-08-15,4.811,4.811,4.811,4.811,4.593842,0
2022-08-16,4.811,4.811,4.811,4.811,4.593842,0
2022-08-17,4.811,4.811,4.811,4.811,4.593842,0
2022-08-18,4.811,4.811,4.811,4.811,4.593842,0
2022-08-19,4.811,4.811,4.811,4.811,4.593842,0
2022-08-22,4.811,4.811,4.811,4.811,4.593842,0
2022-08-23,4.811,4.811,4.811,4.811,4.593842,0
2022-08-24,4.811,4.811,4.811,4.811,4.593842,0
2022-08-25,4.811,4.811,4.811,4.811,4.593842,0
2022-08-26,4.811,4.811,4.811,4.811,4.593842,0
2022-08-29,4.811,4.811,4.811,4.811,4.593842,0
2022-08-30,4.811,4.811,4.811,4.811,4.593842,0
2022-08-31,4.811,4.811,4.811,4.811,4.668562,0
2022-09-01,4.811,4.811,4.811,4.811,4.668562,0
2022-09-02,4.811,4.811,4.811,4.811,4.668562,0
2022-09-06,4.811,4.811,4.811,4.811,4.668562,0
2022-09-07,4.811,4.811,4.811,4.811,4.668562,0
2022-09-08,4.83,4.83,4.83,4.83,4.687,342
2022-09-09,4.83,4.83,4.83,4.83,4.687,0
2022-09-12,4.97,4.97,4.97,4.97,4.822855,1427
2022-09-13,4.97,4.97,4.97,4.97,4.822855,0
2022-09-14,4.97,4.97,4.97,4.97,4.822855,0
2022-09-15,4.97,4.97,4.97,4.97,4.822855,0
2022-09-16,4.97,4.97,4.97,4.97,4.822855,0
2022-09-19,4.97,4.97,4.97,4.97,4.822855,0
2022-09-20,4.97,4.97,4.97,4.97,4.822855,0
2022-09-21,4.675,4.675,4.675,4.675,4.536589,500
2022-09-22,4.675,4.675,4.675,4.675,4.536589,0
2022-09-23,4.675,4.675,4.675,4.675,4.536589,0
2022-09-26,4.675,4.675,4.675,4.675,4.536589,0
2022-09-27,4.675,4.675,4.675,4.675,4.536589,0
2022-09-28,4.675,4.675,4.675,4.675,4.536589,0
2022-09-29,4.675,4.675,4.675,4.675,4.536589,0
2022-09-30,4.675,4.675,4.675,4.675,4.536589,0
2022-10-03,4.675,4.675,4.675,4.675,4.536589,0
2022-10-04,4.675,4.675,4.675,4.675,4.536589,0
2022-10-05,4.675,4.675,4.675,4.675,4.536589,0
2022-10-06,4.675,4.675,4.675,4.675,4.536589,0
2022-10-07,4.675,4.675,4.675,4.675,4.536589,0
2022-10-10,4.675,4.675,4.675,4.675,4.536589,0
2022-10-11,4.675,4.675,4.675,4.675,4.536589,0
2022-10-12,4.675,4.675,4.675,4.675,4.536589,0
2022-10-13,4.675,4.675,4.675,4.675,4.536589,0
2022-10-14,4.675,4.675,4.675,4.675,4.536589,0
2022-10-17,4.675,4.675,4.675,4.675,4.536589,0
2022-10-18,4.675,4.675,4.675,4.675,4.536589,0
2022-10-19,4.675,4.675,4.675,4.675,4.536589,0
2022-10-20,4.675,4.675,4.675,4.675,4.536589,0
2022-10-21,4.675,4.675,4.675,4.675,4.536589,0
2022-10-24,4.675,4.675,4.675,4.675,4.536589,0
2022-10-25,4.675,4.675,4.675,4.675,4.536589,0
2022-10-26,4.675,4.675,4.675,4.675,4.536589,0
2022-10-27,4.675,4.675,4.675,4.675,4.536589,0
