Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.352,0.352,0.352,0.352,0.352,900
2013-07-17,0.352,0.352,0.352,0.352,0.352,11730
2013-07-18,0.352,0.352,0.352,0.352,0.352,0
2013-07-19,0.352,0.352,0.352,0.352,0.352,0
2013-07-22,0.41,0.41,0.31,0.31,0.31,16359
2013-07-23,0.31,0.31,0.31,0.31,0.31,700
2013-07-24,0.31,0.31,0.31,0.31,0.31,0
2013-07-25,0.31,0.31,0.31,0.31,0.31,0
2013-07-26,0.31,0.31,0.31,0.31,0.31,0
2013-07-29,0.3301,0.3301,0.3301,0.3301,0.3301,110
2013-07-30,0.44,0.44,0.44,0.44,0.44,5970
2013-07-31,0.44,0.55,0.44,0.53,0.53,6100
2013-08-01,0.53,0.53,0.53,0.53,0.53,0
2013-08-02,0.53,0.53,0.53,0.53,0.53,0
2013-08-05,0.53,0.53,0.4,0.4,0.4,8830
2013-08-06,0.52,0.52,0.52,0.52,0.52,1900
2013-08-07,0.52,0.52,0.52,0.52,0.52,0
2013-08-08,0.52,0.52,0.52,0.52,0.52,1000
2013-08-09,0.32,0.4,0.32,0.4,0.4,14000
2013-08-12,0.4,0.4,0.4,0.4,0.4,0
2013-08-13,0.35,0.35,0.35,0.35,0.35,100
2013-08-14,0.35,0.35,0.35,0.35,0.35,0
2013-08-15,0.35,0.35,0.35,0.35,0.35,0
2013-08-16,0.35,0.35,0.35,0.35,0.35,0
2013-08-19,0.36,0.36,0.36,0.36,0.36,4000
2013-08-20,0.37,0.37,0.37,0.37,0.37,5000
2013-08-21,0.37,0.37,0.37,0.37,0.37,0
2013-08-22,0.37,0.37,0.37,0.37,0.37,0
2013-08-23,0.36,0.36,0.36,0.36,0.36,1400
2013-08-26,0.39,0.4,0.39,0.4,0.4,7524
2013-08-27,0.52,0.52,0.52,0.52,0.52,400
2013-08-28,0.43,0.43,0.43,0.43,0.43,250
2013-08-29,0.4,0.4,0.4,0.4,0.4,600
2013-08-30,0.36,0.36,0.36,0.36,0.36,480
2013-09-03,0.4,0.4,0.4,0.4,0.4,228
2013-09-04,0.36,0.4,0.36,0.4,0.4,648
2013-09-05,0.4,0.52,0.4,0.52,0.52,11215
2013-09-06,0.52,0.52,0.52,0.52,0.52,0
2013-09-09,0.52,0.52,0.52,0.52,0.52,0
2013-09-10,0.52,0.52,0.52,0.52,0.52,0
2013-09-11,0.52,0.52,0.52,0.52,0.52,0
2013-09-12,0.52,0.52,0.52,0.52,0.52,0
2013-09-13,0.52,0.52,0.52,0.52,0.52,0
2013-09-16,0.4,0.4,0.4,0.4,0.4,700
2013-09-17,0.4888,0.4888,0.4888,0.4888,0.4888,250
2013-09-18,0.4888,0.4888,0.4888,0.4888,0.4888,0
2013-09-19,0.4,0.4,0.4,0.4,0.4,4830
2013-09-20,0.4,0.4,0.4,0.4,0.4,1500
2013-09-23,0.4,0.4,0.4,0.4,0.4,0
2013-09-24,0.4,0.4,0.4,0.4,0.4,0
2013-09-25,0.41,0.49,0.41,0.45,0.45,4495
2013-09-26,0.45,0.45,0.45,0.45,0.45,3550
2013-09-27,0.42,0.48,0.42,0.48,0.48,1162
2013-09-30,0.48,0.48,0.48,0.48,0.48,0
2013-10-01,0.48,0.48,0.48,0.48,0.48,6250
2013-10-02,0.48,0.48,0.48,0.48,0.48,0
2013-10-03,0.48,0.48,0.48,0.48,0.48,0
2013-10-04,0.42,0.42,0.42,0.42,0.42,328
2013-10-07,0.42,0.42,0.4,0.4,0.4,17000
2013-10-08,0.35,0.35,0.35,0.35,0.35,5449
