Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,27.58,28.5,27.42,27.700001,27.700001,907528
2013-07-17,27.77,27.98,26.290001,26.459999,26.459999,580445
2013-07-18,26.389999,27.4,26.290001,27.139999,27.139999,434390
2013-07-19,27.01,27.07,26.209999,26.620001,26.620001,341393
2013-07-22,26.700001,27.43,26.700001,26.82,26.82,283688
2013-07-23,26.98,28.25,26.820101,27.82,27.82,479081
2013-07-24,27.91,28.76,26.610001,27.07,27.07,855836
2013-07-25,28.33,29.35,24.75,27.92,27.92,1496992
2013-07-26,27.9,28.35,26.379999,26.790001,26.790001,681232
2013-07-29,27.01,28.0,26.700001,27.25,27.25,365098
2013-07-30,27.27,27.52,26.610001,26.969999,26.969999,209405
2013-07-31,27.0,27.209999,26.01,26.23,26.23,354816
2013-08-01,26.459999,27.85,26.23,26.83,26.83,610975
2013-08-02,26.969999,27.639999,26.43,27.530001,27.530001,235705
2013-08-05,27.34,30.0,27.27,30.0,30.0,733065
2013-08-06,29.950001,30.709999,29.41,30.26,30.26,441000
2013-08-07,30.129999,31.85,29.84,31.200001,31.200001,866946
2013-08-08,31.309999,31.738001,30.82,31.02,31.02,738618
2013-08-09,31.01,31.02,29.620001,29.75,29.75,365751
2013-08-12,29.65,30.190001,29.24,30.0,30.0,490063
2013-08-13,30.0,30.2899,28.870001,28.99,28.99,392110
2013-08-14,28.92,29.43,28.24,28.360001,28.360001,518364
2013-08-15,27.860001,28.01,26.959999,27.299999,27.299999,538150
2013-08-16,27.110001,27.27,26.629999,26.860001,26.860001,588933
2013-08-19,26.860001,27.75,26.290001,26.32,26.32,436062
2013-08-20,26.280001,27.41,26.200001,27.23,27.23,295169
2013-08-21,27.030001,27.439301,26.620001,26.639999,26.639999,193551
2013-08-22,26.83,27.77,26.709999,27.450001,27.450001,218866
2013-08-23,27.549999,28.4681,27.450001,28.32,28.32,270488
2013-08-26,28.440001,29.059999,28.09,28.83,28.83,173385
2013-08-27,28.33,28.66,27.5401,27.700001,27.700001,336173
2013-08-28,27.67,28.82,27.52,28.639999,28.639999,229306
2013-08-29,28.52,29.75,28.4,29.5,29.5,282631
2013-08-30,29.559999,29.65,28.4,28.809999,28.809999,213839
2013-09-03,29.26,29.540001,27.91,27.950001,27.950001,456971
2013-09-04,27.98,29.49,27.98,28.790001,28.790001,354744
2013-09-05,28.870001,29.6,28.865,29.200001,29.200001,191317
2013-09-06,29.309999,30.66,29.120001,29.74,29.74,401092
2013-09-09,29.889999,30.440001,29.65,29.76,29.76,415224
2013-09-10,29.92,30.43,29.73,29.969999,29.969999,280467
2013-09-11,29.780001,30.139999,28.799999,29.709999,29.709999,310147
2013-09-12,29.790001,29.940001,28.73,29.16,29.16,332817
2013-09-13,29.190001,29.42,28.76,29.209999,29.209999,235973
2013-09-16,29.639999,29.969999,28.99,29.030001,29.030001,269128
2013-09-17,29.0,30.02,28.950001,29.4,29.4,182906
2013-09-18,29.459999,31.1,28.92,30.639999,30.639999,303792
2013-09-19,30.639999,31.0,30.049999,30.209999,30.209999,250046
2013-09-20,30.219999,30.42,29.33,29.93,29.93,442389
