Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,13.91,13.91,13.62,13.85,13.85,41300
2013-07-17,13.98,13.98,13.46,13.84,13.84,48600
2013-07-18,13.87,13.87,13.16,13.57,13.57,82600
2013-07-19,13.4,13.68,13.34,13.49,13.49,46000
2013-07-22,13.56,13.7,13.2,13.41,13.41,28000
2013-07-23,13.43,13.8,13.28,13.71,13.71,46700
2013-07-24,13.72,14.77,13.6,14.43,14.43,84000
2013-07-25,14.32,15.18,14.1,15.1,15.1,36800
2013-07-26,15.03,15.38,14.81,15.25,15.25,34700
2013-07-29,15.25,15.8,15.25,15.58,15.58,44500
2013-07-30,15.53,15.6,14.97,15.11,15.11,36900
2013-07-31,15.06,16.09,15.04,15.93,15.93,59700
2013-08-01,16.030001,16.440001,15.46,15.64,15.64,76300
2013-08-02,15.5,15.5,15.0,15.1,15.1,22900
2013-08-05,15.07,15.38,14.62,15.36,15.36,24700
2013-08-06,15.29,15.84,15.05,15.72,15.72,21300
2013-08-07,15.91,15.91,15.17,15.27,15.27,11800
2013-08-08,15.26,15.26,15.09,15.22,15.22,24000
2013-08-09,15.21,15.37,14.99,15.02,15.02,11100
2013-08-12,14.82,15.31,14.82,15.31,15.31,12800
2013-08-13,15.37,15.37,15.02,15.13,15.13,7700
2013-08-14,15.12,15.15,14.74,14.8,14.8,7200
2013-08-15,14.6,15.46,14.42,14.52,14.52,25600
2013-08-16,14.4,14.47,14.11,14.42,14.42,25000
2013-08-19,14.51,14.95,14.51,14.51,14.51,21500
2013-08-20,14.58,14.75,14.53,14.61,14.61,9300
2013-08-21,14.5,14.55,14.26,14.33,14.33,16900
2013-08-22,14.34,15.12,14.34,14.9,14.9,8700
2013-08-23,14.81,15.42,14.81,15.41,15.41,22300
2013-08-26,15.3,15.64,15.21,15.3,15.3,20400
2013-08-27,15.05,15.05,14.21,14.26,14.26,24000
2013-08-28,14.22,14.34,13.96,14.05,14.05,8000
2013-08-29,13.93,14.3,13.82,14.07,14.07,16100
2013-08-30,14.07,14.28,13.7,13.72,13.72,12300
2013-09-03,14.59,14.59,13.2,13.39,13.39,19000
2013-09-04,13.4,13.64,13.07,13.52,13.52,55400
2013-09-05,13.52,13.69,13.3,13.54,13.54,12700
2013-09-06,13.58,14.15,13.28,13.77,13.77,41000
2013-09-09,13.82,14.94,13.69,14.6,14.6,49800
2013-09-10,14.62,14.99,14.34,14.67,14.67,21400
2013-09-11,14.56,14.75,14.35,14.38,14.38,16800
2013-09-12,14.25,14.63,14.25,14.35,14.35,22700
2013-09-13,14.43,14.54,14.14,14.28,14.28,18600
2013-09-16,14.53,14.53,14.0,14.14,14.14,16300
2013-09-17,14.11,15.02,14.11,14.53,14.53,53400
2013-09-18,14.55,14.69,14.05,14.49,14.49,29600
2013-09-19,14.58,15.02,14.36,14.8,14.8,26000
2013-09-20,14.88,15.68,14.78,15.68,15.68,112300
2013-09-23,15.51,15.51,15.11,15.13,15.13,34800
2013-09-24,15.07,15.5,15.06,15.23,15.23,22900
2013-09-25,15.23,15.5,15.15,15.22,15.22,24400
2013-09-26,15.22,15.51,14.82,15.12,15.12,34800
2013-09-27,14.99,15.46,14.89,15.19,15.19,40700
2013-09-30,15.03,15.64,15.01,15.06,15.06,62200
2013-10-01,14.91,15.34,14.73,15.06,15.06,36700
2013-10-02,14.96,15.69,14.85,15.54,15.54,45700
2013-10-03,15.3,15.7,15.04,15.53,15.53,37200
2013-10-04,15.5,15.83,15.46,15.81,15.81,12100
2013-10-07,15.43,15.95,15.43,15.75,15.75,20700
2013-10-08,15.59,15.72,15.27,15.48,15.48,29400
2013-10-09,15.48,15.62,15.1,15.39,15.39,44900
2013-10-10,15.14,15.94,15.14,15.75,15.75,32500
2013-10-11,15.75,15.88,15.74,15.8,15.8,17600
2013-10-14,15.78,15.88,15.68,15.79,15.79,30200
2013-10-15,15.78,15.88,15.6,15.62,15.62,33600
2013-10-16,15.65,15.82,15.58,15.71,15.71,27500
2013-10-17,15.65,15.88,15.6,15.65,15.65,72600
2013-10-18,15.8,15.88,15.7,15.8,15.8,71400
2013-10-21,15.85,16.370001,15.8,16.25,16.25,101600
2013-10-22,16.16,16.5,16.16,16.299999,16.299999,15800
2013-10-23,16.219999,16.57,16.200001,16.41,16.41,51000
2013-10-24,16.74,17.110001,16.6,17.049999,17.049999,46600
2013-10-25,17.129999,17.4,16.9,17.059999,17.059999,57600
2013-10-28,17.290001,17.389999,17.15,17.34,17.34,28100
2013-10-29,17.35,17.73,16.84,17.690001,17.690001,22400
2013-10-30,17.639999,18.43,17.639999,18.360001,18.360001,29300
2013-10-31,18.33,18.4,17.65,18.059999,18.059999,87400
2013-11-01,18.0,18.43,17.790001,18.23,18.23,34900
2013-11-04,18.34,18.34,17.879999,18.030001,18.030001,26000
2013-11-05,17.959999,19.0,17.530001,17.74,17.74,22300
2013-11-06,17.969999,17.969999,17.15,17.469999,17.469999,38400
2013-11-07,17.51,17.690001,17.309999,17.59,17.59,30500
2013-11-08,17.68,18.219999,17.17,18.16,18.16,28200
2013-11-11,18.09,18.889999,18.059999,18.790001,18.790001,27200
2013-11-12,18.68,18.98,18.360001,18.68,18.68,22600
2013-11-13,18.6,18.6,18.139999,18.290001,18.290001,27100
2013-11-14,18.309999,18.309999,18.17,18.290001,18.290001,49000
2013-11-15,18.299999,18.76,18.290001,18.59,18.59,22400
2013-11-18,18.719999,19.16,18.719999,18.91,18.91,44600
2013-11-19,19.280001,19.42,18.700001,18.75,18.75,35200
2013-11-20,18.91,19.959999,18.889999,19.4,19.4,33000
2013-11-21,19.629999,20.57,19.629999,20.33,20.33,34500
2013-11-22,20.530001,20.530001,20.120001,20.15,20.15,18400
2013-11-25,20.33,20.67,20.25,20.25,20.25,22600
2013-11-26,20.209999,20.379999,20.110001,20.24,20.24,30800
2013-11-27,20.24,20.76,20.24,20.299999,20.299999,29700
2013-11-29,20.440001,20.68,20.1,20.4,20.4,23200
2013-12-02,20.450001,20.76,19.780001,19.870001,19.870001,25900
2013-12-03,19.85,20.75,19.75,20.200001,20.200001,25400
2013-12-04,20.049999,20.99,20.02,20.780001,20.780001,26900
2013-12-05,20.77,20.93,20.5,20.57,20.57,38500
2013-12-06,20.809999,22.719999,20.809999,22.49,22.49,54000
2013-12-09,22.58,23.25,21.690001,22.26,22.26,46500
2013-12-10,21.700001,24.33,21.290001,21.85,21.85,65500
2013-12-11,21.82,21.969999,21.200001,21.41,21.41,46700
2013-12-12,21.450001,21.82,21.110001,21.33,21.33,33200
2013-12-13,21.360001,21.65,21.209999,21.32,21.32,20800
2013-12-16,21.42,21.99,21.42,21.85,21.85,26000
2013-12-17,21.799999,22.040001,21.75,21.84,21.84,33300
2013-12-18,21.85,21.98,21.129999,21.49,21.49,37600
2013-12-19,21.52,21.860001,21.4,21.73,21.73,47700
2013-12-20,21.9,22.959999,21.73,22.0,22.0,95000
2013-12-23,22.23,23.450001,21.75,23.25,23.25,34300
2013-12-24,23.35,24.07,23.200001,23.200001,23.200001,13800
2013-12-26,23.389999,23.790001,23.049999,23.68,23.68,32800
2013-12-27,23.870001,24.1,23.41,24.07,24.07,67800
2013-12-30,23.98,24.32,23.299999,23.59,23.59,46500
2013-12-31,23.59,23.59,23.26,23.26,23.26,32000
2014-01-02,23.09,23.129999,22.370001,22.719999,22.719999,32700
2014-01-03,22.59,22.809999,22.25,22.690001,22.690001,27400
2014-01-06,22.690001,22.690001,21.48,21.530001,21.530001,42400
2014-01-07,21.5,22.6,19.83,22.530001,22.530001,271200
2014-01-08,22.450001,22.530001,21.93,22.360001,22.360001,59000
2014-01-09,22.360001,22.52,21.93,21.959999,21.959999,43600
2014-01-10,21.66,22.639999,20.950001,22.52,22.52,67600
2014-01-13,22.5,23.23,22.360001,22.76,22.76,43100
2014-01-14,22.790001,23.209999,22.790001,23.02,23.02,24100
2014-01-15,23.0,23.1,22.23,22.43,22.43,18500
2014-01-16,22.34,22.790001,21.950001,22.68,22.68,16500
2014-01-17,22.690001,22.969999,22.51,22.889999,22.889999,29500
2014-01-21,23.049999,23.959999,22.809999,23.73,23.73,45900
2014-01-22,23.860001,24.280001,23.75,23.889999,23.889999,86900
