Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,102.25,102.82,98.440002,100.120003,83.937088,891200
2013-07-17,100.860001,102.669998,100.360001,102.400002,85.848557,963000
2013-07-18,102.489998,102.75,101.739998,102.050003,85.55513,752300
2013-07-19,101.18,101.709999,100.269997,101.400002,85.010193,866300
2013-07-22,101.089996,101.290001,100.040001,100.889999,84.582642,668600
2013-07-23,101.970001,103.839996,101.07,103.07,86.410263,690900
2013-07-24,102.900002,103.699997,101.449997,102.0,85.513206,523500
2013-07-25,101.949997,102.339996,100.139999,100.980003,84.658073,841800
2013-07-26,100.519997,101.18,100.019997,100.25,84.046074,588200
2013-07-29,100.400002,100.459999,98.440002,98.440002,82.528633,779200
2013-07-30,98.93,99.0,97.830002,98.330002,82.436401,874100
2013-07-31,98.470001,100.580002,98.199997,99.489998,83.408905,674800
2013-08-01,100.480003,103.18,100.029999,102.360001,85.815025,654700
2013-08-02,103.410004,105.120003,101.839996,104.379997,87.508507,495100
2013-08-05,104.150002,104.559998,102.160004,103.529999,86.795921,450000
2013-08-06,103.209999,104.290001,102.559998,104.18,87.340843,537500
2013-08-07,104.029999,104.5,103.160004,103.730003,86.963593,609400
2013-08-08,104.029999,105.07,103.860001,104.300003,87.441452,536100
2013-08-09,104.050003,106.629997,104.050003,106.110001,88.958885,604500
2013-08-12,106.220001,106.279999,101.629997,102.010002,85.521599,821200
2013-08-13,101.910004,102.5,100.269997,101.370003,84.985046,445200
2013-08-14,101.220001,102.169998,100.849998,100.980003,84.658073,468800
2013-08-15,100.080002,100.860001,98.580002,99.099998,83.08194,378400
2013-08-16,98.919998,99.169998,97.269997,97.57,81.799248,368100
2013-08-19,97.480003,101.419998,97.169998,99.629997,83.526283,655800
2013-08-20,99.599998,100.419998,99.059998,99.279999,83.232841,407500
2013-08-21,98.879997,98.940002,96.919998,96.970001,81.296242,674600
2013-08-22,97.089996,97.779999,94.860001,96.089996,80.558472,574600
2013-08-23,96.220001,97.519997,95.690002,97.32,81.589653,330000
2013-08-26,97.190002,97.25,94.760002,95.440002,80.013542,363900
2013-08-27,93.830002,94.25,92.989998,93.900002,78.722458,490100
2013-08-28,94.269997,94.269997,92.589996,92.699997,77.716423,367200
2013-08-29,92.940002,93.660004,92.300003,92.57,77.607437,452100
2013-08-30,92.940002,96.260002,92.690002,94.379997,79.12487,876800
2013-09-03,95.25,95.5,94.360001,94.730003,79.418297,546900
2013-09-04,94.5,96.5,94.230003,95.839996,80.348885,434800
2013-09-05,95.199997,96.209999,94.940002,96.010002,80.491402,349300
2013-09-06,96.660004,99.739998,96.610001,99.040001,83.03167,749700
2013-09-09,99.0,100.769997,97.550003,100.650002,84.381416,659500
2013-09-10,100.690002,101.620003,99.980003,101.349998,84.968269,531400
2013-09-11,100.860001,102.339996,100.519997,101.410004,85.01857,419700
2013-09-12,101.099998,101.230003,99.860001,100.169998,83.979004,241500
2013-09-13,100.779999,100.989998,99.589996,100.309998,84.096375,460800
2013-09-16,101.32,102.25,100.959999,101.360001,84.976662,156500
2013-09-17,101.07,102.050003,99.669998,100.800003,84.507179,388500
2013-09-18,100.150002,105.330002,99.629997,105.0,88.028305,679600
2013-09-19,105.230003,106.07,104.410004,105.699997,88.615166,393900
2013-09-20,105.190002,105.449997,102.93,103.0,86.35157,248100
2013-09-23,103.410004,103.489998,100.830002,102.389999,85.840172,623000
2013-09-24,102.059998,102.620003,101.379997,101.879997,85.412605,232600
2013-09-25,101.279999,103.43,100.739998,102.889999,86.259361,544200
2013-09-26,102.889999,103.699997,101.080002,101.290001,84.917969,359100
2013-09-27,100.5,101.169998,97.559998,98.040001,82.193275,420200
2013-09-30,97.839996,98.57,96.400002,97.089996,81.396828,497400
2013-10-01,97.010002,100.25,96.690002,100.230003,84.029289,592600
2013-10-02,99.5,99.800003,97.639999,98.489998,82.570549,457200
2013-10-03,98.110001,98.129997,95.199997,96.290001,80.726151,460100
2013-10-04,96.510002,99.080002,96.129997,98.5,82.578934,276200
2013-10-07,97.959999,98.220001,96.82,97.519997,81.757332,519800
2013-10-08,97.860001,97.860001,94.769997,95.720001,80.248283,380900
2013-10-09,95.970001,96.459999,95.120003,95.419998,79.996765,486200
2013-10-10,96.660004,97.519997,95.779999,96.550003,80.944115,497900
2013-10-11,95.519997,96.620003,95.07,96.459999,80.868652,484900
2013-10-14,96.059998,96.209999,94.190002,95.029999,79.6698,668700
2013-10-15,94.980003,96.0,92.449997,93.519997,78.403877,822300
2013-10-16,94.120003,94.57,92.559998,93.0,77.967926,636500
2013-10-17,93.040001,95.080002,93.040001,93.93,78.747604,559500
2013-10-18,94.25,94.650002,92.889999,93.5,78.387115,419900
2013-10-21,93.279999,93.639999,90.900002,91.989998,77.121178,638600
2013-10-22,92.360001,94.580002,92.360001,93.980003,78.789528,861700
2013-10-23,93.529999,94.349998,92.43,93.910004,78.730843,579700
