Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,5.61,5.63,5.61,5.62,3.682654,19500
2013-07-17,5.63,5.69,5.63,5.69,3.728524,13200
2013-07-18,5.61,5.68,5.61,5.67,3.715419,8300
2013-07-19,5.64,5.64,5.61,5.63,3.689207,18100
2013-07-22,5.62,5.66,5.62,5.66,3.708866,6300
2013-07-23,5.8,5.8,5.76,5.79,3.794051,17400
2013-07-24,5.94,5.96,5.9,5.93,3.88579,251900
2013-07-25,5.95,5.97,5.95,5.97,3.912001,4400
2013-07-26,5.9,5.99,5.9,5.99,3.925107,11900
2013-07-29,5.95,5.96,5.92,5.95,3.898896,19100
2013-07-30,5.89,5.9,5.85,5.89,3.85958,7800
2013-07-31,5.7,5.73,5.68,5.72,3.748182,27000
2013-08-01,5.71,5.8,5.71,5.8,3.800604,13400
2013-08-02,5.9,6.01,5.9,6.0,3.93166,21500
2013-08-05,5.92,5.93,5.91,5.93,3.88579,16800
2013-08-06,5.85,5.9,5.85,5.9,3.866132,10100
2013-08-07,5.77,5.86,5.77,5.86,3.839922,5500
2013-08-08,5.8,5.8,5.77,5.78,3.787499,12200
2013-08-09,5.7,5.85,5.7,5.85,3.833368,7000
2013-08-12,5.92,5.96,5.9,5.92,3.879237,13900
2013-08-13,6.1,6.1,6.07,6.09,3.990634,14600
2013-08-14,6.08,6.09,6.07,6.07,3.977528,14000
2013-08-15,5.99,6.12,5.99,6.1,3.997187,15400
2013-08-16,6.14,6.24,6.14,6.24,4.088926,8500
2013-08-19,5.98,6.08,5.98,6.06,3.970977,16900
2013-08-20,5.34,5.66,5.34,5.41,3.545047,34400
2013-08-21,5.36,5.45,5.36,5.44,3.564705,11100
2013-08-22,5.23,5.43,5.23,5.3,3.472966,14100
2013-08-23,5.29,5.41,5.29,5.39,3.531942,35100
2013-08-26,5.34,5.36,5.31,5.31,3.479519,13000
2013-08-27,5.31,5.35,5.31,5.32,3.486072,15900
2013-08-28,5.18,5.2,5.0,5.07,3.322253,46300
2013-08-29,5.25,5.3,5.18,5.26,3.446755,22500
2013-08-30,5.23,5.23,5.19,5.21,3.413991,9400
2013-09-03,5.47,5.47,5.43,5.43,3.558151,5400
2013-09-04,5.31,5.39,5.31,5.37,3.518836,26700
2013-09-05,5.4,5.4,5.38,5.39,3.531942,11900
