Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.45,0.45,0.4,0.425,0.425,51840
2013-07-17,0.425,0.425,0.4,0.425,0.425,65640
2013-07-18,0.425,0.425,0.4,0.425,0.425,26920
2013-07-19,0.425,0.425,0.4,0.425,0.425,17520
2013-07-22,0.4,0.425,0.375,0.4,0.4,81880
2013-07-23,0.4,0.45,0.375,0.425,0.425,71880
2013-07-24,0.425,0.45,0.425,0.45,0.45,29640
2013-07-25,0.45,0.475,0.45,0.475,0.475,114720
2013-07-26,0.45,0.45,0.45,0.45,0.45,130000
2013-07-29,0.45,0.5,0.45,0.475,0.475,59400
2013-07-30,0.5,0.5,0.45,0.5,0.5,111400
2013-07-31,0.5,0.525,0.475,0.5,0.5,51840
2013-08-01,0.5,0.5,0.475,0.5,0.5,15400
2013-08-02,0.475,0.525,0.475,0.525,0.525,79520
2013-08-05,0.525,0.55,0.475,0.55,0.55,58560
2013-08-06,0.525,0.55,0.5,0.55,0.55,14360
2013-08-07,0.55,0.625,0.525,0.625,0.625,120680
2013-08-08,0.625,0.625,0.575,0.6,0.6,42560
2013-08-09,0.6,0.625,0.575,0.625,0.625,22600
2013-08-12,0.625,0.725,0.6,0.7,0.7,326480
2013-08-13,0.7,0.7,0.525,0.6,0.6,75480
2013-08-14,0.525,0.6,0.425,0.5,0.5,313040
2013-08-15,0.5,0.5,0.425,0.5,0.5,92040
2013-08-16,0.5,0.55,0.5,0.525,0.525,6720
2013-08-19,0.525,0.525,0.5,0.5,0.5,3720
2013-08-20,0.5,0.5,0.4,0.475,0.475,62080
2013-08-21,0.475,0.475,0.425,0.45,0.45,25400
2013-08-22,0.45,0.45,0.425,0.425,0.425,16440
2013-08-23,0.425,0.45,0.425,0.45,0.45,51440
2013-08-26,0.45,0.45,0.425,0.425,0.425,23240
2013-08-27,0.425,0.45,0.425,0.45,0.45,35440
2013-08-28,0.425,0.45,0.425,0.425,0.425,36920
2013-08-29,0.425,0.425,0.425,0.425,0.425,1280
2013-08-30,0.425,0.425,0.425,0.425,0.425,16560
2013-09-03,0.425,0.425,0.375,0.425,0.425,46840
2013-09-04,0.4,0.425,0.4,0.425,0.425,26040
2013-09-05,0.425,0.425,0.4,0.425,0.425,12800
2013-09-06,0.425,0.425,0.4,0.4,0.4,4200
2013-09-09,0.425,0.425,0.4,0.4,0.4,1320
2013-09-10,0.4,0.425,0.375,0.375,0.375,165600
2013-09-11,0.375,0.425,0.375,0.4,0.4,34040
2013-09-12,0.425,0.425,0.425,0.425,0.425,12520
2013-09-13,0.4,0.425,0.4,0.425,0.425,58960
2013-09-16,0.425,0.425,0.4,0.4,0.4,40080
2013-09-17,0.425,0.425,0.4,0.4,0.4,20400
2013-09-18,0.425,0.425,0.425,0.425,0.425,6600
2013-09-19,0.425,0.45,0.425,0.45,0.45,38880
2013-09-20,0.45,0.5,0.45,0.475,0.475,58200
2013-09-23,0.45,0.5,0.45,0.5,0.5,36120
2013-09-24,0.45,0.5,0.45,0.475,0.475,43800
2013-09-25,0.5,0.5,0.45,0.5,0.5,66000
2013-09-26,0.5,0.5,0.425,0.425,0.425,54160
2013-09-27,0.425,0.475,0.425,0.475,0.475,4160
2013-09-30,0.525,0.525,0.525,0.525,0.525,4400
2013-10-01,0.4875,0.5,0.435,0.4575,0.4575,95600
2013-10-02,0.4725,0.4725,0.4375,0.4375,0.4375,64000
2013-10-03,0.4375,0.45,0.4375,0.45,0.45,5200
2013-10-04,0.425,0.4625,0.405,0.4625,0.4625,25200
2013-10-07,0.4375,0.4625,0.4375,0.4625,0.4625,11600
2013-10-08,0.44,0.44,0.4375,0.4375,0.4375,11600
2013-10-09,0.3,0.4375,0.3,0.4325,0.4325,38400
2013-10-10,0.4125,0.4275,0.4,0.4125,0.4125,70000
2013-10-11,0.4125,0.4225,0.4075,0.4075,0.4075,4000
2013-10-14,0.415,0.475,0.415,0.475,0.475,155200
2013-10-15,0.475,0.475,0.475,0.475,0.475,0
2013-10-16,0.4425,0.4425,0.4425,0.4425,0.4425,6000
2013-10-17,0.4075,0.4375,0.4,0.4375,0.4375,14000
2013-10-18,0.4375,0.4375,0.4075,0.43,0.43,4000
2013-10-21,0.45,0.52,0.4425,0.52,0.52,112800
2013-10-22,0.5175,0.5375,0.5175,0.535,0.535,51200
2013-10-23,0.5325,0.5325,0.475,0.5225,0.5225,9200
2013-10-24,0.525,0.525,0.45,0.4875,0.4875,66800
2013-10-25,0.4525,0.475,0.45,0.475,0.475,20400
2013-10-28,0.475,0.4875,0.475,0.4875,0.4875,800
2013-10-29,0.4875,0.4875,0.4825,0.4875,0.4875,10400
2013-10-30,0.4875,0.5225,0.4825,0.5125,0.5125,14000
2013-10-31,0.5,0.5,0.4025,0.5,0.5,5200
2013-11-01,0.4275,0.5225,0.4275,0.4875,0.4875,28400
2013-11-04,0.4875,0.5225,0.4775,0.5225,0.5225,22000
2013-11-05,0.5225,0.5225,0.52,0.52,0.52,24000
2013-11-06,0.5175,0.5225,0.475,0.5,0.5,32800
2013-11-07,0.45,0.45,0.44,0.45,0.45,105600
2013-11-08,0.45,0.5,0.43,0.5,0.5,137600
2013-11-11,0.5,0.5,0.4825,0.5,0.5,5200
2013-11-12,0.4975,0.4975,0.4025,0.49,0.49,13600
2013-11-13,0.475,0.525,0.475,0.5125,0.5125,172400
2013-11-14,0.535,0.5375,0.5,0.5375,0.5375,203200
2013-11-15,0.5375,0.5375,0.4625,0.4725,0.4725,42800
2013-11-18,0.4625,0.47,0.4175,0.45,0.45,32400
2013-11-19,0.4475,0.47,0.42,0.47,0.47,81200
2013-11-20,0.4625,0.4625,0.455,0.455,0.455,4400
2013-11-21,0.455,0.455,0.4425,0.45,0.45,20800
2013-11-22,0.45,0.47,0.45,0.47,0.47,156800
2013-11-25,0.47,0.525,0.47,0.5,0.5,36000
2013-11-26,0.4925,0.4925,0.4925,0.4925,0.4925,400
2013-11-27,0.4675,0.505,0.45,0.45,0.45,438800
2013-11-29,0.475,0.5,0.4675,0.5,0.5,24000
2013-12-02,0.5,0.5,0.5,0.5,0.5,0
2013-12-03,0.4625,0.525,0.4625,0.51,0.51,432400
2013-12-04,0.5,0.5,0.475,0.48,0.48,5200
2013-12-05,0.475,0.5,0.465,0.5,0.5,28400
2013-12-06,0.5,0.525,0.4975,0.525,0.525,264800
2013-12-09,0.525,0.5375,0.525,0.5375,0.5375,78000
2013-12-10,0.525,0.545,0.525,0.545,0.545,98800
2013-12-11,0.545,0.55,0.54,0.55,0.55,70000
2013-12-12,0.5625,0.575,0.55,0.5725,0.5725,132000
2013-12-13,0.5575,0.5625,0.545,0.55,0.55,15600
2013-12-16,0.525,0.575,0.525,0.565,0.565,94800
2013-12-17,0.5475,0.5625,0.5475,0.5625,0.5625,36400
2013-12-18,0.5525,0.5525,0.545,0.5475,0.5475,38400
2013-12-19,0.535,0.55,0.525,0.55,0.55,134800
2013-12-20,0.55,0.575,0.55,0.5725,0.5725,52000
2013-12-23,0.5725,0.5725,0.55,0.56,0.56,25200
2013-12-24,0.525,0.56,0.525,0.56,0.56,68400
2013-12-26,0.55,0.575,0.55,0.575,0.575,4400
2013-12-27,0.5625,0.575,0.5625,0.575,0.575,10400
2013-12-30,0.5625,0.5625,0.5625,0.5625,0.5625,26000
2013-12-31,0.555,0.6625,0.5525,0.6125,0.6125,123200
2014-01-02,0.625,0.675,0.575,0.635,0.635,96800
2014-01-03,0.6375,0.65,0.5625,0.6425,0.6425,97600
2014-01-06,0.65,0.6675,0.5775,0.6,0.6,72800
2014-01-07,0.58,0.5875,0.56,0.575,0.575,144400
2014-01-08,0.56,0.5625,0.56,0.56,0.56,26000
2014-01-09,0.5525,0.56,0.5025,0.555,0.555,60000
2014-01-10,0.555,0.555,0.525,0.555,0.555,32000
2014-01-13,0.525,0.56,0.525,0.5575,0.5575,7600
2014-01-14,0.5325,0.55,0.5125,0.5375,0.5375,22400
2014-01-15,0.525,0.5375,0.51,0.525,0.525,88000
2014-01-16,0.525,0.5375,0.5125,0.5375,0.5375,48400
2014-01-17,0.5375,0.5375,0.5,0.535,0.535,51200
2014-01-21,0.4925,0.525,0.4925,0.525,0.525,29200
2014-01-22,0.5,0.5325,0.5,0.5,0.5,14800
2014-01-23,0.5025,0.535,0.5025,0.5325,0.5325,25600
2014-01-24,0.525,0.5325,0.5125,0.5125,0.5125,23600
2014-01-27,0.525,0.53,0.525,0.53,0.53,22000
2014-01-28,0.525,0.53,0.49,0.5,0.5,20400
2014-01-29,0.5125,0.525,0.5,0.525,0.525,17600
2014-01-30,0.525,0.525,0.515,0.515,0.515,3600
2014-01-31,0.5,0.525,0.5,0.5175,0.5175,68400
2014-02-03,0.5125,0.5125,0.44,0.495,0.495,63600
2014-02-04,0.495,0.525,0.4875,0.51,0.51,96400
2014-02-05,0.51,0.51,0.5,0.5,0.5,21600
2014-02-06,0.55,0.55,0.4925,0.55,0.55,4000
2014-02-07,0.5375,0.5875,0.45,0.545,0.545,88800
2014-02-10,0.5375,0.5725,0.5375,0.5725,0.5725,7600
2014-02-11,0.5625,0.5725,0.5625,0.5725,0.5725,21600
2014-02-12,0.5625,0.5625,0.45,0.5625,0.5625,198000
2014-02-13,0.5525,0.5725,0.5525,0.5725,0.5725,43600
2014-02-14,0.5725,0.6375,0.565,0.5925,0.5925,667600
2014-02-18,0.65,0.6525,0.605,0.65,0.65,979600
2014-02-19,0.6625,0.775,0.6525,0.7475,0.7475,796000
2014-02-20,0.76,0.8125,0.745,0.81,0.81,595200
2014-02-21,0.8,0.82,0.7525,0.8,0.8,247600
2014-02-24,0.8025,0.8025,0.75,0.78,0.78,184000
2014-02-25,0.78,0.785,0.7,0.75,0.75,247200
2014-02-26,0.7125,0.8,0.7125,0.775,0.775,78400
2014-02-27,0.7625,0.7625,0.725,0.75,0.75,70800
2014-02-28,0.7625,0.7625,0.7175,0.7525,0.7525,49600
2014-03-03,0.715,0.7525,0.7025,0.735,0.735,28400
2014-03-04,0.735,0.75,0.7,0.7025,0.7025,73200
2014-03-05,0.7,0.735,0.6875,0.715,0.715,56800
2014-03-06,0.715,0.7175,0.6975,0.7125,0.7125,14000
2014-03-07,0.68,0.7,0.68,0.7,0.7,96800
2014-03-10,0.715,0.725,0.715,0.725,0.725,28400
2014-03-11,0.7175,0.735,0.7175,0.735,0.735,25200
2014-03-12,0.7325,0.765,0.6525,0.725,0.725,114400
2014-03-13,0.725,0.725,0.7,0.7225,0.7225,20000
2014-03-14,0.725,0.725,0.7225,0.725,0.725,9600
2014-03-17,0.725,0.735,0.7,0.7075,0.7075,41600
2014-03-18,0.7025,0.7475,0.66,0.7475,0.7475,11600
2014-03-19,0.7475,0.7475,0.675,0.7,0.7,19200
2014-03-20,0.7,0.75,0.7,0.7125,0.7125,37200
2014-03-21,0.71,0.7125,0.6875,0.695,0.695,40400
2014-03-24,0.695,0.7125,0.675,0.7125,0.7125,26400
2014-03-25,0.7125,0.75,0.6675,0.6675,0.6675,62800
2014-03-26,0.675,0.7325,0.6675,0.725,0.725,19600
2014-03-27,0.7225,0.7225,0.7125,0.7125,0.7125,1600
2014-03-28,0.725,0.725,0.7125,0.72,0.72,24800
2014-03-31,0.69,0.69,0.525,0.625,0.625,307600
2014-04-01,0.5925,0.5925,0.5625,0.57,0.57,146800
2014-04-02,0.56,0.56,0.5325,0.5375,0.5375,86400
2014-04-03,0.55,0.5725,0.545,0.555,0.555,16800
2014-04-04,0.55,0.5775,0.5375,0.5425,0.5425,85200
2014-04-07,0.5325,0.55,0.53,0.55,0.55,46400
2014-04-08,0.5325,0.55,0.5325,0.55,0.55,24000
2014-04-09,0.5625,0.575,0.55,0.5675,0.5675,4800
2014-04-10,0.5825,0.585,0.55,0.55,0.55,59200
2014-04-11,0.55,0.58,0.55,0.58,0.58,5200
2014-04-14,0.58,0.58,0.535,0.535,0.535,11200
2014-04-15,0.535,0.5525,0.53,0.53,0.53,23200
2014-04-16,0.55,0.55,0.55,0.55,0.55,22000
2014-04-17,0.5375,0.555,0.5375,0.555,0.555,11600
2014-04-21,0.5625,0.5625,0.55,0.55,0.55,6000
2014-04-22,0.5625,0.595,0.5625,0.595,0.595,50000
2014-04-23,0.5875,0.5875,0.58,0.5875,0.5875,4000
2014-04-24,0.5875,0.5875,0.5875,0.5875,0.5875,800
2014-04-25,0.5875,0.5875,0.55,0.5875,0.5875,7600
2014-04-28,0.5525,0.58,0.55,0.575,0.575,15200
2014-04-29,0.575,0.5875,0.575,0.5875,0.5875,10400
2014-04-30,0.5875,0.645,0.5875,0.595,0.595,72800
2014-05-01,0.595,0.655,0.595,0.65,0.65,118800
2014-05-02,0.65,0.65,0.59,0.59,0.59,16400
2014-05-05,0.6225,0.6225,0.59,0.6175,0.6175,6000
2014-05-06,0.61,0.6575,0.6,0.6575,0.6575,28800
2014-05-07,0.6125,0.635,0.6,0.6125,0.6125,33200
2014-05-08,0.6,0.6125,0.58,0.6125,0.6125,8800
2014-05-09,0.5825,0.605,0.5625,0.605,0.605,26800
2014-05-12,0.5975,0.5975,0.5625,0.5625,0.5625,126000
2014-05-13,0.5625,0.5725,0.5625,0.5725,0.5725,30000
2014-05-14,0.5725,0.615,0.5625,0.615,0.615,53600
2014-05-15,0.6075,0.6075,0.53,0.56,0.56,377200
2014-05-16,0.5575,0.6125,0.55,0.6,0.6,5600
2014-05-19,0.5525,0.5875,0.55,0.5875,0.5875,4000
2014-05-20,0.5625,0.5625,0.55,0.55,0.55,25200
2014-05-21,0.5625,0.585,0.5625,0.585,0.585,19200
2014-05-22,0.5625,0.5625,0.5625,0.5625,0.5625,6000
2014-05-23,0.5825,0.5975,0.55,0.55,0.55,18000
2014-05-27,0.5725,0.5725,0.55,0.5625,0.5625,44000
2014-05-28,0.55,0.5725,0.55,0.55,0.55,37600
2014-05-29,0.55,0.55,0.53,0.5475,0.5475,36400
