Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.44,0.44,0.42,0.42,0.317865,34000
2013-07-17,0.42,0.42,0.42,0.42,0.317865,0
2013-07-18,0.42,0.42,0.42,0.42,0.317865,0
2013-07-19,0.42,0.42,0.42,0.42,0.317865,0
2013-07-22,0.42,0.42,0.42,0.42,0.317865,109000
2013-07-23,0.42,0.42,0.42,0.42,0.317865,0
2013-07-24,0.42,0.42,0.42,0.42,0.317865,0
2013-07-25,0.44,0.44,0.44,0.44,0.333002,10000
2013-07-26,0.45,0.45,0.45,0.45,0.34057,11200
2013-07-29,0.45,0.45,0.45,0.45,0.34057,0
2013-07-30,0.45,0.45,0.45,0.45,0.34057,0
2013-07-31,0.45,0.45,0.45,0.45,0.34057,0
2013-08-01,0.41,0.41,0.41,0.41,0.310297,3200
2013-08-02,0.41,0.41,0.41,0.41,0.310297,0
2013-08-05,0.41,0.41,0.41,0.41,0.310297,0
2013-08-06,0.41,0.41,0.41,0.41,0.310297,2500
2013-08-07,0.41,0.41,0.41,0.41,0.310297,0
2013-08-08,0.42,0.42,0.4,0.4,0.302729,20700
2013-08-09,0.4,0.4,0.4,0.4,0.302729,0
2013-08-12,0.4,0.4,0.4,0.4,0.302729,0
2013-08-13,0.4,0.4,0.4,0.4,0.302729,0
2013-08-14,0.4,0.4,0.4,0.4,0.302729,0
2013-08-15,0.39,0.4,0.39,0.4,0.302729,441300
2013-08-16,0.4,0.4,0.4,0.4,0.302729,0
2013-08-19,0.4,0.4,0.4,0.4,0.302729,0
2013-08-20,0.4,0.4,0.4,0.4,0.302729,0
2013-08-21,0.4,0.4,0.4,0.4,0.302729,0
2013-08-22,0.4,0.4,0.4,0.4,0.302729,0
2013-08-23,0.4,0.4,0.4,0.4,0.302729,0
2013-08-26,0.4,0.4,0.4,0.4,0.302729,0
2013-08-27,0.4,0.4,0.4,0.4,0.302729,0
2013-08-28,0.4,0.4,0.4,0.4,0.302729,0
2013-08-29,0.4,0.4,0.4,0.4,0.302729,0
2013-08-30,0.4,0.4,0.4,0.4,0.302729,0
2013-09-03,0.4,0.4,0.4,0.4,0.302729,0
2013-09-04,0.4,0.4,0.4,0.4,0.302729,0
2013-09-05,0.42,0.42,0.42,0.42,0.317865,5000
2013-09-06,0.42,0.42,0.42,0.42,0.317865,2000
2013-09-09,0.43,0.45,0.43,0.45,0.34057,10300
2013-09-10,0.45,0.45,0.45,0.45,0.34057,0
2013-09-11,0.45,0.45,0.45,0.45,0.34057,0
2013-09-12,0.45,0.45,0.45,0.45,0.34057,0
2013-09-13,0.43,0.43,0.43,0.43,0.325433,13700
2013-09-16,0.45,0.45,0.45,0.45,0.34057,2100
