Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,43.889999,43.889999,43.700001,43.77,33.179482,3900
2013-07-17,43.439999,43.720001,43.439999,43.599998,33.050606,1000
2013-07-18,43.27,43.549999,42.799999,43.490002,32.967236,3500
2013-07-19,43.009998,43.310001,42.799999,42.799999,32.44418,4000
2013-07-22,43.41,43.41,42.82,42.82,32.459339,1000
2013-07-23,43.271,44.080002,43.271,43.759998,33.171898,1200
2013-07-24,43.630001,43.880001,43.630001,43.880001,33.262867,1200
2013-07-25,43.0,43.59,43.0,43.59,33.043026,800
2013-07-26,43.25,43.610001,43.23,43.299999,32.8232,2200
2013-07-29,43.16,43.290001,43.099998,43.290001,32.81562,1500
2013-07-30,43.119999,43.130001,43.119999,43.130001,32.694336,2100
2013-07-31,42.790001,42.790001,41.389999,41.389999,31.375341,200
2013-08-01,41.189999,42.169998,41.189999,42.169998,31.966618,1300
2013-08-02,41.259998,41.939999,40.799999,41.939999,31.792257,800
2013-08-05,41.560001,41.580002,40.849998,40.939999,31.034224,1600
2013-08-06,40.650002,40.650002,40.259998,40.650002,30.814386,10300
2013-08-07,40.740002,41.639999,40.639999,41.639999,31.564856,800
2013-08-08,41.279999,41.810001,41.189999,41.799999,31.686134,2300
2013-08-09,41.740002,41.740002,41.740002,41.740002,31.640661,500
2013-08-12,41.380001,41.380001,40.830002,41.060001,31.125185,1700
2013-08-13,40.630001,40.630001,39.869999,39.900002,30.245855,5600
2013-08-14,39.900002,40.369999,39.900002,40.369999,30.602135,8700
2013-08-15,40.23,40.23,40.200001,40.200001,30.473272,1200
2013-08-16,40.23,40.34,40.049999,40.189999,30.465696,1800
2013-08-19,40.84,41.040001,40.48,40.48,30.685516,2900
2013-08-20,41.060001,41.32,41.049999,41.049999,31.117599,2000
2013-08-21,40.369999,40.619999,39.82,40.580002,30.761332,3100
2013-08-22,40.18,41.080002,40.18,40.32,30.564234,500
2013-08-23,40.799999,41.25,40.799999,41.09,31.147932,4300
2013-08-26,42.0,44.59,42.0,44.580002,33.793495,3900
2013-08-27,43.259998,43.619999,43.18,43.540001,33.005138,1400
2013-08-28,42.52,43.34,42.52,43.34,32.853519,500
2013-08-29,44.029999,44.029999,43.5,43.549999,33.012707,3100
2013-08-30,43.82,43.959999,43.5,43.5,32.974812,1400
2013-09-03,44.169998,44.599998,44.169998,44.599998,33.808659,2300
2013-09-04,42.77,43.09,42.77,43.0,32.595787,900
2013-09-05,43.23,43.23,42.900002,43.099998,32.671593,7200
2013-09-06,43.869999,44.25,43.869999,44.25,33.543343,5600
2013-09-09,43.5,44.43,43.5,44.43,33.679787,800
2013-09-10,44.43,44.540001,44.380001,44.450001,33.694946,1300
2013-09-11,43.91,43.91,43.849998,43.849998,33.24012,2000
2013-09-12,42.389999,43.099998,42.380001,42.389999,32.133377,9400
2013-09-13,42.279999,42.419998,41.919998,42.400002,32.140961,3000
2013-09-16,42.93,42.93,42.779999,42.779999,32.429016,800
2013-09-17,42.0,42.950001,42.0,42.950001,32.557884,1300
2013-09-18,42.619999,43.669998,42.400002,42.459999,32.186443,2300
2013-09-19,43.560001,44.099998,43.560001,43.580002,33.035454,2200
2013-09-20,42.700001,43.209999,42.700001,42.77,32.42144,2000
2013-09-23,42.790001,43.290001,42.790001,43.189999,32.739815,2200
2013-09-24,42.110001,42.619999,42.029999,42.380001,32.125805,3100
2013-09-25,41.349998,41.59,41.349998,41.59,31.526947,2600
2013-09-26,41.360001,42.07,41.360001,42.07,31.890812,2100
2013-09-27,41.349998,41.880001,41.130001,41.639999,31.564856,1200
2013-09-30,41.630001,41.82,41.549999,41.549999,31.49663,8600
2013-10-01,41.700001,42.25,41.700001,42.25,32.027248,3500
2013-10-02,41.540001,42.380001,41.540001,42.369999,32.118221,5300
2013-10-03,41.84,42.560001,41.639999,41.77,31.663399,7400
2013-10-04,41.77,42.310001,41.77,42.27,32.042419,1400
2013-10-07,42.439999,42.439999,41.93,42.419998,32.156124,1200
2013-10-08,41.110001,41.540001,41.110001,41.450001,31.420822,2100
2013-10-09,40.790001,41.389999,40.790001,41.0,31.07971,5800
2013-10-10,42.77,42.830002,42.459999,42.82,32.459339,4400
2013-10-11,41.830002,42.799999,41.830002,42.099998,31.913551,700
2013-10-14,41.599998,42.630001,41.599998,42.619999,32.307732,3700
2013-10-15,42.130001,42.5,42.119999,42.5,32.216766,800
2013-10-16,42.41,42.41,41.790001,42.360001,32.110645,800
2013-10-17,42.599998,42.599998,42.169998,42.330002,32.087906,2200
2013-10-18,43.200001,43.279999,43.099998,43.279999,32.808041,4800
2013-10-21,42.889999,43.77,42.889999,43.75,33.164322,3000
2013-10-22,43.349998,44.0,43.349998,44.0,33.353825,1700
2013-10-23,44.110001,44.549999,43.889999,44.549999,33.770752,1800
2013-10-24,43.950001,44.150002,43.73,43.82,33.217384,6300
2013-10-25,44.779999,45.470001,44.779999,45.439999,34.445412,3200
2013-10-28,46.0,46.0,45.610001,46.0,34.869911,1800
2013-10-29,45.419998,46.0,45.419998,45.779999,34.703148,1200
2013-10-30,46.299999,46.869999,45.98,45.990002,34.862335,1500
2013-10-31,47.990002,48.389999,47.990002,48.389999,36.681625,700
2013-11-01,47.639999,47.639999,47.0,47.0,35.627953,1600
2013-11-04,46.130001,46.959999,46.130001,46.150002,34.983624,3200
2013-11-05,46.790001,46.790001,46.09,46.09,34.938129,400
2013-11-06,45.27,45.84,45.200001,45.84,34.748627,3000
2013-11-07,45.049999,47.0,45.049999,45.360001,34.384762,900
2013-11-08,46.77,46.77,46.259998,46.459999,35.218613,1600
2013-11-11,46.009998,46.09,45.16,46.040001,34.900234,7300
2013-11-12,44.950001,44.950001,43.75,44.0,33.353825,10000
2013-11-13,44.830002,45.689999,44.830002,45.689999,34.634911,4300
2013-11-14,46.049999,47.669998,46.049999,46.43,35.195869,2000
2013-11-15,48.75,49.040001,48.75,48.75,36.954521,5200
2013-11-18,49.549999,49.549999,48.080002,49.25,37.333542,600
2013-11-19,47.599998,48.549999,47.599998,47.849998,36.272285,2700
2013-11-20,48.02,48.02,46.689999,46.689999,35.742546,4000
2013-11-21,47.09,47.09,46.009998,46.009998,35.221977,1300
2013-11-22,47.639999,47.639999,45.990002,46.07,35.26791,3200
2013-11-25,45.400002,45.75,45.400002,45.509998,34.839214,2900
2013-11-26,46.139999,46.939999,46.139999,46.869999,35.880341,2800
2013-11-27,45.380001,45.73,45.290001,45.560001,34.877506,17800
2013-11-29,45.330002,46.009998,45.330002,46.009998,35.221977,6400
2013-12-02,46.610001,46.799999,46.009998,46.540001,35.627708,5700
2013-12-03,45.970001,45.970001,45.02,45.299999,34.678463,12000
2013-12-04,44.889999,45.150002,44.5,44.77,34.272728,14200
2013-12-05,43.529999,44.310001,43.450001,43.450001,33.26223,3400
2013-12-06,43.57,44.169998,43.310001,43.689999,33.445957,11100
2013-12-09,43.810001,44.700001,43.810001,44.16,33.805748,9800
2013-12-10,44.049999,44.790001,43.93,44.25,33.874653,9900
2013-12-11,43.049999,43.049999,42.470001,42.470001,32.512016,11500
2013-12-12,44.27,45.200001,44.16,44.450001,34.02776,16500
2013-12-13,43.32,44.060001,43.310001,43.599998,33.377056,9100
2013-12-16,44.009998,44.009998,42.98,43.400002,33.223953,10100
2013-12-17,42.57,42.900002,42.400002,42.509998,32.542629,11100
2013-12-18,42.310001,43.360001,42.09,43.360001,33.193329,6900
2013-12-19,41.59,41.599998,41.099998,41.599998,31.845999,11100
2013-12-20,41.669998,41.950001,41.669998,41.759998,31.968487,8800
2013-12-23,42.07,42.450001,41.959999,42.450001,32.496708,8500
2013-12-24,41.970001,42.389999,41.970001,41.98,32.136898,8000
2013-12-26,42.799999,42.799999,41.939999,42.66,32.657459,5200
2013-12-27,42.02,42.75,42.02,42.25,32.343594,8200
2013-12-30,42.799999,43.02,42.509998,43.02,32.933056,4400
2013-12-31,42.91,43.279999,42.91,43.279999,33.132092,17800
2014-01-02,43.349998,43.529999,43.259998,43.5,33.300514,10900
2014-01-03,43.279999,43.41,42.759998,43.400002,33.223953,6800
2014-01-06,43.540001,44.0,43.540001,43.98,33.667953,11200
2014-01-07,43.470001,43.470001,43.029999,43.279999,33.132092,6900
2014-01-08,42.599998,43.02,42.509998,43.02,32.933056,2400
2014-01-09,42.32,42.349998,41.630001,42.169998,32.282349,8300
2014-01-10,42.040001,42.040001,41.91,42.0,32.15221,7300
2014-01-13,41.290001,42.189999,41.290001,41.580002,31.83069,26500
2014-01-14,41.549999,41.810001,41.549999,41.810001,32.006763,14200
2014-01-15,41.400002,41.5,41.189999,41.5,31.769445,88400
2014-01-16,41.009998,41.400002,41.0,41.099998,31.463238,14200
2014-01-17,41.59,41.68,41.43,41.68,31.907244,13400
2014-01-21,41.419998,41.599998,41.189999,41.189999,31.532129,10900
2014-01-22,41.810001,41.810001,41.5,41.599998,31.845999,10600
2014-01-23,40.580002,41.009998,40.459999,40.5,31.00392,4500
2014-01-24,40.5,40.639999,39.790001,40.049999,30.659433,18700
2014-01-27,40.560001,40.560001,39.580002,40.279999,30.835497,6800
2014-01-28,40.349998,40.490002,39.709999,40.490002,30.996267,6300
2014-01-29,39.580002,40.48,39.580002,40.299999,30.850811,2400
2014-01-30,40.32,41.16,40.32,41.0,31.386688,4700
2014-01-31,40.560001,41.080002,40.560001,40.830002,31.256546,4400
2014-02-03,40.139999,40.139999,39.580002,39.619999,30.330257,2400
2014-02-04,39.66,40.459999,39.66,40.259998,30.820192,4100
2014-02-05,39.57,40.150002,39.57,40.0,30.621157,2800
2014-02-06,40.299999,40.599998,40.290001,40.41,30.93502,2600
