Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,15.35,15.35,15.35,15.35,12.752604,1100
2019-09-24,15.35,15.35,15.35,15.35,12.752604,0
2019-09-25,15.35,15.35,15.35,15.35,12.752604,0
2019-09-26,15.35,15.35,15.35,15.35,12.752604,0
2019-09-27,15.35,15.35,15.35,15.35,12.752604,0
2019-09-30,15.35,15.35,15.35,15.35,12.752604,0
2019-10-01,15.35,15.35,15.35,15.35,12.752604,0
2019-10-02,15.35,15.35,15.35,15.35,12.752604,0
2019-10-03,15.35,15.35,15.35,15.35,12.752604,0
2019-10-04,15.35,15.35,15.35,15.35,12.752604,0
2019-10-07,15.35,15.35,15.35,15.35,12.752604,0
2019-10-08,15.35,15.35,15.35,15.35,12.752604,0
2019-10-09,15.35,15.35,15.35,15.35,12.752604,0
2019-10-10,14.75,14.75,14.75,14.75,12.25413,68100
2019-10-11,14.75,14.75,14.75,14.75,12.25413,0
2019-10-14,15.4,15.4,15.4,15.4,12.794144,400
2019-10-15,15.4,15.4,15.4,15.4,12.794144,0
2019-10-16,15.5,15.5,15.5,15.5,12.877222,100
2019-10-17,15.5,15.5,15.5,15.5,12.877222,0
2019-10-18,15.5,15.5,15.5,15.5,12.877222,0
2019-10-21,14.75,14.75,14.75,14.75,12.25413,100
2019-10-22,14.9,14.9,14.85,14.9,12.378749,7400
2019-10-23,14.7,14.7,14.7,14.7,12.212591,200
2019-10-24,14.7,14.7,14.7,14.7,12.212591,0
2019-10-25,15.8,15.8,15.8,15.8,13.126459,200
2019-10-28,15.8,15.8,15.8,15.8,13.126459,0
2019-10-29,15.8,15.8,15.8,15.8,13.126459,0
2019-10-30,15.8,15.8,15.8,15.8,13.126459,0
2019-10-31,15.8,15.8,15.8,15.8,13.126459,0
2019-11-01,15.8,15.8,15.8,15.8,13.126459,0
2019-11-04,15.8,15.8,15.8,15.8,13.126459,0
2019-11-05,15.8,15.8,15.8,15.8,13.126459,0
2019-11-06,15.4,15.4,15.4,15.4,12.794144,200
2019-11-07,15.4,15.4,15.4,15.4,12.794144,0
2019-11-08,15.4,15.4,15.4,15.4,12.794144,0
2019-11-11,15.4,15.4,15.4,15.4,12.794144,0
2019-11-12,15.55,15.55,15.55,15.55,12.918762,200
2019-11-13,15.55,15.55,15.55,15.55,12.918762,0
2019-11-14,15.55,15.55,15.55,15.55,12.918762,0
2019-11-15,15.55,15.55,15.55,15.55,12.918762,0
2019-11-18,15.55,15.55,15.55,15.55,12.918762,0
2019-11-19,15.55,15.55,15.55,15.55,12.918762,0
2019-11-20,15.3,15.5,15.3,15.5,12.877222,4000
2019-11-21,15.5,15.5,15.5,15.5,12.877222,0
2019-11-22,15.5,15.5,15.5,15.5,12.877222,0
2019-11-25,15.2,15.2,15.2,15.2,12.627985,200
2019-11-26,15.2,15.2,15.2,15.2,12.627985,0
2019-11-27,15.2,15.2,15.2,15.2,12.627985,0
2019-11-29,15.2,15.2,15.2,15.2,12.627985,0
2019-12-02,15.2,15.2,15.2,15.2,12.627985,0
2019-12-03,15.2,15.2,15.2,15.2,12.627985,0
2019-12-04,15.22,15.35,15.22,15.35,12.752604,400
2019-12-05,15.35,15.35,15.35,15.35,12.752604,0
2019-12-06,15.25,15.25,15.25,15.25,12.669525,1100
2019-12-09,15.25,15.25,15.25,15.25,12.669525,0
2019-12-10,15.25,15.25,15.25,15.25,12.669525,0
2019-12-11,15.25,15.25,15.25,15.25,12.669525,0
2019-12-12,15.25,15.25,15.25,15.25,12.669525,0
2019-12-13,15.25,15.25,15.25,15.25,12.669525,0
2019-12-16,15.25,15.25,15.25,15.25,12.669525,0
2019-12-17,15.26,15.26,15.26,15.26,12.677833,1000
2019-12-18,15.26,15.26,15.26,15.26,12.677833,0
2019-12-19,15.26,15.26,15.26,15.26,12.677833,0
2019-12-20,14.7,15.0,14.7,15.0,12.461827,400
2019-12-23,15.0,15.0,15.0,15.0,12.461827,0
2019-12-24,15.55,15.55,15.55,15.55,12.918762,100
2019-12-26,15.467,15.5,15.467,15.5,12.877222,5200
2019-12-27,15.5,15.5,15.5,15.5,12.877222,0
2019-12-30,15.5,15.5,15.5,15.5,12.877222,0
2019-12-31,15.13,15.13,15.13,15.13,12.56983,300
2020-01-02,15.1,15.65,14.9,15.65,13.001841,42200
2020-01-03,15.7,15.7,15.6,15.6,12.960301,6600
2020-01-06,15.655,16.0,15.655,16.0,13.292616,60600
2020-01-07,16.200001,16.200001,16.200001,16.200001,13.458775,25500
2020-01-08,16.200001,16.200001,16.200001,16.200001,13.458775,0
2020-01-09,16.200001,16.200001,16.200001,16.200001,13.458775,0
2020-01-10,17.0,17.0,17.0,17.0,14.123405,1000
2020-01-13,17.4,17.4,17.4,17.4,14.45572,300
2020-01-14,17.4,17.4,17.4,17.4,14.45572,400
2020-01-15,16.5,17.049999,16.5,17.049999,14.164944,300
2020-01-16,16.799999,16.799999,16.799999,16.799999,13.957248,2100
2020-01-17,16.799999,16.799999,16.799999,16.799999,13.957248,0
2020-01-21,16.91,16.91,16.75,16.75,13.915708,600
2020-01-22,16.75,16.75,16.75,16.75,13.915708,0
2020-01-23,17.25,17.25,17.25,17.25,14.331101,200
2020-01-24,17.0,17.0,17.0,17.0,14.123405,500
2020-01-27,16.58,16.58,16.58,16.58,13.774474,200
2020-01-28,16.4,16.799999,16.1,16.4,13.624931,2200
2020-01-29,16.4,16.5,16.049999,16.049999,13.334156,1700
2020-01-30,16.0,16.549999,16.0,16.549999,13.74955,400
2020-01-31,16.4,16.4,16.4,16.4,13.624931,400
2020-02-03,16.4,16.950001,16.4,16.950001,14.081866,200
2020-02-04,16.049999,16.65,16.049999,16.65,13.832628,500
2020-02-05,16.25,16.75,16.25,16.75,13.915708,900
2020-02-06,16.75,16.75,16.75,16.75,13.915708,0
2020-02-07,16.780001,16.780001,16.780001,16.780001,13.940633,1000
2020-02-10,16.780001,16.780001,16.780001,16.780001,13.940633,0
2020-02-11,16.780001,16.780001,16.780001,16.780001,13.940633,0
2020-02-12,15.9,16.48,15.8,16.48,13.691395,700
2020-02-13,16.25,16.25,15.8,15.8,13.126459,1000
2020-02-14,16.299999,16.299999,16.299999,16.299999,13.541852,2800
2020-02-18,16.23,16.23,16.23,16.23,13.483697,700
2020-02-19,16.23,16.23,16.23,16.23,13.483697,0
2020-02-20,16.23,16.23,16.23,16.23,13.483697,0
2020-02-21,15.8,15.8,15.8,15.8,13.126459,4100
2020-02-24,16.049999,16.049999,16.049999,16.049999,13.334156,500
2020-02-25,16.049999,16.049999,16.049999,16.049999,13.334156,0
2020-02-26,15.4,16.0,15.4,16.0,13.292616,600
2020-02-27,16.0,16.0,16.0,16.0,13.292616,0
2020-02-28,14.0,14.45,14.0,14.0,11.631041,1600
2020-03-02,13.85,13.85,13.85,13.85,11.506421,1100
2020-03-03,13.85,13.85,13.85,13.85,11.506421,0
2020-03-04,14.43,14.43,14.43,14.43,11.988278,400
2020-03-05,14.342,14.5,13.95,13.95,11.589499,1200
2020-03-06,13.95,13.95,13.95,13.95,11.589499,500
2020-03-09,13.95,13.95,13.95,13.95,11.589499,0
2020-03-10,13.1,13.1,12.65,12.65,10.509475,1400
2020-03-11,13.0,13.0,13.0,13.0,10.800251,500
2020-03-12,13.0,13.0,13.0,13.0,10.800251,0
2020-03-13,11.0,11.5,11.0,11.5,9.554069,1300
2020-03-16,10.35,10.5,9.8,9.8,8.141728,3800
2020-03-17,10.0,10.0,9.95,9.95,8.266345,600
2020-03-18,9.4,9.45,8.8,9.45,7.850951,800
2020-03-19,8.6,8.6,8.6,8.6,7.144782,700
2020-03-20,10.3,10.3,10.3,10.3,8.557122,5200
2020-03-23,9.0,9.2,9.0,9.0,7.477097,2200
2020-03-24,8.45,8.6,8.45,8.6,7.144782,400
2020-03-25,8.8,8.8,8.8,8.8,7.310939,300
2020-03-26,10.25,11.25,10.25,11.25,9.346371,1400
2020-03-27,10.99,10.99,10.99,10.99,9.130365,2000
2020-03-30,10.35,10.35,10.35,10.35,8.598662,400
2020-03-31,9.4,9.4,9.4,9.4,7.809412,1900
2020-04-01,9.4,9.4,9.4,9.4,7.809412,0
2020-04-02,9.4,9.4,9.4,9.4,7.809412,0
2020-04-03,11.25,11.5,11.25,11.5,9.554069,900
2020-04-06,12.65,12.65,11.5,11.5,9.554069,1200
2020-04-07,11.7,11.7,11.7,11.7,9.720226,1100
2020-04-08,11.7,11.7,11.7,11.7,9.720226,0
2020-04-09,12.0,12.0,12.0,12.0,9.969462,200
2020-04-13,11.9,11.9,11.9,11.9,9.886383,200
2020-04-14,12.1,12.1,12.1,12.1,10.052542,500
2020-04-15,12.1,12.1,12.1,12.1,10.052542,0
2020-04-16,11.02,11.05,11.02,11.05,9.180213,1200
2020-04-17,11.5,12.0,11.5,12.0,9.969462,600
2020-04-20,12.0,12.0,12.0,12.0,9.969462,0
2020-04-21,12.0,12.0,12.0,12.0,9.969462,0
2020-04-22,11.0,11.0,11.0,11.0,9.138674,300
2020-04-23,11.85,11.85,11.55,11.55,9.595607,300
2020-04-24,10.5,10.5,10.5,10.5,8.723279,200
2020-04-27,14.0,14.0,14.0,14.0,11.631041,200
2020-04-28,12.0,12.0,12.0,12.0,9.969462,7400
2020-04-29,11.35,11.35,11.35,11.35,9.42945,800
2020-04-30,12.23,12.23,12.23,12.23,10.160542,200
2020-05-01,12.15,12.15,12.15,12.15,10.09408,600
2020-05-04,12.0,12.0,12.0,12.0,9.969462,600
2020-05-05,11.6,11.6,11.55,11.55,9.595607,5700
2020-05-06,11.3,11.3,11.3,11.3,9.38791,800
2020-05-07,11.5,11.5,11.5,11.5,9.554069,1600
2020-05-08,11.6,11.6,11.6,11.6,9.637148,100
2020-05-11,11.6,11.6,11.6,11.6,9.637148,0
2020-05-12,11.6,11.6,11.6,11.6,9.637148,0
2020-05-13,12.1,12.15,2.75,12.0,9.969462,2000
2020-05-14,12.0,12.56,12.0,12.56,10.434704,4600
2020-05-15,13.0,13.0,12.6,12.6,10.467937,600
2020-05-18,13.05,13.95,13.05,13.95,11.589499,700
2020-05-19,13.15,13.15,13.15,13.15,10.92487,700
2020-05-20,13.3,13.3,12.7,12.75,10.592554,1500
2020-05-21,12.75,12.75,12.75,12.75,10.592554,0
2020-05-22,12.5,12.5,12.5,12.5,10.384857,400
2020-05-26,12.6,12.6,12.51,12.51,10.393165,600
2020-05-27,12.5,13.1,12.5,13.1,10.88333,400
2020-05-28,13.0,13.0,12.75,12.75,10.592554,600
2020-05-29,12.75,12.75,12.75,12.75,10.592554,0
2020-06-01,13.75,13.75,13.7,13.7,11.381802,700
2020-06-02,13.7,13.7,13.7,13.7,11.381802,0
2020-06-03,13.79,13.79,13.79,13.79,11.456573,300
2020-06-04,13.79,13.79,13.79,13.79,11.456573,0
2020-06-05,14.4,14.4,14.4,14.4,11.963355,200
2020-06-08,13.65,13.65,13.65,13.65,11.340263,1200
2020-06-09,13.65,13.65,13.65,13.65,11.340263,0
2020-06-10,13.0,13.25,13.0,13.25,11.007949,400
2020-06-11,13.25,13.25,13.25,13.25,11.007949,0
2020-06-12,13.25,13.25,13.25,13.25,11.007949,0
2020-06-15,13.45,13.45,13.45,13.45,11.174106,1500
2020-06-16,14.05,14.05,14.05,14.05,11.672579,400
2020-06-17,14.05,14.05,14.05,14.05,11.672579,0
2020-06-18,14.05,14.05,14.05,14.05,11.672579,0
2020-06-19,13.5,13.5,13.5,13.5,11.215645,700
2020-06-22,13.25,13.25,13.25,13.25,11.007949,300
2020-06-23,13.7,13.7,13.7,13.7,11.381802,9300
2020-06-24,13.7,13.7,13.7,13.7,11.381802,0
2020-06-25,13.7,13.7,13.7,13.7,11.381802,0
2020-06-26,12.85,12.85,12.85,12.85,10.675633,2600
2020-06-29,12.85,12.85,12.85,12.85,10.675633,0
2020-06-30,12.85,12.85,12.85,12.85,10.675633,0
2020-07-01,12.85,12.85,12.85,12.85,10.675633,0
2020-07-02,12.75,12.75,12.75,12.75,10.592554,500
2020-07-06,13.25,13.25,13.25,13.25,11.007949,300
2020-07-07,12.75,12.75,12.6,12.6,10.467937,600
2020-07-08,13.25,13.25,13.25,13.25,11.007949,7400
2020-07-09,13.35,13.5,13.0,13.0,10.800251,9900
2020-07-10,12.56,12.56,12.56,12.56,10.434704,300
2020-07-13,13.55,13.55,13.55,13.55,11.257185,4000
2020-07-14,12.75,13.0,12.75,13.0,10.800251,600
2020-07-15,13.36,13.36,12.7,12.7,10.551014,1500
2020-07-16,13.75,13.75,13.35,13.7,11.381802,2400
2020-07-17,13.2,13.2,13.2,13.2,10.966408,400
2020-07-20,13.0,13.0,13.0,13.0,10.800251,1700
2020-07-21,13.0,13.0,13.0,13.0,10.800251,0
2020-07-22,13.25,13.25,13.25,13.25,11.007949,300
2020-07-23,13.25,13.25,13.25,13.25,11.007949,0
2020-07-24,12.85,12.85,12.85,12.85,10.675633,200
2020-07-27,13.15,13.15,13.15,13.15,10.92487,200
2020-07-28,13.15,13.15,13.15,13.15,10.92487,0
2020-07-29,13.15,13.15,13.15,13.15,10.92487,0
2020-07-30,13.15,13.15,13.15,13.15,10.92487,0
2020-07-31,13.15,13.15,13.15,13.15,10.92487,0
2020-08-03,13.15,13.15,13.15,13.15,10.92487,0
2020-08-04,13.15,13.15,13.15,13.15,10.92487,0
2020-08-05,13.15,13.15,13.15,13.15,10.92487,0
2020-08-06,14.0,14.4,14.0,14.4,11.963355,1700
