Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,51.139999,51.290001,50.799999,51.150002,36.689812,2230500
2013-07-17,51.310001,51.41,51.029999,51.139999,36.682629,2115400
2013-07-18,51.150002,51.490002,51.150002,51.259998,36.768703,2000100
2013-07-19,51.459999,51.799999,51.299999,51.68,37.069973,2337600
2013-07-22,51.73,51.830002,51.43,51.529999,36.962372,1791000
2013-07-23,51.540001,51.669998,51.25,51.459999,36.91217,2441600
2013-07-24,51.580002,51.59,50.740002,51.060001,36.625256,3102100
2013-07-25,51.040001,51.5,50.810001,51.43,36.890652,1755900
2013-07-26,51.310001,51.529999,50.889999,51.509998,36.94804,2033900
2013-07-29,51.52,51.98,51.400002,51.830002,37.177578,2163300
2013-07-30,51.849998,52.380001,51.810001,51.889999,37.220608,2771500
2013-07-31,52.130001,52.279999,51.830002,52.0,37.299519,3307200
2013-08-01,53.029999,53.07,52.450001,52.73,37.823135,4468900
2013-08-02,52.66,52.66,51.959999,52.349998,37.550556,3806100
2013-08-05,52.34,52.689999,52.0,52.57,37.708374,2290700
2013-08-06,52.560001,52.779999,52.349998,52.610001,37.737064,2074600
2013-08-07,52.549999,52.66,52.169998,52.439999,37.615116,1976100
2013-08-08,52.689999,52.849998,52.400002,52.669998,37.780102,1772900
2013-08-09,52.669998,52.700001,52.279999,52.419998,37.600777,1777000
2013-08-12,52.310001,52.610001,52.119999,52.490002,37.650993,1879100
2013-08-13,52.5,52.77,52.369999,52.419998,37.600777,2216600
2013-08-14,52.369999,52.5,52.02,52.049999,37.335373,2870100
2013-08-15,51.459999,51.560001,50.130001,50.549999,36.25943,5434800
2013-08-16,50.02,50.099998,49.130001,49.380001,35.420189,5824000
2013-08-19,49.279999,49.66,49.279999,49.5,35.506256,2878000
2013-08-20,49.540001,49.740002,49.400002,49.400002,35.434536,3211300
2013-08-21,49.439999,49.580002,49.02,49.07,35.197834,3340600
2013-08-22,49.110001,49.540001,48.869999,49.299999,35.362793,2349000
2013-08-23,49.450001,49.93,49.349998,49.82,35.735802,2293100
2013-08-26,49.860001,49.950001,49.380001,49.380001,35.420189,3278000
2013-08-27,49.09,49.490002,49.0,49.139999,35.248039,3593000
2013-08-28,49.02,49.189999,48.73,48.740002,34.961124,2936700
2013-08-29,48.689999,49.439999,48.25,49.209999,35.298252,3515400
2013-08-30,49.240002,49.369999,48.950001,49.32,35.377151,3064300
2013-09-03,49.669998,49.799999,48.810001,49.189999,35.283897,3163800
2013-09-04,49.080002,49.290001,48.849998,49.099998,35.219345,3007600
2013-09-05,49.139999,49.139999,48.68,49.099998,35.219345,3636300
2013-09-06,49.25,49.5,48.849998,49.189999,35.283897,2652600
2013-09-09,49.150002,49.43,48.990002,49.060001,35.190655,3423700
2013-09-10,49.32,49.48,48.599998,48.709999,34.939598,5745700
2013-09-11,48.650002,48.959999,48.439999,48.799999,35.004147,6864400
2013-09-12,48.82,48.939999,48.599998,48.880001,35.061535,9576800
2013-09-13,49.0,49.25,48.91,49.25,35.326935,2717700
2013-09-16,49.740002,50.07,49.66,49.73,35.671253,3230800
2013-09-17,49.700001,50.07,49.700001,49.779999,35.707108,2772400
2013-09-18,50.0,50.360001,49.099998,50.150002,35.972519,5001500
2013-09-19,49.77,49.77,48.419998,48.830002,35.025684,5492400
2013-09-20,48.82,48.830002,48.450001,48.66,34.903732,5411900
2013-09-23,48.68,48.73,48.330002,48.639999,34.889397,2881600
2013-09-24,48.830002,49.099998,48.5,48.849998,35.04002,3374800
2013-09-25,48.75,48.869999,48.380001,48.380001,34.702892,3272200
2013-09-26,48.48,48.639999,48.299999,48.52,34.803329,1728900
2013-09-27,48.299999,48.400002,47.990002,48.080002,34.487698,2842600
2013-09-30,47.77,47.93,47.5,47.919998,34.37294,3262800
2013-10-01,47.73,48.0,47.549999,47.98,34.41597,3161000
2013-10-02,47.91,48.009998,47.400002,48.009998,34.437489,3764900
2013-10-03,47.950001,47.990002,47.360001,47.630001,34.164909,3210800
2013-10-04,47.630001,48.0,47.52,47.950001,34.394455,2423800
2013-10-07,47.91,48.240002,47.66,47.990002,34.423149,3374200
2013-10-08,47.849998,47.849998,47.360001,47.41,34.27853,4241400
2013-10-09,47.540001,47.970001,47.310001,47.68,34.473755,3358900
2013-10-10,47.990002,48.450001,47.959999,48.450001,35.030483,3408600
2013-10-11,48.400002,48.48,48.16,48.349998,34.958195,1960000
2013-10-14,48.200001,48.459999,47.889999,48.34,34.950951,2036600
2013-10-15,48.25,48.400002,47.860001,47.91,34.640049,1936900
2013-10-16,48.209999,48.799999,48.169998,48.77,35.261856,2941400
2013-10-17,48.639999,49.07,48.630001,48.970001,35.406471,2789500
2013-10-18,49.16,49.310001,49.040001,49.189999,35.565525,2339800
2013-10-21,48.799999,49.040001,48.459999,48.970001,35.406471,3986100
2013-10-22,49.049999,49.82,49.009998,49.650002,35.898125,2451100
2013-10-23,49.450001,50.23,49.450001,50.02,36.165615,2751200
2013-10-24,49.970001,50.110001,49.709999,49.91,36.086098,1649400
2013-10-25,49.900002,50.07,49.709999,50.060001,36.19455,1360800
2013-10-28,50.009998,50.98,50.009998,50.700001,36.657284,3460300
2013-10-29,50.77,51.119999,50.720001,51.060001,36.917583,1886500
2013-10-30,51.110001,51.110001,50.490002,50.639999,36.613903,2060900
2013-10-31,50.650002,50.799999,50.360001,50.419998,36.454842,2620900
2013-11-01,50.549999,50.75,50.110001,50.32,36.382538,3600600
2013-11-04,50.5,50.75,50.240002,50.459999,36.483753,1976200
2013-11-05,50.240002,50.77,50.09,50.700001,36.657284,2347400
2013-11-06,50.970001,51.25,50.669998,51.150002,36.982643,1727200
2013-11-07,51.049999,51.240002,50.299999,50.400002,36.440384,2694000
2013-11-08,50.200001,50.540001,49.650002,50.540001,36.541611,2618000
2013-11-11,50.599998,50.82,50.279999,50.450001,36.476532,1642500
2013-11-12,50.439999,50.48,50.099998,50.459999,36.483753,1974200
2013-11-13,50.27,50.889999,50.09,50.880001,36.787437,2484600
2013-11-14,50.970001,51.57,50.880001,51.529999,37.257389,2125100
2013-11-15,51.52,51.66,50.900002,51.310001,37.098324,2338000
2013-11-18,51.25,51.32,50.52,50.950001,36.838039,3182100
2013-11-19,50.540001,50.580002,49.950001,50.380001,36.425922,4195400
2013-11-20,50.459999,50.459999,49.200001,49.240002,35.601677,5515700
2013-11-21,49.34,49.689999,49.23,49.419998,35.731808,2737700
2013-11-22,49.450001,50.220001,49.310001,50.119999,36.237934,3025500
2013-11-25,50.259998,50.41,49.82,49.880001,36.064407,2222500
2013-11-26,50.060001,50.68,50.040001,50.48,36.49823,4162900
2013-11-27,50.490002,50.610001,50.380001,50.529999,36.53437,1663000
2013-11-29,50.509998,50.919998,50.349998,50.43,36.46207,1216100
2013-12-02,50.220001,50.43,49.939999,50.259998,36.339161,1996400
2013-12-03,50.200001,50.599998,50.0,50.599998,36.58498,2226600
2013-12-04,50.310001,50.939999,50.189999,50.709999,36.664516,2143100
2013-12-05,50.490002,50.669998,50.18,50.259998,36.339161,2578400
2013-12-06,50.630001,51.509998,50.59,51.5,37.235714,3245200
2013-12-09,51.549999,51.959999,51.25,51.439999,37.192341,2958200
2013-12-10,51.27,51.299999,50.450001,50.73,36.67897,2762200
2013-12-11,50.790001,50.93,50.349998,50.59,36.577759,3494100
2013-12-12,50.450001,50.459999,49.5,49.57,35.840271,4073200
2013-12-13,49.59,49.91,49.369999,49.639999,35.890884,2781900
2013-12-16,49.779999,50.119999,49.599998,49.91,36.086098,3360200
2013-12-17,49.849998,50.130001,49.349998,49.580002,35.847511,3729000
2013-12-18,48.849998,49.75,48.240002,49.73,35.955956,7334500
2013-12-19,50.279999,50.279999,48.529999,49.360001,35.688438,5780700
2013-12-20,49.32,49.560001,49.07,49.299999,35.645054,5604800
2013-12-23,49.299999,49.450001,48.68,49.16,35.543827,3259100
2013-12-24,49.23,49.5,49.16,49.279999,35.630581,1114600
2013-12-26,49.450001,49.740002,49.330002,49.700001,35.934269,2162900
2013-12-27,49.810001,50.110001,49.630001,49.84,36.035484,1805500
2013-12-30,49.900002,50.0,49.689999,49.959999,36.122242,2052100
2013-12-31,49.93,50.009998,49.630001,49.91,36.086098,1928800
2014-01-02,49.599998,49.68,49.27,49.400002,35.717354,2205500
2014-01-03,49.41,49.560001,49.099998,49.259998,35.616127,2309700
2014-01-06,49.380001,49.599998,49.080002,49.34,35.673969,3260200
2014-01-07,49.639999,49.939999,49.259998,49.849998,36.042717,4606800
2014-01-08,49.34,49.419998,48.400002,48.57,35.387005,5747800
2014-01-09,48.639999,49.07,48.599998,49.0,35.700291,4565600
2014-01-10,49.169998,49.310001,49.040001,49.290001,35.911575,2797700
2014-01-13,49.130001,49.470001,48.73,48.810001,35.561855,2674600
2014-01-14,48.27,49.02,48.25,48.799999,35.554573,4311800
2014-01-15,48.93,48.950001,48.349998,48.400002,35.263138,3929400
2014-01-16,48.299999,48.73,48.259998,48.52,35.350574,3255100
2014-01-17,48.439999,48.599998,48.220001,48.279999,35.175701,3790700
2014-01-21,48.549999,48.799999,48.290001,48.540001,35.365139,3473800
2014-01-22,48.540001,48.98,48.5,48.77,35.532722,2986500
2014-01-23,48.5,48.830002,48.209999,48.709999,35.489006,3504100
2014-01-24,48.450001,49.110001,48.279999,48.279999,35.175701,4033200
2014-01-27,48.34,48.790001,48.279999,48.529999,35.357853,3413400
2014-01-28,48.529999,49.130001,48.5,48.959999,35.671146,3129000
2014-01-29,48.669998,48.709999,47.849998,47.939999,34.92799,5125700
2014-01-30,48.07,48.66,47.939999,48.57,35.387005,3290600
2014-01-31,48.02,48.369999,47.720001,48.02,34.98629,3734200
2014-02-03,48.07,48.07,46.830002,46.860001,34.141129,4716800
2014-02-04,46.990002,47.290001,46.900002,47.09,34.308708,2649200
2014-02-05,46.889999,47.459999,46.700001,47.360001,34.505428,3004400
2014-02-06,47.490002,47.75,47.310001,47.66,34.723984,3025100
2014-02-07,47.740002,48.130001,47.669998,48.049999,35.008141,2376800
2014-02-10,47.959999,48.349998,47.84,48.310001,35.197567,1863000
2014-02-11,48.130001,49.0,47.900002,48.93,35.6493,3307000
2014-02-12,48.799999,49.110001,48.470001,48.529999,35.357853,2918400
2014-02-13,48.27,49.27,48.259998,49.189999,35.838718,2607400
2014-02-14,49.139999,49.950001,49.080002,49.889999,36.348721,3774600
2014-02-18,49.939999,49.939999,49.360001,49.68,36.195713,2825900
2014-02-19,49.470001,49.650002,49.18,49.27,35.897003,2131600
2014-02-20,49.27,49.939999,49.209999,49.779999,36.268585,2436000
2014-02-21,49.889999,50.09,49.490002,49.509998,36.071869,2937200
2014-02-24,49.73,50.060001,49.619999,49.849998,36.319576,2828300
2014-02-25,49.93,50.27,49.810001,50.049999,36.465302,2760400
2014-02-26,50.09,50.290001,49.57,49.66,36.181152,2141600
2014-02-27,49.48,49.830002,49.450001,49.779999,36.268585,2172300
2014-02-28,49.82,50.32,49.790001,50.029999,36.450714,3337200
2014-03-03,49.52,50.009998,49.52,49.860001,36.326874,3464600
2014-03-04,50.220001,50.759998,50.119999,50.740002,36.968002,3823600
2014-03-05,50.619999,50.91,50.459999,50.639999,36.895149,2317300
2014-03-06,50.580002,50.84,50.560001,50.669998,36.917011,1962100
2014-03-07,50.73,50.84,50.43,50.799999,37.011719,1808600
2014-03-10,50.549999,50.57,50.279999,50.450001,36.756721,2581800
2014-03-11,50.560001,50.84,50.400002,50.740002,36.968002,2281100
2014-03-12,50.610001,51.400002,50.549999,51.349998,37.412441,2964600
2014-03-13,51.389999,51.669998,50.799999,51.009998,37.164726,3737200
2014-03-14,49.439999,50.32,49.439999,49.77,36.261292,5782700
2014-03-17,50.040001,50.529999,49.970001,50.43,36.742149,3428800
2014-03-18,50.709999,50.990002,50.349998,50.709999,36.946148,3077500
2014-03-19,50.650002,51.400002,50.610001,50.740002,36.968002,3425700
2014-03-20,50.880001,51.290001,50.720001,51.049999,37.193871,3369600
2014-03-21,51.439999,51.700001,51.029999,51.029999,37.179295,6460100
2014-03-24,51.220001,51.439999,50.720001,50.720001,36.953442,3534500
2014-03-25,51.029999,51.25,50.799999,51.080002,37.215729,3425200
2014-03-26,51.049999,51.209999,50.84,51.099998,37.230301,4643700
2014-03-27,51.07,51.360001,50.959999,51.080002,37.215729,4844200
2014-03-28,51.369999,51.52,51.130001,51.299999,37.376003,1943100
2014-03-31,51.529999,52.0,51.490002,51.82,37.754868,2995600
2014-04-01,51.650002,51.889999,51.380001,51.779999,37.725739,2782200
2014-04-02,51.849998,51.860001,51.43,51.619999,37.609154,2339700
2014-04-03,51.919998,52.330002,51.540001,52.23,38.053593,3611400
2014-04-04,51.919998,52.02,51.209999,51.25,37.339588,4452200
2014-04-07,51.450001,52.299999,51.34,51.849998,37.776726,5409100
