Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,9.9,9.9,9.9,9.9,9.9,1300
2020-09-22,9.9,9.9,9.9,9.9,9.9,0
2020-09-23,9.9,9.9,9.9,9.9,9.9,1200
2020-09-24,9.91,9.91,9.91,9.91,9.91,1200
2020-09-25,9.91,9.91,9.91,9.91,9.91,0
2020-09-28,9.91,9.91,9.91,9.91,9.91,0
2020-09-29,9.91,9.91,9.91,9.91,9.91,0
2020-09-30,9.91,9.91,9.91,9.91,9.91,0
2020-10-01,9.958,9.958,9.958,9.958,9.958,500
2020-10-02,9.91,9.91,9.91,9.91,9.91,2000
2020-10-05,9.91,9.91,9.91,9.91,9.91,0
2020-10-06,9.91,9.91,9.91,9.91,9.91,100
2020-10-07,9.89,9.89,9.89,9.89,9.89,200
2020-10-08,9.89,9.89,9.89,9.89,9.89,0
2020-10-09,9.95,9.95,9.95,9.95,9.95,300
2020-10-12,10.05,10.05,10.05,10.05,10.05,100
2020-10-13,10.05,10.05,10.05,10.05,10.05,0
2020-10-14,10.05,10.05,10.05,10.05,10.05,0
2020-10-15,10.05,10.05,10.05,10.05,10.05,0
2020-10-16,10.05,10.05,10.05,10.05,10.05,0
2020-10-19,9.96,9.96,9.833,9.928,9.928,2800
2020-10-20,9.924,9.924,9.919,9.919,9.919,500
2020-10-21,9.919,9.919,9.919,9.919,9.919,0
2020-10-22,9.919,9.919,9.919,9.919,9.919,0
2020-10-23,9.863,9.978,9.863,9.978,9.978,700
2020-10-26,9.978,9.978,9.978,9.978,9.978,0
2020-10-27,9.89,9.89,9.89,9.89,9.89,100
2020-10-28,9.99,9.99,9.925,9.952,9.952,1500
2020-10-29,9.952,9.952,9.952,9.952,9.952,0
2020-10-30,9.952,9.952,9.952,9.952,9.952,0
2020-11-02,9.952,9.952,9.952,9.952,9.952,0
2020-11-03,9.94,9.94,9.94,9.94,9.94,300
2020-11-04,9.854,9.854,9.854,9.854,9.854,500
2020-11-05,9.854,9.854,9.854,9.854,9.854,0
2020-11-06,10.002,10.002,9.99,9.99,9.99,700
2020-11-09,10.159,10.159,9.98,10.002,10.002,2000
2020-11-10,10.03,10.03,10.03,10.03,10.03,100
2020-11-11,9.864,9.95,9.864,9.95,9.95,3000
2020-11-12,10.0,10.01,10.0,10.01,10.01,600
2020-11-13,9.95,9.95,9.95,9.95,9.95,1100
