Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,5.5,6.0,5.0,5.0,5.0,361
2013-07-17,5.0,6.5,3.5,6.5,6.5,2841
2013-07-18,6.0,6.0,5.0,5.0,5.0,596
2013-07-19,5.0,6.0,5.0,5.0,5.0,398
2013-07-22,6.0,6.0,5.5,5.5,5.5,210
2013-07-23,5.5,5.5,5.5,5.5,5.5,75
2013-07-24,5.5,5.5,5.5,5.5,5.5,294
2013-07-25,5.5,5.5,4.5,5.0,5.0,1060
2013-07-26,4.5,4.5,4.5,4.5,4.5,14
2013-07-29,5.0,5.0,5.0,5.0,5.0,180
2013-07-30,5.5,5.5,5.5,5.5,5.5,112
2013-07-31,5.5,5.5,5.5,5.5,5.5,20
2013-08-01,5.0,5.0,5.0,5.0,5.0,54
2013-08-02,5.0,5.5,5.0,5.0,5.0,907
2013-08-05,5.0,5.5,5.0,5.0,5.0,183
2013-08-06,5.0,5.5,5.0,5.5,5.5,754
2013-08-07,5.5,5.5,5.5,5.5,5.5,0
2013-08-08,5.0,5.0,4.0,4.5,4.5,319
2013-08-09,4.5,4.5,4.5,4.5,4.5,0
2013-08-12,4.5,4.5,4.5,4.5,4.5,72
2013-08-13,3.5,5.0,3.5,4.5,4.5,963
2013-08-14,5.0,5.5,5.0,5.5,5.5,1664
2013-08-15,5.5,5.5,5.5,5.5,5.5,0
2013-08-16,5.0,5.5,5.0,5.5,5.5,240
2013-08-19,5.5,5.5,5.0,5.0,5.0,640
2013-08-20,5.5,5.5,5.0,5.0,5.0,650
2013-08-21,5.0,5.0,5.0,5.0,5.0,30
2013-08-22,5.5,7.5,4.0,4.0,4.0,4558
2013-08-23,5.0,5.5,4.5,5.5,5.5,2372
2013-08-26,5.0,5.0,4.0,5.0,5.0,782
2013-08-27,5.0,5.0,2.5,3.0,3.0,5670
2013-08-28,3.5,4.0,3.0,3.5,3.5,2144
2013-08-29,3.5,3.5,3.0,3.0,3.0,3275
2013-08-30,3.5,5.0,3.0,5.0,5.0,1107
2013-09-03,5.5,6.0,5.5,5.5,5.5,1532
2013-09-04,5.0,5.0,4.0,5.0,5.0,203
2013-09-05,5.0,5.5,4.5,4.5,4.5,2692
2013-09-06,4.5,5.0,4.5,5.0,5.0,709
2013-09-09,4.5,5.0,4.0,4.5,4.5,810
2013-09-10,5.5,6.5,3.0,4.0,4.0,33688
2013-09-11,4.0,4.0,3.0,3.5,3.5,3267
2013-09-12,3.0,4.5,2.0,3.0,3.0,10395
2013-09-13,3.0,3.0,2.5,2.5,2.5,5566
2013-09-16,3.5,3.5,2.0,2.0,2.0,6611
2013-09-17,2.0,2.0,2.0,2.0,2.0,4820
2013-09-18,2.0,2.5,2.0,2.0,2.0,3575
2013-09-19,2.0,2.0,2.0,2.0,2.0,1597
2013-09-20,2.0,2.0,2.0,2.0,2.0,300
2013-09-23,2.0,2.0,2.0,2.0,2.0,259
2013-09-24,2.0,2.5,2.0,2.5,2.5,1039
2013-09-25,2.0,2.0,2.0,2.0,2.0,366
2013-09-26,2.0,2.0,2.0,2.0,2.0,798
2013-09-27,2.0,2.0,2.0,2.0,2.0,754
2013-09-30,2.0,2.0,1.5,1.5,1.5,923
2013-10-01,1.5,1.5,1.5,1.5,1.5,1244
2013-10-02,1.5,2.0,1.5,2.0,2.0,2023
2013-10-03,2.0,2.0,2.0,2.0,2.0,3245
2013-10-04,2.0,2.5,2.0,2.0,2.0,906
2013-10-07,2.0,2.0,2.0,2.0,2.0,680
2013-10-08,2.0,2.0,2.0,2.0,2.0,98
2013-10-09,2.0,2.0,2.0,2.0,2.0,520
2013-10-10,2.0,2.0,2.0,2.0,2.0,160
2013-10-11,2.0,2.0,2.0,2.0,2.0,0
2013-10-14,2.0,2.0,2.0,2.0,2.0,0
2013-10-15,1.5,2.0,1.5,2.0,2.0,4196
2013-10-16,2.0,2.0,2.0,2.0,2.0,50
2013-10-17,2.0,2.0,1.5,2.0,2.0,103
2013-10-18,1.5,2.0,1.5,2.0,2.0,103
2013-10-21,2.0,2.0,1.5,2.0,2.0,2356
2013-10-22,1.5,1.5,1.0,1.5,1.5,5360
2013-10-23,1.5,1.5,1.5,1.5,1.5,379
2013-10-24,1.5,1.5,1.0,1.5,1.5,4697
2013-10-25,1.5,1.5,1.5,1.5,1.5,0
2013-10-28,1.5,1.5,1.5,1.5,1.5,2018
2013-10-29,1.5,1.5,1.5,1.5,1.5,30
2013-10-30,1.5,2.0,1.5,2.0,2.0,1110
2013-10-31,2.0,2.0,2.0,2.0,2.0,0
2013-11-01,1.5,1.5,1.5,1.5,1.5,240
2013-11-04,1.5,1.5,1.5,1.5,1.5,19
2013-11-05,1.5,1.5,1.5,1.5,1.5,300
2013-11-06,1.5,1.5,1.5,1.5,1.5,508
2013-11-07,1.5,1.5,1.5,1.5,1.5,0
2013-11-08,1.5,1.5,1.5,1.5,1.5,200
2013-11-11,1.5,1.5,1.5,1.5,1.5,200
2013-11-12,1.5,1.5,1.0,1.5,1.5,1797
2013-11-13,1.0,1.0,1.0,1.0,1.0,55
2013-11-14,1.0,1.0,1.0,1.0,1.0,556
2013-11-15,1.0,1.0,1.0,1.0,1.0,0
2013-11-18,1.0,1.0,1.0,1.0,1.0,0
2013-11-19,1.0,1.0,1.0,1.0,1.0,0
2013-11-20,1.0,1.5,1.0,1.5,1.5,308
2013-11-21,1.5,1.5,1.5,1.5,1.5,0
2013-11-22,1.5,1.5,1.5,1.5,1.5,0
2013-11-25,1.0,1.5,1.0,1.5,1.5,1640
2013-11-26,1.5,1.5,1.0,1.0,1.0,844
2013-11-27,1.0,1.0,1.0,1.0,1.0,1996
2013-11-29,1.0,1.0,1.0,1.0,1.0,910
2013-12-02,1.0,1.0,1.0,1.0,1.0,590
2013-12-03,1.0,1.0,1.0,1.0,1.0,2066
2013-12-04,1.0,1.0,1.0,1.0,1.0,0
2013-12-05,1.5,1.5,1.5,1.5,1.5,338
2013-12-06,1.5,2.0,1.5,2.0,2.0,7331
2013-12-09,1.5,1.5,1.5,1.5,1.5,400
2013-12-10,1.5,1.5,1.5,1.5,1.5,0
2013-12-11,1.5,1.5,1.5,1.5,1.5,320
2013-12-12,1.5,1.5,1.5,1.5,1.5,0
2013-12-13,1.5,1.5,1.5,1.5,1.5,201
2013-12-16,1.5,1.5,1.5,1.5,1.5,14
2013-12-17,1.5,1.5,1.0,1.0,1.0,3270
2013-12-18,1.0,1.0,1.0,1.0,1.0,2500
2013-12-19,1.0,1.0,1.0,1.0,1.0,7740
2013-12-20,1.0,1.0,1.0,1.0,1.0,2343
2013-12-23,1.0,1.0,1.0,1.0,1.0,4358
2013-12-24,1.0,1.0,1.0,1.0,1.0,7249
2013-12-26,1.0,1.0,1.0,1.0,1.0,6852
2013-12-27,1.0,1.0,1.0,1.0,1.0,12
2013-12-30,1.0,1.0,1.0,1.0,1.0,3600
2013-12-31,1.0,1.0,1.0,1.0,1.0,54
2014-01-02,1.0,1.0,1.0,1.0,1.0,432
2014-01-03,1.0,1.5,1.0,1.5,1.5,1503
2014-01-06,1.5,1.5,1.0,1.0,1.0,967
2014-01-07,1.0,1.5,1.0,1.5,1.5,320
2014-01-08,1.0,1.5,1.0,1.5,1.5,5127
2014-01-09,1.5,2.0,1.5,1.5,1.5,4079
2014-01-10,1.5,1.5,1.5,1.5,1.5,3256
2014-01-13,1.5,2.0,1.5,2.0,2.0,13083
2014-01-14,2.0,2.0,2.0,2.0,2.0,918
2014-01-15,2.0,2.0,2.0,2.0,2.0,8146
2014-01-16,2.0,2.0,2.0,2.0,2.0,1950
2014-01-17,2.0,2.0,1.5,1.5,1.5,254
2014-01-21,1.5,1.5,1.5,1.5,1.5,2840
2014-01-22,1.5,1.5,1.0,1.0,1.0,2046
2014-01-23,1.0,1.0,1.0,1.0,1.0,3034
2014-01-24,1.0,1.5,1.0,1.0,1.0,5253
2014-01-27,1.0,2.0,1.0,1.5,1.5,4093
2014-01-28,2.0,2.0,1.0,2.0,2.0,7698
2014-01-29,2.0,2.0,1.5,1.5,1.5,740
2014-01-30,1.5,1.5,1.5,1.5,1.5,2481
2014-01-31,1.5,1.5,1.5,1.5,1.5,340
2014-02-03,1.5,2.0,1.5,2.0,2.0,5621
2014-02-04,2.0,2.0,1.0,1.5,1.5,12725
2014-02-05,1.5,1.5,1.0,1.5,1.5,6156
2014-02-06,1.5,1.5,1.0,1.5,1.5,7111
2014-02-07,1.5,1.5,1.0,1.5,1.5,17278
2014-02-10,1.5,1.5,1.5,1.5,1.5,7304
2014-02-11,1.5,1.5,1.0,1.0,1.0,5953
2014-02-12,1.5,1.5,1.0,1.5,1.5,2753
2014-02-13,1.0,1.5,1.0,1.5,1.5,414
2014-02-14,1.5,1.5,1.5,1.5,1.5,1158
2014-02-18,1.0,1.5,1.0,1.5,1.5,1070
2014-02-19,1.5,1.5,1.5,1.5,1.5,1468
2014-02-20,1.5,1.5,1.5,1.5,1.5,114
2014-02-21,1.5,1.5,1.0,1.0,1.0,2073
2014-02-24,1.5,1.5,1.5,1.5,1.5,1605
2014-02-25,1.5,1.5,1.0,1.0,1.0,1382
2014-02-26,0.1,0.1,0.1,0.1,0.1,0
2014-02-27,1.05,1.45,0.95,1.05,1.05,2386
2014-02-28,1.5,1.5,1.25,1.5,1.5,4366
2014-03-03,1.5,1.5,0.9,1.4,1.4,2650
2014-03-04,1.45,1.45,1.35,1.35,1.35,378
2014-03-05,1.15,1.15,1.0,1.15,1.15,1602
2014-03-06,1.0,1.45,1.0,1.0,1.0,1674
2014-03-07,1.0,1.5,1.0,1.5,1.5,1474
2014-03-10,1.5,1.5,1.1,1.25,1.25,472
2014-03-11,1.25,1.25,1.25,1.25,1.25,130
2014-03-12,1.15,1.25,1.15,1.25,1.25,7144
2014-03-13,1.25,1.5,1.05,1.5,1.5,1394
2014-03-14,1.05,1.45,1.05,1.45,1.45,682
2014-03-17,1.1,1.35,1.1,1.35,1.35,990
2014-03-18,1.35,1.35,1.1,1.1,1.1,28
2014-03-19,1.3,1.3,1.1,1.25,1.25,1992
2014-03-20,1.5,1.5,1.1,1.3,1.3,3712
2014-03-21,1.25,1.4,1.1,1.4,1.4,8478
2014-03-24,1.25,1.5,1.25,1.5,1.5,6406
2014-03-25,1.5,1.5,1.25,1.45,1.45,6672
2014-03-26,1.25,2.0,1.25,1.75,1.75,3200
2014-03-27,1.25,1.4,1.25,1.4,1.4,2020
2014-03-28,1.25,1.35,1.0,1.25,1.25,6924
2014-03-31,1.15,1.15,0.9,0.95,0.95,4666
2014-04-01,1.25,1.25,0.95,0.95,0.95,244
2014-04-02,0.95,0.95,0.95,0.95,0.95,2380
2014-04-03,0.95,1.15,0.7,0.8,0.8,9296
2014-04-04,1.15,1.15,0.7,0.8,0.8,3418
2014-04-07,0.65,0.65,0.65,0.65,0.65,1144
2014-04-08,0.85,0.85,0.65,0.75,0.75,2864
2014-04-09,0.65,0.65,0.65,0.65,0.65,1320
2014-04-10,0.65,1.0,0.65,0.65,0.65,638
2014-04-11,0.65,0.65,0.55,0.65,0.65,3910
2014-04-14,0.75,0.75,0.75,0.75,0.75,360
2014-04-15,0.95,0.95,0.8,0.8,0.8,528
2014-04-16,0.75,0.9,0.75,0.9,0.9,720
2014-04-17,0.85,0.9,0.85,0.9,0.9,552
2014-04-21,0.9,0.9,0.9,0.9,0.9,8
2014-04-22,0.9,0.9,0.9,0.9,0.9,46
2014-04-23,0.9,0.9,0.9,0.9,0.9,2240
2014-04-24,0.9,0.9,0.9,0.9,0.9,600
2014-04-25,0.9,0.9,0.85,0.85,0.85,634
2014-04-28,0.9,0.9,0.85,0.85,0.85,1110
2014-04-29,0.6,0.8,0.6,0.8,0.8,680
2014-04-30,0.8,0.8,0.5,0.55,0.55,13680
2014-05-01,0.6,0.6,0.45,0.55,0.55,13810
2014-05-02,0.55,0.55,0.55,0.55,0.55,1138
2014-05-05,0.55,0.55,0.55,0.55,0.55,0
2014-05-06,0.55,0.55,0.55,0.55,0.55,1328
2014-05-07,0.55,0.55,0.55,0.55,0.55,240
2014-05-08,0.55,0.55,0.55,0.55,0.55,1000
2014-05-09,0.5,0.55,0.5,0.55,0.55,1388
2014-05-12,0.65,0.75,0.65,0.75,0.75,2976
2014-05-13,0.75,0.75,0.7,0.7,0.7,2100
2014-05-14,0.7,0.7,0.7,0.7,0.7,700
2014-05-15,0.7,0.7,0.65,0.65,0.65,82
2014-05-16,0.6,0.65,0.4,0.5,0.5,11364
2014-05-19,0.5,0.75,0.5,0.75,0.75,5102
2014-05-20,0.85,0.85,0.85,0.85,0.85,1478
2014-05-21,0.7,0.7,0.7,0.7,0.7,1400
2014-05-22,0.7,0.7,0.7,0.7,0.7,0
2014-05-23,0.55,0.85,0.55,0.85,0.85,354
2014-05-27,0.55,0.55,0.55,0.55,0.55,42
2014-05-28,0.55,0.55,0.55,0.55,0.55,0
2014-05-29,0.55,0.55,0.55,0.55,0.55,0
2014-05-30,0.6,0.6,0.6,0.6,0.6,2840
2014-06-02,0.6,0.85,0.6,0.85,0.85,10018
2014-06-03,0.6,0.6,0.55,0.55,0.55,4180
2014-06-04,0.6,0.85,0.6,0.85,0.85,346
2014-06-05,0.85,0.85,0.65,0.65,0.65,146
2014-06-06,0.65,0.65,0.65,0.65,0.65,0
2014-06-09,0.85,0.85,0.55,0.55,0.55,254
2014-06-10,0.7,0.7,0.7,0.7,0.7,1020
2014-06-11,0.7,0.7,0.7,0.7,0.7,20
2014-06-12,0.7,0.7,0.7,0.7,0.7,260
2014-06-13,0.7,0.7,0.7,0.7,0.7,0
2014-06-16,0.7,0.7,0.65,0.65,0.65,1400
2014-06-17,0.55,0.55,0.55,0.55,0.55,2180
2014-06-18,0.7,0.7,0.7,0.7,0.7,1000
2014-06-19,0.7,0.7,0.7,0.7,0.7,1280
2014-06-20,0.7,0.7,0.7,0.7,0.7,0
2014-06-23,0.7,0.7,0.7,0.7,0.7,0
2014-06-24,0.7,0.7,0.7,0.7,0.7,920
2014-06-25,0.6,0.6,0.6,0.6,0.6,2282
2014-06-26,0.6,0.6,0.6,0.6,0.6,0
2014-06-27,0.65,0.7,0.65,0.65,0.65,1600
2014-06-30,0.65,0.7,0.6,0.7,0.7,2466
2014-07-01,0.6,0.6,0.6,0.6,0.6,1200
2014-07-02,0.65,0.7,0.6,0.7,0.7,898
2014-07-03,0.7,0.7,0.7,0.7,0.7,700
2014-07-07,0.7,1.15,0.7,1.15,1.15,4124
2014-07-08,1.15,1.15,1.15,1.15,1.15,0
2014-07-09,1.15,1.15,0.6,1.05,1.05,2920
2014-07-10,1.05,1.05,1.05,1.05,1.05,228
2014-07-11,1.05,1.05,1.05,1.05,1.05,0
2014-07-14,0.75,0.75,0.75,0.75,0.75,220
2014-07-15,1.0,1.0,1.0,1.0,1.0,276
2014-07-16,1.0,1.0,1.0,1.0,1.0,20
2014-07-17,1.0,1.0,1.0,1.0,1.0,0
2014-07-18,1.0,1.0,1.0,1.0,1.0,398
2014-07-21,1.0,1.0,1.0,1.0,1.0,0
2014-07-22,0.95,0.95,0.95,0.95,0.95,342
2014-07-23,0.75,0.95,0.75,0.95,0.95,940
2014-07-24,0.95,0.95,0.95,0.95,0.95,0
2014-07-25,0.9,0.9,0.9,0.9,0.9,100
2014-07-28,0.9,0.9,0.9,0.9,0.9,0
2014-07-29,0.9,0.9,0.9,0.9,0.9,0
2014-07-30,0.9,0.9,0.9,0.9,0.9,0
