Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,8.1,8.1,8.1,8.1,5.771287,0
2013-07-17,8.1,8.1,8.1,8.1,5.771287,0
2013-07-18,8.1,8.1,8.1,8.1,5.771287,0
2013-07-19,8.1,8.1,8.1,8.1,5.771287,0
2013-07-22,8.1,8.1,8.1,8.1,5.771287,0
2013-07-23,8.1,8.1,8.1,8.1,5.771287,0
2013-07-24,8.1,8.1,8.1,8.1,5.771287,0
2013-07-25,8.1,8.1,8.1,8.1,5.771287,0
2013-07-26,8.1,8.1,8.1,8.1,5.771287,0
2013-07-29,8.1,8.1,8.1,8.1,5.771287,0
2013-07-30,8.1,8.1,8.1,8.1,5.771287,0
2013-07-31,8.1,8.1,8.1,8.1,5.771287,0
2013-08-01,8.1,8.1,8.1,8.1,5.771287,0
2013-08-02,8.81,8.81,8.81,8.81,6.277165,10500
2013-08-05,8.81,8.81,8.81,8.81,6.277165,0
2013-08-06,8.81,8.81,8.81,8.81,6.277165,0
2013-08-07,8.81,8.81,8.81,8.81,6.277165,0
2013-08-08,8.81,8.81,8.81,8.81,6.277165,0
2013-08-09,8.81,8.81,8.81,8.81,6.277165,0
2013-08-12,8.81,8.81,8.81,8.81,6.277165,0
2013-08-13,9.45,9.45,9.45,9.45,6.733167,500
2013-08-14,9.45,9.45,9.45,9.45,6.733167,0
2013-08-15,9.45,9.45,9.45,9.45,6.733167,0
2013-08-16,9.45,9.45,9.45,9.45,6.733167,0
2013-08-19,9.45,9.45,9.45,9.45,6.733167,0
2013-08-20,9.45,9.45,9.45,9.45,6.733167,0
2013-08-21,9.45,9.45,9.45,9.45,6.733167,0
2013-08-22,9.45,9.45,9.45,9.45,6.733167,0
2013-08-23,9.45,9.45,9.45,9.45,6.733167,0
2013-08-26,9.45,9.45,9.45,9.45,6.733167,0
2013-08-27,9.45,9.45,9.45,9.45,6.733167,0
2013-08-28,9.45,9.45,9.45,9.45,6.733167,0
2013-08-29,9.45,9.45,9.45,9.45,6.733167,0
2013-08-30,9.45,9.45,9.45,9.45,6.733167,0
2013-09-03,9.45,9.45,9.45,9.45,6.733167,0
2013-09-04,9.2,9.2,9.2,9.2,6.555041,500
2013-09-05,9.2,9.2,9.2,9.2,6.555041,0
2013-09-06,9.2,9.2,9.2,9.2,6.555041,0
2013-09-09,9.2,9.2,9.2,9.2,6.555041,0
2013-09-10,9.2,9.2,9.2,9.2,6.555041,0
2013-09-11,9.4,9.41,9.4,9.41,6.704669,5100
2013-09-12,9.41,9.41,9.41,9.41,6.704669,0
2013-09-13,9.41,9.41,9.41,9.41,6.704669,0
2013-09-16,9.41,9.41,9.41,9.41,6.704669,0
2013-09-17,9.41,9.41,9.41,9.41,6.704669,0
2013-09-18,9.41,9.41,9.41,9.41,6.704669,0
2013-09-19,9.41,9.41,9.41,9.41,6.704669,0
2013-09-20,9.41,9.41,9.41,9.41,6.704669,0
2013-09-23,9.41,9.41,9.41,9.41,6.704669,0
2013-09-24,9.41,9.41,9.41,9.41,6.704669,0
2013-09-25,9.41,9.41,9.41,9.41,6.704669,0
2013-09-26,9.41,9.41,9.41,9.41,6.704669,0
2013-09-27,9.41,9.41,9.41,9.41,6.704669,0
2013-09-30,9.41,9.41,9.41,9.41,6.704669,0
2013-10-01,9.62,9.62,9.62,9.62,6.854294,200
2013-10-02,10.04,10.04,10.04,10.04,7.153546,100
2013-10-03,10.04,10.04,10.04,10.04,7.153546,0
2013-10-04,10.04,10.04,10.04,10.04,7.153546,0
2013-10-07,9.8,9.8,9.8,9.8,6.982544,100
2013-10-08,9.8,9.8,9.8,9.8,6.982544,0
2013-10-09,9.8,9.8,9.8,9.8,6.982544,0
2013-10-10,9.73,9.73,9.73,9.73,6.932667,400
2013-10-11,9.73,9.73,9.73,9.73,6.932667,0
2013-10-14,9.73,9.73,9.73,9.73,6.932667,0
2013-10-15,9.73,9.73,9.73,9.73,6.932667,0
2013-10-16,9.73,9.73,9.73,9.73,6.932667,0
2013-10-17,10.49,10.49,10.49,10.49,7.474171,100
2013-10-18,10.65,10.65,10.63,10.63,7.573923,1400
2013-10-21,10.63,10.63,10.63,10.63,7.573923,0
2013-10-22,10.63,10.63,10.63,10.63,7.573923,0
2013-10-23,10.63,10.63,10.63,10.63,7.573923,0
2013-10-24,10.63,10.63,10.63,10.63,7.573923,0
2013-10-25,10.63,10.63,10.63,10.63,7.573923,0
2013-10-28,11.41,11.41,11.41,11.41,8.129675,5400
2013-10-29,11.41,11.41,11.41,11.41,8.129675,0
2013-10-30,11.41,11.41,11.41,11.41,8.129675,0
2013-10-31,11.35,11.52,11.35,11.52,8.208053,1100
2013-11-01,11.52,11.52,11.52,11.52,8.208053,0
2013-11-04,12.05,12.05,12.05,12.05,8.585678,1000
2013-11-05,12.05,12.05,12.05,12.05,8.585678,0
2013-11-06,12.05,12.05,12.05,12.05,8.585678,0
2013-11-07,12.05,12.05,12.05,12.05,8.585678,200
2013-11-08,12.05,12.05,12.05,12.05,8.585678,0
2013-11-11,12.05,12.05,12.05,12.05,8.585678,0
2013-11-12,12.05,12.05,12.05,12.05,8.585678,0
2013-11-13,12.05,12.05,12.05,12.05,8.585678,0
2013-11-14,12.05,12.05,12.05,12.05,8.585678,0
