Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.0067,0.0067,0.0067,0.0067,0.0067,7000
2013-07-17,0.0067,0.0067,0.0067,0.0067,0.0067,65500
2013-07-18,0.0067,0.0067,0.0067,0.0067,0.0067,10000
2013-07-19,0.0067,0.0067,0.0065,0.0066,0.0066,231600
2013-07-22,0.0068,0.0068,0.0066,0.0066,0.0066,91900
2013-07-23,0.007,0.008,0.007,0.008,0.008,201000
2013-07-24,0.008,0.008,0.0067,0.0067,0.0067,403100
2013-07-25,0.007,0.007,0.0066,0.0066,0.0066,54200
2013-07-26,0.0066,0.008,0.0066,0.0067,0.0067,127300
2013-07-29,0.0067,0.0067,0.0067,0.0067,0.0067,10000
2013-07-30,0.0066,0.0079,0.0066,0.0079,0.0079,25000
2013-07-31,0.0078,0.0078,0.0078,0.0078,0.0078,25000
2013-08-01,0.0078,0.0078,0.0066,0.0066,0.0066,34400
2013-08-02,0.0078,0.0078,0.0033,0.006,0.006,1062500
2013-08-05,0.0065,0.007,0.0047,0.007,0.007,76500
2013-08-06,0.007,0.007,0.0061,0.0069,0.0069,93600
2013-08-07,0.0055,0.0055,0.0055,0.0055,0.0055,2400
2013-08-08,0.0055,0.007,0.0055,0.007,0.007,41000
2013-08-09,0.007,0.007,0.0069,0.0069,0.0069,49000
2013-08-12,0.0069,0.0075,0.006,0.0075,0.0075,180500
2013-08-13,0.0075,0.0075,0.0075,0.0075,0.0075,0
2013-08-14,0.0075,0.0075,0.0075,0.0075,0.0075,20000
2013-08-15,0.0065,0.0075,0.005,0.0075,0.0075,1033800
2013-08-16,0.0075,0.0075,0.0055,0.0065,0.0065,505200
2013-08-19,0.0065,0.0065,0.0057,0.0057,0.0057,48400
2013-08-20,0.0057,0.0065,0.0057,0.0065,0.0065,12500
2013-08-21,0.0065,0.0065,0.006,0.0065,0.0065,30200
2013-08-22,0.0065,0.0065,0.0059,0.006,0.006,321800
2013-08-23,0.006,0.006,0.006,0.006,0.006,0
2013-08-26,0.004,0.0065,0.004,0.0065,0.0065,118500
2013-08-27,0.0057,0.0057,0.0057,0.0057,0.0057,2000
2013-08-28,0.0057,0.0065,0.0057,0.0065,0.0065,11300
2013-08-29,0.0075,0.0075,0.0055,0.0057,0.0057,546300
2013-08-30,0.006,0.006,0.0054,0.0055,0.0055,396000
2013-09-03,0.005,0.0055,0.005,0.0053,0.0053,619800
2013-09-04,0.005,0.005,0.004,0.005,0.005,865100
2013-09-05,0.004,0.0045,0.004,0.0045,0.0045,12000
2013-09-06,0.004,0.0045,0.004,0.0045,0.0045,30800
2013-09-09,0.0045,0.0045,0.0045,0.0045,0.0045,800
2013-09-10,0.0045,0.006,0.0045,0.005,0.005,40000
2013-09-11,0.0045,0.0055,0.004,0.0055,0.0055,148700
2013-09-12,0.0055,0.0055,0.0055,0.0055,0.0055,5000
2013-09-13,0.0055,0.0055,0.0055,0.0055,0.0055,65000
2013-09-16,0.0056,0.0056,0.0056,0.0056,0.0056,23500
2013-09-17,0.004,0.0069,0.004,0.0068,0.0068,36500
2013-09-18,0.0045,0.0045,0.0045,0.0045,0.0045,2000
2013-09-19,0.0065,0.0065,0.0047,0.0047,0.0047,682400
2013-09-20,0.0045,0.0046,0.004,0.0045,0.0045,1571400
2013-09-23,0.0056,0.0056,0.0035,0.0035,0.0035,55200
2013-09-24,0.0056,0.0056,0.0055,0.0055,0.0055,150000
2013-09-25,0.0055,0.0055,0.0055,0.0055,0.0055,0
2013-09-26,0.0046,0.005,0.0025,0.0045,0.0045,3099800
2013-09-27,0.004,0.004,0.0022,0.0026,0.0026,738900
2013-09-30,0.004,0.004,0.0027,0.0034,0.0034,44400
2013-10-01,0.0035,0.004,0.003,0.004,0.004,369500
2013-10-02,0.004,0.0047,0.0031,0.0047,0.0047,361900
2013-10-03,0.0047,0.0047,0.0047,0.0047,0.0047,31600
2013-10-04,0.0037,0.0037,0.0037,0.0037,0.0037,225000
2013-10-07,0.0049,0.0049,0.0039,0.0039,0.0039,69500
2013-10-08,0.0047,0.0048,0.004,0.0048,0.0048,165000
2013-10-09,0.0048,0.0048,0.0048,0.0048,0.0048,0
2013-10-10,0.0048,0.0048,0.0048,0.0048,0.0048,0
2013-10-11,0.0039,0.0039,0.0036,0.0036,0.0036,242000
2013-10-14,0.0039,0.004,0.0039,0.0039,0.0039,441500
2013-10-15,0.0039,0.0039,0.0039,0.0039,0.0039,0
2013-10-16,0.0044,0.0045,0.0039,0.0039,0.0039,126400
2013-10-17,0.0036,0.0036,0.0036,0.0036,0.0036,75000
2013-10-18,0.0044,0.0044,0.0044,0.0044,0.0044,80000
2013-10-21,0.0044,0.0044,0.0044,0.0044,0.0044,0
2013-10-22,0.0045,0.005,0.0045,0.005,0.005,12500
2013-10-23,0.005,0.005,0.0025,0.0025,0.0025,1506000
2013-10-24,0.005,0.005,0.0035,0.0035,0.0035,12800
2013-10-25,0.0044,0.0044,0.0044,0.0044,0.0044,20000
2013-10-28,0.0038,0.005,0.0038,0.005,0.005,197700
2013-10-29,0.0026,0.0026,0.0026,0.0026,0.0026,400
2013-10-30,0.0026,0.0026,0.0026,0.0026,0.0026,0
2013-10-31,0.0028,0.004,0.0028,0.003,0.003,279500
2013-11-01,0.004,0.004,0.004,0.004,0.004,30000
2013-11-04,0.004,0.0047,0.004,0.0047,0.0047,38400
2013-11-05,0.004,0.004,0.004,0.004,0.004,41600
2013-11-06,0.004,0.004,0.004,0.004,0.004,0
2013-11-07,0.003,0.003,0.003,0.003,0.003,1500
2013-11-08,0.003,0.003,0.003,0.003,0.003,0
2013-11-11,0.003,0.0035,0.003,0.0035,0.0035,76400
2013-11-12,0.0047,0.0047,0.0031,0.0031,0.0031,373300
2013-11-13,0.0031,0.0035,0.0031,0.0035,0.0035,95200
2013-11-14,0.0026,0.0046,0.0026,0.0046,0.0046,401000
2013-11-15,0.0046,0.0046,0.0046,0.0046,0.0046,0
2013-11-18,0.0027,0.0035,0.0027,0.0035,0.0035,222500
2013-11-19,0.0028,0.004,0.0028,0.004,0.004,78000
2013-11-20,0.0038,0.0038,0.0038,0.0038,0.0038,80000
2013-11-21,0.0026,0.0039,0.0026,0.0039,0.0039,11000
2013-11-22,0.0039,0.0039,0.0039,0.0039,0.0039,10000
2013-11-25,0.0026,0.0026,0.0026,0.0026,0.0026,30900
2013-11-26,0.0026,0.0036,0.0026,0.0036,0.0036,20300
2013-11-27,0.0026,0.0039,0.0026,0.0039,0.0039,143200
2013-11-29,0.0039,0.0039,0.0039,0.0039,0.0039,0
2013-12-02,0.0026,0.003,0.0026,0.003,0.003,59100
2013-12-03,0.003,0.003,0.0026,0.003,0.003,100000
2013-12-04,0.0035,0.0039,0.0035,0.0039,0.0039,85700
2013-12-05,0.0039,0.0039,0.0039,0.0039,0.0039,35000
2013-12-06,0.0037,0.0037,0.003,0.0035,0.0035,219500
2013-12-09,0.0035,0.0035,0.0035,0.0035,0.0035,0
2013-12-10,0.0035,0.0035,0.0035,0.0035,0.0035,0
2013-12-11,0.0035,0.0035,0.0035,0.0035,0.0035,0
2013-12-12,0.0038,0.0039,0.0038,0.0039,0.0039,197100
2013-12-13,0.0039,0.005,0.0039,0.005,0.005,1259700
2013-12-16,0.0052,0.0073,0.005,0.0073,0.0073,2062800
2013-12-17,0.0065,0.007,0.0064,0.007,0.007,1161400
2013-12-18,0.007,0.0075,0.007,0.0075,0.0075,1060400
2013-12-19,0.0075,0.008,0.0065,0.0065,0.0065,445500
2013-12-20,0.007,0.007,0.007,0.007,0.007,437800
2013-12-23,0.0075,0.0075,0.0071,0.0074,0.0074,143100
2013-12-24,0.007,0.007,0.007,0.007,0.007,127100
2013-12-26,0.007,0.0075,0.007,0.0075,0.0075,696300
2013-12-27,0.005,0.0078,0.0046,0.0051,0.0051,201300
