Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,3.95,3.95,3.95,3.95,3.95,0
2013-07-17,3.95,3.95,3.95,3.95,3.95,0
2013-07-18,3.95,3.95,3.95,3.95,3.95,0
2013-07-19,3.95,3.95,3.95,3.95,3.95,0
2013-07-22,3.95,3.95,3.95,3.95,3.95,0
2013-07-23,3.95,3.95,3.95,3.95,3.95,0
2013-07-24,4.12,4.12,4.12,4.12,4.12,100
2013-07-25,4.12,4.12,4.12,4.12,4.12,0
2013-07-26,4.12,4.12,4.12,4.12,4.12,0
2013-07-29,4.12,4.12,4.12,4.12,4.12,0
2013-07-30,4.12,4.12,4.12,4.12,4.12,0
2013-07-31,4.12,4.12,4.12,4.12,4.12,0
2013-08-01,4.12,4.12,4.12,4.12,4.12,0
2013-08-02,4.12,4.12,4.12,4.12,4.12,0
2013-08-05,4.12,4.12,4.12,4.12,4.12,0
2013-08-06,4.12,4.12,4.12,4.12,4.12,0
2013-08-07,4.12,4.12,4.12,4.12,4.12,0
2013-08-08,4.12,4.12,4.12,4.12,4.12,0
2013-08-09,4.12,4.12,4.12,4.12,4.12,0
2013-08-12,4.12,4.12,4.12,4.12,4.12,0
2013-08-13,4.4,4.4,4.4,4.4,4.4,300
2013-08-14,4.4,4.4,4.4,4.4,4.4,0
2013-08-15,4.4,4.4,4.4,4.4,4.4,0
2013-08-16,4.4,4.4,4.4,4.4,4.4,0
2013-08-19,4.4,4.4,4.4,4.4,4.4,0
2013-08-20,4.4,4.4,4.4,4.4,4.4,0
2013-08-21,4.0,4.0,4.0,4.0,4.0,100
2013-08-22,4.0,4.0,4.0,4.0,4.0,0
2013-08-23,4.0,4.0,4.0,4.0,4.0,0
2013-08-26,3.99,3.99,3.99,3.99,3.99,100
2013-08-27,3.86,3.86,3.86,3.86,3.86,502
2013-08-28,3.86,3.86,3.86,3.86,3.86,100
2013-08-29,3.86,3.86,3.86,3.86,3.86,0
2013-08-30,3.86,3.86,3.86,3.86,3.86,0
2013-09-03,3.7,3.7,3.7,3.7,3.7,598
2013-09-04,3.5,3.65,3.5,3.5,3.5,8357
2013-09-05,3.5,3.5,3.5,3.5,3.5,0
2013-09-06,3.5,3.5,3.5,3.5,3.5,0
2013-09-09,3.5,3.5,3.5,3.5,3.5,0
2013-09-10,3.5,3.5,3.5,3.5,3.5,0
2013-09-11,3.45,3.45,3.45,3.45,3.45,500
2013-09-12,3.42,3.42,3.42,3.42,3.42,100
2013-09-13,3.02,3.02,3.0,3.0,3.0,1814
2013-09-16,3.45,3.45,3.45,3.45,3.45,280
2013-09-17,3.45,3.45,3.45,3.45,3.45,0
2013-09-18,3.45,3.45,3.45,3.45,3.45,102
2013-09-19,3.45,3.45,3.45,3.45,3.45,0
2013-09-20,3.45,3.45,3.45,3.45,3.45,100
2013-09-23,3.45,3.45,3.45,3.45,3.45,0
2013-09-24,3.45,3.45,3.45,3.45,3.45,0
2013-09-25,3.45,3.45,3.4,3.4,3.4,250
2013-09-26,3.01,3.25,2.05,3.0,3.0,2400
2013-09-27,3.0,3.0,3.0,3.0,3.0,1050
2013-09-30,3.0,3.0,3.0,3.0,3.0,1925
2013-10-01,3.0,3.0,3.0,3.0,3.0,950
2013-10-02,3.0,3.0,3.0,3.0,3.0,0
2013-10-03,3.05,3.05,3.0,3.05,3.05,2000
2013-10-04,3.05,3.05,3.05,3.05,3.05,2388
2013-10-07,3.05,3.05,3.05,3.05,3.05,2082
2013-10-08,3.1,3.1,3.1,3.1,3.1,600
2013-10-09,3.1,3.1,3.1,3.1,3.1,500
2013-10-10,3.1,3.1,3.1,3.1,3.1,300
2013-10-11,3.1,3.1,3.1,3.1,3.1,600
