Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,3.28,3.28,3.28,3.28,3.234796,0
2013-07-17,3.25,3.34,3.25,3.34,3.293969,5500
2013-07-18,3.35,3.35,3.3,3.32,3.274245,7100
2013-07-19,3.31,3.31,3.31,3.31,3.264383,800
2013-07-22,3.26,3.28,3.26,3.28,3.234796,1200
2013-07-23,3.31,3.31,3.31,3.31,3.264383,600
2013-07-24,3.35,3.37,3.34,3.37,3.323556,5600
2013-07-25,3.38,3.38,3.37,3.38,3.333418,11700
2013-07-26,3.36,3.47,3.36,3.45,3.402453,5000
2013-07-29,3.4,3.4,3.32,3.32,3.274245,1400
2013-07-30,3.37,3.38,3.34,3.34,3.293969,15000
2013-07-31,3.34,3.34,3.34,3.34,3.293969,0
2013-08-01,3.48,3.55,3.48,3.55,3.501075,12100
2013-08-02,3.57,3.75,3.57,3.74,3.688456,2600
2013-08-05,3.64,3.64,3.46,3.64,3.589835,2700
2013-08-06,3.61,3.63,3.56,3.58,3.530661,5800
2013-08-07,3.53,3.53,3.53,3.53,3.481351,200
2013-08-08,3.55,3.55,3.55,3.55,3.501075,3300
2013-08-09,3.55,3.55,3.55,3.55,3.501075,0
2013-08-12,3.57,3.63,3.57,3.6,3.550385,15800
2013-08-13,3.51,3.51,3.45,3.5,3.451764,17900
2013-08-14,3.5,3.58,3.47,3.53,3.481351,11000
2013-08-15,3.38,3.38,3.38,3.38,3.333418,1000
2013-08-16,3.38,3.38,3.32,3.32,3.274245,1200
2013-08-19,3.26,3.26,3.12,3.12,3.077001,700
2013-08-20,3.18,3.18,3.18,3.18,3.136174,2000
2013-08-21,3.0,3.04,3.0,3.04,2.998103,5200
2013-08-22,3.04,3.05,3.04,3.05,3.007966,1700
2013-08-23,3.09,3.1,3.08,3.1,3.057276,1700
2013-08-26,3.04,3.04,2.95,2.95,2.909344,10600
2013-08-27,2.87,2.87,2.8,2.8,2.761411,700
2013-08-28,2.84,2.84,2.83,2.83,2.790998,5200
2013-08-29,2.83,2.83,2.83,2.83,2.790998,0
2013-08-30,2.83,2.83,2.83,2.83,2.790998,1000
2013-09-03,2.91,2.95,2.88,2.88,2.840309,8200
2013-09-04,2.88,2.88,2.88,2.88,2.840309,0
2013-09-05,2.92,2.92,2.92,2.92,2.879757,300
2013-09-06,2.92,3.07,2.92,2.92,2.879757,3600
2013-09-09,2.92,2.92,2.92,2.92,2.879757,0
2013-09-10,2.92,2.92,2.92,2.92,2.879757,0
2013-09-11,3.2,3.25,3.2,3.25,3.205209,6300
2013-09-12,3.24,3.24,3.19,3.19,3.146036,10000
2013-09-13,3.19,3.19,3.19,3.19,3.146036,600
2013-09-16,3.25,3.25,3.22,3.22,3.175623,4000
2013-09-17,3.22,3.22,3.22,3.22,3.175623,100
2013-09-18,3.24,3.3,3.21,3.25,3.205209,7100
2013-09-19,3.36,3.42,3.33,3.33,3.284107,4800
2013-09-20,3.32,3.32,3.28,3.28,3.234796,4200
2013-09-23,3.15,3.25,3.15,3.25,3.205209,700
2013-09-24,3.24,3.24,3.19,3.19,3.146036,1100
2013-09-25,3.19,3.19,3.19,3.19,3.146036,0
2013-09-26,3.25,3.25,3.17,3.17,3.126312,3300
2013-09-27,3.11,3.11,3.09,3.09,3.047415,2000
2013-09-30,3.06,3.06,3.06,3.06,3.017827,200
