Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,11.33,11.33,11.33,11.33,8.554093,800
2013-07-17,11.33,11.33,11.33,11.33,8.554093,0
2013-07-18,11.33,11.33,11.33,11.33,8.554093,0
2013-07-19,11.37,11.38,11.37,11.38,8.591844,1100
2013-07-22,11.43,11.43,11.43,11.43,8.629594,200
2013-07-23,11.43,11.43,11.43,11.43,8.629594,0
2013-07-24,11.28,11.28,11.28,11.28,8.516344,600
2013-07-25,11.22,11.22,11.22,11.22,8.471044,600
2013-07-26,11.4,11.4,11.23,11.23,8.478593,10200
2013-07-29,11.23,11.23,11.23,11.23,8.478593,0
2013-07-30,11.15,11.15,11.0,11.0,8.304945,600
2013-07-31,11.1,11.1,11.1,11.1,8.380445,1000
2013-08-01,11.1,11.1,11.1,11.1,8.380445,0
2013-08-02,11.1,11.1,11.1,11.1,8.380445,0
2013-08-05,11.1,11.1,11.1,11.1,8.380445,0
2013-08-06,11.1,11.1,11.1,11.1,8.380445,0
2013-08-07,11.1,11.1,11.1,11.1,8.380445,0
2013-08-08,10.92,10.92,10.92,10.92,8.244546,500
2013-08-09,11.13,11.13,11.13,11.13,8.403095,400
2013-08-12,11.13,11.13,11.13,11.13,8.403095,200
2013-08-13,11.25,11.25,11.25,11.25,8.493694,400
2013-08-14,11.25,11.25,11.25,11.25,8.493694,0
2013-08-15,11.06,11.06,11.06,11.06,8.350245,200
2013-08-16,11.24,11.24,11.24,11.24,8.486143,1000
2013-08-19,11.22,11.43,11.22,11.43,8.629594,16800
2013-08-20,11.43,11.43,11.43,11.43,8.629594,0
2013-08-21,11.43,11.43,11.43,11.43,8.629594,0
2013-08-22,11.43,11.43,11.43,11.43,8.629594,0
2013-08-23,11.11,11.11,11.11,11.11,8.387995,100
2013-08-26,11.11,11.11,11.11,11.11,8.387995,0
2013-08-27,11.11,11.11,11.11,11.11,8.387995,0
2013-08-28,11.11,11.11,11.11,11.11,8.387995,0
2013-08-29,11.11,11.11,11.11,11.11,8.387995,0
2013-08-30,11.11,11.11,11.11,11.11,8.387995,0
2013-09-03,11.19,11.19,11.19,11.19,8.448393,200
2013-09-04,11.19,11.19,11.19,11.19,8.448393,0
2013-09-05,11.19,11.19,11.19,11.19,8.448393,0
2013-09-06,11.19,11.19,11.19,11.19,8.448393,0
2013-09-09,11.45,11.45,11.45,11.45,8.644693,500
2013-09-10,11.45,11.45,11.45,11.45,8.644693,0
2013-09-11,11.45,11.45,11.45,11.45,8.644693,0
2013-09-12,11.48,11.48,11.48,11.48,8.667344,500
2013-09-13,11.48,11.48,11.48,11.48,8.667344,0
2013-09-16,11.48,11.48,11.48,11.48,8.667344,0
2013-09-17,11.48,11.48,11.48,11.48,8.667344,0
2013-09-18,11.57,11.65,11.57,11.65,8.795692,200
2013-09-19,11.62,11.62,11.62,11.62,8.773043,500
2013-09-20,11.62,11.62,11.62,11.62,8.773043,0
2013-09-23,11.62,11.62,11.62,11.62,8.773043,0
2013-09-24,11.62,11.62,11.62,11.62,8.773043,0
2013-09-25,11.62,11.62,11.62,11.62,8.773043,0
2013-09-26,11.6,11.6,11.51,11.51,8.689993,1200
2013-09-27,11.51,11.51,11.51,11.51,8.689993,0
2013-09-30,11.51,11.51,11.51,11.51,8.689993,0
2013-10-01,11.51,11.51,11.51,11.51,8.689993,0
2013-10-02,11.51,11.51,11.51,11.51,8.689993,0
2013-10-03,11.51,11.51,11.51,11.51,8.689993,0
2013-10-04,11.51,11.51,11.51,11.51,8.689993,0
2013-10-07,11.31,11.31,11.31,11.31,8.538993,1000
2013-10-08,11.31,11.31,11.31,11.31,8.538993,0
2013-10-09,11.31,11.31,11.31,11.31,8.538993,0
2013-10-10,11.31,11.31,11.31,11.31,8.538993,0
2013-10-11,11.31,11.31,11.31,11.31,8.538993,0
2013-10-14,11.31,11.31,11.31,11.31,8.538993,0
2013-10-15,11.31,11.31,11.31,11.31,8.538993,0
2013-10-16,11.54,11.54,11.54,11.54,8.712643,100
2013-10-17,11.61,11.61,11.6,11.6,8.757942,600
2013-10-18,11.6,11.6,11.6,11.6,8.757942,0
2013-10-21,11.8,11.8,11.8,11.8,8.908941,100
2013-10-22,11.8,11.8,11.8,11.8,8.908941,0
2013-10-23,11.8,11.8,11.8,11.8,8.908941,0
2013-10-24,11.8,11.8,11.8,11.8,8.908941,0
2013-10-25,11.8,11.8,11.8,11.8,8.908941,0
2013-10-28,11.8,11.8,11.8,11.8,8.908941,0
2013-10-29,11.8,11.8,11.8,11.8,8.908941,0
2013-10-30,11.8,11.8,11.8,11.8,8.908941,0
2013-10-31,11.8,11.8,11.8,11.8,8.908941,0
2013-11-01,11.8,11.8,11.8,11.8,8.908941,0
2013-11-04,11.8,11.8,11.8,11.8,8.908941,0
2013-11-05,11.65,11.65,11.65,11.65,8.795692,41100
2013-11-06,11.53,11.53,11.53,11.53,8.705092,17200
2013-11-07,11.53,11.53,11.53,11.53,8.705092,0
2013-11-08,11.34,11.34,11.34,11.34,8.561643,100
2013-11-11,11.25,11.25,11.25,11.25,8.493694,700
2013-11-12,11.25,11.25,11.25,11.25,8.493694,0
2013-11-13,11.25,11.25,11.25,11.25,8.493694,100
2013-11-14,11.32,11.32,11.32,11.32,8.546543,100
2013-11-15,11.05,11.05,11.05,11.05,8.342694,200
2013-11-18,10.99,10.99,10.9,10.99,8.297396,3000
2013-11-19,10.99,10.99,10.99,10.99,8.297396,0
2013-11-20,10.59,10.59,10.59,10.59,7.995399,100
2013-11-21,10.59,10.59,10.59,10.59,7.995399,0
2013-11-22,10.59,10.59,10.59,10.59,7.995399,0
2013-11-25,10.59,10.59,10.59,10.59,7.995399,0
2013-11-26,10.28,10.28,10.28,10.28,7.76135,1000
2013-11-27,10.2,10.37,10.19,10.2,7.700949,3600
2013-11-29,7.87,8.3,7.87,8.3,6.266459,21100
2013-12-02,7.74,7.95,7.74,7.95,6.00221,45200
2013-12-03,7.58,7.58,7.57,7.57,5.715313,38600
2013-12-04,7.27,7.27,7.27,7.27,5.488814,600
