Date,Open,High,Low,Close,Adj Close,Volume
2017-08-24,9.09,9.09,9.09,9.09,0.394659,8884
2017-08-25,9.09,9.09,9.09,9.09,0.394659,0
2017-08-28,9.09,9.09,9.09,9.09,0.394659,0
2017-08-29,9.09,9.09,9.09,9.09,0.394659,0
2017-08-30,9.09,9.09,9.09,9.09,0.394659,0
2017-08-31,9.09,9.09,9.09,9.09,0.394659,0
2017-09-01,9.09,9.09,9.09,9.09,0.394659,0
2017-09-05,9.09,9.09,9.09,9.09,0.394659,0
2017-09-06,9.09,9.09,9.09,9.09,0.394659,0
2017-09-07,9.09,9.09,9.09,9.09,0.394659,0
2017-09-08,9.09,9.09,9.09,9.09,0.394659,0
2017-09-11,9.09,9.09,9.09,9.09,0.394659,0
2017-09-12,9.09,9.09,9.09,9.09,0.394659,185
2017-09-13,9.09,9.09,9.09,9.09,0.394659,0
2017-09-14,9.09,9.09,9.09,9.09,0.394659,0
2017-09-15,9.09,9.09,9.09,9.09,0.394659,0
2017-09-18,9.09,9.09,9.09,9.09,0.394659,0
2017-09-19,9.09,9.09,9.09,9.09,0.394659,0
2017-09-20,9.09,9.09,9.09,9.09,0.394659,0
2017-09-21,9.09,9.09,9.09,9.09,0.394659,0
2017-09-22,9.09,9.09,9.09,9.09,0.394659,0
2017-09-25,9.09,9.09,9.09,9.09,0.394659,0
2017-09-26,9.09,9.09,9.09,9.09,0.394659,0
2017-09-27,9.09,9.09,9.09,9.09,0.394659,0
2017-09-28,9.09,9.09,9.09,9.09,0.394659,0
2017-09-29,9.09,9.09,9.09,9.09,0.394659,0
2017-10-02,9.09,9.09,9.09,9.09,0.394659,0
2017-10-03,9.09,9.09,9.09,9.09,0.394659,0
2017-10-04,9.09,9.09,9.09,9.09,0.394659,0
2017-10-05,9.09,9.09,9.09,9.09,0.394659,0
2017-10-06,9.09,9.09,9.09,9.09,0.394659,0
2017-10-09,9.09,9.09,9.09,9.09,0.394659,0
2017-10-10,9.09,9.09,9.09,9.09,0.394659,0
2017-10-11,9.09,9.09,9.09,9.09,0.394659,0
2017-10-12,9.09,9.09,9.09,9.09,0.394659,0
2017-10-13,9.09,9.09,9.09,9.09,0.394659,0
2017-10-16,9.09,9.09,9.09,9.09,0.394659,0
2017-10-17,9.09,9.09,9.09,9.09,0.394659,0
2017-10-18,9.09,9.09,9.09,9.09,0.394659,0
2017-10-19,9.09,9.09,9.09,9.09,0.394659,0
2017-10-20,9.09,9.09,9.09,9.09,0.394659,0
2017-10-23,9.09,9.09,9.09,9.09,0.394659,0
2017-10-24,9.09,9.09,9.09,9.09,0.394659,0
2017-10-25,9.09,9.09,9.09,9.09,0.394659,0
2017-10-26,9.09,9.09,9.09,9.09,0.394659,0
2017-10-27,9.09,9.09,9.09,9.09,0.394659,0
2017-10-30,9.09,9.09,9.09,9.09,0.394659,0
2017-10-31,9.4,9.4,9.4,9.4,0.408118,2700
2017-11-01,9.4,9.4,9.4,9.4,0.408118,0
2017-11-02,9.4,9.4,9.4,9.4,0.408118,0
2017-11-03,9.4,9.4,9.4,9.4,0.408118,0
2017-11-06,9.4,9.4,9.4,9.4,0.408118,0
2017-11-07,9.4,9.4,9.4,9.4,0.408118,0
2017-11-08,9.4,9.4,9.4,9.4,0.408118,0
2017-11-09,9.4,9.4,9.4,9.4,0.408118,0
2017-11-10,9.4,9.4,9.4,9.4,0.408118,0
2017-11-13,9.4,9.4,9.4,9.4,0.408118,0
2017-11-14,9.4,9.4,9.4,9.4,0.408118,0
2017-11-15,9.4,9.4,9.4,9.4,0.408118,0
2017-11-16,9.4,9.4,9.4,9.4,0.456704,0
2017-11-17,9.4,9.4,9.4,9.4,0.456704,0
2017-11-20,9.4,9.4,9.4,9.4,0.456704,0
2017-11-21,9.4,9.4,9.4,9.4,0.456704,0
2017-11-22,9.4,9.4,9.4,9.4,0.456704,0
2017-11-24,9.4,9.4,9.4,9.4,0.456704,0
2017-11-27,9.4,9.4,9.4,9.4,0.456704,0
2017-11-28,9.4,9.4,9.4,9.4,0.456704,0
2017-11-29,9.4,9.4,9.4,9.4,0.456704,0
2017-11-30,9.4,9.4,9.4,9.4,0.456704,0
2017-12-01,9.4,9.4,9.4,9.4,0.456704,0
2017-12-04,9.4,9.4,9.4,9.4,0.456704,0
2017-12-05,9.4,9.4,9.4,9.4,0.456704,0
2017-12-06,9.4,9.4,9.4,9.4,0.456704,0
2017-12-07,9.4,9.4,9.4,9.4,0.456704,0
2017-12-08,9.4,9.4,9.4,9.4,0.456704,0
2017-12-11,9.4,9.4,9.4,9.4,0.456704,0
2017-12-12,9.4,9.4,9.4,9.4,0.456704,0
2017-12-13,9.4,9.4,9.4,9.4,0.456704,0
2017-12-14,9.4,9.4,9.4,9.4,0.456704,0
2017-12-15,9.4,9.4,9.4,9.4,0.456704,0
2017-12-18,9.4,9.4,9.4,9.4,0.456704,0
2017-12-19,9.4,9.4,9.4,9.4,0.456704,0
2017-12-20,9.4,9.4,9.4,9.4,0.456704,0
2017-12-21,9.4,9.4,9.4,9.4,0.456704,0
2017-12-22,9.4,9.4,9.4,9.4,0.456704,0
2017-12-26,9.4,9.4,9.4,9.4,0.456704,0
2017-12-27,9.4,9.4,9.4,9.4,0.456704,0
2017-12-28,9.4,9.4,9.4,9.4,0.456704,0
2017-12-29,8.84,8.84,8.84,8.84,0.429496,150
2018-01-02,8.84,8.84,8.84,8.84,0.429496,0
2018-01-03,8.84,8.84,8.84,8.84,0.429496,0
2018-01-04,8.84,8.84,8.84,8.84,0.429496,0
2018-01-05,8.84,8.84,8.84,8.84,0.429496,0
2018-01-08,8.84,8.84,8.84,8.84,0.429496,0
2018-01-09,8.84,8.84,8.84,8.84,0.429496,0
2018-01-10,8.84,8.84,8.84,8.84,0.429496,0
2018-01-11,8.84,8.84,8.84,8.84,0.429496,0
2018-01-12,8.84,8.84,8.84,8.84,0.429496,0
2018-01-16,8.84,8.84,8.84,8.84,0.429496,0
2018-01-17,8.84,8.84,8.84,8.84,0.429496,0
2018-01-18,8.84,8.84,8.84,8.84,0.429496,0
2018-01-19,8.84,8.84,8.84,8.84,0.429496,0
2018-01-22,8.84,8.84,8.84,8.84,0.429496,0
2018-01-23,8.84,8.84,8.84,8.84,0.429496,0
2018-01-24,8.84,8.84,8.84,8.84,0.429496,0
2018-01-25,8.84,8.84,8.84,8.84,0.429496,0
2018-01-26,8.84,8.84,8.84,8.84,0.429496,0
2018-01-29,8.84,8.84,8.84,8.84,0.429496,0
2018-01-30,8.84,8.84,8.84,8.84,0.429496,0
2018-01-31,8.84,8.84,8.84,8.84,0.429496,0
2018-02-01,8.84,8.84,8.84,8.84,0.429496,0
2018-02-02,8.84,8.84,8.84,8.84,0.429496,0
