Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,20.639999,20.950001,20.610001,20.705,17.057878,2424600
2013-07-17,20.73,20.799999,20.57,20.58,16.954895,1382000
2013-07-18,20.57,20.629999,20.465,20.559999,17.008665,1055600
2013-07-19,20.565001,20.719999,20.42,20.684999,17.112074,2637200
2013-07-22,20.594999,20.74,20.565001,20.639999,17.07485,961200
2013-07-23,20.725,20.745001,20.535,20.705,17.128624,968000
2013-07-24,20.795,20.795,20.504999,20.58,17.025211,862000
2013-07-25,20.485001,20.709999,20.450001,20.655001,17.087255,650000
2013-07-26,20.555,20.74,20.434999,20.719999,17.141024,740400
2013-07-29,21.030001,21.325001,20.969999,21.120001,17.471935,1728200
2013-07-30,21.120001,21.264999,21.02,21.035,17.401613,1398400
2013-07-31,21.09,21.264999,20.99,21.174999,17.517431,1078600
2013-08-01,21.35,21.504999,21.305,21.485001,17.773888,1007200
2013-08-02,21.445,21.514999,21.235001,21.514999,17.798708,1015400
2013-08-05,21.51,21.620001,21.375,21.6,17.869024,821800
2013-08-06,21.555,21.76,21.504999,21.690001,17.94348,1144800
2013-08-07,21.674999,21.674999,21.415001,21.555,17.831791,980400
2013-08-08,21.6,21.795,21.49,21.6,17.869024,834200
2013-08-09,21.555,21.709999,21.405001,21.594999,17.864882,1030400
2013-08-12,21.504999,21.700001,21.4,21.695,17.947609,631600
2013-08-13,21.745001,21.945,21.690001,21.905001,18.121344,826600
2013-08-14,21.955,21.995001,21.709999,21.709999,17.960018,1044600
2013-08-15,21.59,21.59,21.334999,21.365,17.674614,1187400
2013-08-16,21.4,21.465,21.245001,21.395,17.699438,1324400
2013-08-19,21.360001,21.41,21.23,21.24,17.571207,1210600
2013-08-20,21.295,21.495001,21.295,21.389999,17.695293,886600
2013-08-21,21.41,21.445,20.969999,21.055,17.418161,1990600
2013-08-22,21.049999,21.559999,21.035,21.375,17.682894,2169600
2013-08-23,21.370001,21.434999,21.190001,21.355,17.666344,1488200
2013-08-26,21.395,21.424999,20.969999,20.985001,17.360247,1290400
2013-08-27,20.825001,20.91,20.635,20.655001,17.087255,2163600
2013-08-28,20.639999,20.66,20.445,20.465,16.930073,2206800
2013-08-29,20.415001,20.745001,20.299999,20.665001,17.095528,1000200
2013-08-30,20.719999,20.74,20.525,20.715,17.136887,1051800
2013-09-03,20.934999,21.01,20.535,20.629999,17.066574,871000
2013-09-04,20.625,20.975,20.58,20.965,17.343704,1392000
2013-09-05,20.945,21.014999,20.865,20.905001,17.294073,937400
2013-09-06,20.93,21.205,20.73,21.105,17.459524,1196800
2013-09-09,21.105,21.145,21.045,21.125,17.476068,769600
2013-09-10,21.17,21.27,21.0,21.219999,17.554657,1488800
2013-09-11,21.23,21.415001,21.209999,21.395,17.699438,1097000
2013-09-12,21.389999,21.465,21.295,21.35,17.662199,848600
2013-09-13,21.344999,21.445,21.32,21.385,17.69116,722600
2013-09-16,21.545,21.66,21.5,21.555,17.831791,951200
2013-09-17,21.555,21.665001,21.51,21.620001,17.885567,472200
2013-09-18,21.59,22.065001,21.530001,22.059999,18.249559,1244000
2013-09-19,22.110001,22.110001,21.85,21.975,18.179249,831800
2013-09-20,21.985001,22.084999,21.885,21.9,18.117207,1400400
2013-09-23,21.905001,21.975,21.655001,21.73,17.97657,742600
2013-09-24,21.635,21.77,21.514999,21.57,17.844202,1578800
2013-09-25,21.575001,21.65,21.32,21.32,17.637388,1410800
2013-09-26,21.35,21.49,21.235001,21.34,17.653936,1109400
2013-09-27,21.200001,21.26,21.059999,21.145,17.492617,1211800
2013-09-30,21.014999,21.110001,20.9,21.059999,17.422298,870400
2013-10-01,21.0,21.225,20.985001,21.205,17.542248,929000
2013-10-02,21.200001,21.200001,20.834999,21.105,17.459524,1157800
2013-10-03,21.049999,21.049999,20.709999,20.870001,17.265118,982800
2013-10-04,20.825001,21.08,20.785,21.014999,17.385069,614600
2013-10-07,20.879999,21.040001,20.805,20.889999,17.28166,805000
2013-10-08,20.889999,21.045,20.780001,20.785,17.194801,1115400
2013-10-09,20.83,20.98,20.700001,20.9,17.289932,1430200
2013-10-10,21.055,21.43,21.045,21.43,17.728382,1027200
2013-10-11,21.355,21.615,21.264999,21.549999,17.827658,1014000
2013-10-14,21.440001,21.52,21.305,21.485001,17.773888,741400
2013-10-15,21.395,21.530001,21.305,21.305,17.624981,961800
2013-10-16,21.504999,21.76,21.49,21.620001,17.885567,1272800
2013-10-17,21.514999,21.695,21.48,21.690001,18.014309,912000
2013-10-18,21.73,21.77,21.485001,21.530001,17.88142,1928800
