Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,0.35,0.35,0.35,0.35,0.35,2800
2014-07-08,0.35,0.35,0.35,0.35,0.35,2000
2014-07-09,0.35,0.35,0.35,0.35,0.35,0
2014-07-10,0.35,0.35,0.35,0.35,0.35,0
2014-07-11,0.35,0.35,0.35,0.35,0.35,0
2014-07-14,0.35,0.35,0.35,0.35,0.35,0
2014-07-15,0.35,0.35,0.35,0.35,0.35,0
2014-07-16,0.35,0.35,0.35,0.35,0.35,2000
2014-07-17,0.3,0.3,0.3,0.3,0.3,1000
2014-07-18,0.3,0.3,0.3,0.3,0.3,0
2014-07-21,0.3,0.3,0.3,0.3,0.3,0
2014-07-22,0.3,0.3,0.3,0.3,0.3,0
2014-07-23,0.3,0.3,0.3,0.3,0.3,0
2014-07-24,0.3,0.3,0.3,0.3,0.3,0
2014-07-25,0.3,0.3,0.3,0.3,0.3,0
2014-07-28,0.3,0.3,0.3,0.3,0.3,0
2014-07-29,0.3,0.3,0.3,0.3,0.3,0
2014-07-30,0.3,0.3,0.3,0.3,0.3,0
2014-07-31,0.3,0.3,0.3,0.3,0.3,0
2014-08-01,0.3,0.3,0.3,0.3,0.3,0
2014-08-04,0.3,0.3,0.3,0.3,0.3,0
2014-08-05,0.3,0.3,0.3,0.3,0.3,0
2014-08-06,0.3,0.3,0.3,0.3,0.3,0
2014-08-07,0.3,0.3,0.3,0.3,0.3,1000
2014-08-08,0.3,0.3,0.3,0.3,0.3,0
2014-08-11,0.3,0.3,0.3,0.3,0.3,0
2014-08-12,0.3,0.3,0.3,0.3,0.3,0
2014-08-13,0.3,0.3,0.3,0.3,0.3,0
2014-08-14,0.3,0.3,0.3,0.3,0.3,0
2014-08-15,0.3,0.3,0.3,0.3,0.3,0
2014-08-18,0.3,0.3,0.3,0.3,0.3,0
2014-08-19,0.3,0.3,0.3,0.3,0.3,0
2014-08-20,0.3,0.3,0.3,0.3,0.3,0
2014-08-21,0.3,0.3,0.3,0.3,0.3,0
2014-08-22,0.35,0.35,0.35,0.35,0.35,13200
2014-08-25,0.35,0.35,0.35,0.35,0.35,0
2014-08-26,0.35,0.35,0.35,0.35,0.35,0
2014-08-27,0.35,0.35,0.35,0.35,0.35,0
2014-08-28,0.35,0.35,0.35,0.35,0.35,0
2014-08-29,0.35,0.35,0.35,0.35,0.35,0
2014-09-02,0.3,0.3,0.2,0.2,0.2,14000
2014-09-03,0.2,0.2,0.2,0.2,0.2,2500
2014-09-04,0.15,0.15,0.15,0.15,0.15,2500
2014-09-05,0.15,0.15,0.15,0.15,0.15,0
2014-09-08,0.15,0.15,0.15,0.15,0.15,0
2014-09-09,0.15,0.15,0.15,0.15,0.15,0
2014-09-10,0.15,0.15,0.15,0.15,0.15,0
2014-09-11,0.15,0.15,0.15,0.15,0.15,0
2014-09-12,0.15,0.15,0.15,0.15,0.15,0
2014-09-15,0.15,0.15,0.15,0.15,0.15,0
2014-09-16,0.15,0.15,0.15,0.15,0.15,0
2014-09-17,0.15,0.15,0.15,0.15,0.15,0
2014-09-18,0.15,0.15,0.15,0.15,0.15,0
2014-09-19,0.15,0.15,0.15,0.15,0.15,0
2014-09-22,0.15,0.15,0.15,0.15,0.15,0
2014-09-23,0.15,0.15,0.15,0.15,0.15,0
2014-09-24,0.15,0.15,0.15,0.15,0.15,0
2014-09-25,0.15,0.15,0.15,0.15,0.15,0
2014-09-26,0.15,0.15,0.15,0.15,0.15,0
2014-09-29,0.15,0.15,0.15,0.15,0.15,0
2014-09-30,0.15,0.15,0.15,0.15,0.15,0
2014-10-01,0.15,0.15,0.15,0.15,0.15,0
2014-10-02,0.15,0.15,0.15,0.15,0.15,0
2014-10-03,0.15,0.15,0.07,0.07,0.07,60000
2014-10-06,0.05,0.05,0.04,0.04,0.04,60000
2014-10-07,0.04,0.04,0.04,0.04,0.04,0
2014-10-08,0.05,0.05,0.05,0.05,0.05,10000
2014-10-09,0.04,0.04,0.025,0.03,0.03,71350
2014-10-10,0.03,0.03,0.03,0.03,0.03,0
2014-10-13,0.03,0.03,0.03,0.03,0.03,14500
2014-10-14,0.03,0.03,0.025,0.03,0.03,73000
2014-10-15,0.02,0.024,0.02,0.024,0.024,59000
2014-10-16,0.015,0.017,0.01,0.017,0.017,295808
2014-10-17,0.016,0.016,0.0158,0.0158,0.0158,36824
2014-10-20,0.0158,0.0158,0.0158,0.0158,0.0158,0
2014-10-21,0.015,0.015,0.011,0.011,0.011,80000
2014-10-22,0.015,0.015,0.011,0.011,0.011,60500
2014-10-23,0.015,0.015,0.011,0.011,0.011,50000
2014-10-24,0.015,0.015,0.01,0.01,0.01,90500
2014-10-27,0.01,0.01,0.01,0.01,0.01,0
2014-10-28,0.011,0.011,0.011,0.011,0.011,90000
2014-10-29,0.012,0.012,0.012,0.012,0.012,62000
2014-10-30,0.012,0.012,0.012,0.012,0.012,0
2014-10-31,0.012,0.012,0.012,0.012,0.012,0
2014-11-03,0.012,0.012,0.012,0.012,0.012,0
2014-11-04,0.012,0.012,0.012,0.012,0.012,0
2014-11-05,0.012,0.012,0.012,0.012,0.012,0
2014-11-06,0.012,0.012,0.012,0.012,0.012,0
2014-11-07,0.012,0.012,0.012,0.012,0.012,0
2014-11-10,0.012,0.012,0.012,0.012,0.012,0
2014-11-11,0.012,0.012,0.012,0.012,0.012,0
2014-11-12,0.012,0.012,0.012,0.012,0.012,0
2014-11-13,0.012,0.012,0.012,0.012,0.012,0
2014-11-14,0.012,0.012,0.012,0.012,0.012,0
2014-11-17,0.012,0.012,0.012,0.012,0.012,0
2014-11-18,0.012,0.012,0.012,0.012,0.012,0
2014-11-19,0.012,0.012,0.012,0.012,0.012,0
2014-11-20,0.0026,0.0026,0.0026,0.0026,0.0026,1000
2014-11-21,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-11-24,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-11-25,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-11-26,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-11-28,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-01,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-02,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-03,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-04,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-05,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-08,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-09,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-10,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-11,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-12,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-15,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-16,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-17,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-18,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-19,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-22,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-23,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-24,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-26,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-29,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-30,0.0026,0.0026,0.0026,0.0026,0.0026,0
2014-12-31,0.0026,0.0026,0.0026,0.0026,0.0026,0
2015-01-02,0.0026,0.0026,0.0026,0.0026,0.0026,0
2015-01-05,0.0026,0.0026,0.0026,0.0026,0.0026,0
2015-01-06,0.014,0.014,0.014,0.014,0.014,3200
2015-01-07,0.014,0.014,0.014,0.014,0.014,0
2015-01-08,0.014,0.014,0.014,0.014,0.014,1000
2015-01-09,0.014,0.014,0.014,0.014,0.014,0
2015-01-12,0.014,0.014,0.014,0.014,0.014,0
2015-01-13,0.014,0.014,0.014,0.014,0.014,0
2015-01-14,0.014,0.014,0.014,0.014,0.014,0
2015-01-15,0.014,0.014,0.014,0.014,0.014,0
2015-01-16,0.014,0.014,0.014,0.014,0.014,0
2015-01-20,0.014,0.014,0.014,0.014,0.014,0
2015-01-21,0.0026,0.0026,0.0026,0.0026,0.0026,15000
2015-01-22,0.014,0.014,0.0026,0.0026,0.0026,1100
2015-01-23,0.014,0.014,0.014,0.014,0.014,100
2015-01-26,0.014,0.014,0.014,0.014,0.014,0
2015-01-27,0.014,0.014,0.014,0.014,0.014,0
2015-01-28,0.014,0.014,0.014,0.014,0.014,0
2015-01-29,0.014,0.014,0.014,0.014,0.014,0
2015-01-30,0.014,0.014,0.014,0.014,0.014,0
2015-02-02,0.014,0.014,0.014,0.014,0.014,0
2015-02-03,0.014,0.014,0.014,0.014,0.014,0
2015-02-04,0.014,0.014,0.014,0.014,0.014,0
2015-02-05,0.014,0.014,0.014,0.014,0.014,0
2015-02-06,0.014,0.014,0.014,0.014,0.014,0
2015-02-09,0.014,0.014,0.014,0.014,0.014,0
2015-02-10,0.014,0.014,0.014,0.014,0.014,0
2015-02-11,0.014,0.014,0.014,0.014,0.014,0
2015-02-12,0.014,0.014,0.014,0.014,0.014,0
2015-02-13,0.014,0.014,0.014,0.014,0.014,0
2015-02-17,0.014,0.014,0.014,0.014,0.014,0
2015-02-18,0.014,0.014,0.014,0.014,0.014,0
2015-02-19,0.014,0.014,0.014,0.014,0.014,0
2015-02-20,0.014,0.014,0.014,0.014,0.014,0
2015-02-23,0.013,0.013,0.013,0.013,0.013,1500
2015-02-24,0.013,0.013,0.013,0.013,0.013,0
2015-02-25,0.013,0.013,0.013,0.013,0.013,0
2015-02-26,0.013,0.013,0.013,0.013,0.013,0
2015-02-27,0.013,0.013,0.013,0.013,0.013,0
2015-03-02,0.013,0.013,0.013,0.013,0.013,0
2015-03-03,0.013,0.013,0.013,0.013,0.013,0
