Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.17,0.299,0.17,0.27,0.27,125500
2021-01-11,0.25,0.3,0.25,0.285,0.285,118500
2021-01-12,0.27,0.31,0.27,0.28,0.28,68600
2021-01-13,0.31,0.31,0.27,0.3,0.3,45900
2021-01-14,0.251,0.3,0.25,0.255,0.255,226700
2021-01-15,0.3,0.32,0.265,0.29,0.29,207300
2021-01-19,0.285,0.33,0.266,0.305,0.305,114400
2021-01-20,0.292,0.31,0.292,0.31,0.31,32300
2021-01-21,0.3,0.31,0.3,0.3,0.3,14800
2021-01-22,0.3,0.31,0.3,0.31,0.31,23500
2021-01-25,0.273,0.33,0.273,0.3,0.3,22700
2021-01-26,0.274,0.31,0.274,0.31,0.31,24700
2021-01-27,0.31,0.31,0.29,0.29,0.29,15700
2021-01-28,0.29,0.31,0.28,0.295,0.295,25200
2021-01-29,0.28,0.298,0.27,0.275,0.275,82300
2021-02-01,0.3,0.33,0.3,0.31,0.31,248700
2021-02-02,0.31,0.31,0.3,0.305,0.305,39700
2021-02-03,0.3,0.3,0.28,0.28,0.28,88100
2021-02-04,0.31,0.31,0.285,0.294,0.294,20100
2021-02-05,0.305,0.43,0.29,0.33,0.33,94400
2021-02-08,0.33,0.425,0.33,0.41,0.41,119200
2021-02-09,0.43,0.43,0.341,0.36,0.36,48600
2021-02-10,0.36,0.36,0.32,0.337,0.337,212600
2021-02-11,0.36,0.405,0.3,0.34,0.34,156700
2021-02-12,0.38,0.39,0.375,0.375,0.375,13500
2021-02-16,0.39,0.4,0.35,0.375,0.375,40900
2021-02-17,0.38,0.39,0.34,0.34,0.34,24000
2021-02-18,0.41,0.41,0.35,0.39,0.39,14100
2021-02-19,0.38,0.389,0.38,0.38,0.38,15400
2021-02-22,0.39,0.405,0.39,0.39,0.39,39900
2021-02-23,0.352,0.41,0.352,0.4,0.4,17400
2021-02-24,0.386,0.4,0.375,0.375,0.375,4600
2021-02-25,0.375,0.49,0.375,0.48,0.48,81100
2021-02-26,0.465,0.5,0.438,0.45,0.45,63700
2021-03-01,0.5,0.55,0.45,0.45,0.45,100400
2021-03-02,0.557,0.557,0.451,0.5,0.5,16300
2021-03-03,0.518,0.54,0.451,0.453,0.453,22700
2021-03-04,0.42,0.46,0.41,0.46,0.46,54400
2021-03-05,0.435,0.435,0.41,0.41,0.41,9700
2021-03-08,0.41,0.43,0.4,0.43,0.43,14700
2021-03-09,0.4,0.4,0.4,0.4,0.4,900
2021-03-10,0.411,0.411,0.38,0.38,0.38,46600
2021-03-11,0.4,0.45,0.366,0.4,0.4,14000
2021-03-12,0.37,0.459,0.37,0.444,0.444,18100
2021-03-15,0.46,0.46,0.34,0.37,0.37,56400
2021-03-16,0.37,0.4,0.35,0.35,0.35,14900
2021-03-17,0.39,0.39,0.39,0.39,0.39,5000
2021-03-18,0.389,0.389,0.389,0.389,0.389,1000
2021-03-19,0.4,0.4,0.35,0.4,0.4,51000
2021-03-22,0.365,0.41,0.365,0.41,0.41,12100
2021-03-23,0.45,0.46,0.425,0.45,0.45,55400
2021-03-24,0.405,0.42,0.405,0.42,0.42,5500
2021-03-25,0.44,0.46,0.44,0.442,0.442,53100
2021-03-26,0.435,0.44,0.435,0.44,0.44,5600
2021-03-29,0.437,0.46,0.42,0.44,0.44,11000
2021-03-30,0.425,0.445,0.425,0.425,0.425,23100
2021-03-31,0.445,0.453,0.287,0.44,0.44,60600
2021-04-01,0.4,0.45,0.4,0.43,0.43,65300
2021-04-05,0.305,0.42,0.305,0.39,0.39,20100
2021-04-06,0.4,0.4,0.4,0.4,0.4,17800
2021-04-07,0.41,0.41,0.38,0.38,0.38,35700
2021-04-08,0.355,0.46,0.355,0.39,0.39,23500
2021-04-09,0.38,0.38,0.38,0.38,0.38,200
2021-04-12,0.466,0.466,0.35,0.35,0.35,41900
2021-04-13,0.432,0.432,0.35,0.35,0.35,45000
2021-04-14,0.32,0.32,0.32,0.32,0.32,100
2021-04-15,0.408,0.41,0.3,0.305,0.305,87200
2021-04-16,0.271,0.35,0.271,0.321,0.321,26200
2021-04-19,0.35,0.35,0.35,0.35,0.35,400
2021-04-20,0.384,0.418,0.36,0.36,0.36,20300
2021-04-21,0.383,0.39,0.383,0.39,0.39,5300
2021-04-22,0.383,0.383,0.38,0.38,0.38,7200
2021-04-23,0.39,0.45,0.381,0.381,0.381,55900
2021-04-26,0.4,0.419,0.399,0.419,0.419,5700
2021-04-27,0.403,0.403,0.403,0.403,0.403,300
2021-04-28,0.45,0.46,0.4,0.4,0.4,16500
